date, pm25, pm10, o3, no2, so2, co
2020/1/2, 54, 15, 23, 12, , 5
2020/1/3, 34, 19, 32, 7, , 3
2020/1/4, 30, 17, 19, 12, , 4
2020/1/5, 36, 11, 20, 19, , 5
2020/1/6, 28, 16, 18, 16, , 4
2020/1/7, 37, 20, 14, 16, , 5
2020/1/8, 42, 16, 14, 19, 1, 5
2020/1/9, 31, 14, 11, 21, 1, 5
2020/1/10, 36, 12, 22, 9, , 3
2020/1/11, 23, 9, 22, 10, , 4
2020/1/12, 25, 19, 20, 19, , 4
2020/1/13, 32, 11, 19, 12, , 4
2020/1/14, 25, 16, 24, 12, , 3
2020/1/15, 34, 14, 25, 8, , 2
2020/1/16, 32, , , , , 
2019/10/1, 33, 22, 16, 21, 1, 5
2019/10/2, 35, 12, 13, 11, , 4
2019/10/3, 24, 22, 13, 18, , 5
2019/10/4, 30, 12, 20, 11, , 4
2019/10/5, 29, 12, 17, 12, , 4
2019/10/6, 25, 24, 15, 23, 1, 6
2019/10/7, 31, 19, 18, 16, , 5
2019/10/8, 36, 23, 15, 17, , 4
2019/10/9, 40, 21, 17, 17, , 4
2019/10/10, 35, 14, 17, 14, , 4
2019/10/11, 33, 17, 19, 12, , 4
2019/10/12, 36, 15, 15, 11, , 4
2019/10/13, 32, 17, 23, 11, , 3
2019/10/14, 29, 20, 16, 15, , 5
2019/10/15, 39, 19, 15, 17, , 6
2019/10/16, 43, 13, 8, 19, , 5
2019/10/17, 31, 11, 19, 12, , 4
2019/10/18, 25, 14, 20, 9, , 3
2019/10/19, 31, 16, 10, 14, , 5
2019/10/20, 41, 18, 7, 17, , 5
2019/10/21, 41, 19, 10, 15, , 5
2019/10/22, 37, 23, 18, 19, , 5
2019/10/23, 37, 22, 12, 13, , 6
2019/10/24, 54, 24, 14, 14, , 4
2019/10/25, 40, 13, 19, 8, , 3
2019/10/26, 29, 13, 27, 6, , 3
2019/10/27, 26, 18, 23, 19, , 5
2019/10/28, 32, 21, 20, 21, , 6
2019/10/29, 33, 29, 14, 25, 1, 6
2019/10/30, 38, 29, 17, 22, 1, 5
2019/10/31, 36, 24, 18, 18, 1, 5
2019/11/1, 37, 11, 8, 13, , 6
2019/11/2, 31, 14, 8, 17, , 6
2019/11/3, 32, 18, 15, 13, , 5
2019/11/4, 22, 12, 18, 14, , 4
2019/11/5, 23, 24, 17, 19, 1, 5
2019/11/6, 31, 21, 10, 20, , 6
2019/11/7, 34, 28, 9, 20, 1, 7
2019/11/8, 44, 16, , 13, , 6
2019/11/9, 35, 12, , 13, , 5
2019/11/10, 28, 15, , 11, , 4
2019/11/11, 31, 17, 16, 10, , 4
2019/11/12, 36, 19, 10, 14, , 5
2019/11/13, 31, 23, 2, 19, , 6
2019/11/14, 38, 17, 18, 11, , 4
2019/11/15, 27, 17, 10, 9, , 5
2019/11/16, 49, 13, 16, 12, , 5
2019/11/17, 32, 28, 13, 10, , 5
2019/11/18, 59, 14, 16, 10, , 4
2019/11/19, 26, 31, 13, 18, , 6
2019/11/20, 50, 23, 5, 14, , 7
2019/11/21, 58, 16, 6, 12, , 7
