date, pm25, pm10, o3, no2, so2, co
2020/1/2, 140, 64, 27, 44, 7, 12
2020/1/3, 150, 53, 27, 43, 8, 10
2020/1/4, 127, 51, 24, 42, 6, 13
2020/1/5, 126, 56, 3, 49, 9, 14
2020/1/6, 143, 52, 8, 54, 9, 18
2020/1/7, 133, 19, 29, 19, 6, 8
2020/1/8, 50, 40, 33, 26, 6, 9
2020/1/9, 100, 53, 25, 49, 8, 11
2020/1/10, 133, 52, 38, 39, 8, 11
2020/1/11, 130, 37, 35, 25, 6, 9
2020/1/12, 95, 26, 32, 26, 5, 7
2020/1/13, 67, 35, 29, 31, 7, 9
2020/1/14, 86, 42, 28, 36, 7, 10
2020/1/15, 106, 43, 24, 36, 7, 10
2020/1/16, 99, , , , , 
2019/10/1, 110, 24, 20, 19, 3, 5
2019/10/2, 61, 17, 29, 16, 3, 3
2019/10/3, 40, 38, 45, 23, 4, 6
2019/10/4, 79, 40, 48, 16, 4, 5
2019/10/5, 79, 24, 36, 8, 2, 3
2019/10/6, 34, 25, 24, 23, 3, 5
2019/10/7, 57, 30, 45, 24, 3, 5
2019/10/8, 64, 33, 34, 28, 4, 4
2019/10/9, 62, 38, 43, 34, 4, 5
2019/10/10, 81, 35, 43, 28, 4, 5
2019/10/11, 74, 34, 39, 21, 3, 4
2019/10/12, 64, 28, 36, 16, 3, 3
2019/10/13, 48, 36, 41, 27, 3, 5
2019/10/14, 69, 30, 33, 17, 3, 4
2019/10/15, 57, 34, 36, 29, 4, 5
2019/10/16, 78, 35, 30, 26, 5, 6
2019/10/17, 74, 35, 23, 32, 4, 6
2019/10/18, 77, 23, 34, 23, 3, 5
2019/10/19, 52, 31, 45, 24, 3, 6
2019/10/20, 72, 35, 40, 27, 4, 6
2019/10/21, 71, 34, 39, 27, 5, 6
2019/10/22, 76, 40, 40, 25, 4, 6
2019/10/23, 79, 34, 34, 26, 3, 6
2019/10/24, 70, 31, 39, 27, 3, 6
2019/10/25, 60, 36, 40, 21, 4, 6
2019/10/26, 75, 29, 41, 19, 4, 5
2019/10/27, 57, 44, 37, 37, 6, 7
2019/10/28, 90, 75, 41, 35, 4, 7
2019/10/29, 116, 48, 36, 32, 5, 6
2019/10/30, 81, 57, 42, 38, 6, 8
2019/10/31, 109, 79, 64, 38, 6, 8
2019/11/1, 138, 69, 43, 39, 6, 9
2019/11/2, 129, 59, 56, 22, 6, 8
2019/11/3, 120, 28, 35, 22, 5, 6
2019/11/4, 49, 47, 40, 35, 6, 9
2019/11/5, 99, 56, 43, 42, 7, 9
2019/11/6, 123, 48, 40, 38, 7, 9
2019/11/7, 90, 53, 37, 35, 7, 9
2019/11/8, 96, 53, 33, 39, 6, 9
2019/11/9, 110, 48, 39, 38, 6, 11
2019/11/10, 107, 33, 41, 26, 4, 10
2019/11/11, 67, 50, 29, 38, 5, 11
2019/11/12, 106, 55, 6, 37, 6, 9
2019/11/13, 125, , , , 4, 7
2019/11/14, 53, 62, 18, 52, 9, 11
2019/11/15, 114, 60, 17, 38, 7, 12
2019/11/16, 110, 66, 4, 39, 8, 15
2019/11/17, 155, 54, 33, 18, 4, 8
2019/11/18, 71, 32, 29, 15, 4, 4
2019/11/19, 56, 32, 28, 28, 4, 6
2019/11/20, 67, 50, 17, 44, 7, 8
2019/11/21, 105, 49, 25, 40, 8, 9
2019/11/22, 99, 47, 24, 38, 7, 9
2019/11/23, 103, 46, 23, 35, 8, 10
2019/11/24, 103, 25, 28, 16, 4, 5
2019/11/25, 56, 22, 32, 23, 2, 4
2019/11/26, 44, 39, 21, 31, 5, 7
2019/11/27, 86, 42, 24, 33, 5, 8
2019/11/28, 88, 38, 28, 32, 5, 8
2019/11/29, 81, 53, 13, 46, 6, 9
2019/11/30, 112, 42, 20, 36, 6, 8
2019/12/1, 108, 27, 31, 16, 5, 6
2019/12/2, 66, 28, 28, 24, 5, 6
2019/12/3, 61, 42, 29, 34, 6, 8
2019/12/4, 93, 37, 30, 26, 6, 8
2019/12/5, 87, 26, 29, 24, 5, 7
2019/12/6, 61, 40, 30, 34, 7, 9
2019/12/7, 92, 53, 29, 36, 7, 10
2019/12/8, 134, 60, 17, 50, 9, 13
2019/12/9, 139, 81, 17, 77, 13, 20
2019/12/10, 161, 76, 42, 47, 9, 15
2019/12/11, 154, 28, 29, 21, 5, 7
2019/12/12, 58, 49, 13, 41, 8, 10
2019/12/13, 104, 45, 29, 33, 7, 10
2019/12/14, 105, 47, 21, 41, 6, 11
2019/12/15, 107, 53, 11, 50, 8, 13
2019/12/16, 120, 57, 13, 45, 9, 12
2019/12/17, 128, 39, 28, 22, 5, 8
2019/12/18, 98, 29, 30, 23, 6, 6
2019/12/19, 73, 38, 26, 30, 7, 8
2019/12/20, 94, 51, 20, 37, 7, 10
2019/12/21, 127, 57, 12, 47, 8, 13
2019/12/22, 144, 61, 27, 42, 8, 12
2019/12/23, 148, 62, 23, 49, 8, 13
2019/12/24, 152, 65, 17, 54, 11, 14
2019/12/25, 157, 49, 19, 41, 9, 12
2019/12/26, 125, 33, 33, 26, 7, 8
2019/12/27, 78, 48, 23, 42, 8, 10
2019/12/28, 112, 51, 2, 43, 6, 12
2019/12/29, 128, , , , , 
2019/7/1, 96, 36, 63, 22, 3, 3
2019/7/2, 80, 47, 77, 30, 4, 3
2019/7/3, 100, 48, 89, 30, 4, 4
2019/7/4, 104, 51, 111, 26, 7, 5
2019/7/5, 111, 37, 46, 14, 4, 4
2019/7/6, 72, 28, 44, 8, 2, 2
2019/7/7, 54, 26, 39, 13, 2, 2
2019/7/8, 50, 25, 33, 13, 3, 2
2019/7/9, 53, 23, 28, 17, 3, 3
2019/7/10, 46, 20, 27, 18, 2, 3
2019/7/11, 44, 22, 41, 21, 3, 3
2019/7/12, 48, 43, 66, 28, 3, 3
2019/7/13, 88, 39, 57, 10, 4, 3
2019/7/14, 79, 38, 39, 15, 4, 6
2019/7/15, 86, 31, 54, 16, 3, 3
2019/7/16, 71, 32, 53, 16, 4, 4
2019/7/17, 69, 34, 43, 22, 3, 3
2019/7/18, 77, 29, 11, 18, 3, 3
2019/7/19, 63, 13, 16, 10, 2, 2
2019/7/20, 24, 17, 30, 11, 3, 3
2019/7/21, 39, 37, 44, 20, 4, 3
2019/7/22, 79, 40, 38, 20, 4, 4
2019/7/23, 78, 29, 30, 13, 4, 3
2019/7/24, 62, 35, 26, 16, 3, 2
2019/7/25, 80, 35, 32, 15, 3, 3
2019/7/26, 69, 34, 42, 18, 4, 3
2019/7/27, 74, 26, 47, 9, 3, 2
2019/7/28, 57, 27, 43, 11, 5, 4
2019/7/29, 59, 24, 30, 12, 5, 2
2019/7/30, 55, 25, 31, 13, 4, 2
2019/7/31, 53, 24, 42, 14, 3, 3
2019/8/1, 55, 30, 72, 16, 4, 3
2019/8/2, 66, 38, 55, 18, 6, 5
2019/8/3, 81, 42, 75, 17, 8, 5
2019/8/4, 93, 41, 60, 16, 8, 3
2019/8/5, 87, 26, 26, 14, 3, 2
2019/8/6, 55, 32, 49, 15, 4, 3
2019/8/7, 70, 38, 41, 21, 5, 3
2019/8/8, 81, 31, 51, 22, 5, 3
2019/8/9, 66, 32, 37, 14, 7, 3
2019/8/10, 67, 28, 37, 7, 5, 3
2019/8/11, 62, 27, 27, 10, 5, 3
2019/8/12, 59, 27, 42, 13, 5, 3
2019/8/13, 57, 28, 24, 13, 2, 2
2019/8/14, 55, 19, 18, 14, 3, 3
2019/8/15, 39, 21, 38, 15, 4, 4
2019/8/16, 44, 36, 61, 18, 4, 4
2019/8/17, 74, 38, 68, 12, 4, 5
2019/8/18, 82, 49, 73, 21, 5, 6
2019/8/19, 108, 35, 49, 13, 4, 4
2019/8/20, 71, 33, 43, 21, 3, 4
2019/8/21, 73, 22, 35, 20, 3, 3
2019/8/22, 51, 41, 55, 29, 4, 5
2019/8/23, 83, 41, 48, 25, 3, 5
2019/8/24, 82, 32, 51, 18, 4, 5
2019/8/25, 71, 36, 81, 24, 4, 5
2019/8/26, 79, 31, 69, 22, 4, 5
2019/8/27, 78, 25, 28, 21, 3, 6
2019/8/28, 72, 34, 25, 22, 4, 6
2019/8/29, 90, 29, 36, 16, 2, 4
2019/8/30, 60, 29, 47, 22, 3, 3
2019/8/31, 64, 32, 43, 20, 3, 4
2019/9/1, 72, 33, 33, 25, 3, 5
2019/9/2, 75, 29, 17, 24, 5, 7
2019/9/3, 76, 30, 21, 21, 4, 5
2019/9/4, 73, 33, 31, 21, 3, 4
2019/9/5, 74, 39, 29, 16, 6, 3
2019/9/6, 81, 20, 23, 8, 3, 3
2019/9/7, 36, 29, 42, 16, 3, 4
2019/9/8, 59, 32, 44, 25, 4, 5
2019/9/9, 68, 42, 56, 25, 3, 5
2019/9/10, 83, 38, 57, 21, 3, 5
2019/9/11, 81, 21, 42, 12, 2, 3
2019/9/12, 37, 19, 49, 9, 2, 3
2019/9/13, 30, 21, 47, 15, 3, 4
2019/9/14, 42, 23, 40, 10, 2, 3
