date, pm25, o3, no2, so2, co
2018/10/5, 33, 35, , 30, 
2018/10/6, 33, 35, , 28, 
2018/10/7, 29, 34, , 26, 
2018/10/12, 55, , , 36, 
2018/10/13, 43, 36, , 31, 
2018/10/14, 25, 35, , 31, 
2018/10/22, 25, 35, , 33, 
2018/10/23, 27, 35, , 32, 
2018/10/29, 2, 35, , 32, 
2018/11/7, 45, 43, , 34, 
2018/11/14, 16, 35, , 34, 
2018/11/17, 43, 34, , 37, 
2018/11/18, 43, 34, , 36, 
2018/11/23, 87, , , 43, 
2018/11/28, 107, 44, , 39, 
2018/11/29, 91, , , 41, 
2018/12/5, 62, , , 37, 
2018/12/6, 91, , , 39, 
2018/12/7, 115, , , 40, 
2018/12/12, 105, , , 39, 
2018/12/16, 100, , , 38, 
2018/12/19, 45, 39, , 35, 
2018/7/3, 26, 34, 48, 24, 14
2018/8/8, 12, , , , 
2018/8/9, 21, 35, , 26, 
2018/8/13, 27, 30, , 26, 
2018/8/20, 72, , , , 
2018/8/21, 47, , , , 
2018/8/22, 24, 35, , 25, 
2018/9/6, 34, 50, , 25, 
2018/9/7, 32, 47, , 25, 
2018/9/8, 50, , , , 
2018/9/9, 42, , , , 
2018/9/13, 42, , , , 
2018/9/14, 37, 36, , 26, 
2018/9/19, 36, 36, , 27, 
2018/9/20, 103, 35, , 27, 
2018/9/21, 62, 37, , 22, 
2018/9/23, 48, 40, , 27, 
2018/9/24, 56, 43, , 26, 
2018/9/25, 76, 44, , 27, 
2018/9/26, 35, 42, , 29, 
2018/6/10, 46, , , , 
2018/6/11, 59, , , , 
2018/6/12, 80, , , , 
2018/6/13, 87, , , , 
2018/6/14, 47, , , , 
2019/1/1, , , , , 
2019/1/2, , , , , 
2019/1/3, , , , , 
2019/1/4, , , , , 
2019/1/7, , 36, 68, 33, 14
2019/1/8, , 45, 71, 33, 14
2019/1/9, , 42, , , 
2019/1/11, , 66, 92, 37, 15
2019/1/12, , 67, 93, 39, 18
2018/10/1, , 44, , 27, 
2018/10/2, , 41, , 25, 
2018/10/3, , 39, , 27, 
2018/10/4, , 39, , 31, 
2018/10/8, , 41, , 32, 
2018/10/9, , 39, , 35, 
2018/10/10, , 34, , 35, 
2018/10/11, , 35, , 36, 
2018/10/16, , 35, , 33, 
2018/10/17, , 21, , 31, 
2018/10/18, , , , 4, 
2018/10/21, , 39, , 33, 
2018/10/24, , 38, , 33, 
2018/10/25, , 38, , 32, 
2018/10/28, , 32, , 34, 11
2018/11/1, , 45, , 34, 
2018/11/2, , 47, , 18, 
2018/11/3, , 47, , 33, 
2018/11/4, , 50, , 35, 
2018/11/5, , 50, , 37, 
2018/11/6, , 45, , 36, 
2018/11/8, , 44, , 32, 
2018/11/9, , 44, , 32, 
2018/11/11, , 39, , 34, 
2018/11/12, , 34, , 35, 
2018/11/13, , 11, , 34, 
2018/11/15, , 40, , 36, 
2018/11/16, , 39, , 35, 
2018/11/27, , 44, , 35, 
2018/12/9, , 44, , 35, 
2018/12/10, , 43, , 35, 
2018/12/30, , 37, , 34, 
2018/7/2, , 34, 47, 28, 
2018/7/4, , 39, 48, 26, 17
2018/7/5, , 37, , 29, 
2018/7/8, , 35, , 30, 17
2018/7/9, , 35, , , 
2018/7/10, , 35, , 30, 
2018/7/11, , 35, , 28, 
2018/7/12, , 37, , 24, 
2018/7/16, , 37, , , 
2018/7/17, , 35, , 33, 
2018/7/18, , 35, , 31, 
2018/7/19, , 35, , 32, 
2018/8/10, , 35, , 25, 
2018/8/11, , 37, , 28, 
2018/8/12, , 33, , 26, 
2018/8/15, , 38, , 34, 
2018/8/17, , 35, , 27, 
2018/8/19, , 37, , 28, 
2018/8/26, , 35, , 26, 
2018/8/29, , 41, , , 
2018/8/30, , 41, , 28, 
2018/8/31, , 36, , 25, 
2018/9/2, , 46, , 26, 
2018/9/3, , 62, , 27, 
2018/9/4, , 58, , 26, 
2018/9/5, , 53, , 24, 
2018/9/15, , 38, , 25, 
2018/9/16, , 39, , 27, 
2018/9/17, , 39, , 28, 
2018/9/18, , 37, , 27, 
2018/9/22, , 40, , 25, 
2018/9/27, , 42, , 30, 
2018/9/28, , 39, , 29, 
2018/9/29, , 46, , 31, 
2018/9/30, , 46, , 28, 
2018/6/26, , 35, 35, 27, 
2018/6/27, , 36, 35, 25, 
2018/6/28, , 36, , 21, 
2018/12/31, , , , , 
2019/1/6, , , 63, 32, 14
2019/1/10, , , 79, 34, 11
2018/12/29, , , 84, , 20
2018/10/26, , , , 32, 
2018/11/30, , , , 40, 
2018/12/4, , , , 35, 
2018/12/8, , , , 36, 
2018/12/13, , , , 38, 
2018/12/14, , , , 43, 
2018/12/17, , , , 40, 
2018/12/21, , , , 35, 
2018/7/7, , , , , 22
