date, pm25, pm10, o3, no2, so2, co
2020/1/2, 180, 76, 14, 33, 17, 18
2020/1/3, 160, 81, 16, 37, 16, 21
2020/1/4, 168, 49, 29, 26, 15, 9
2020/1/5, 112, 42, 29, 15, 9, 9
2020/1/6, 115, 66, 26, 14, 8, 9
2020/1/7, 140, 45, 30, 9, 7, 5
2020/1/8, 80, 42, 20, 26, 14, 8
2020/1/9, 95, 64, 33, 32, 15, 13
2020/1/10, 151, 45, 26, 18, 10, 9
2020/1/11, 93, 30, 25, 12, 8, 7
2020/1/12, 70, 49, 17, 24, 12, 10
2020/1/13, 114, 36, 22, 16, 8, 8
2020/1/14, 82, 53, 22, 26, 15, 8
2020/1/15, 136, 69, 18, 28, 17, 12
2020/1/16, 159, , , , , 
2019/10/1, 142, 51, 63, 8, 3, 7
2019/10/2, 138, 62, 59, 10, 4, 6
2019/10/3, 132, 49, 19, 6, 3, 3
2019/10/4, 57, 27, 29, 7, 3, 3
2019/10/5, 27, 33, 27, 19, 5, 5
2019/10/6, 52, 39, 46, 10, 5, 7
2019/10/7, 70, 32, 48, 8, 3, 4
2019/10/8, 24, 29, 46, 6, 4, 5
2019/10/9, 29, 50, 47, 10, 3, 7
2019/10/10, 104, 57, 26, 28, 5, 9
2019/10/11, 113, 66, 26, 26, 10, 12
2019/10/12, 113, 57, 20, 16, 8, 10
2019/10/13, 86, 27, 23, 7, 3, 5
2019/10/14, 41, 24, 25, 14, 4, 8
2019/10/15, 48, 50, 22, 25, 5, 7
2019/10/16, 104, 53, 33, 22, 5, 8
2019/10/17, 119, 60, 40, 23, 4, 8
2019/10/18, 145, 88, 65, 14, 5, 11
2019/10/19, 178, 89, 68, 11, 5, 11
2019/10/20, 185, 100, 55, 23, 4, 12
2019/10/21, 198, 93, 71, 23, 4, 10
2019/10/22, 174, 81, 61, 15, 3, 8
2019/10/23, 167, 60, 50, 9, 2, 7
2019/10/24, 148, 18, 30, 8, 3, 2
2019/10/25, 31, 22, 27, 13, 4, 3
2019/10/26, 43, 52, 40, 12, 5, 6
2019/10/27, 112, 93, 36, 13, 5, 6
2019/10/28, 109, 28, 27, 14, 4, 4
2019/10/29, 36, 76, 42, 12, 6, 6
2019/10/30, 110, 129, 38, 30, 9, 12
2019/10/31, 156, 44, 22, 27, 8, 7
2019/11/1, 72, 40, 25, 32, 8, 8
2019/11/2, 70, 57, 21, 14, 6, 7
2019/11/3, 80, 39, 23, 18, 8, 7
2019/11/4, 75, 58, 21, 20, 8, 8
2019/11/5, 91, 48, 20, 29, 11, 6
2019/11/6, 75, 33, 26, 12, 5, 4
2019/11/7, 45, 59, 28, 24, 8, 8
2019/11/8, 119, 76, 51, 21, 12, 14
2019/11/9, 160, 56, 56, 13, 5, 9
2019/11/10, 109, 37, 31, 17, 7, 5
2019/11/11, 55, 45, 28, 16, 6, 5
2019/11/12, 60, 45, 27, 11, 4, 6
2019/11/13, 70, 41, 27, 9, 6, 4
2019/11/14, 48, 46, 26, 15, 7, 5
2019/11/15, 84, 24, 29, 10, 7, 4
2019/11/16, 52, 37, 30, 11, 5, 5
2019/11/17, 74, 60, 23, 7, 4, 3
2019/11/18, 48, 39, 24, 10, 5, 4
2019/11/19, 49, 40, 26, 11, 6, 5
2019/11/20, 65, 61, 30, 8, 5, 7
2019/11/21, 100, 41, 28, 12, 6, 5
2019/11/22, 55, 44, 23, 20, 5, 8
2019/11/23, 101, 32, 20, 9, 4, 6
2019/11/24, 52, 27, 19, 10, 5, 4
2019/11/25, 46, 44, 24, 19, 8, 7
2019/11/26, 93, 38, 21, 8, 5, 5
2019/11/27, 45, 24, 20, 10, 6, 5
2019/11/28, 45, 46, 15, 24, 12, 8
2019/11/29, 94, 64, 23, 25, 10, 11
2019/11/30, 142, 51, 16, 22, 9, 10
2019/12/1, 105, 26, 25, 11, 9, 5
2019/12/2, 36, 41, 25, 18, 9, 7
2019/12/3, 78, 56, 17, 24, 18, 10
2019/12/4, 122, 23, 21, 11, 5, 5
2019/12/5, 48, 39, 28, 17, 15, 6
2019/12/6, 85, 43, 23, 17, 9, 8
2019/12/7, 96, 83, 43, 15, 9, 10
2019/12/8, 158, 121, 29, 23, 8, 15
2019/12/9, 213, 109, 29, 25, 9, 14
2019/12/10, 185, 44, 21, 17, 8, 6
2019/12/11, 89, 29, 24, 16, 11, 4
2019/12/12, 54, 60, 27, 15, 8, 6
