date, pm25, pm10, o3, no2, so2, co
2020/1/2, 159, 75, 25, 14, 11, 9
2020/1/3, 157, 78, 27, 15, 9, 9
2020/1/4, 170, 90, 26, 16, 8, 9
2020/1/5, 187, 99, 26, 19, 10, 10
2020/1/6, 194, 72, 23, 9, 7, 7
2020/1/7, 166, 45, 23, 6, 6, 4
2020/1/8, 113, 76, 27, 13, 11, 8
2020/1/9, 166, 106, 28, 17, 6, 10
2020/1/10, 206, 99, 26, 15, 5, 9
2020/1/11, 165, 73, 23, 11, 8, 7
2020/1/12, 159, 63, 23, 9, 5, 6
2020/1/13, 149, 99, 25, 15, 11, 10
2020/1/14, 189, 120, 31, 18, 6, 10
2020/1/15, 206, 119, 26, 13, 6, 10
2020/1/16, 184, , , , , 
2019/10/1, 137, 64, 66, 5, 3, 5
2019/10/2, 117, 31, 21, 4, , 2
2019/10/3, 52, 22, 24, 4, , 2
2019/10/4, 45, 25, 28, 6, 2, 2
2019/10/5, 44, 37, 30, 5, 2, 2
2019/10/6, 55, 46, 31, 5, 3, 3
2019/10/7, 66, 24, 21, 5, 2, 2
2019/10/8, 51, 48, 32, 5, 2, 2
2019/10/9, 48, 38, 29, 4, 3, 3
2019/10/10, 68, 27, 21, 6, 2, 2
2019/10/11, 46, 29, 21, 6, 2, 2
2019/10/12, 56, 35, 21, 6, 2, 2
2019/10/13, 63, 33, 25, 6, 2, 2
2019/10/14, 60, 51, 24, 6, 2, 2
2019/10/15, 53, 47, 29, 12, 4, 4
2019/10/16, 75, 61, 32, 15, 3, 4
2019/10/17, 108, 72, 34, 23, 6, 7
2019/10/18, 129, 72, 53, 20, 5, 6
2019/10/19, 155, 96, 34, 9, 2, 7
2019/10/20, 146, 47, 19, 6, 2, 2
2019/10/21, 67, 54, 27, 11, 4, 3
2019/10/22, 92, 91, 42, 17, 5, 7
2019/10/23, 145, 63, 22, 10, 3, 4
2019/10/24, 114, 28, 12, 6, 2, 3
2019/10/25, 90, 34, 18, 7, 2, 3
2019/10/26, 84, 37, 23, 10, 4, 4
2019/10/27, 83, 83, 25, 13, 3, 7
2019/10/28, 160, 35, 23, 7, 2, 3
2019/10/29, 84, 47, 20, 10, 3, 5
2019/10/30, 91, 28, 24, 4, 2, 2
2019/10/31, 52, 29, 23, 6, 4, 3
2019/11/1, 62, 30, 21, 6, 2, 3
2019/11/2, 59, 30, 20, 8, 3, 3
2019/11/3, 73, 40, 21, 8, 3, 3
2019/11/4, 86, 35, 23, 6, 4, 3
2019/11/5, 66, 24, 16, 7, 3, 3
2019/11/6, 66, 24, 21, 5, 3, 2
2019/11/7, 58, 36, 21, 7, 3, 4
2019/11/8, 75, 61, 21, 14, 5, 6
2019/11/9, 124, 109, 12, 14, 3, 12
2019/11/10, 203, 40, 20, 7, 2, 4
2019/11/11, 84, 28, 21, 8, 4, 3
2019/11/12, 67, 22, 20, 6, 2, 3
2019/11/13, 64, 24, 23, 7, 16, 4
2019/11/14, 49, 31, 20, 6, 2, 3
2019/11/15, 71, 29, 21, 6, 3, 3
2019/11/16, 70, 51, 15, 13, 4, 6
2019/11/17, 129, 35, 19, 5, 2, 4
2019/11/18, 82, 30, 23, 6, 3, 5
2019/11/19, 67, 44, 20, 11, 3, 6
2019/11/20, 107, 87, 9, 20, 5, 11
2019/11/21, 177, 73, 20, 11, 2, 8
2019/11/22, 161, 45, 19, 7, 2, 6
2019/11/23, 113, 28, 20, 4, 2, 4
2019/11/24, 74, 36, 16, 5, 4, 3
2019/11/25, 78, 49, 17, 5, 3, 4
2019/11/26, 95, 33, 21, 6, 7, 3
2019/11/27, 72, 36, 18, 6, 3, 3
2019/11/28, 84, 56, 18, 14, 10, 6
2019/11/29, 119, 62, 16, 12, 4, 6
2019/11/30, 149, 48, 22, 8, 5, 5
2019/12/1, 121, 28, 24, 4, 3, 3
2019/12/2, 76, 28, 25, 3, 4, 2
2019/12/3, 70, 33, 22, 4, 4, 3
2019/12/4, 82, 36, 22, 6, 5, 4
2019/12/5, 90, 50, 21, 7, 4, 4
2019/12/6, 102, 51, 23, 9, 7, 6
2019/12/7, 121, 66, 17, 15, 7, 8
2019/12/8, 149, 106, 16, 18, 3, 10
2019/12/9, 186, 93, 20, 18, 11, 8
2019/12/10, 186, 80, 22, 13, 18, 6
2019/12/11, 172, 67, 19, 11, 5, 6
2019/12/12, 143, 53, 19, 10, 3, 5
2019/12/13, 132, 56, 20, 10, 5, 6
2019/12/14, 134, 61, 17, 13, 5, 7
2019/12/15, 149, 78, 9, 17, 4, 10
2019/12/16, 173, 45, 22, 9, 3, 5
2019/12/17, 113, 44, 21, 10, 5, 5
2019/12/18, 106, 76, 18, 16, 8, 8
2019/12/19, 170, 54, 18, 13, 7, 6
2019/12/20, 141, 81, 16, 20, 8, 9
2019/12/21, 178, 88, 18, 21, 8, 8
2019/12/22, 189, 105, 18, 20, 8, 10
2019/12/23, 214, 116, 24, 24, 11, 12
2019/12/24, 240, 87, 21, 18, 10, 8
2019/12/25, 190, 93, 20, 17, 12, 10
2019/12/26, 195, 130, 24, 26, 17, 14
2019/12/27, 261, 171, 17, 32, 19, 17
2019/12/28, 292, 122, 18, 21, 12, 13
2019/12/29, 241, , , , , 
2019/7/1, 30, 24, 31, 5, 1, 5
2019/7/2, 62, 23, 41, 5, 2, 4
2019/7/3, 46, 25, 46, 6, 2, 4
2019/7/4, 52, 31, 60, 5, 2, 5
2019/7/5, 63, 42, 53, 4, 1, 6
2019/7/6, 92, 20, 34, 2, 2, 4
2019/7/7, 51, 24, 42, 4, , 4
2019/7/8, 38, 36, 47, 5, 2, 5
2019/7/9, 64, 25, 44, 4, 2, 6
2019/7/10, 45, 26, 47, 4, 1, 6
2019/7/11, 54, 21, 49, 3, , 6
2019/7/12, 39, 20, 41, 3, 2, 6
2019/7/13, 37, 24, 40, 3, 1, 3
2019/7/14, 56, 23, 45, 5, 1, 3
2019/7/15, 75, 38, 61, 4, 1, 2
2019/7/16, 84, 23, 42, 2, 1, 
2019/7/17, 67, 36, 42, 3, , 2
2019/7/18, 88, 43, 51, 4, , 5
2019/7/19, 102, 52, 60, 4, , 6
2019/7/20, 120, 40, 36, 5, , 5
2019/7/21, 93, 19, 34, 3, 1, 4
2019/7/22, 58, 22, 35, 5, 1, 3
2019/7/23, 64, 16, 37, 3, , 3
2019/7/24, 71, 7, 21, 2, , 3
2019/7/25, 27, 13, 37, 3, , 3
2019/7/26, 23, 29, 42, 4, , 5
2019/7/27, 61, 51, 59, 3, 1, 5
2019/7/28, 120, 42, 45, 3, , 5
2019/7/29, 84, 30, 51, 3, 1, 4
2019/7/30, 66, 20, 46, 3, , 4
2019/7/31, 46, 19, 35, 3, , 3
2019/8/1, 48, 22, 41, 4, 1, 3
2019/8/2, 60, 41, 55, 3, , 5
2019/8/3, 93, 20, 33, 2, 1, 3
2019/8/4, 61, 34, 46, 4, , 5
2019/8/5, 75, 38, 34, 3, 1, 4
2019/8/6, 93, 28, 32, 2, 1, 4
2019/8/7, 68, 18, 24, 2, , 3
2019/8/8, 53, 10, 29, 2, , 3
2019/8/9, 42, 14, 21, 3, , 3
2019/8/10, 51, 19, 16, 3, 1, 3
2019/8/11, 51, 19, 29, 3, , 2
2019/8/12, 59, 17, 20, 3, , 2
2019/8/13, 39, 22, 34, 3, 1, 2
2019/8/14, 57, 21, 36, 3, 1, 2
2019/8/15, 54, 11, 14, 2, , 2
2019/8/16, 39, 6, 15, 1, , 3
2019/8/17, 30, 14, 22, 2, 1, 4
2019/8/18, 49, 20, 30, 4, 1, 4
