date, pm25, pm10, o3, so2, co
2020/1/1, 18, 20, 22, 1, 2
2020/1/2, 30, 12, 21, , 1
2020/1/3, 47, 19, 26, , 1
2020/1/4, 37, 46, 27, , 1
2020/1/5, 21, 27, 18, 1, 2
2020/1/6, 29, 37, 21, , 2
2020/1/7, 27, 55, 23, , 1
2020/1/8, 16, 49, 26, 1, 2
2020/1/9, 27, 23, 13, 1, 2
2020/1/10, 62, 7, 25, , 1
2020/1/11, 30, 7, 24, 1, 1
2020/1/12, 27, 18, 17, 1, 2
2020/1/13, 49, 27, 16, , 2
2020/1/14, 58, 16, 19, , 2
2020/1/15, 57, , , , 1
2020/1/16, 33, , , , 
2019/10/1, 34, 23, 14, 1, 1
2019/10/2, 16, 18, 15, , 1
2019/10/3, 9, 16, 18, , 1
2019/10/4, 13, 25, 17, 1, 2
2019/10/5, 19, 24, 20, 1, 1
2019/10/6, 24, 37, 25, 1, 2
2019/10/7, 24, 42, 27, 1, 2
2019/10/8, 21, 50, 36, 1, 2
2019/10/9, 25, 37, 20, , 2
2019/10/10, 33, 86, 25, , 1
2019/10/11, 13, 30, 31, 2, 1
2019/10/12, 22, 35, 24, 1, 1
2019/10/13, 23, 29, 22, 1, 2
2019/10/14, 26, 63, 26, 1, 1
2019/10/15, 34, 33, 18, , 1
2019/10/16, 19, 35, 22, 1, 2
2019/10/17, 34, 101, 29, 1, 1
2019/10/18, 29, 45, 25, , 2
2019/10/19, 41, 13, 24, , 1
2019/10/20, 35, 26, 23, , 1
2019/10/21, 30, 80, 24, , 1
2019/10/22, 15, 33, 21, , 2
2019/10/23, 24, 13, 22, , 1
2019/10/24, 20, 29, 22, , 2
2019/10/25, 32, 22, 10, , 3
2019/10/26, 64, 37, 25, , 2
2019/10/27, 61, 14, 16, , 1
2019/10/28, 24, 10, 23, , 2
2019/10/29, 29, 20, 17, , 1
2019/10/30, 30, 9, 20, , 1
2019/10/31, 40, 18, 17, 1, 1
2019/11/1, 30, 31, 20, , 1
2019/11/2, 30, 12, 22, , 2
2019/11/3, 24, 35, 19, , 1
2019/11/4, 37, 34, 21, , 1
2019/11/5, 35, 25, 24, , 1
2019/11/6, 37, 14, 24, , 1
2019/11/7, 21, 38, 22, , 2
2019/11/8, 34, 52, 21, 1, 2
2019/11/9, 50, 20, 15, , 2
2019/11/10, 56, 10, 25, , 1
2019/11/11, 19, 13, 25, , 1
2019/11/12, 16, 25, 22, , 1
2019/11/13, 31, 26, 18, , 2
2019/11/14, 59, 51, 18, , 3
2019/11/15, 76, 36, 17, , 2
2019/11/16, 83, 24, 12, , 2
2019/11/17, 75, 25, 15, , 1
2019/11/18, 43, 21, 7, , 2
2019/11/19, 53, 56, 18, , 3
2019/11/20, 50, 31, 21, , 1
2019/11/21, 26, 18, 16, , 2
2019/11/22, 43, 33, 18, , 2
2019/11/23, 49, 23, 17, 1, 2
2019/11/24, 39, 32, 19, 1, 2
2019/11/25, 37, 20, 13, , 2
2019/11/26, 39, 42, 20, , 1
2019/11/27, 19, 4, 19, , 1
2019/11/28, 20, 11, 12, , 2
2019/11/29, 50, 6, 9, , 2
2019/11/30, 30, 22, 23, , 1
2019/12/1, 15, 15, 26, , 1
2019/12/2, 22, 51, 21, , 1
2019/12/3, 27, 72, 22, , 1
2019/12/4, 18, 38, 19, , 3
2019/12/5, 43, 15, 24, , 2
2019/12/6, 43, 19, 20, , 2
2019/12/7, 53, 27, 17, , 2
2019/12/8, 70, 47, 22, , 1
2019/12/9, 48, 57, 25, , 1
2019/12/10, 30, 19, 19, , 2
2019/12/11, 62, 27, 21, , 2
2019/12/12, 44, 36, 7, , 3
2019/12/13, 80, 27, 16, , 1
2019/12/14, 63, 19, 14, , 2
2019/12/15, 41, 19, 20, , 2
2019/12/16, 43, 39, 19, , 1
2019/12/17, 48, 26, 21, 1, 2
2019/12/18, 44, 39, 19, 1, 2
2019/12/19, 62, 33, 20, , 3
2019/12/20, 62, 18, 21, , 2
2019/12/21, 57, 19, 26, , 2
2019/12/22, 52, 30, 17, 1, 3
2019/12/23, 62, 17, 24, , 2
2019/12/24, 51, 19, 24, , 2
2019/12/25, 27, 26, 18, , 2
2019/12/26, 47, 45, 15, , 2
2019/12/27, 65, 15, 7, , 2
2019/12/28, 62, , , , 
2019/7/17, 27, 38, 32, 1, 1
2019/7/18, 29, 34, 31, , 1
2019/7/19, 36, 24, 33, , 1
2019/7/20, 28, 14, 27, , 1
2019/7/21, 20, 24, 25, , 1
2019/7/22, 24, 24, 30, , 1
2019/7/23, 44, 37, 33, 1, 2
2019/7/24, 59, 53, 38, 1, 2
2019/7/25, 58, 37, 37, 1, 2
2019/7/26, 52, 30, 37, 1, 2
2019/7/27, 52, 30, 38, 1, 2
2019/7/28, 55, 39, 32, , 1
2019/7/29, 35, 24, 30, , 1
2019/7/30, 23, 49, 40, 1, 2
2019/7/31, 25, 42, 40, 1, 2
2019/8/1, 24, 45, 51, 1, 2
2019/8/2, 29, 31, 65, 1, 2
2019/8/3, 42, 29, 45, 1, 2
2019/8/4, 43, 46, 43, 1, 2
2019/8/5, 46, 16, 40, , 1
2019/8/6, 24, 31, 40, 1, 2
2019/8/7, 35, 33, 29, 1, 1
2019/8/8, 30, 29, 32, , 2
2019/8/9, 28, 32, 39, 1, 2
2019/8/10, 30, 23, 32, , 2
2019/8/11, 32, 28, 15, , 2
2019/8/12, 35, 14, 32, 1, 1
