date, pm25
2020/1/2, 29
2020/1/3, 32
2020/1/4, 52
2020/1/5, 29
2020/1/6, 29
2020/1/7, 41
2020/1/8, 28
2020/1/9, 26
2020/1/10, 33
2020/1/11, 14
2020/1/12, 15
2020/1/13, 35
2020/1/14, 56
2020/1/15, 50
2020/1/16, 40
2019/10/1, 56
2019/10/2, 49
2019/10/3, 35
2019/10/4, 12
2019/10/5, 27
2019/10/6, 44
2019/10/7, 24
2019/10/8, 28
2019/10/9, 23
2019/10/10, 32
2019/10/11, 44
2019/10/12, 14
2019/10/13, 26
2019/10/14, 33
2019/10/15, 31
2019/10/16, 18
2019/10/17, 21
2019/10/18, 25
2019/10/19, 26
2019/10/20, 41
2019/10/21, 24
2019/10/22, 12
2019/10/23, 12
2019/10/24, 29
2019/10/25, 42
2019/10/26, 41
2019/10/27, 23
2019/10/28, 43
2019/10/29, 53
2019/10/30, 57
2019/10/31, 22
2019/11/1, 17
2019/11/5, 37
2019/11/6, 48
2019/11/7, 44
2019/11/8, 31
2019/11/9, 46
2019/11/10, 45
2019/11/11, 52
2019/11/12, 29
2019/11/13, 47
2019/11/14, 54
2019/11/15, 70
2019/11/16, 64
2019/11/17, 57
2019/11/18, 83
2019/12/4, 25
2019/12/5, 37
2019/12/6, 53
2019/12/7, 39
2019/12/8, 48
2019/12/9, 33
2019/12/10, 25
2019/12/11, 37
2019/12/12, 51
2019/12/13, 43
2019/12/14, 58
2019/12/15, 60
2019/12/16, 63
2019/12/17, 58
2019/12/18, 61
2019/12/19, 57
2019/12/20, 70
2019/12/21, 71
2019/12/22, 76
2019/12/23, 68
2019/12/24, 82
2019/12/25, 66
2019/12/26, 33
2019/12/27, 48
2019/12/28, 59
2019/7/1, 32
2019/7/2, 50
2019/7/3, 38
2019/7/4, 60
2019/7/5, 63
2019/7/6, 50
2019/7/7, 47
2019/7/8, 43
2019/7/9, 27
2019/7/10, 55
2019/7/11, 22
2019/7/12, 30
2019/7/13, 38
2019/7/14, 32
2019/7/15, 31
2019/7/16, 32
2019/7/17, 19
2019/7/18, 26
2019/7/19, 55
2019/7/20, 48
2019/7/21, 46
2019/7/22, 21
2019/7/23, 22
2019/7/24, 24
2019/7/25, 34
2019/7/26, 49
2019/7/27, 56
2019/7/28, 56
2019/7/29, 55
2019/7/30, 35
2019/7/31, 24
2019/8/1, 29
2019/8/2, 33
2019/8/3, 31
2019/8/4, 48
2019/8/5, 44
2019/8/6, 49
2019/8/7, 43
2019/8/8, 30
2019/8/9, 26
2019/8/10, 24
2019/8/11, 32
2019/8/12, 45
2019/8/13, 40
2019/8/14, 48
2019/8/15, 28
2019/8/16, 39
2019/8/17, 41
2019/8/18, 55
2019/8/19, 36
2019/8/20, 41
2019/8/21, 31
2019/8/22, 26
2019/8/23, 15
2019/8/26, 14
2019/8/27, 30
2019/8/28, 17
2019/8/29, 24
2019/8/30, 38
2019/9/3, 44
2019/9/4, 34
2019/9/5, 19
2019/9/6, 29
2019/9/7, 26
2019/9/8, 32
2019/9/9, 40
2019/9/10, 45
2019/9/11, 49
2019/9/12, 59
2019/9/13, 54
2019/9/14, 12
2019/9/15, 31
2019/9/16, 50
2019/9/17, 35
2019/9/18, 26
2019/9/19, 35
2019/9/20, 57
2019/9/21, 56
2019/9/22, 42
2019/9/23, 21
2019/9/24, 25
2019/9/25, 32
2019/9/26, 25
2019/9/27, 29
2019/9/28, 36
2019/9/29, 29
2019/9/30, 50
2019/4/1, 21
2019/4/2, 26
2019/4/3, 27
2019/4/4, 33
2019/4/5, 43
2019/4/6, 59
2019/4/7, 43
2019/4/8, 27
2019/4/9, 23
2019/4/10, 18
2019/4/11, 24
2019/4/12, 19
2019/4/13, 24
2019/4/14, 23
2019/4/15, 25
2019/4/16, 26
2019/4/17, 49
