date, pm25, o3
2020/1/2, 36, 
2020/1/3, 50, 
2020/1/4, 34, 
2020/1/5, 34, 
2020/1/6, 29, 
2020/1/7, 34, 
2020/1/8, 28, 
2020/1/9, 38, 
2020/1/10, 33, 
2020/1/11, 17, 
2020/1/12, 29, 
2020/1/13, 35, 
2020/1/14, 50, 
2020/1/15, 43, 
2020/1/16, 63, 
2019/10/1, 49, 28
2019/10/2, 48, 21
2019/10/3, 22, 25
2019/10/4, 17, 28
2019/10/5, 28, 29
2019/10/6, 25, 25
2019/10/7, 19, 32
2019/10/8, 30, 37
2019/10/9, 25, 22
2019/10/10, 48, 23
2019/10/11, 27, 30
2019/10/12, 30, 31
2019/10/13, 24, 27
2019/10/14, 25, 26
2019/10/15, 46, 19
2019/10/16, 23, 25
2019/10/17, 27, 30
2019/10/18, 34, 33
2019/10/19, 36, 24
2019/10/20, 45, 28
2019/10/21, 32, 25
2019/10/22, 17, 31
2019/10/23, 26, 21
2019/10/24, 24, 17
2019/10/25, 29, 15
2019/10/26, 39, 26
2019/10/27, 49, 17
2019/10/28, 44, 16
2019/10/29, 27, 14
2019/10/30, 20, 19
2019/10/31, 28, 22
2019/11/1, 29, 22
2019/11/2, 31, 24
2019/11/3, 25, 20
2019/11/4, 35, 23
2019/11/5, 39, 15
2019/11/6, 51, 
2019/11/7, 32, 
2019/11/8, 27, 
2019/11/9, 39, 
2019/11/10, 54, 
2019/11/11, 27, 
2019/11/12, 23, 
2019/11/13, 44, 
2019/11/14, 48, 
2019/11/15, 64, 
2019/11/16, 79, 
2019/11/17, 75, 
2019/11/18, 40, 
2019/11/19, 47, 
2019/11/20, 53, 
2019/11/21, 45, 
2019/11/22, 25, 
2019/11/23, 37, 
2019/11/24, 39, 
2019/11/25, 37, 
2019/11/26, 45, 
2019/11/27, 28, 
2019/11/28, 36, 
2019/11/29, 32, 
2019/11/30, 29, 
2019/12/1, 19, 
2019/12/2, 21, 
2019/12/3, 30, 
2019/12/4, 34, 
2019/12/5, 45, 
2019/12/6, 37, 
2019/12/7, 40, 
