date, pm25, o3
2020/1/2, 28, 
2020/1/3, 19, 
2020/1/4, 20, 
2020/1/5, 14, 
2020/1/6, 12, 
2020/1/7, 8, 
2020/1/8, 12, 
2020/1/9, 21, 
2020/1/10, 16, 
2020/1/11, 15, 
2020/1/12, 10, 
2020/1/13, 35, 
2020/1/14, 29, 
2020/1/15, 19, 
2020/1/16, 7, 
2019/10/1, 11, 14
2019/10/2, 9, 12
2019/10/3, 12, 18
2019/10/4, 15, 13
2019/10/5, 11, 19
2019/10/6, 15, 24
2019/10/7, 16, 32
2019/10/8, 15, 29
2019/10/9, 23, 12
2019/10/10, 11, 25
2019/10/11, 11, 24
2019/10/12, 11, 20
2019/10/13, 10, 23
2019/10/14, 12, 22
2019/10/15, 11, 15
2019/10/16, 10, 26
2019/10/17, 22, 30
2019/10/18, 25, 24
2019/10/19, 14, 25
2019/10/20, 20, 25
2019/10/21, 13, 21
2019/10/25, 20, 24
2019/10/26, 17, 19
2019/10/27, 8, 23
2019/10/28, 14, 21
2019/10/29, 12, 22
2019/10/30, 15, 24
2019/10/31, 17, 22
2019/11/1, 21, 22
2019/11/2, 14, 19
2019/11/3, 16, 13
2019/11/4, 17, 
2019/11/5, 13, 
2019/11/6, 17, 
2019/11/7, 16, 
2019/11/8, 30, 
2019/11/9, 43, 
2019/11/10, 14, 
2019/11/11, 9, 
2019/11/12, 12, 
2019/11/13, 25, 
2019/11/14, 30, 
2019/11/15, 17, 
2019/11/16, 27, 
2019/11/17, 17, 
2019/11/18, 27, 
2019/11/19, 21, 
2019/11/20, 21, 
2019/11/21, 7, 
2019/11/22, 13, 
2019/11/23, 20, 
2019/11/24, 16, 
2019/11/25, 20, 
2019/11/26, 23, 
2019/11/27, 8, 
2019/11/28, 14, 
2019/11/29, 24, 
2019/11/30, 11, 
2019/12/1, 9, 
2019/12/2, 18, 
2019/12/3, 20, 
2019/12/4, 17, 
2019/12/5, 32, 
2019/12/6, 16, 
2019/12/7, 31, 
2019/12/8, 33, 
2019/12/9, 33, 
2019/12/10, 34, 
2019/12/11, 38, 
2019/12/12, 28, 
2019/12/13, 46, 
2019/12/14, 17, 
2019/12/15, 18, 
2019/12/16, 44, 
2019/12/17, 27, 
2019/12/18, 24, 
2019/12/19, 41, 
2019/12/20, 66, 
2019/12/21, 47, 
2019/12/22, 28, 
2019/12/23, 22, 
2019/12/24, 27, 
2019/12/25, 23, 
2019/12/26, 27, 
2019/12/27, 35, 
2019/12/28, 45, 
2019/7/1, 14, 39
2019/7/2, 18, 38
2019/7/3, 20, 29
2019/7/4, 21, 22
2019/7/5, 20, 25
2019/7/6, 20, 36
2019/7/10, 20, 25
2019/7/11, 27, 26
2019/7/12, 29, 28
2019/7/13, 19, 31
2019/7/14, 25, 30
2019/7/15, 23, 36
2019/7/16, 16, 38
2019/7/17, 18, 34
2019/7/18, 14, 23
2019/7/19, 20, 28
2019/7/20, 17, 24
2019/7/21, 13, 27
2019/7/22, 14, 30
2019/7/23, 18, 35
2019/7/24, 23, 28
2019/7/25, 32, 27
2019/7/26, 29, 24
2019/7/27, 20, 14
2019/7/28, 17, 16
2019/7/29, 13, 17
2019/7/30, 11, 29
2019/7/31, 17, 32
2019/8/1, 19, 30
2019/8/2, 19, 36
2019/8/3, 24, 34
2019/8/4, 28, 35
2019/8/5, 26, 29
2019/8/6, 23, 21
2019/8/7, 20, 22
2019/8/8, 15, 26
2019/8/9, 15, 30
2019/8/10, 18, 20
2019/8/11, 16, 16
2019/8/12, 15, 16
2019/8/13, 18, 19
2019/8/14, 13, 22
2019/8/15, 13, 33
2019/8/16, 19, 29
2019/8/17, 20, 24
2019/8/18, 12, 24
2019/8/19, 17, 27
2019/8/20, 18, 22
2019/8/21, 13, 23
2019/8/22, 10, 29
2019/8/23, 22, 34
2019/8/24, 22, 23
2019/8/25, 21, 22
2019/8/26, 16, 19
2019/8/27, 12, 23
2019/8/28, 13, 23
2019/8/29, 12, 24
2019/8/30, 16, 23
2019/8/31, 17, 21
2019/9/1, 14, 22
2019/9/2, 13, 17
2019/9/3, 13, 22
2019/9/4, 12, 20
2019/9/5, 20, 21
2019/9/6, 18, 14
2019/9/7, 11, 15
2019/9/8, 11, 12
2019/9/9, 14, 12
2019/9/10, 9, 11
2019/9/11, 14, 13
2019/9/12, 9, 17
2019/9/13, 18, 17
2019/9/14, 13, 26
2019/9/15, 18, 30
2019/9/16, 36, 38
2019/9/17, 51, 32
2019/9/18, 35, 30
2019/9/19, 26, 30
2019/9/20, 36, 30
2019/9/21, 19, 23
2019/9/22, 10, 28
2019/9/23, 13, 25
2019/9/24, 12, 26
2019/9/25, 14, 23
2019/9/26, 12, 21
2019/9/27, 13, 21
2019/9/28, 10, 18
2019/9/29, 9, 10
2019/9/30, 11, 16
2019/4/1, 24, 34
2019/4/2, 17, 36
2019/4/3, 17, 35
2019/4/4, 18, 26
2019/4/5, 46, 23
2019/4/6, 48, 23
2019/4/7, 31, 35
2019/4/8, 20, 26
2019/4/9, 18, 33
2019/4/10, 14, 34
2019/4/11, 12, 30
2019/4/12, 9, 42
2019/4/13, 16, 40
2019/4/14, 23, 37
2019/4/15, 25, 40
2019/4/16, 27, 37
2019/4/17, 13, 31
2019/4/18, 14, 37
2019/4/19, 19, 29
2019/4/20, 15, 35
2019/4/21, 12, 35
2019/4/22, 14, 42
2019/4/23, 22, 43
2019/4/24, 21, 42
2019/4/25, 25, 38
2019/4/26, 20, 35
2019/4/27, 18, 35
2019/4/28, 17, 29
2019/4/29, 12, 29
2019/4/30, 12, 25
2019/5/1, 16, 34
2019/5/2, 14, 26
2019/5/3, 23, 33
2019/5/4, 17, 32
2019/5/5, 14, 33
2019/5/6, 19, 37
2019/5/7, 16, 34
2019/5/8, 17, 33
2019/5/9, 13, 39
2019/5/10, 25, 42
2019/5/11, 21, 31
2019/5/12, 17, 36
2019/5/13, 16, 41
2019/5/14, 31, 43
2019/5/15, 20, 32
2019/5/16, 27, 33
2019/5/17, 17, 31
2019/5/18, 12, 26
2019/5/19, 8, 31
2019/5/20, 16, 32
2019/5/21, 14, 31
2019/5/22, 9, 23
2019/5/23, 12, 28
2019/5/24, 13, 24
2019/5/25, 10, 32
2019/5/26, 25, 27
2019/5/27, 20, 40
2019/5/28, 16, 50
2019/5/29, 54, 63
2019/5/30, 63, 35
2019/5/31, 54, 39
2019/6/1, 22, 38
2019/6/2, 24, 51
2019/6/3, 39, 46
2019/6/4, 37, 43
2019/6/5, 24, 56
2019/6/6, 25, 50
2019/6/7, 33, 45
2019/6/8, 40, 32
2019/6/9, 19, 36
2019/6/10, 17, 34
2019/6/11, 19, 34
2019/6/12, 10, 40
2019/6/13, 16, 43
2019/6/14, 21, 26
2019/6/15, 16, 26
2019/6/16, 12, 21
2019/6/17, 12, 26
2019/6/18, 15, 27
2019/6/19, 13, 24
2019/6/20, 18, 29
2019/6/21, 22, 27
2019/6/22, 30, 34
2019/6/23, 20, 33
2019/6/24, 18, 33
2019/6/25, 17, 41
2019/6/26, 17, 33
2019/6/27, 19, 36
2019/6/28, 15, 33
2019/6/29, 28, 35
2019/6/30, 26, 33
2019/1/1, 19, 
2019/1/2, 16, 
2019/1/3, 17, 
2019/1/4, 20, 
2019/1/5, 21, 
2019/1/6, 17, 
2019/1/7, 31, 
2019/1/8, 18, 
2019/1/9, 14, 
2019/1/10, 21, 
2019/1/11, 52, 
2019/1/12, 51, 
2019/1/13, 54, 
2019/1/14, 32, 
2019/1/15, 30, 
2019/1/16, 17, 
2019/1/17, 23, 
2019/1/18, 13, 
2019/1/19, 21, 
2019/1/20, 20, 
2019/1/21, 19, 
2019/1/22, 35, 
2019/1/23, 45, 
2019/1/24, 15, 
2019/1/25, 22, 
2019/1/26, 27, 
2019/1/27, 27, 
2019/1/28, 13, 
2019/1/29, 16, 
2019/1/30, 15, 
2019/1/31, 27, 
2019/2/1, 52, 
2019/2/2, 83, 
2019/2/3, 47, 
2019/2/4, 14, 
2019/2/5, 12, 
2019/2/6, 11, 
2019/2/7, 12, 
2019/2/8, 13, 
2019/2/9, 22, 
2019/2/10, 16, 
2019/2/11, 30, 
2019/2/12, 15, 
2019/2/13, 25, 
2019/2/14, 30, 
2019/2/15, 13, 
2019/2/16, 23, 
2019/2/17, 17, 
2019/2/18, 19, 
2019/2/19, 34, 
2019/2/20, 35, 
2019/2/21, 45, 
2019/2/22, 65, 
2019/2/23, 65, 
2019/2/24, 26, 27
2019/2/25, 11, 29
2019/2/26, 33, 31
2019/2/27, 29, 40
2019/2/28, 23, 41
2019/3/1, 35, 28
2019/3/2, 19, 29
2019/3/3, 22, 33
2019/3/4, 22, 36
2019/3/5, 21, 38
2019/3/6, 36, 37
2019/3/7, 26, 46
2019/3/8, 57, 42
2019/3/9, 76, 44
2019/3/10, 37, 48
2019/3/11, 44, 45
2019/3/12, 55, 32
2019/3/13, 34, 38
2019/3/14, 15, 37
2019/3/15, 17, 38
2019/3/16, 30, 47
2019/3/17, 49, 46
2019/3/18, 44, 46
2019/3/19, 38, 43
2019/3/20, 32, 49
2019/3/21, 39, 37
2019/3/22, 20, 43
2019/3/23, 29, 33
2019/3/24, 30, 39
2019/3/25, 17, 37
2019/3/26, 26, 28
2019/3/27, 45, 31
2019/3/28, 19, 35
2019/3/29, 17, 35
2019/3/30, 13, 33
2019/3/31, 21, 36
2018/10/1, 10, 18
2018/10/2, 16, 19
2018/10/3, 10, 17
2018/10/4, 12, 15
2018/10/5, 12, 18
2018/10/6, 12, 16
2018/10/7, 13, 14
2018/10/8, 12, 21
2018/10/9, 8, 19
2018/10/10, 10, 25
2018/10/11, 11, 27
2018/10/12, 17, 22
2018/10/13, 13, 21
2018/10/14, 12, 26
2018/10/15, 9, 21
2018/10/16, 11, 25
2018/10/17, 15, 29
2018/10/18, 16, 28
2018/10/19, 22, 26
2018/10/20, 11, 24
2018/10/21, 17, 23
2018/10/22, 18, 20
2018/10/23, 21, 22
2018/10/24, 22, 22
2018/10/25, 25, 14
2018/10/26, 21, 18
2018/10/27, 18, 23
2018/10/28, 20, 18
2018/10/29, 15, 25
2018/10/30, 23, 18
2018/10/31, 13, 22
2018/11/1, 22, 23
2018/11/2, 21, 22
2018/11/3, 17, 26
2018/11/4, 14, 22
2018/11/5, 13, 10
2018/11/6, 16, 
2018/11/7, 10, 
2018/11/8, 16, 
2018/11/9, 21, 
2018/11/10, 13, 
2018/11/11, 25, 
2018/11/12, 12, 
2018/11/13, 17, 
2018/11/14, 19, 
2018/11/15, 28, 
2018/11/16, 17, 
2018/11/21, 17, 
2018/11/22, 52, 
2018/11/23, 40, 
2018/11/24, 29, 
2018/11/25, 16, 
2018/11/26, 13, 
2018/11/27, 19, 
2018/11/28, 22, 
2018/11/29, 41, 
2018/11/30, 24, 
2018/12/1, 19, 
2018/12/2, 18, 
2018/12/3, 12, 
2018/12/4, 20, 
2018/12/5, 25, 
2018/12/6, 18, 
2018/12/7, 27, 
2018/12/8, 37, 
2018/12/9, 60, 
2018/12/10, 31, 
2018/12/11, 46, 
2018/12/12, 77, 
2018/12/13, 49, 
2018/12/14, 13, 
2018/12/15, 18, 
2018/12/16, 15, 
