date, pm25, pm10, o3, no2, so2
2020/1/3, 61, 15, 28, 12, 
2020/1/4, 37, 13, 25, 9, 
2020/1/5, 32, 20, 14, 15, 
2020/1/6, 62, 25, 11, 16, 
2020/1/7, 72, 13, 10, 8, 
2020/1/8, 44, , , , 
2020/1/14, 40, 12, 31, 14, 
2020/1/15, 34, 12, 18, 10, 
2020/1/16, 37, , , , 
2019/10/1, 11, 9, 28, 12, 
2019/10/2, 10, 11, 28, 16, 
2019/10/3, 14, 11, 14, 17, 
2019/10/4, 15, 12, 21, 16, 
2019/10/5, 21, 8, 22, 13, 
2019/10/6, 16, 11, 24, 17, 
2019/10/7, 17, 13, 21, 15, 
2019/10/8, 24, 11, 26, 13, 
2019/10/9, 17, 10, 26, 16, 
2019/10/10, 17, 11, 26, 21, 
2019/10/11, 22, 13, 26, 14, 
2019/10/12, 28, 15, 35, 11, 
2019/10/13, 26, 16, 35, 15, 
2019/10/14, 29, 16, 28, 15, 
2019/10/15, 27, 9, 25, 16, 
2019/10/16, 12, 11, 18, 17, 
2019/10/17, 16, 13, 25, 18, 
2019/10/18, 33, 12, 23, 14, 
2019/10/19, 28, 9, 27, 13, 
2019/10/20, 22, 9, 22, 16, 
2019/10/21, 24, 10, 14, 11, 
2019/10/22, 15, 16, 12, 14, 
2019/10/23, 34, 18, 29, 16, 
2019/10/24, 43, 11, 24, 20, 
2019/10/25, 20, 12, 14, 18, 
2019/10/26, 22, 16, 13, 19, 
2019/10/27, 49, 17, 12, 9, 
2019/10/28, 50, 7, 8, 10, 
2019/10/29, 34, 5, 7, 12, 
2019/10/30, 31, 4, 3, 15, 
2019/10/31, 38, 10, 18, 12, 
2019/11/1, 36, 7, 28, 10, 
2019/11/2, 11, 5, 26, 9, 
2019/11/3, 4, 7, 26, 9, 
2019/11/4, 9, 9, 22, 14, 
2019/11/5, 16, 10, 19, 12, 
2019/11/6, 22, 11, 22, 12, 
2019/11/7, 27, 14, 15, 12, 
2019/11/8, 36, 13, 21, 11, 
2019/11/9, 29, 15, 20, 12, 
2019/11/10, 43, 11, 21, 7, 
2019/11/11, 37, 11, 23, 12, 
2019/11/12, 26, 13, 12, 15, 
2019/11/13, 28, , , , 
2019/11/15, 21, 14, 12, 12, 
2019/11/16, 48, 14, 17, 9, 
2019/11/17, 52, 14, 21, 12, 
2019/11/18, 44, 15, 23, 10, 
2019/11/19, 50, 15, 15, 13, 
2019/11/20, 35, , , , 
2019/11/22, 28, 17, 9, 13, 
2019/11/23, 50, 16, 14, 10, 
2019/11/24, 46, 14, 11, 12, 
2019/11/25, 35, 20, 7, 16, 
2019/11/26, 62, 8, 24, 8, 
2019/11/27, 22, 7, 26, 8, 
2019/11/28, 12, 9, 23, 11, 
2019/11/29, 17, 12, 20, 7, 
2019/11/30, 23, 11, 15, 9, 
2019/12/1, 42, 10, 22, 6, 
2019/12/2, 28, 13, 20, 10, 
2019/12/3, 42, 26, 13, 18, 
2019/12/4, 84, 19, 3, 17, 
2019/12/5, 79, 21, 2, 18, 
2019/12/6, 78, 12, 17, 11, 
2019/12/7, 39, 10, 24, 5, 
2019/12/8, 27, 9, 29, 6, 
2019/12/9, 15, 23, 23, 16, 
2019/12/10, 41, 18, 12, 17, 
2019/12/11, 54, 8, 28, 11, 
2019/12/12, 18, 9, 32, 8, 
2019/12/13, 19, 9, 35, 6, 
2019/12/14, 19, 9, 26, 10, 
2019/12/15, 27, 13, 27, 13, 
2019/12/16, 34, 20, 26, 15, 
2019/12/17, 36, 17, 20, 16, 
2019/12/18, 40, 21, 26, 16, 
2019/12/19, 41, 8, 30, 8, 
2019/12/20, 14, 8, 24, 11, 
2019/12/21, 24, 8, 31, 5, 
2019/12/22, 12, 10, 29, 7, 
2019/12/23, 16, 10, 27, 7, 
2019/12/24, 22, 12, 27, 8, 
2019/12/25, 25, 12, 15, 12, 
2019/12/26, 38, 8, 26, 8, 
2019/12/27, 21, 8, 16, 4, 
2019/12/28, 23, , , , 
2019/7/13, 30, , 34, 2, 
2019/7/14, 29, 15, 39, 2, 
2019/7/16, 27, 21, 47, 6, 
2019/7/17, 27, 23, 48, 7, 
2019/7/18, 24, 22, 34, 5, 
2019/7/19, 22, 17, 48, 7, 
2019/7/20, 16, 17, 33, 3, 
2019/7/21, 17, 14, 43, 5, 
2019/7/22, 13, 19, 62, 8, 
2019/7/23, 22, 24, 66, 12, 
