date, pm25, o3
2020/1/2, 40, 12
2020/1/3, 41, 15
2020/1/4, 21, 13
2020/1/5, 19, 14
2020/1/6, 6, 16
2020/1/7, 14, 
2020/1/9, 39, 17
2020/1/10, 48, 14
2020/1/11, 33, 12
2020/1/12, 31, 11
2020/1/13, 33, 13
2020/1/14, 26, 11
2020/1/15, 27, 
2019/10/1, 50, 19
2019/10/2, 48, 20
2019/10/3, 49, 19
2019/10/4, 38, 17
2019/10/5, 35, 16
2019/10/6, 31, 16
2019/10/7, 30, 16
2019/10/8, 42, 16
2019/10/9, 41, 18
2019/10/10, 31, 20
2019/10/11, 41, 16
2019/10/12, 49, 17
2019/10/13, 36, 13
2019/10/14, 33, 10
2019/10/15, 32, 10
2019/10/16, 16, 16
2019/10/17, 27, 14
2019/10/18, 33, 12
2019/10/19, 16, 12
2019/10/20, 24, 12
2019/10/21, 29, 14
2019/10/22, 18, 15
2019/10/23, 24, 19
2019/10/24, 67, 11
2019/10/25, 38, 10
2019/10/26, 23, 13
2019/10/27, 27, 16
2019/10/28, 38, 4
2019/10/29, 36, 7
2019/10/30, 24, 8
2019/10/31, 15, 11
2019/11/1, 21, 15
2019/11/2, 34, 16
2019/11/3, 31, 16
2019/11/4, 47, 13
2019/11/5, 53, 17
2019/11/6, 49, 10
2019/11/7, 50, 11
2019/11/8, 24, 14
2019/11/9, 32, 15
2019/11/10, 35, 16
2019/11/11, 47, 11
2019/11/12, 26, 14
2019/11/13, 26, 11
2019/11/14, 33, 11
2019/11/15, 18, 15
2019/11/16, 41, 14
2019/11/17, 33, 16
2019/11/18, 35, 17
2019/11/19, 48, 16
2019/11/20, 42, 20
2019/11/21, 69, 17
2019/11/22, 52, 16
2019/11/23, 28, 10
2019/11/24, 18, 14
2019/11/25, 30, 14
2019/11/26, 43, 13
2019/11/27, 35, 14
2019/11/28, 28, 16
2019/11/29, 34, 16
2019/11/30, 39, 15
2019/12/1, 20, 12
2019/12/2, 18, 12
2019/12/3, 24, 10
2019/12/4, 58, 17
2019/12/5, 43, 16
2019/12/6, 47, 15
2019/12/7, 55, 14
2019/12/8, 47, 16
2019/12/9, 31, 12
2019/12/10, 24, 14
2019/12/11, 15, 12
2019/12/12, 25, 8
2019/12/13, 27, 13
2019/12/14, 33, 16
2019/12/15, 44, 15
2019/12/16, 33, 11
2019/12/17, 23, 15
2019/12/18, 24, 15
2019/12/19, 29, 16
2019/12/20, 40, 14
2019/12/21, 34, 10
2019/12/22, 12, 9
2019/12/23, 14, 13
2019/12/24, 20, 14
2019/12/25, 25, 13
2019/12/26, 44, 13
2019/12/27, 41, 10
2019/12/28, 34, 
2019/7/1, 47, 15
2019/7/2, 52, 14
2019/7/3, 51, 14
2019/7/4, 48, 17
2019/7/5, 47, 14
2019/7/6, 48, 17
2019/7/7, 39, 15
2019/7/8, 37, 16
2019/7/9, 31, 15
2019/7/10, 32, 10
2019/7/11, 25, 11
2019/7/12, 27, 9
2019/7/13, 59, 11
2019/7/14, 52, 10
2019/7/15, 51, 11
2019/7/16, 60, 10
2019/7/17, 53, 12
2019/7/18, 53, 10
2019/7/19, 41, 13
2019/7/20, 32, 13
2019/7/21, 26, 12
2019/7/22, 20, 11
2019/7/23, 17, 13
2019/7/24, 28, 20
2019/7/25, 46, 20
2019/7/26, 43, 20
2019/7/27, 42, 19
2019/7/28, 41, 21
2019/7/29, 46, 21
2019/7/30, 53, 17
2019/7/31, 50, 17
2019/8/1, 43, 15
2019/8/2, 22, 13
2019/8/3, 21, 15
2019/8/4, 25, 14
2019/8/5, 19, 16
2019/8/6, 29, 15
2019/8/7, 44, 14
2019/8/8, 39, 13
2019/8/9, 40, 12
2019/8/10, 40, 14
2019/8/11, 40, 13
2019/8/12, 43, 14
2019/8/13, 45, 14
2019/8/14, 39, 15
2019/8/15, 29, 19
2019/8/16, 45, 17
2019/8/17, 41, 12
2019/8/18, 31, 11
2019/8/19, 28, 9
2019/8/20, 34, 11
2019/8/21, 39, 11
2019/8/22, 29, 9
2019/8/23, 28, 11
2019/8/24, 29, 10
2019/8/25, 24, 10
2019/8/26, 24, 9
2019/8/27, 25, 15
2019/8/28, 34, 19
2019/8/29, 36, 20
2019/8/30, 40, 10
2019/8/31, 31, 7
2019/9/1, 28, 8
2019/9/2, 25, 13
2019/9/3, 26, 19
2019/9/4, 50, 20
2019/9/5, 57, 21
2019/9/6, 43, 21
2019/9/7, 54, 20
2019/9/8, 66, 20
2019/9/9, 56, 19
2019/9/10, 47, 16
2019/9/11, 54, 20
2019/9/12, 57, 17
2019/9/13, 40, 16
2019/9/14, 36, 14
2019/9/15, 39, 16
2019/9/16, 44, 23
2019/9/17, 48, 21
2019/9/18, 55, 19
2019/9/19, 33, 16
2019/9/20, 32, 15
2019/9/21, 31, 15
2019/9/22, 29, 16
2019/9/23, 32, 18
2019/9/24, 28, 19
2019/9/25, 13, 20
2019/9/30, 45, 20
2019/4/1, 28, 20
2019/4/2, 29, 23
2019/4/3, 53, 16
2019/4/4, 42, 14
2019/4/5, 27, 11
2019/4/6, 27, 12
2019/4/7, 32, 16
2019/4/8, 26, 18
2019/4/9, 22, 19
2019/4/10, 29, 18
2019/4/11, 33, 17
2019/4/12, 30, 14
2019/4/13, 36, 20
2019/4/14, 27, 19
2019/4/15, 20, 23
2019/4/16, 28, 23
2019/4/17, 45, 20
2019/4/18, 42, 17
2019/4/19, 20, 18
2019/4/20, 19, 20
2019/4/21, 23, 23
2019/4/22, 31, 24
2019/4/23, 37, 19
2019/4/24, 47, 20
2019/4/25, 36, 19
2019/4/26, 27, 24
2019/4/27, 35, 20
2019/4/28, 37, 21
2019/4/29, 44, 21
2019/4/30, 54, 12
2019/5/1, 39, 13
2019/5/2, 33, 12
2019/5/3, 29, 10
2019/5/4, 23, 16
2019/5/5, 22, 20
2019/5/6, 31, 24
2019/5/7, 47, 17
2019/5/8, 51, 15
2019/5/9, 34, 13
2019/5/10, 30, 12
2019/5/11, 31, 17
2019/5/12, 26, 16
2019/5/13, 30, 20
2019/5/14, 28, 23
2019/5/15, 34, 22
2019/5/16, 50, 23
2019/5/17, 52, 22
2019/5/18, 45, 23
2019/5/19, 45, 19
2019/5/20, 40, 17
2019/5/21, 32, 18
2019/5/22, 45, 19
2019/5/23, 38, 21
2019/5/24, 40, 19
2019/5/25, 53, 18
2019/5/26, 62, 17
2019/5/27, 52, 18
2019/5/28, 48, 19
2019/5/29, 54, 18
2019/5/30, 43, 17
2019/5/31, 43, 18
2019/6/1, 44, 24
2019/6/2, 56, 23
2019/6/3, 62, 26
2019/6/4, 65, 16
2019/6/5, 50, 7
2019/6/6, 23, 13
2019/6/7, 21, 18
2019/6/8, 24, 15
2019/6/9, 27, 14
2019/6/10, 30, 18
2019/6/11, 38, 21
2019/6/12, 40, 23
2019/6/13, 43, 23
2019/6/14, 38, 19
2019/6/15, 46, 16
2019/6/16, 26, 14
2019/6/17, 28, 8
2019/6/18, 23, 13
2019/6/19, 23, 10
2019/6/20, 53, 9
2019/6/21, 73, 9
2019/6/22, 73, 7
2019/6/23, 71, 9
2019/6/24, 72, 11
2019/6/25, 68, 15
2019/6/26, 62, 16
2019/6/27, 57, 19
2019/6/28, 48, 17
2019/6/29, 33, 14
2019/6/30, 31, 17
2019/1/1, 33, 10
2019/1/2, 23, 11
2019/1/3, 24, 15
2019/1/4, 21, 14
2019/1/5, 19, 13
2019/1/6, 25, 16
2019/1/7, 37, 15
2019/1/8, 27, 16
2019/1/9, 24, 16
2019/1/10, 24, 17
2019/1/11, 48, 15
2019/1/12, 38, 14
2019/1/13, 23, 8
2019/1/14, 27, 14
2019/1/15, 43, 13
2019/1/16, 45, 16
2019/1/17, 43, 13
2019/1/18, 33, 15
2019/1/19, 24, 7
2019/1/20, 7, 
2019/1/22, 29, 15
2019/1/23, 28, 12
2019/1/24, 23, 15
2019/1/25, 28, 16
2019/1/26, 30, 12
2019/1/27, 51, 20
2019/1/28, 41, 15
2019/1/29, 26, 16
2019/1/30, 24, 17
2019/1/31, 34, 14
2019/2/1, 42, 13
2019/2/2, 34, 12
2019/2/3, 31, 12
2019/2/4, 24, 12
2019/2/5, 31, 11
2019/2/6, 29, 18
2019/2/7, 44, 15
2019/2/8, 27, 18
2019/2/9, 36, 16
2019/2/10, 39, 12
2019/2/11, 40, 15
2019/2/12, 25, 17
2019/2/13, 18, 18
2019/2/14, 24, 17
2019/2/15, 23, 16
2019/2/16, 38, 13
2019/2/17, 32, 16
2019/2/18, 23, 15
2019/2/19, 30, 9
2019/2/20, 45, 9
2019/2/21, 42, 9
2019/2/22, 35, 10
2019/2/23, 35, 17
2019/2/24, 26, 19
2019/2/25, 34, 17
2019/2/26, 44, 12
2019/2/27, 24, 12
2019/2/28, 20, 10
2019/3/1, 21, 8
2019/3/2, 27, 10
2019/3/3, 32, 12
2019/3/4, 32, 17
2019/3/5, 26, 19
2019/3/6, 23, 22
2019/3/7, 46, 21
2019/3/8, 43, 17
2019/3/9, 30, 11
2019/3/10, 43, 9
2019/3/11, 25, 20
2019/3/12, 30, 18
2019/3/13, 34, 18
2019/3/19, 57, 25
2019/3/20, 75, 21
2019/3/21, 54, 20
2019/3/22, 48, 23
2019/3/23, 56, 26
2019/3/24, 61, 21
2019/3/25, 44, 17
2019/3/26, 34, 21
2019/3/27, 37, 22
2019/3/28, 39, 22
2019/3/29, 35, 20
2019/3/30, 28, 12
2019/3/31, 21, 18
2018/10/1, 30, 14
2018/10/2, 31, 14
2018/10/3, 32, 15
2018/10/4, 36, 15
2018/10/5, 36, 15
2018/10/6, 38, 12
2018/10/7, 35, 11
2018/10/8, 30, 
2018/10/24, 40, 14
2018/10/25, 32, 11
2018/10/26, 17, 13
2018/10/27, 22, 19
2018/10/28, 35, 18
2018/10/29, 44, 18
2018/10/30, 48, 22
2018/10/31, 47, 16
2018/11/1, 17, 9
2018/11/2, 15, 14
2018/11/3, 24, 14
2018/11/4, 36, 8
2018/11/5, 32, 8
2018/11/6, 22, 6
2018/11/7, 24, 10
2018/11/8, 27, 9
2018/11/9, 34, 12
2018/11/10, 31, 12
2018/11/11, 48, 10
2018/11/12, 40, 6
2018/11/13, 12, 3
2018/11/14, 13, 8
2018/11/15, 20, 14
2018/11/16, 32, 18
2018/11/17, 42, 17
2018/11/18, 47, 16
2018/11/19, 46, 13
2018/11/20, 44, 13
2018/11/21, 33, 12
2018/11/22, 46, 10
2018/11/23, 39, 9
2018/11/24, 20, 11
2018/11/25, 35, 8
2018/11/26, 21, 13
2018/11/27, 22, 14
2018/11/28, 33, 16
2018/11/29, 40, 17
2018/11/30, 38, 14
2018/12/1, 24, 11
2018/12/2, 31, 13
2018/12/3, 31, 12
2018/12/4, 24, 11
2018/12/5, 23, 13
2018/12/6, 32, 14
2018/12/7, 45, 11
2018/12/8, 49, 10
2018/12/9, 14, 8
2018/12/10, 18, 12
2018/12/11, 31, 13
2018/12/12, 40, 12
2018/12/13, 45, 15
2018/12/14, 21, 9
2018/12/15, 22, 9
2018/12/16, 22, 12
2018/12/17, 28, 14
2018/12/18, 27, 13
2018/12/19, 44, 12
2018/12/20, 21, 9
2018/12/21, 19, 13
2018/12/22, 25, 15
2018/12/23, 29, 13
2018/12/24, 34, 14
2018/12/25, 43, 15
2018/12/26, 35, 15
2018/12/27, 31, 13
2018/12/28, 33, 11
2018/12/29, 22, 9
2018/12/30, 26, 
2018/7/1, 24, 14
2018/7/2, 24, 12
2018/7/3, 30, 14
2018/7/4, 36, 14
2018/7/5, 27, 15
2018/7/6, 29, 14
2018/7/7, 21, 11
2018/7/8, 21, 10
2018/7/9, 23, 13
2018/7/10, 35, 21
2018/7/11, 39, 16
2018/7/12, 44, 14
2018/7/13, 39, 15
2018/7/14, 39, 15
2018/7/15, 33, 17
2018/7/16, 35, 17
