date, pm10, o3, no2, so2
2020/1/1, 25, 11, 13, 5
2020/1/2, 23, 22, 10, 3
2020/1/3, 15, 28, 3, 
2020/1/4, 7, 25, 6, 
2020/1/5, 11, 17, 10, 1
2020/1/6, 9, 10, 12, 1
2020/1/7, 17, 3, 17, 1
2020/1/8, 14, 3, 12, 1
2020/1/9, 11, 26, 6, 1
2020/1/10, 6, 27, 8, 
2020/1/11, 7, 15, 10, 1
2020/1/12, 16, 21, 10, 2
2020/1/13, 12, 11, 11, 2
2020/1/14, 15, 8, 11, 2
2020/1/15, 21, , , 
2019/10/1, 5, 21, 4, 
2019/10/2, 4, 18, 3, 
2019/10/3, 5, 16, 7, 
2019/10/4, 7, 15, 5, 
2019/10/5, 6, 21, 4, 
2019/10/6, 8, 22, 11, 
2019/10/7, 11, 11, 9, 
2019/10/8, 10, 22, 5, 
2019/10/9, 6, 23, 4, 
2019/10/10, 4, 23, 4, 
2019/10/11, 7, 33, 5, 1
2019/10/12, 8, 22, 6, 2
2019/10/13, 14, 22, 7, 2
2019/10/14, 17, 22, 9, 
2019/10/15, 24, 24, 4, 
2019/10/16, 10, 24, 10, 2
2019/10/17, 10, 20, 9, 2
2019/10/18, 14, 11, 9, 1
2019/10/19, 10, 17, 4, 2
2019/10/20, 17, 14, 12, 1
2019/10/21, 16, 4, 13, 
2019/10/22, 16, 20, 10, 1
2019/10/23, 24, 21, 12, 2
2019/10/24, 39, 21, 10, 
2019/10/25, 24, 15, 10, 1
2019/10/26, 15, 25, 6, 1
2019/10/27, 11, 21, 9, 
2019/10/28, 11, 19, 11, 
2019/10/29, 16, 14, 14, 
2019/10/30, 18, 20, 12, 1
2019/10/31, 21, 17, 7, 1
2019/11/1, 21, 15, 6, 1
2019/11/2, 9, 9, 5, 
2019/11/3, 14, 19, 8, 
2019/11/4, 7, 22, 9, 
2019/11/5, 7, 21, 8, 1
2019/11/6, 8, 17, 10, 1
2019/11/7, 12, 9, 11, 1
2019/11/8, 19, 16, 7, 
2019/11/9, 13, 10, 9, 
2019/11/10, 14, 11, 12, 2
2019/11/11, 15, 7, 11, 1
2019/11/12, 16, 11, 13, 1
2019/11/13, 11, 14, 10, 1
2019/11/14, 15, 20, 6, 1
2019/11/15, 12, 16, 9, 1
2019/11/16, 14, 7, 11, 1
2019/11/17, 21, 19, 9, 1
2019/11/18, 14, 12, 15, 1
2019/11/19, 12, 12, 8, 
2019/11/20, 9, 1, 10, 
2019/11/21, 29, 14, 10, 1
2019/11/22, 16, 18, 3, 
2019/11/23, 13, , , 
2019/11/24, 20, 4, 10, 2
2019/11/25, 24, 1, 10, 2
2019/11/26, 17, 9, 9, 1
2019/11/27, 12, 25, 7, 1
2019/11/28, 7, 25, 5, 1
2019/11/29, 7, 20, 7, 
2019/11/30, 10, 14, 10, 1
2019/12/1, 14, 19, 11, 1
2019/12/2, 16, 21, 13, 
2019/12/3, 14, 15, 12, 2
2019/12/4, 15, 13, 11, 2
2019/12/5, 29, 6, 12, 3
2019/12/6, 27, 23, 3, 
2019/12/7, 3, 24, 2, 1
2019/12/8, 2, 27, 6, 
2019/12/9, 3, 22, 9, 
2019/12/10, 11, 14, 13, 3
2019/12/11, 16, 9, 15, 4
2019/12/12, 23, 10, 10, 2
2019/12/13, 16, 28, 4, 1
2019/12/14, 4, 30, 4, 1
2019/12/15, 6, 14, 12, 1
2019/12/16, 9, 9, 9, 2
2019/12/17, 16, 5, 15, 2
2019/12/18, 21, 12, 10, 1
2019/12/19, 17, 16, 8, 1
2019/12/20, 17, 21, 9, 1
2019/12/21, 11, 16, 8, 1
2019/12/22, 12, 23, 4, 1
2019/12/23, 5, 22, 3, 
2019/12/24, 4, 25, 2, 
2019/12/25, 4, 22, 3, 
2019/12/26, 4, 16, 8, 
2019/12/27, 7, 19, 5, 
2019/12/28, 5, , , 
2019/7/1, 23, 36, 3, 
2019/7/2, 12, 34, 4, 1
2019/7/3, 10, 39, 5, 2
2019/7/4, 12, 40, 7, 2
2019/7/5, 15, 53, 5, 2
2019/7/6, 13, 33, 2, 
2019/7/7, 8, 31, 3, 
2019/7/8, 8, 25, 4, 
2019/7/9, 7, 31, 4, 
2019/7/10, 9, 38, 7, 2
2019/7/11, 14, 38, 4, 1
2019/7/12, 9, 30, 4, 
2019/7/13, 10, 28, 2, 
2019/7/14, 13, 26, 5, 
2019/7/15, 11, 24, 4, 
2019/7/16, 9, 33, 4, 
2019/7/17, 8, 44, 6, 2
2019/7/18, 11, 40, 7, 1
2019/7/19, 14, 39, 6, 1
2019/7/20, 12, 35, 3, 
2019/7/21, 10, 41, 7, 1
2019/7/22, 12, 38, 6, 1
2019/7/23, 13, 51, 6, 2
2019/7/24, 12, 57, 8, 1
2019/7/25, 17, 39, 8, 2
2019/7/26, 14, 45, , 1
2019/7/27, 14, 45, , 1
2019/7/28, 11, 59, 7, 1
2019/7/29, 18, 51, 3, 1
2019/7/30, 21, 37, 10, 1
2019/7/31, 16, 43, 8, 
2019/8/1, 12, 42, 7, 1
2019/8/2, 13, 38, 5, 1
2019/8/3, 8, 40, 4, 1
2019/8/4, 10, 13, 9, 1
2019/8/5, 12, , , 
2019/8/8, 10, , , 
2019/8/9, 11, 23, 4, 1
2019/8/10, 9, 38, 3, 1
2019/8/11, 9, 32, 6, 1
2019/8/12, 10, 34, 4, 
2019/8/13, 9, 36, 8, 1
2019/8/14, 10, 29, 7, 1
2019/8/15, 9, 33, 6, 
2019/8/16, 9, 30, 6, 1
2019/8/17, 11, 29, 4, 1
2019/8/18, 8, 29, 5, 
2019/8/19, 8, 36, 6, 1
2019/8/20, 10, 43, 5, 1
2019/8/21, 12, 41, 6, 
2019/8/22, 11, 48, 6, 1
2019/8/23, 12, 45, 6, 1
2019/8/24, 18, 45, 5, 1
2019/8/25, 18, 43, 9, 1
2019/8/26, 17, 51, 5, 1
2019/8/27, 17, 53, 8, 1
2019/8/28, 21, 51, 9, 1
2019/8/29, 21, 48, 10, 1
2019/8/30, 18, 61, 6, 1
2019/8/31, 18, 42, 4, 1
2019/9/1, 16, 32, 4, 
2019/9/2, 9, 39, 9, 1
2019/9/3, 13, 50, 8, 2
2019/9/4, 14, 31, 6, 1
2019/9/5, 11, 30, 7, 
2019/9/6, 11, 24, 7, 1
2019/9/7, 10, 34, 5, 1
2019/9/8, 10, 24, 7, 
2019/9/9, 6, 34, 7, 
2019/9/10, 11, 38, 10, 1
2019/9/11, 12, 28, 9, 
2019/9/12, 11, 20, 7, 
2019/9/13, 9, 31, 7, 
2019/9/14, 11, 34, 4, 
2019/9/15, 12, 21, 6, 
2019/9/16, 9, 27, 4, 
2019/9/17, 11, 25, 4, 
2019/9/18, 10, 25, 6, 1
2019/9/19, 10, 27, 10, 1
2019/9/20, 13, 28, 8, 1
2019/9/21, 15, 35, 4, 1
2019/9/22, 12, 33, 9, 2
2019/9/23, 17, 20, 9, 
2019/9/24, 12, 18, 9, 1
2019/9/25, 11, 22, 9, 
2019/9/26, 8, 18, 8, 
2019/9/27, 7, 25, 2, 
2019/9/28, 5, 26, 3, 
2019/9/29, 5, 27, 2, 
2019/9/30, 6, 23, 4, 
2019/4/1, 12, 33, 8, 2
2019/4/2, 20, 42, 8, 2
2019/4/3, 29, 44, 7, 1
2019/4/4, 22, 31, 9, 
2019/4/5, 41, 44, 10, 2
2019/4/6, 26, 43, 6, 1
2019/4/7, 20, 48, 11, 1
