date, pm25, o3
2020/1/2, 87, 20
2020/1/3, 85, 12
2020/1/4, 88, 13
2020/1/5, 90, 18
2020/1/6, 55, 20
2020/1/7, 50, 19
2020/1/8, 56, 19
2020/1/9, 54, 16
2020/1/10, 51, 18
2020/1/11, 52, 18
2020/1/12, 43, 20
2020/1/13, 58, 19
2020/1/14, 54, 19
2020/1/15, 50, 2
2020/1/16, 55, 
2019/10/1, 164, 19
2019/10/2, 166, 31
2019/10/3, 165, 24
2019/10/4, 165, 18
2019/10/6, 132, 11
2019/10/7, 85, 16
2019/10/8, 84, 17
2019/10/9, 99, 16
2019/10/10, 144, 12
2019/10/11, 145, 24
2019/10/12, 144, 20
2019/10/13, 100, 14
2019/10/14, 100, 12
2019/10/15, 95, 18
2019/11/5, 71, 24
2019/11/6, 110, 22
2019/11/7, 87, 23
2019/11/8, 72, 18
2019/11/9, 83, 14
2019/11/10, 60, 18
2019/11/11, 44, 20
2019/11/12, 56, 20
2019/11/13, 64, 22
2019/11/14, 60, 21
2019/11/15, 72, 23
2019/11/16, 80, 22
2019/11/17, 60, 22
2019/11/18, 55, 17
2019/11/19, 66, 14
2019/11/20, 44, 18
2019/11/21, 61, 21
2019/11/22, 67, 23
2019/11/23, 59, 24
2019/11/24, 60, 22
2019/11/25, 56, 21
2019/11/26, 57, 22
2019/11/27, 64, 21
2019/11/28, 61, 22
2019/11/29, 61, 22
2019/11/30, 101, 20
2019/12/1, 136, 24
2019/12/2, 84, 20
2019/12/3, 71, 25
2019/12/4, 90, 22
2019/12/5, 99, 21
2019/12/6, 75, 16
2019/12/7, 65, 16
2019/12/8, 68, 15
2019/12/9, 63, 7
2019/12/10, 67, 13
2019/12/11, 57, 16
2019/12/12, 65, 20
2019/12/13, 68, 16
2019/12/14, 82, 14
2019/12/15, 81, 14
2019/12/16, 84, 14
2019/12/17, 85, 15
2019/12/18, 80, 19
2019/12/19, 60, 17
2019/12/20, 57, 19
2019/12/21, 50, 16
2019/12/26, 49, 22
2019/12/27, 63, 19
2019/12/28, 86, 
2019/7/1, 145, 
2019/7/2, 120, 
2019/7/3, 123, 
2019/7/4, 132, 
2019/7/5, 131, 
2019/7/6, 125, 
2019/7/7, 115, 
2019/7/8, 142, 
2019/7/9, 144, 
2019/7/10, 86, 
2019/7/11, 100, 
2019/7/12, 134, 
2019/7/13, 152, 
2019/7/14, 159, 
2019/7/15, 125, 
2019/7/16, 99, 
2019/7/17, 146, 
2019/7/18, 144, 
2019/7/19, 135, 
2019/7/20, 139, 
2019/7/21, 141, 
2019/7/22, 152, 
2019/7/23, 148, 
2019/7/24, 118, 
2019/7/25, 138, 
2019/7/26, 148, 
2019/7/27, 173, 
2019/7/28, 174, 
2019/7/29, 163, 15
2019/7/30, 160, 14
2019/7/31, 158, 19
2019/8/1, 155, 27
2019/8/2, 152, 31
2019/8/3, 149, 32
2019/8/4, 162, 26
2019/8/5, 132, 34
2019/8/6, 112, 36
2019/8/7, 133, 35
2019/8/8, 149, 25
2019/8/9, 169, 23
2019/8/10, 165, 22
2019/8/11, 154, 34
2019/8/12, 143, 24
2019/8/13, 158, 21
2019/8/14, 160, 16
2019/8/15, 159, 16
2019/8/16, 165, 23
2019/8/17, 166, 21
2019/8/18, 153, 20
2019/8/19, 147, 15
2019/8/20, 148, 22
2019/8/21, 165, 26
2019/8/22, 160, 25
2019/8/23, 128, 18
2019/8/24, 135, 18
2019/8/25, 140, 22
2019/8/26, 136, 23
2019/8/27, 149, 16
2019/8/28, 128, 21
2019/8/29, 116, 29
2019/8/30, 131, 26
2019/8/31, 144, 27
2019/9/1, 156, 24
2019/9/2, 152, 27
2019/9/3, 137, 29
2019/9/4, 139, 32
2019/9/5, 142, 33
2019/9/6, 127, 20
2019/9/7, 151, 18
2019/9/8, 144, 28
2019/9/9, 93, 22
2019/9/10, 109, 19
2019/9/11, 130, 19
2019/9/12, 136, 19
2019/9/13, 164, 23
2019/9/14, 135, 25
2019/9/15, 124, 14
2019/9/16, 128, 28
2019/9/17, 142, 26
2019/9/18, 145, 19
2019/9/19, 141, 30
2019/9/20, 117, 26
2019/9/21, 133, 37
2019/9/22, 159, 31
2019/9/23, 165, 18
2019/9/24, 149, 16
2019/9/25, 111, 12
2019/9/26, 106, 19
2019/9/27, 101, 23
2019/9/29, 158, 23
2019/9/30, 151, 22
2019/4/1, 120, 11
2019/4/2, 144, 9
2019/4/3, 119, 11
2019/4/4, 105, 1
2019/4/5, 106, 
2019/4/9, 112, 14
2019/4/10, 79, 12
2019/4/11, 99, 13
2019/4/12, 94, 12
2019/4/13, 99, 21
2019/4/14, 73, 29
2019/4/15, 104, 29
2019/4/16, 111, 26
2019/4/17, 102, 19
2019/4/18, 130, 22
2019/4/19, 135, 19
2019/4/20, 115, 15
2019/4/21, 116, 11
2019/4/22, 129, 22
2019/5/2, 133, 20
2019/5/3, 127, 23
2019/5/4, 131, 18
2019/5/5, 152, 24
2019/5/6, 155, 23
2019/5/7, 136, 28
2019/5/8, 108, 34
2019/5/9, 129, 33
2019/5/10, 154, 20
2019/5/11, 137, 11
2019/5/12, 132, 
2019/5/16, 139, 24
2019/5/17, 116, 22
2019/5/18, 124, 17
2019/5/19, 108, 17
2019/5/20, 121, 13
2019/5/21, 149, 19
2019/5/22, 151, 23
2019/5/23, 138, 34
2019/5/24, 141, 31
2019/5/25, 147, 25
2019/5/26, 137, 20
2019/5/27, 136, 22
2019/5/28, 139, 21
2019/5/29, 141, 28
2019/5/30, 159, 36
2019/5/31, 159, 18
2019/6/1, 132, 
2019/6/2, 114, 
2019/6/3, 140, 
2019/6/4, 131, 
2019/6/5, 113, 
2019/6/6, 114, 
2019/6/14, 134, 
2019/6/15, 135, 
2019/6/16, 146, 
2019/6/17, 130, 
2019/6/18, 160, 
2019/6/19, 119, 
2019/6/20, 119, 
2019/6/21, 143, 
2019/6/22, 148, 
2019/6/23, 148, 
2019/6/24, 138, 
2019/6/25, 137, 
2019/6/26, 159, 
2019/6/27, 167, 
2019/6/28, 158, 
2019/6/29, 144, 
2019/6/30, 157, 
2019/3/2, 91, 20
2019/3/3, 62, 21
2019/3/4, 67, 21
2019/3/5, 73, 23
2019/3/6, 99, 22
2019/3/7, 102, 23
2019/3/8, 72, 22
2019/3/9, 82, 22
2019/3/10, 72, 22
2019/3/11, 79, 24
2019/3/12, 86, 24
2019/3/13, 94, 26
2019/3/14, 115, 16
2019/3/15, 90, 19
2019/3/16, 89, 11
2019/3/17, 107, 20
2019/3/18, 130, 22
2019/3/19, 98, 22
2019/3/20, 72, 21
2019/3/21, 92, 15
2019/3/22, 104, 13
2019/3/23, 127, 9
2019/3/24, 110, 10
2019/3/25, 144, 10
2019/3/26, 135, 8
2019/3/27, 98, 10
2019/3/28, 84, 18
2019/3/29, 116, 15
2019/3/30, 121, 10
2019/3/31, 110, 13
2018/10/1, 160, 
2018/10/2, 136, 
2018/10/3, 122, 1
2018/10/4, 146, 1
2018/10/5, 153, 
2018/10/6, 162, 
2018/10/7, 128, 
2018/10/8, 102, 1
2018/10/9, 142, 
2018/10/10, 123, 
2018/10/11, 138, 
2018/10/12, 92, 
2018/10/13, 85, 
2018/10/14, 82, 
2018/10/15, 84, 
2018/10/16, 118, 
2018/10/17, 117, 
2018/10/18, 97, 
2018/10/19, 94, 
2018/10/20, 93, 
2018/10/21, 116, 1
2018/10/22, 96, 
2018/10/23, 86, 
2018/10/24, 88, 
2018/10/25, 108, 
2018/10/26, 126, 
2018/10/27, 111, 
2018/10/28, 112, 
2018/10/29, 85, 
2018/10/30, 80, 
2018/10/31, 96, 1
2018/11/1, 98, 
2018/11/2, 106, 
2018/11/3, 100, 
2018/11/4, 71, 
2018/11/5, 94, 
2018/11/6, 145, 
2018/11/7, 106, 
2018/11/8, 23, 
2018/11/9, 17, 
2018/11/10, 16, 
2018/11/11, 18, 
2018/11/12, 14, 
2018/11/15, 102, 
2018/11/16, 90, 
2018/11/17, 102, 
2018/11/18, 88, 
2018/11/19, 85, 8
2018/11/20, 79, 16
2018/11/21, 68, 
2018/11/22, 86, 
2018/11/23, 98, 
2018/11/24, 87, 
2018/11/25, 88, 11
2018/11/26, 50, 18
2018/11/27, 62, 19
2018/11/28, 77, 22
2018/11/29, 110, 15
2018/11/30, 82, 12
