date, pm25, pm10, o3, no2, so2
2020/1/1, 103, 4, 52, 4, 
2020/1/2, 11, 5, 55, 1, 
2020/1/3, 10, , 55, , 
2020/1/6, 18, 6, 55, 2, 
2020/1/7, 8, , , , 
2020/1/9, 31, 8, , 6, 
2020/1/10, 19, 3, , , 
2020/1/11, 8, , , , 
2020/1/13, 14, 6, 27, 6, 
2020/1/14, 16, 5, 31, 2, 
2020/1/15, 11, 6, 31, 2, 
2020/1/16, 13, , , , 
2019/10/1, 8, , 18, 9, 
2019/10/30, 25, 11, 24, 8, 
2019/10/31, 36, 9, 27, 7, 
2019/11/1, 35, 4, 28, 8, 
2019/11/2, 13, 9, 25, 8, 
2019/11/3, 35, 12, 20, 17, 
2019/11/4, 44, 8, 20, 9, 
2019/11/5, 26, 11, 23, 14, 
2019/11/6, 37, 9, 25, 15, 
2019/11/7, 31, 7, 25, 15, 
2019/11/8, 21, 12, 28, 9, 
2019/11/9, 45, 8, 28, 13, 
2019/11/10, 26, 9, 30, 7, 
2019/11/11, 27, 8, 31, 7, 
2019/11/12, 21, 7, 26, 8, 
2019/11/13, 22, 9, , , 
2019/11/15, 23, 10, 17, 14, 
2019/11/16, 35, 16, 21, 11, 
2019/11/17, 59, 15, 20, 19, 1
2019/11/18, 53, 21, 24, 10, 1
2019/11/19, 66, 20, 28, 6, 
2019/11/20, 64, , , , 
2019/11/22, 42, 17, 18, 14, 
2019/11/23, 50, , 15, , 
2019/11/25, 37, 9, 32, 8, 
2019/11/26, 23, 16, 21, 15, 
2019/11/27, 40, 15, 23, 12, 
2019/11/28, 44, 18, 24, 24, 1
2019/11/29, 53, , 25, , 
2019/12/2, 31, 11, 28, 24, 1
2019/12/3, 37, 9, 32, 9, 
2019/12/4, 22, 4, 34, 3, 
2019/12/5, 10, 3, 31, 4, 
2019/12/6, 9, , 32, , 
2019/12/9, 26, 4, 34, 2, 
2019/12/10, 14, 5, 32, 6, 
2019/12/11, 11, 6, 33, 11, 
2019/12/12, 18, 9, 34, 5, 
2019/12/13, 20, 4, 37, 2, 
2019/12/14, 6, , 36, , 
2019/12/16, 11, 5, 26, 9, 
2019/12/17, 16, 6, 36, 6, 
2019/12/18, 15, 19, 38, 19, 1
2019/12/19, 44, 14, 34, 16, 
2019/12/20, 45, 13, 21, 21, 1
2019/12/21, 50, , 34, , 
2019/12/23, 27, 7, 38, 5, 
2019/12/24, 23, 18, 35, 10, 
2019/12/25, 49, , 35, , 
2019/7/1, 22, 8, 23, 11, 
2019/7/2, 29, 9, 24, 14, 
2019/7/3, 32, 10, 19, 12, 
2019/7/4, 39, 11, 20, 10, 
2019/7/5, 42, 9, 17, 9, 
2019/7/6, 35, 10, 23, 12, 1
2019/7/7, 35, 11, 18, 17, 2
2019/7/8, 40, 14, 20, 11, 
2019/7/9, 52, 12, 18, 11, 
2019/7/10, 47, 12, 23, 7, 
2019/7/11, 50, 12, 12, 6, 
2019/7/12, 48, 13, 18, 9, 
2019/7/13, 51, 15, 24, 10, 
2019/7/14, 55, 15, 27, 10, 
2019/7/15, 58, 13, 28, 7, 1
2019/7/16, 53, 16, 23, 4, 
2019/7/17, 59, 17, 26, 5, 
2019/7/18, 62, 17, 23, 6, 1
2019/7/19, 63, 20, 21, 4, 
2019/7/20, 72, 16, 22, 3, 
2019/7/21, 61, 17, 13, 3, 
2019/7/22, 65, 20, 19, 4, 
2019/7/23, 72, 30, 25, 4, 
2019/7/24, 99, 35, 24, 5, 
2019/7/25, 111, 33, 24, 3, 
2019/7/26, 95, 29, 19, 5, 
2019/7/27, 91, , 25, 4, 
2019/8/6, 12, 4, 27, 4, 
2019/8/7, 10, 5, 21, 8, 
2019/8/8, 17, 7, 26, 4, 
2019/8/9, 19, 5, 25, 3, 
2019/8/10, 13, 5, 26, 5, 
2019/8/11, 12, 6, 28, 6, 
2019/8/12, 13, 4, 25, 7, 
2019/8/13, 10, 4, 22, 5, 
2019/8/14, 12, 4, 28, 4, 
2019/8/15, 8, 4, 20, 5, 
2019/8/16, 11, 5, 27, 2, 
2019/8/17, 11, 8, 18, 2, 
2019/8/18, 13, 6, 25, 3, 
2019/8/19, 12, 7, 24, 5, 
2019/8/20, 16, 5, 21, 3, 
2019/8/21, 13, 4, 19, 3, 
2019/8/22, 10, 5, 21, 4, 
2019/8/23, 13, 9, 31, 9, 
2019/8/24, 27, 16, 26, 10, 1
2019/8/25, 50, 10, 21, 10, 
2019/8/26, 32, 6, 23, 5, 
2019/8/27, 19, 4, 26, 3, 
2019/8/28, 13, 6, 22, 4, 
2019/8/29, 19, 9, 24, 2, 
2019/8/30, 22, 8, 26, 2, 
2019/8/31, 24, 6, 25, 2, 
2019/9/1, 15, 6, 25, 4, 
2019/9/2, 17, 4, 20, 5, 
2019/9/3, 9, 4, 24, 5, 
2019/9/4, 7, 6, 23, 3, 
2019/9/5, 11, 6, 23, 6, 
2019/9/6, 13, 10, 22, 10, 1
2019/9/7, 14, , 22, 10, 1
2019/9/9, 9, 7, 20, 10, 
2019/9/10, 15, 6, 19, 6, 
2019/9/11, 13, 6, 17, 8, 
2019/9/12, 12, 5, 22, 12, 2
2019/9/13, 12, 6, 18, 9, 
2019/9/14, 18, 3, 18, 9, 
2019/9/15, 11, 3, 20, 15, 
2019/9/16, 11, 10, 20, 14, 
2019/9/17, 33, 13, 23, 16, 
2019/9/18, 37, 16, 23, 14, 
2019/9/19, 48, 13, 29, 12, 
2019/9/20, 40, 12, 5, 7, 
2019/9/21, 31, 9, 23, 13, 1
2019/9/22, 26, 4, 22, 11, 
2019/9/23, 10, 7, 20, 11, 
2019/9/24, 17, 7, 23, 8, 
2019/9/25, 20, 6, 21, 3, 
2019/9/26, 15, 4, 20, 4, 
2019/9/27, 9, 5, 20, 4, 
2019/9/28, 10, 4, 20, 5, 
2019/9/29, 11, , 23, 4, 
2019/4/1, 59, 12, 32, 9, 
2019/4/2, 38, 7, 30, 20, 2
2019/4/3, 22, 9, 29, 14, 
2019/4/4, 32, 13, 26, 16, 1
2019/4/5, 51, 17, 34, 14, 1
2019/4/6, 59, 23, 28, 19, 1
2019/4/7, 71, 29, 16, 17, 1
2019/4/8, 84, 36, 30, 15, 
2019/4/9, 101, 20, 34, 13, 
2019/4/10, 64, 20, 30, 21, 
2019/4/11, 64, 26, 34, 15, 
2019/4/12, 76, 20, 39, 5, 
2019/4/13, 64, 15, 37, 5, 
2019/4/14, 54, 18, 37, 7, 
2019/4/15, 61, 26, 37, 9, 
2019/4/16, 79, 28, 33, 15, 
2019/4/17, 84, 44, 23, 21, 1
2019/4/18, 120, 52, 39, 17, 2
2019/4/19, 146, 46, 50, 21, 2
2019/4/20, 121, , 56, , 
2019/4/25, 44, 11, 32, 6, 
2019/4/26, 43, 7, 33, 3, 
2019/4/27, 24, 10, 30, 13, 1
2019/4/28, 38, 13, 24, 8, 
2019/4/29, 51, 10, 27, 12, 
2019/4/30, 43, 13, 20, 10, 
2019/5/1, 52, 10, 33, 5, 
2019/5/2, 37, 11, 30, 8, 
2019/5/3, 46, 9, 26, 4, 
2019/5/4, 32, 10, 29, 9, 1
2019/5/5, 39, 12, 31, 7, 
2019/5/6, 45, 14, 35, 9, 
2019/5/7, 54, 16, 30, 11, 
2019/5/8, 57, 14, 31, 7, 
2019/5/9, 53, 13, 29, 11, 
2019/5/10, 53, 15, 29, 12, 
2019/5/11, 56, 15, 32, 11, 1
2019/5/12, 56, 12, 40, 6, 
2019/5/13, 50, 16, 41, 10, 
2019/5/14, 58, 23, 42, 11, 
2019/5/15, 72, 24, 38, 15, 
2019/5/16, 74, 14, 33, 13, 
2019/5/17, 43, 12, 27, 9, 1
2019/5/18, 44, 11, 29, 11, 
2019/5/19, 41, 6, 31, 10, 
2019/5/20, 20, 8, 30, 11, 
2019/5/21, 25, 8, 30, 8, 
2019/5/22, 25, 11, 19, 14, 
2019/5/23, 38, 10, 24, 8, 1
2019/5/24, 33, 8, 22, 6, 
2019/5/25, 24, 9, 23, 5, 
2019/5/26, 33, 9, 25, 10, 
2019/5/27, 30, 8, 29, 10, 
2019/5/28, 32, 8, 23, 9, 
2019/5/29, 34, 11, 22, 7, 
2019/5/30, 47, 13, 22, 6, 
2019/5/31, 52, 12, 24, 13, 1
2019/6/1, 48, 11, 30, 6, 
2019/6/2, 44, 14, 30, 4, 
2019/6/3, 47, 9, 31, 15, 
2019/6/4, 36, 8, 28, 9, 
2019/6/5, 31, 7, 29, 8, 
2019/6/6, 26, 9, 27, 12, 1
2019/6/7, 33, 8, 27, 8, 
2019/6/8, 33, 8, 28, 8, 
2019/6/9, 26, 9, 29, 13, 
2019/6/10, 39, 9, 28, 9, 
2019/6/11, 37, 8, 25, 14, 
2019/6/12, 31, 8, 24, 11, 
2019/6/13, 31, 9, 27, 11, 
2019/6/14, 31, 9, 31, 14, 
2019/6/15, 33, 9, 27, 13, 
2019/6/16, 34, 8, 29, 8, 
2019/6/17, 28, 8, 29, 7, 
2019/6/18, 29, 9, 30, 6, 
2019/6/19, 32, 7, 27, 8, 
2019/6/20, 25, 7, 27, 7, 
2019/6/21, 25, 8, 27, 8, 1
2019/6/22, 26, 8, 34, 14, 
2019/6/23, 29, 18, 30, 15, 
2019/6/24, 58, 16, 27, 13, 1
2019/6/25, 57, 13, 25, 11, 
2019/6/26, 49, 14, 30, 13, 
2019/6/27, 48, 17, 38, 16, 
2019/6/28, 54, 17, 21, 13, 
2019/6/29, 55, 6, 21, 5, 
2019/6/30, 22, 7, 22, 8, 
2019/1/1, 27, 11, 23, 14, 2
2019/1/2, 25, 13, 22, 15, 
2019/1/3, 42, 11, 23, 11, 
2019/1/4, 41, 15, 25, 15, 1
2019/1/5, 55, 12, 25, 13, 
2019/1/6, 42, 15, 23, 3, 
2019/1/7, 54, 10, 24, 11, 1
2019/1/8, 30, 15, 27, 19, 1
2019/1/9, 48, 18, 17, 18, 
2019/1/10, 56, 16, 25, 14, 
2019/1/11, 55, 7, 29, 4, 
2019/1/12, 24, 5, 32, 3, 
2019/1/13, 16, 9, 28, 9, 
2019/1/14, 22, 7, 27, 6, 
2019/1/15, 20, 4, 30, 9, 
2019/1/16, 11, 8, 29, 21, 1
2019/1/17, 26, 15, 31, 13, 1
2019/1/18, 52, 20, 17, 20, 1
2019/1/19, 67, 19, 23, 13, 
2019/1/20, 66, 15, 31, 13, 
2019/1/21, 54, 7, 32, 12, 
2019/1/22, 24, 9, 30, 14, 
2019/1/23, 34, 10, 26, 15, 1
2019/1/24, 41, 9, 30, 6, 
2019/1/25, 29, 5, 31, 5, 
2019/1/26, 16, 7, 31, 6, 
2019/1/27, 21, 12, 27, 13, 
2019/1/28, 44, 8, 30, 9, 
2019/1/29, 29, 6, 29, 16, 1
2019/1/30, 23, 23, 32, 14, 1
2019/1/31, 75, 11, 27, 17, 1
2019/2/1, 40, 12, 27, 14, 1
2019/2/2, 47, 14, 32, 8, 
2019/2/3, 52, 6, 32, 13, 
2019/2/4, 20, 15, 30, 10, 
2019/2/5, 53, 7, 34, 8, 
2019/2/6, 19, 7, 31, 7, 
2019/2/7, 20, 5, 32, 3, 
2019/2/8, 13, 7, 31, 5, 
2019/2/9, 18, 11, 30, 8, 
2019/2/10, 40, 8, 27, 13, 
2019/2/11, 27, 10, 31, 6, 
2019/2/12, 33, 10, 29, 7, 
2019/2/13, 29, 12, 30, 24, 1
2019/2/14, 33, 23, 30, 10, 
2019/2/15, 65, 12, 30, 5, 
2019/2/16, 37, 10, 33, 2, 
2019/2/17, 30, 6, 31, 5, 
2019/2/18, 16, 6, 32, 6, 
2019/2/19, 14, 4, 34, 4, 
2019/2/20, 10, 4, 33, 6, 
2019/2/21, 12, 15, 34, 6, 
2019/2/22, 44, 22, 27, 12, 
2019/2/23, 61, 27, 29, 12, 1
2019/2/24, 78, 24, 23, 19, 1
2019/2/25, 75, 37, 31, 31, 1
2019/2/26, 101, 46, 21, 28, 1
2019/2/27, 124, 44, 22, 21, 
2019/2/28, 119, 26, 26, 15, 
2019/3/1, 76, 25, 33, 12, 
2019/3/2, 75, 27, 31, 13, 
2019/3/3, 76, 9, 29, 8, 
2019/3/4, 33, 7, 32, 7, 
2019/3/5, 20, 7, 29, 10, 
2019/3/6, 25, 10, 31, 8, 
2019/3/7, 34, 9, 32, 10, 
2019/3/8, 29, 10, 37, 4, 
2019/3/9, 30, , , , 
2019/3/13, 23, , 35, , 
2019/3/15, 19, 6, 32, 8, 
2019/3/16, 20, 5, 33, 4, 
2019/3/17, 18, 6, 32, 3, 
2019/3/18, 20, 7, 29, 7, 1
2019/3/19, 25, 6, 17, 9, 
2019/3/20, 22, 12, 22, 10, 
2019/3/21, 33, 10, 28, 6, 
2019/3/22, 24, 9, 30, 8, 1
2019/3/23, 22, 5, 34, 7, 
2019/3/24, 6, 7, 33, 11, 1
