date, pm25
2020/1/1, 32
2020/1/2, 31
2020/1/3, 47
2020/1/4, 36
2020/1/5, 28
2020/1/6, 16
2020/1/7, 20
2020/1/8, 21
2020/1/9, 33
2020/1/10, 63
2020/1/11, 26
2020/1/12, 27
2020/1/13, 43
2020/1/14, 51
2020/1/15, 58
2020/1/16, 40
2019/10/1, 28
2019/10/2, 9
2019/10/3, 7
2019/10/4, 11
2019/10/5, 17
2019/10/6, 17
2019/10/7, 16
2019/10/8, 18
2019/10/9, 23
2019/10/10, 33
2019/10/11, 13
2019/10/12, 16
2019/10/13, 13
2019/10/14, 16
2019/10/15, 27
2019/10/16, 13
2019/10/17, 23
2019/10/18, 29
2019/10/19, 33
2019/10/20, 21
2019/10/21, 30
2019/10/22, 9
2019/10/23, 19
2019/10/24, 17
2019/10/25, 22
2019/10/26, 50
2019/10/27, 59
2019/10/28, 26
2019/10/29, 32
2019/11/4, 32
2019/11/5, 23
2019/11/6, 31
2019/11/7, 25
2019/11/8, 42
2019/11/9, 41
2019/11/10, 50
2019/11/11, 17
2019/11/12, 19
2019/11/13, 32
2019/11/14, 60
2019/11/15, 65
2019/11/16, 77
2019/11/17, 79
2019/11/18, 39
2019/11/19, 55
2019/11/20, 41
2019/11/21, 31
2019/11/22, 28
2019/11/23, 40
2019/11/24, 40
2019/11/25, 38
2019/11/26, 30
2019/11/27, 18
2019/11/28, 15
2019/11/29, 31
2019/11/30, 43
2019/12/1, 18
2019/12/2, 18
2019/12/3, 28
2019/12/4, 22
2019/12/5, 49
2019/12/6, 35
2019/12/7, 50
2019/12/8, 64
2019/12/9, 58
2019/12/10, 32
2019/12/11, 44
2019/12/12, 52
2019/12/13, 77
2019/12/14, 70
2019/12/15, 40
2019/12/16, 39
2019/12/17, 50
2019/12/18, 32
2019/12/19, 71
2019/12/20, 70
2019/12/21, 70
2019/12/22, 55
2019/12/23, 59
2019/12/24, 68
2019/12/25, 37
2019/12/26, 44
2019/12/27, 51
2019/12/28, 60
2019/7/1, 25
2019/7/2, 36
2019/7/3, 23
2019/7/4, 27
2019/7/5, 25
2019/7/6, 54
2019/7/7, 81
2019/7/8, 79
2019/7/9, 76
2019/7/10, 27
2019/7/11, 23
2019/7/12, 32
2019/7/13, 35
2019/7/14, 35
2019/7/15, 32
2019/7/16, 31
2019/7/17, 17
2019/7/18, 24
2019/7/19, 39
2019/7/20, 31
2019/7/21, 19
2019/7/22, 21
2019/7/23, 37
2019/7/24, 47
2019/7/25, 59
2019/7/26, 53
2019/7/27, 52
2019/7/28, 56
2019/7/29, 24
2019/7/30, 16
2019/7/31, 16
2019/8/1, 22
2019/8/2, 24
2019/8/3, 26
2019/8/4, 29
2019/8/5, 39
2019/8/6, 22
2019/8/7, 30
2019/8/8, 25
2019/8/9, 22
2019/8/10, 20
2019/8/11, 31
2019/8/12, 21
2019/8/13, 23
2019/8/14, 23
2019/8/15, 24
2019/8/16, 30
2019/8/17, 23
2019/8/18, 13
2019/8/19, 18
2019/8/20, 19
2019/8/21, 20
2019/8/22, 17
2019/8/23, 16
2019/8/24, 18
2019/8/25, 25
2019/8/26, 21
2019/8/27, 17
2019/8/28, 18
2019/8/29, 23
2019/8/30, 17
2019/8/31, 18
2019/9/1, 25
2019/9/2, 34
2019/9/3, 32
2019/9/4, 17
2019/9/5, 28
2019/9/6, 14
2019/9/7, 17
2019/9/8, 18
2019/9/9, 23
2019/9/10, 28
2019/9/11, 41
2019/9/12, 15
2019/9/13, 13
2019/9/14, 17
2019/9/15, 29
2019/9/16, 18
2019/9/17, 38
2019/9/18, 48
2019/9/19, 22
2019/9/20, 41
2019/9/21, 35
2019/9/22, 20
2019/9/23, 17
2019/9/24, 20
2019/9/25, 17
2019/9/26, 15
2019/9/27, 20
2019/9/28, 25
2019/9/29, 12
2019/9/30, 35
2019/4/1, 31
2019/4/2, 44
2019/4/3, 28
2019/4/4, 38
2019/4/5, 69
2019/4/6, 54
2019/4/7, 42
2019/4/8, 25
2019/4/9, 15
2019/4/10, 13
2019/4/11, 33
2019/4/12, 16
2019/4/13, 16
2019/4/14, 16
2019/4/15, 23
2019/4/16, 41
2019/4/17, 60
2019/4/18, 15
2019/4/19, 11
2019/4/20, 28
2019/4/21, 47
2019/4/22, 32
2019/4/23, 19
2019/4/24, 31
2019/4/25, 40
2019/4/26, 25
2019/4/27, 24
2019/4/28, 27
2019/4/29, 27
2019/4/30, 33
2019/5/1, 20
2019/5/2, 31
2019/5/3, 33
2019/5/4, 44
2019/5/5, 27
2019/5/6, 28
2019/5/7, 23
2019/5/8, 28
2019/5/9, 22
2019/5/10, 14
2019/5/11, 23
2019/5/12, 25
2019/5/13, 25
2019/5/14, 36
2019/5/15, 38
2019/5/16, 49
2019/5/17, 27
2019/5/18, 30
2019/5/19, 18
2019/5/20, 6
2019/5/21, 18
2019/5/22, 23
2019/5/23, 10
2019/5/24, 23
2019/5/25, 22
2019/5/26, 17
2019/5/27, 26
2019/5/28, 14
2019/5/29, 28
2019/5/30, 18
2019/5/31, 51
2019/6/1, 77
2019/6/2, 35
2019/6/3, 25
2019/6/4, 42
2019/6/5, 23
2019/6/6, 37
2019/6/7, 39
2019/6/8, 38
2019/6/9, 35
2019/6/10, 21
2019/6/11, 29
2019/6/12, 19
2019/6/13, 16
2019/6/14, 27
2019/6/15, 34
2019/6/16, 24
2019/6/17, 27
2019/6/18, 29
2019/6/19, 24
2019/6/20, 29
2019/6/21, 33
2019/6/22, 31
2019/6/23, 25
2019/6/24, 22
2019/6/25, 22
2019/6/26, 22
2019/6/27, 24
2019/6/28, 19
2019/6/29, 29
2019/6/30, 36
2019/1/1, 18
2019/1/2, 36
2019/1/3, 27
2019/1/4, 30
2019/1/5, 37
2019/1/6, 29
2019/1/7, 47
2019/1/8, 40
2019/1/9, 26
2019/1/10, 27
2019/1/11, 46
2019/1/12, 70
2019/1/13, 44
2019/1/14, 63
2019/1/15, 44
2019/1/16, 48
2019/1/17, 54
2019/1/18, 43
2019/1/19, 19
2019/1/20, 26
2019/1/21, 25
2019/1/22, 43
2019/1/23, 63
2019/1/24, 51
2019/1/25, 26
2019/1/26, 50
2019/1/27, 67
2019/1/28, 38
2019/1/29, 20
2019/1/30, 20
2019/1/31, 28
2019/2/1, 51
2019/2/2, 76
2019/2/3, 38
2019/2/4, 40
2019/2/5, 41
2019/2/6, 34
2019/2/7, 26
2019/2/8, 15
2019/2/9, 23
2019/2/10, 64
2019/2/11, 76
2019/2/12, 45
2019/2/13, 47
2019/2/14, 54
2019/2/15, 33
2019/2/16, 37
2019/2/17, 30
2019/2/18, 30
2019/2/19, 58
2019/2/20, 56
2019/2/21, 71
2019/2/22, 78
2019/2/23, 68
2019/2/24, 40
2019/2/25, 19
2019/2/26, 21
2019/2/27, 39
2019/2/28, 34
2019/3/1, 39
2019/3/2, 55
2019/3/3, 33
2019/3/4, 30
2019/3/5, 24
2019/3/6, 38
2019/3/7, 48
2019/3/8, 105
2019/3/9, 91
2019/3/10, 47
2019/3/11, 46
2019/3/12, 50
2019/3/13, 38
2019/3/14, 28
2019/3/15, 17
2019/3/16, 23
2019/3/17, 40
2019/3/18, 41
2019/3/19, 36
2019/3/20, 51
2019/3/21, 27
2019/3/22, 32
2019/3/23, 44
2019/3/24, 56
2019/3/25, 15
2019/3/26, 23
2019/3/27, 30
