date, pm25, o3
2020/1/2, 47, 
2020/1/3, 32, 
2020/1/4, 43, 
2020/1/5, 47, 25
2020/1/6, 28, 26
2020/1/7, 31, 25
2020/1/8, 27, 24
2020/1/9, 40, 24
2020/1/10, 47, 29
2020/1/11, 28, 28
2020/1/12, 28, 24
2020/1/13, 29, 20
2020/1/14, 47, 19
2020/1/15, 42, 20
2020/1/16, 38, 
2019/10/1, 22, 23
2019/10/2, 24, 23
2019/10/3, 23, 21
2019/10/4, 26, 19
2019/10/5, 24, 17
2019/10/6, 31, 24
2019/10/7, 30, 29
2019/10/8, 28, 34
2019/10/9, 34, 32
2019/10/10, 38, 23
2019/10/11, 21, 25
2019/10/12, 30, 18
2019/10/13, 24, 19
2019/10/14, 31, 18
2019/10/15, 29, 16
2019/10/16, 26, 18
2019/10/17, 29, 26
2019/10/18, 31, 27
2019/10/19, 36, 27
2019/10/20, 31, 24
2019/10/21, 29, 20
2019/10/22, 23, 21
2019/10/23, 24, 23
2019/10/24, 21, 23
2019/10/25, 23, 27
2019/10/26, 22, 21
2019/10/27, 19, 21
2019/10/28, 23, 23
2019/10/29, 26, 23
2019/10/30, 27, 20
2019/10/31, 25, 20
2019/11/1, 32, 24
2019/11/2, 22, 22
2019/11/3, 22, 23
2019/11/4, 25, 27
2019/11/5, 21, 24
2019/11/6, 27, 24
2019/11/7, 26, 20
2019/11/8, 37, 18
2019/11/9, 50, 25
2019/11/10, 29, 25
2019/11/11, 23, 25
2019/11/12, 27, 19
2019/11/13, 39, 23
2019/11/14, 39, 28
2019/11/15, 25, 26
2019/11/16, 41, 16
2019/11/17, 48, 16
2019/11/18, 33, 8
2019/11/19, 55, 12
2019/11/20, 25, 21
2019/11/21, 22, 20
2019/11/22, 24, 21
2019/11/23, 31, 23
2019/11/24, 25, 15
2019/11/25, 28, 20
2019/11/26, 20, 22
2019/11/27, 24, 
2019/11/28, 19, 
2019/11/29, 20, 
2019/11/30, 19, 
2019/12/1, 20, 21
2019/12/2, 32, 23
2019/12/3, 46, 24
2019/12/4, 28, 20
2019/12/5, 29, 22
2019/12/6, 36, 16
2019/12/7, 53, 19
2019/12/8, 37, 26
2019/12/9, 37, 23
2019/12/10, 46, 24
2019/12/11, 39, 28
2019/12/12, 31, 19
2019/12/13, 47, 24
2019/12/14, 40, 25
2019/12/15, 36, 22
2019/12/16, 52, 26
2019/12/17, 49, 23
2019/12/18, 43, 22
2019/12/19, 57, 21
2019/12/20, 69, 23
2019/12/21, 78, 19
2019/12/22, 62, 22
2019/12/23, 34, 19
2019/12/24, 42, 17
2019/12/25, 52, 16
2019/12/26, 34, 24
2019/12/27, 38, 13
2019/12/28, 73, 
2019/7/13, 40, 22
2019/7/14, 38, 29
2019/7/15, 39, 32
2019/7/16, 37, 26
2019/7/17, 38, 33
2019/7/18, 35, 28
2019/7/19, 19, 24
2019/7/20, 19, 21
2019/7/21, 21, 24
2019/7/22, 23, 26
2019/7/23, 25, 30
2019/7/24, 25, 42
2019/7/25, 19, 35
2019/7/26, 21, 26
2019/7/27, 25, 29
2019/7/28, 23, 21
2019/7/29, 17, 26
2019/7/30, 26, 27
2019/7/31, 26, 32
2019/8/1, 9, 31
