date, pm25, pm10, o3, no2, so2, co
2020/1/2, 182, 89, 14, 36, 7, 13
2020/1/3, 168, 81, 14, 33, 6, 16
2020/1/4, 156, 76, 11, 24, 4, 14
2020/1/5, 162, 81, 8, 27, 4, 17
2020/1/6, 162, 71, 7, 33, 3, 20
2020/1/7, 155, 56, 5, 24, 2, 16
2020/1/8, 145, 49, 8, 17, 2, 11
2020/1/9, 114, 62, 10, 24, 2, 15
2020/1/10, 138, 76, 10, 36, 4, 17
2020/1/11, 153, 96, 9, 27, 6, 26
2020/1/12, 165, 104, 13, 26, 9, 29
2020/1/13, 172, 41, 9, 20, 4, 17
2020/1/14, 108, 54, 10, 21, 7, 12
2020/1/15, 123, 61, 5, 21, 2, 10
2020/1/16, 150, , , , , 
2019/12/3, 152, 96, 15, 26, 4, 9
2019/12/4, 163, 120, 19, 28, 6, 17
2019/12/5, 195, 119, 16, 32, 6, 10
2019/12/6, 201, 108, 16, 33, 7, 12
2019/12/7, 188, 102, 16, 34, 7, 10
2019/12/8, 179, 100, 16, 35, 5, 10
2019/12/9, 177, 126, 18, 37, 4, 14
2019/12/10, 199, 180, 23, 65, 8, 22
2019/12/11, 238, 154, 27, 38, 12, 14
2019/12/12, 235, 52, 12, 14, 4, 5
2019/12/13, 143, 57, 13, 24, 3, 6
2019/12/14, 136, 57, 11, 13, 3, 5
2019/12/15, 139, 48, 10, 9, 3, 6
2019/12/16, 125, 52, 7, 10, 1, 6
2019/12/17, 124, 70, 11, 12, 1, 7
2019/12/18, 159, 106, 13, 21, 1, 14
2019/12/19, 187, 92, 13, 16, 1, 13
2019/12/20, 174, 87, 11, 14, 2, 10
2019/12/21, 170, 61, 10, 10, 1, 8
2019/12/22, 146, 74, 9, 11, 1, 9
2019/12/23, 164, 111, 13, 17, 3, 14
2019/12/24, 191, 76, 7, 17, 1, 8
2019/12/25, 161, 91, 8, 19, 1, 9
2019/12/26, 177, 99, 9, 22, 2, 11
2019/12/27, 182, 92, 5, 25, 2, 14
2019/12/28, 175, 123, , 26, 2, 14
2019/12/29, 191, , , , , 
2020/1/1, , 113, 15, 34, 10, 15
2019/12/2, , 83, 9, 27, 5, 8
