date, pm25
2020/1/2, 114
2020/1/3, 116
2020/1/4, 109
2020/1/5, 99
2020/1/6, 110
2020/1/7, 125
2020/1/8, 159
2020/1/9, 100
2020/1/10, 167
2020/1/11, 164
2020/1/12, 141
2020/1/13, 110
2020/1/14, 215
2020/1/15, 184
2020/1/16, 169
2019/10/1, 79
2019/10/2, 91
2019/10/3, 97
2019/10/4, 90
2019/10/5, 102
2019/10/6, 78
2019/10/7, 72
2019/10/8, 87
2019/10/9, 104
2019/10/10, 107
2019/10/11, 116
2019/10/12, 117
2019/10/13, 112
2019/10/14, 140
2019/10/15, 150
2019/10/16, 130
2019/10/17, 137
2019/10/18, 135
2019/10/19, 136
2019/10/20, 136
2019/10/21, 132
2019/10/22, 135
2019/10/23, 139
2019/10/24, 125
2019/10/25, 127
2019/10/26, 135
2019/10/27, 129
2019/10/28, 81
2019/10/29, 95
2019/10/30, 80
2019/10/31, 82
2019/11/1, 125
2019/11/2, 81
2019/11/3, 82
2019/11/4, 113
2019/11/5, 104
2019/11/6, 96
2019/11/7, 140
2019/11/8, 142
2019/11/9, 139
2019/11/10, 155
2019/11/11, 160
2019/11/12, 161
2019/11/13, 175
2019/11/14, 186
2019/11/15, 189
2019/11/16, 145
2019/11/17, 169
2019/11/18, 189
2019/11/19, 159
2019/11/20, 191
2019/11/21, 161
2019/11/22, 103
2019/11/23, 180
2019/11/24, 140
2019/11/25, 146
2019/11/26, 181
2019/11/27, 188
2019/11/28, 164
2019/11/29, 105
2019/11/30, 138
2019/12/1, 125
2019/12/2, 120
2019/12/3, 159
2019/12/4, 129
2019/12/5, 156
2019/12/6, 180
2019/12/7, 219
2019/12/8, 152
2019/12/9, 221
2019/12/10, 172
2019/12/11, 136
2019/12/12, 123
2019/12/13, 120
2019/12/14, 125
2019/12/15, 105
2019/12/16, 97
2019/12/17, 117
2019/12/18, 142
2019/12/19, 175
2019/12/20, 200
2019/12/21, 157
2019/12/22, 142
2019/12/23, 120
2019/12/24, 129
2019/12/25, 86
2019/12/26, 98
2019/12/27, 100
2019/12/28, 105
2019/7/1, 77
2019/7/2, 104
2019/7/3, 255
2019/7/4, 163
2019/7/5, 135
2019/7/6, 102
2019/7/7, 102
2019/7/8, 94
2019/7/9, 88
2019/7/10, 82
2019/7/11, 91
2019/7/12, 105
2019/7/13, 102
2019/7/15, 103
2019/7/16, 98
2019/7/17, 102
2019/7/18, 108
2019/7/19, 101
2019/7/20, 123
2019/7/21, 104
2019/7/22, 109
2019/7/23, 111
2019/7/24, 104
2019/7/25, 128
2019/7/26, 147
2019/7/27, 127
2019/7/28, 118
2019/7/29, 108
2019/7/30, 104
2019/7/31, 177
2019/8/1, 138
2019/8/2, 105
2019/8/3, 83
2019/8/4, 105
2019/8/5, 93
2019/8/6, 131
2019/8/7, 150
2019/8/8, 176
2019/8/9, 216
2019/8/10, 282
2019/8/11, 182
2019/8/12, 173
2019/8/13, 178
2019/8/14, 223
2019/8/15, 154
2019/8/16, 119
2019/8/17, 124
2019/8/18, 112
2019/8/19, 126
2019/8/20, 118
2019/8/21, 125
2019/8/22, 143
2019/8/23, 113
2019/8/24, 127
2019/8/25, 107
2019/8/26, 125
2019/8/27, 108
2019/8/28, 110
2019/8/29, 183
2019/8/30, 152
2019/8/31, 154
2019/9/1, 110
2019/9/2, 92
2019/9/3, 101
2019/9/4, 107
2019/9/5, 100
2019/9/6, 89
2019/9/7, 96
2019/9/8, 121
2019/9/9, 122
2019/9/10, 166
2019/9/11, 127
2019/9/12, 125
2019/9/13, 121
2019/9/14, 111
2019/9/15, 88
2019/9/16, 103
2019/9/17, 100
2019/9/18, 97
2019/9/19, 126
2019/9/20, 102
2019/9/21, 224
2019/9/22, 144
2019/9/23, 474
2019/9/24, 276
2019/9/25, 227
2019/9/26, 205
2019/9/27, 172
2019/9/28, 158
2019/9/29, 167
2019/9/30, 175
2019/6/25, 122
2019/6/26, 98
2019/6/27, 61
2019/6/28, 66
2019/6/29, 90
2019/6/30, 105
