date, pm25, pm10, o3
2020/1/2, 36, 10, 
2020/1/3, 38, 9, 
2020/1/4, 33, 9, 
2020/1/5, 29, 7, 
2020/1/6, 14, 8, 
2020/1/7, 20, 7, 
2020/1/8, 18, 13, 
2020/1/9, 39, 16, 
2020/1/10, 48, 5, 
2020/1/11, 12, 8, 
2020/1/12, 25, 12, 
2020/1/13, 43, 11, 
2020/1/14, 43, 16, 
2020/1/15, 57, 10, 
2020/1/16, 31, , 
2019/10/1, 19, 6, 10
2019/10/2, 11, 4, 15
2019/10/3, 8, 4, 17
2019/10/4, 11, 6, 19
2019/10/5, 14, 10, 23
2019/10/6, 16, 10, 24
2019/10/7, 17, 12, 29
2019/10/8, 17, 14, 39
2019/10/9, 21, 14, 27
2019/10/10, 33, 6, 24
2019/10/11, 10, 9, 25
2019/10/12, 18, 3, 20
2019/10/13, 9, 5, 20
2019/10/14, 14, 8, 16
2019/10/15, 19, 5, 15
2019/10/16, 12, 9, 8
2019/10/17, 28, 19, 
2019/10/18, 26, 16, 
2019/10/19, 33, 11, 
2019/10/20, 22, 12, 
2019/10/21, 25, 4, 
2019/10/22, 7, 6, 
2019/10/23, 13, 6, 
2019/10/24, 13, 11, 
2019/10/25, 23, 16, 
2019/10/26, 26, 14, 
2019/10/27, 32, 9, 
2019/10/28, 21, 14, 
2019/10/29, 31, 13, 
2019/10/30, 25, 11, 
2019/10/31, 29, 21, 
2019/11/1, 40, 9, 
2019/11/2, 25, 10, 
2019/11/3, 24, 11, 
2019/11/4, 32, 7, 
2019/11/5, 15, 12, 
2019/11/6, 26, 8, 
2019/11/7, 19, 19, 
2019/11/8, 47, 28, 
2019/11/9, 48, 9, 
2019/11/10, 28, 9, 
2019/11/11, 11, 9, 
2019/11/12, 16, 14, 
2019/11/13, 28, 16, 
2019/11/14, 47, 16, 
2019/11/15, 42, 17, 
2019/11/16, 54, 24, 
2019/11/17, 64, 11, 
2019/11/18, 39, 16, 
2019/11/19, 53, 15, 
2019/11/20, 49, 5, 
2019/11/21, 16, 6, 
2019/11/22, 17, 10, 
2019/11/23, 27, 11, 
2019/11/24, 30, 9, 
2019/11/25, 22, 3, 
2019/11/26, 9, 2, 
2019/11/27, 4, 5, 
2019/11/28, 15, 9, 
2019/11/29, 33, 4, 
2019/11/30, 17, 2, 
2019/12/1, 5, 6, 
2019/12/2, 20, 11, 
2019/12/3, 35, 10, 
2019/12/4, 29, 17, 
2019/12/5, 55, 10, 
2019/12/6, 28, 15, 
2019/12/7, 47, 17, 
2019/12/8, 51, 15, 
2019/12/9, 44, 14, 
2019/12/10, 38, 18, 
2019/12/11, 48, 16, 
2019/12/12, 54, 26, 
2019/12/13, 73, 24, 
2019/12/14, 65, 10, 
2019/12/15, 28, 14, 
