date, pm25, pm10, o3, no2, so2, co
2020/1/1, 65, 7, , 3, , 
2020/1/2, 19, 9, , 8, , 
2020/1/3, 22, 6, , 6, , 
2020/1/4, 16, 3, , 4, , 
2020/1/5, 9, 6, , 5, , 
2020/1/6, 15, 8, , 4, , 
2020/1/7, 22, 9, , 9, , 
2020/1/8, 23, 12, , 16, , 
2020/1/9, 35, 10, , 13, , 
2020/1/10, 31, 3, , 6, , 
2020/1/11, 10, 6, , 7, , 
2020/1/12, 17, 6, , 6, , 
2020/1/13, 15, 7, , 9, , 
2020/1/14, 18, 9, , 4, , 
2020/1/15, 22, 7, , 3, , 
2020/1/16, 17, , , , , 
2019/10/1, 9, 6, , 10, , 
2019/10/2, 16, 8, , 11, , 
2019/10/3, 21, 7, , 7, , 
2019/10/4, 19, 7, , 9, , 
2019/10/5, 19, 5, , 6, , 
2019/10/6, 15, 8, , 5, , 
2019/10/7, 18, 8, , 4, , 
2019/10/8, 19, 8, , 4, , 
2019/10/9, 18, 7, , 5, , 
2019/10/10, 19, 8, , 6, , 
2019/10/11, 17, 7, , 8, , 
2019/10/12, 19, 6, , 7, , 
2019/10/13, 19, 8, , 11, , 
2019/10/14, 23, 9, , 12, , 
2019/10/15, 26, 7, , 10, , 
2019/10/16, 19, 9, , 13, , 
2019/10/17, 20, 6, , 11, , 
2019/10/18, 19, 4, , 5, , 
2019/10/19, 11, 4, , 6, , 
2019/10/20, 9, 7, , 10, , 
2019/10/21, 15, 6, , 6, , 
2019/10/22, 14, 7, , 6, , 
2019/10/23, 20, 6, , 7, , 
2019/10/24, 13, 8, , 11, , 
2019/10/25, 19, 8, , 8, , 
2019/10/26, 23, 6, , 7, , 
2019/10/27, 16, 8, , 17, , 
2019/10/28, 19, 8, , 18, , 
2019/10/29, 22, 8, , 17, , 
2019/10/30, 24, 14, , 18, , 
2019/10/31, 40, 13, , 12, , 
2019/11/1, 38, 9, , 17, , 
2019/11/2, 28, 7, , 4, , 
2019/11/3, 21, 4, , 5, , 
2019/11/4, 11, 9, , 11, , 
2019/11/5, 28, 12, , 14, , 
2019/11/6, 38, 4, , 7, , 
2019/11/7, 12, 10, , 16, , 
2019/11/8, 26, 10, , 16, , 
2019/11/9, 28, 7, , 13, , 
2019/11/10, 20, 2, , 9, , 
2019/11/11, 8, 3, , 9, , 
2019/11/12, 12, 9, , 14, , 
2019/11/13, 31, 4, , 13, , 
2019/11/14, 12, 4, , 7, , 
2019/11/15, 15, 13, , 16, , 
2019/11/16, 42, 18, , 14, , 
2019/11/17, 57, 17, , 18, , 
2019/11/18, 56, 17, , 24, , 
2019/11/19, 50, 14, , 15, , 
2019/11/20, 47, 10, , 10, , 
2019/11/21, 30, 13, , 16, , 
2019/11/22, 36, 12, , 7, , 
2019/11/23, 39, 17, , 13, , 
2019/11/24, 51, 15, , 12, , 
2019/11/25, 47, 7, , 8, , 
2019/11/26, 26, 6, , 15, , 
2019/11/27, 23, 6, , 10, , 
2019/11/28, 17, 13, , 18, , 
2019/11/29, 40, 22, , 19, , 
2019/11/30, 66, 17, , 17, , 
2019/12/1, 57, 8, , 11, , 
2019/12/2, 19, 10, , 12, , 
2019/12/3, 32, 8, , 7, , 
2019/12/4, 21, 4, , 5, , 
2019/12/5, 10, 4, , 9, , 
2019/12/6, 13, 3, , 6, , 
2019/12/7, 9, 5, , 4, , 
2019/12/8, 13, 7, , 14, , 
2019/12/9, 17, 5, , 4, , 
2019/12/10, 13, 6, , 7, , 
2019/12/11, 16, 9, , 16, , 
2019/12/12, 27, 5, , 14, , 
2019/12/13, 19, 4, , 7, , 
2019/12/14, 16, 8, , 11, , 
2019/12/15, 21, 6, , 12, , 
2019/12/16, 16, 6, , 14, , 
2019/12/17, 18, 7, , 20, , 
2019/12/18, 24, 10, , 20, , 
2019/12/19, 26, 4, , 16, , 
2019/12/20, 15, 9, , 20, , 
2019/12/21, 35, 9, , 17, , 
2019/12/22, 35, 6, , 8, , 
2019/12/23, 15, 8, , 17, , 
2019/12/24, 24, 10, , 13, , 
2019/12/25, 35, 6, , 8, , 
2019/12/26, 20, 7, , 14, , 
2019/12/27, 20, 7, , 4, , 
2019/12/28, 22, , , , , 
2019/7/1, 9, 7, , 5, , 
2019/7/2, 14, 6, , 6, , 
2019/7/3, 13, 6, , 5, , 
2019/7/4, 12, 3, , 4, , 
2019/7/5, 6, 6, , 4, , 
2019/7/6, 13, 4, , 4, , 
2019/7/7, 9, 8, , 10, , 
2019/7/8, 17, 5, , 7, , 
2019/7/9, 15, 5, , 5, , 
2019/7/10, 14, 4, , 5, , 
2019/7/11, 10, 10, , 6, , 
2019/7/12, 14, 6, , 6, , 
2019/7/13, 14, 6, , 5, , 
2019/7/14, 12, 8, , 6, , 
2019/7/15, 19, 15, , 8, , 
2019/7/16, 34, 7, , 5, , 
2019/7/17, 19, 8, , 5, , 
2019/7/18, 16, 8, , 7, , 
2019/7/19, 16, 7, , 5, , 
2019/7/20, 14, 3, , 3, , 
2019/7/21, 8, 7, , 2, , 
2019/7/22, 18, 8, , 6, , 
2019/7/23, 19, 9, , 5, , 
2019/7/24, 24, 14, , 7, , 
2019/7/25, 33, 11, , 6, , 
2019/7/26, 22, 10, , 8, , 
2019/7/27, 19, 20, , 5, , 
2019/7/28, 52, 15, , 8, , 
2019/7/29, 38, 11, , 7, , 
2019/7/30, 25, 14, , 6, , 
2019/7/31, 34, 9, , 6, , 
2019/8/1, 25, 9, , 8, , 
2019/8/2, 18, 9, , 5, , 
2019/8/3, 27, 14, , 6, , 
2019/8/4, 33, 9, , 5, , 
2019/8/5, 18, 6, , 8, , 
2019/8/6, 14, 4, , 8, , 
2019/8/7, 10, 5, , 6, , 
2019/8/8, 11, 9, , 7, , 
2019/8/9, 19, 10, , 6, , 
2019/8/10, 21, 6, , 7, , 
2019/8/11, 15, 5, , 7, , 
2019/8/12, 11, 7, , 8, , 
2019/8/13, 15, 6, , 10, , 
2019/8/14, 12, 5, , 5, , 
2019/8/15, 9, 4, , 5, , 
2019/8/16, 12, 8, , 4, , 
2019/8/17, 17, 7, , 3, , 
2019/8/18, 17, 10, , 5, , 
2019/8/19, 19, 15, , 8, , 
2019/8/20, 24, 6, , 4, , 
2019/8/21, 15, 7, , 4, , 
2019/8/22, 16, 7, , 6, , 
2019/8/23, 17, 11, , 11, , 
2019/8/24, 27, 17, , 8, , 
2019/8/25, 51, 11, , 8, , 
2019/8/26, 32, 12, , 9, , 
2019/8/27, 32, 6, , 6, , 
2019/8/28, 13, 7, , 4, , 
2019/8/29, 17, 7, , 4, , 
2019/8/30, 18, 6, , 4, , 
2019/8/31, 16, 5, , 3, , 
2019/9/1, 10, 3, , 5, , 
2019/9/2, 8, 2, , 5, , 
2019/9/3, 7, 5, , 5, , 
2019/9/4, 13, 10, , 5, , 
2019/9/5, 22, 6, , 5, , 
2019/9/6, 14, 4, , 7, , 
2019/9/7, 16, 5, , 5, , 
2019/9/8, 13, 3, , 9, , 
2019/9/9, 9, 5, , 7, , 
2019/9/10, 11, 7, , 3, , 
2019/9/11, 18, 6, , 5, , 
