date, pm25, o3, no2, so2, co
2020/1/2, 11, , 9, 2, 2
2020/1/3, 6, , 10, 2, 3
2020/1/4, 14, , 13, 1, 3
2020/1/5, 11, , 18, 1, 3
2020/1/6, 27, , 14, 1, 3
2020/1/7, 23, , 7, 1, 3
2020/1/8, 18, , 14, , 3
2020/1/9, 11, , 13, 1, 3
2020/1/10, 33, , 8, , 1
2020/1/11, 24, , 4, , 2
2020/1/12, 16, , 9, 2, 
2020/1/13, 27, , 23, 2, 3
2020/1/14, 26, , 37, 2, 5
2020/1/15, 62, , , , 
2019/10/1, 16, , 9, 1, 
2019/10/2, 23, , 8, 1, 1
2019/10/3, 26, , 12, 5, 1
2019/10/4, 24, , 7, 4, 1
2019/10/5, 23, , 8, 5, 1
2019/10/6, 21, , 9, 2, 1
2019/10/7, 17, , 2, , 1
2019/10/8, 1, , 8, 1, 1
2019/10/9, 8, , 14, 5, 2
2019/10/10, 32, , 17, 3, 3
2019/10/11, 47, , 10, 1, 2
2019/10/12, 43, , 11, 1, 2
2019/10/13, 41, , 3, 5, 2
2019/10/14, 12, , 3, , 2
2019/10/15, 19, , 8, 2, 3
2019/10/16, 19, , 12, 1, 3
2019/10/17, 24, , 16, 1, 3
2019/10/18, 23, , 15, 1, 3
2019/10/19, 20, , 5, 8, 2
2019/10/20, 13, , 14, 4, 3
2019/10/21, 28, , 10, 3, 3
2019/10/22, 27, , 8, , 3
2019/10/23, 14, , 14, 5, 3
2019/10/24, 23, , 10, 1, 2
2019/10/25, 20, , 2, , 2
2019/10/26, 9, , 8, 3, 2
2019/10/27, 12, , 2, , 2
2019/10/28, 3, , 15, 2, 3
2019/10/29, 18, , 18, 4, 3
2019/10/30, 28, , 6, 1, 3
2019/10/31, 15, , 14, 4, 3
2019/11/1, 36, , 10, 1, 3
2019/11/2, 21, , 4, , 3
2019/11/3, 19, , 7, 1, 3
2019/11/4, 35, , 11, 1, 4
2019/11/5, 15, , 21, 1, 5
2019/11/6, 31, , 22, 1, 5
2019/11/7, 39, , 15, 1, 5
2019/11/8, 25, , 5, 3, 3
2019/11/9, 14, , 11, 2, 5
2019/11/10, 14, , 21, 1, 5
2019/11/11, 37, , 23, 5, 7
2019/11/12, 33, , 21, 3, 5
2019/11/13, 42, , 13, , 2
2019/11/14, 43, , , , 
2019/12/8, 28, , , , 
2019/12/14, 50, , 16, 8, 4
2019/12/15, 18, , 21, 2, 5
2019/12/16, 20, , 28, 1, 6
2019/12/17, 30, , 15, 4, 5
2019/12/18, 22, , 11, 1, 4
2019/12/19, 53, , 23, 2, 5
2019/12/20, 60, , 18, 2, 2
2019/12/21, 82, , 22, 1, 3
2019/12/22, 39, , 22, , 3
2019/12/23, 50, , 12, , 2
2019/12/24, 40, , 18, 2, 3
2019/12/25, 26, , 19, , 3
2019/12/26, 7, , 22, 1, 3
2019/12/27, 22, , 21, 2, 3
2019/12/28, 21, , , , 
2019/7/1, 25, , 7, 11, 2
2019/7/2, 8, , 9, 2, 2
2019/7/3, 10, , 14, 2, 3
2019/7/4, 32, , 5, 5, 2
2019/7/5, 19, , 5, 2, 2
2019/7/6, 21, , 5, 4, 2
2019/7/7, 27, , 5, 7, 2
2019/7/8, 29, , 5, 4, 2
2019/7/9, 37, , 5, 1, 2
2019/7/10, 32, , 6, 6, 2
2019/7/11, 21, , 6, 5, 2
2019/7/12, 17, , 5, 1, 2
2019/7/13, 18, , 5, 3, 2
2019/7/14, 21, , 6, 10, 3
2019/7/15, 39, , 10, 1, 3
2019/7/16, 26, , 6, 1, 2
2019/7/17, 13, , 5, 3, 2
2019/7/18, 12, , 5, 2, 2
2019/7/19, 17, , 4, 5, 2
2019/7/20, 37, , 4, , 2
2019/7/21, 42, , 3, , 2
2019/7/22, 20, , 8, 2, 3
2019/7/23, 35, , 7, 9, 2
2019/7/24, 22, , 3, 17, 1
2019/7/25, 16, , 7, 7, 2
2019/7/26, 19, , 5, 3, 2
2019/7/27, 13, , 3, 6, 2
2019/7/28, 12, , 5, 1, 2
2019/7/29, 20, , 6, 3, 2
2019/7/30, 25, , 7, 1, 3
2019/7/31, 38, , 5, 4, 2
2019/8/1, 20, , 5, , 2
2019/8/2, 32, , 3, 1, 2
2019/8/3, 19, , 5, 13, 2
2019/8/4, 19, , 4, 11, 2
2019/8/5, 24, , 3, 4, 1
2019/8/6, 14, , 4, 1, 2
2019/8/7, 16, , 4, 1, 2
2019/8/8, 28, , 2, , 1
2019/8/9, 3, , 2, 1, 1
2019/8/10, 8, , 1, 1, 1
2019/8/11, 7, , 5, 7, 2
2019/8/12, 19, , 4, 2, 2
2019/8/13, 22, , 9, 3, 2
2019/8/14, 35, , 7, 6, 2
2019/8/15, 42, , 3, 10, 1
2019/8/16, 4, , 3, 1, 1
2019/8/17, 2, , 6, 4, 2
2019/8/18, 13, , 7, 9, 2
2019/8/19, 26, , 3, 1, 2
2019/8/20, 17, , 2, , 1
2019/8/21, 21, , 5, , 2
2019/8/22, 14, , 7, 2, 2
2019/8/23, 11, , 8, 1, 2
2019/8/24, 17, , 4, 1, 2
2019/8/25, 8, , 3, 1, 2
2019/8/26, 6, , 11, 2, 3
2019/8/27, 24, , 5, 1, 2
2019/8/28, 7, , 12, 3, 3
2019/8/29, 22, , 8, 1, 2
2019/8/30, 20, , 8, 2, 3
2019/8/31, 28, , 4, , 3
2019/9/1, 23, , 4, 2, 2
2019/9/2, 19, , 10, 5, 3
2019/9/3, 31, , 8, 4, 2
2019/9/4, 26, , 6, 3, 2
2019/9/5, 10, , 6, 1, 2
2019/9/6, 17, , 8, 2, 2
2019/9/7, 25, , 5, 9, 2
2019/9/8, 10, , 6, 5, 2
2019/9/9, 17, , 2, , 2
2019/9/10, 2, , 3, , 2
2019/9/11, 13, , 5, , 2
2019/9/12, 10, , 9, 1, 3
2019/9/13, 18, , 8, 6, 3
2019/9/14, 14, , 8, 3, 3
2019/9/15, 24, , 6, , 2
2019/9/16, 15, , 11, 10, 2
2019/9/17, 22, , 13, 4, 3
2019/9/18, 31, , 9, 2, 2
2019/9/19, 20, , 7, 3, 
2019/9/20, 10, , 10, 3, 1
2019/9/21, 22, , 8, 3, 1
2019/9/22, 22, , 4, 3, 1
2019/9/23, 9, , 7, 4, 1
2019/9/24, 11, , 5, 4, 1
2019/9/25, 3, , 6, 2, 2
2019/9/26, 5, , 5, 1, 
2019/9/27, 7, , 7, 3, 2
2019/9/28, 4, , 9, 4, 1
2019/9/29, 3, , 8, , 2
2019/9/30, 8, , 8, 1, 1
2019/4/1, 16, , 7, , 
2019/4/2, 23, , 6, 1, 1
2019/4/3, 24, , 11, 3, 1
2019/4/4, 51, , 3, 1, 2
2019/4/5, 32, , 4, 1, 2
2019/4/6, 43, , 10, 2, 2
2019/4/7, 20, , 6, 1, 2
2019/4/8, 13, , 7, 1, 2
2019/4/9, 19, , 9, 2, 2
2019/4/10, 21, , 6, 2, 2
2019/4/11, 15, , 9, 3, 2
2019/4/12, 37, , 8, 2, 2
2019/4/13, 19, , 10, 1, 3
2019/4/14, 25, , 5, , 2
2019/4/15, 21, , 11, 2, 3
2019/4/16, 29, , 11, 4, 3
2019/4/17, 24, , 15, 1, 3
2019/4/18, 25, , 3, 2, 2
2019/4/19, 14, , 7, 1, 2
2019/4/20, 17, , 11, 3, 3
2019/4/21, 26, , 12, 1, 3
2019/4/22, 35, , 8, 4, 3
2019/4/23, 21, , 6, 4, 2
2019/4/24, 20, , 5, , 3
2019/4/25, 14, , 8, 6, 3
2019/4/26, 24, , 4, 7, 3
2019/4/27, 16, , 11, 2, 3
2019/4/28, 20, , 7, 1, 3
2019/4/29, 15, , 5, 2, 3
2019/4/30, 16, , 5, 4, 3
2019/5/1, 21, , 6, 1, 3
2019/5/2, 32, , 4, , 2
2019/5/3, 11, , 3, , 1
2019/5/4, 7, , 6, , 1
2019/5/5, 24, , 9, 3, 2
2019/5/6, 40, , 7, 4, 2
2019/5/7, 31, , 10, 4, 2
2019/5/8, 36, , 11, 3, 2
2019/5/9, 26, , 5, 2, 2
2019/5/10, 14, , 6, 1, 2
2019/5/11, 17, , 4, 2, 2
2019/5/12, 31, , 11, 10, 2
2019/5/13, 36, , 7, 2, 2
2019/5/14, 28, , 9, 8, 2
2019/5/15, 27, , 5, 1, 2
2019/5/16, 20, , 2, , 2
2019/5/17, 20, , 4, , 2
2019/5/18, 29, , 2, 2, 2
2019/5/19, 16, , 2, , 2
2019/5/20, 11, , 5, 1, 2
2019/5/21, 21, , 10, 7, 3
2019/5/22, 42, , 15, 3, 3
2019/5/23, 57, , 13, 6, 3
2019/5/24, 47, , 8, 9, 3
2019/5/25, 61, , 9, 12, 3
2019/5/26, 78, , 12, 2, 3
2019/5/27, 65, , 13, 2, 4
2019/5/28, 81, , 12, 3, 3
2019/5/29, 87, , 17, 3, 18
2019/5/30, 365, , 6, 2, 5
2019/5/31, 94, , 7, 1, 5
2019/6/1, 131, , 6, 5, 4
2019/6/2, 55, , 7, 6, 3
2019/6/3, 52, , 8, 3, 3
2019/6/4, 32, , 9, 3, 3
2019/6/5, 22, , 11, 2, 3
2019/6/6, 24, , 4, 2, 3
2019/6/7, 15, , 6, 2, 4
2019/6/8, 45, , 5, 1, 4
2019/6/9, 20, , 8, 1, 3
2019/6/10, 15, , 8, 3, 3
2019/6/11, 16, , 7, 8, 2
2019/6/12, 31, , 8, 8, 2
2019/6/13, 30, , 6, 4, 2
2019/6/14, 39, , 4, 9, 2
2019/6/15, 20, , 9, 8, 3
2019/6/16, 44, , 10, 7, 9
2019/6/17, 27, , 6, 2, 2
2019/6/18, 5, , 7, 2, 2
2019/6/19, 9, , 6, 5, 2
2019/6/20, 5, , 3, , 3
2019/6/21, 57, , 2, 1, 3
2019/6/22, 44, , 4, 1, 2
2019/6/23, 33, , 4, 1, 2
2019/6/24, 18, , 4, 1, 2
2019/6/25, 23, , 13, 2, 3
2019/6/26, 35, , 8, 4, 3
2019/6/27, 22, , 4, 4, 2
2019/6/28, 10, , 8, 2, 2
2019/6/29, 18, , 3, 6, 2
2019/6/30, 25, , 3, 2, 2
2019/1/1, 12, , 30, 4, 2
2019/1/2, 33, , 21, 1, 2
2019/1/3, 19, , 15, 2, 1
2019/1/4, 37, , 7, 1, 1
