date, pm25, o3
2020/1/2, 28, 
2020/1/3, 30, 
2020/1/4, 31, 
2020/1/5, 32, 
2020/1/6, 26, 
2020/1/7, 24, 
2020/1/8, 29, 
2020/1/9, 30, 
2020/1/10, 46, 
2020/1/11, 18, 
2020/1/12, 26, 
2020/1/13, 31, 
2020/1/14, 46, 
2020/1/15, 39, 
2020/1/16, 33, 
2019/10/1, 40, 21
2019/10/2, 33, 15
2019/10/3, 15, 24
2019/10/4, 18, 25
2019/10/5, 32, 25
2019/10/6, 29, 27
2019/10/7, 31, 32
2019/10/8, 40, 39
2019/10/9, 43, 24
2019/10/10, 48, 24
2019/10/11, 32, 33
2019/10/12, 29, 26
2019/10/13, 33, 25
2019/10/14, 29, 26
2019/10/15, 42, 23
2019/10/16, 30, 21
2019/10/17, 34, 24
2019/10/18, 46, 34
2019/10/19, 46, 31
2019/10/20, 48, 29
2019/10/21, 46, 24
2019/10/22, 30, 22
2019/10/23, 40, 24
2019/10/24, 35, 25
2019/10/25, 44, 19
2019/10/26, 60, 27
2019/10/27, 51, 16
2019/10/28, 47, 23
2019/10/29, 48, 19
2019/10/30, 53, 22
2019/10/31, 37, 22
2019/11/1, 50, 21
2019/11/2, 45, 27
2019/11/3, 38, 24
2019/11/4, 39, 26
2019/11/5, 38, 19
2019/11/6, 41, 
2019/11/7, 31, 
2019/11/8, 32, 
2019/11/12, 35, 
2019/11/13, 30, 
2019/11/14, 52, 
2019/11/15, 58, 
2019/11/16, 64, 
2019/11/17, 57, 
2019/11/18, 48, 
2019/11/19, 46, 
2019/11/20, 50, 
2019/11/21, 27, 
2019/11/22, 26, 
2019/11/23, 42, 
2019/11/24, 41, 
2019/11/25, 43, 
2019/11/26, 32, 
2019/11/27, 18, 
2019/11/28, 21, 
2019/11/29, 27, 
2019/11/30, 43, 
2019/12/1, 23, 
2019/12/2, 21, 
2019/12/3, 32, 
2019/12/4, 27, 
2019/12/5, 41, 
2019/12/6, 35, 
2019/12/7, 41, 
2019/12/8, 59, 
2019/12/9, 34, 
2019/12/10, 36, 
2019/12/11, 49, 
2019/12/12, 42, 
2019/12/13, 45, 
2019/12/14, 62, 
2019/12/15, 43, 
2019/12/16, 39, 
2019/12/17, 37, 
2019/12/18, 33, 
