date, pm25, pm10
2020/1/2, 12, 
2020/1/3, 19, 
2020/1/4, 13, 
2020/1/5, 16, 
2020/1/6, 11, 
2020/1/7, 15, 
2020/1/8, 10, 
2020/1/9, 17, 
2020/1/10, 26, 
2020/1/11, 10, 
2020/1/12, 10, 
2020/1/13, 13, 
2020/1/14, 19, 
2020/1/15, 25, 
2019/10/1, 26, 
2019/10/2, 29, 
2019/10/3, 31, 
2019/10/4, 21, 
2019/10/5, 22, 
2019/10/6, 22, 
2019/10/7, 25, 
2019/10/8, 15, 
2019/10/9, 11, 
2019/10/10, 32, 
2019/10/11, 38, 
2019/10/12, 43, 
2019/10/13, 37, 
2019/10/14, 35, 
2019/10/15, 38, 
2019/10/16, 34, 
2019/10/17, 18, 
2019/10/18, 19, 
2019/10/19, 10, 
2019/10/20, 12, 
2019/10/21, 15, 
2019/10/22, 11, 
2019/10/23, 23, 
2019/10/24, 83, 
2019/10/25, 33, 
2019/10/26, 10, 
2019/10/27, 25, 
2019/10/28, 31, 
2019/10/29, 23, 
2019/10/30, 47, 
2019/10/31, 64, 
2019/11/1, 55, 
2019/11/4, 28, 
2019/11/5, 41, 
2019/11/6, 37, 
2019/11/7, 44, 
2019/11/8, 47, 
2019/11/9, 45, 
2019/11/10, 34, 
2019/11/11, 43, 
2019/11/12, 38, 
2019/11/13, 32, 
2019/11/14, 48, 
2019/11/15, 56, 
2019/11/16, 22, 
2019/11/17, 28, 
2019/11/18, 33, 
2019/11/19, 28, 
2019/11/20, 24, 
2019/11/21, 38, 
2019/11/22, 58, 
2019/11/23, 55, 
2019/11/24, 32, 
2019/11/25, 25, 
2019/11/26, 28, 
2019/11/27, 23, 
2019/11/28, 39, 
2019/11/29, 42, 
2019/11/30, 54, 
2019/12/1, 56, 
2019/12/2, 43, 
2019/12/3, 37, 
2019/12/4, 42, 
2019/12/5, 33, 
2019/12/6, 46, 
2019/12/7, 37, 
2019/12/8, 28, 
2019/12/9, 37, 
2019/12/10, 45, 
2019/12/11, 36, 
2019/12/12, 20, 
2019/12/13, 24, 
2019/12/14, 40, 
2019/12/15, 27, 
2019/12/16, 44, 
2019/12/17, 60, 
2019/12/18, 70, 
2019/12/19, 45, 
2019/12/20, 9, 
2019/12/21, 8, 
2019/12/22, 14, 
2019/12/23, 16, 
2019/12/24, 19, 
2019/12/25, 18, 
2019/12/26, 17, 
2019/12/27, 35, 
2019/12/28, 59, 
2019/7/1, 17, 
2019/7/2, 22, 
2019/7/3, 15, 
2019/7/4, 18, 
2019/7/5, 21, 
2019/7/6, 28, 
2019/7/7, 27, 
2019/7/8, 19, 
2019/7/9, 21, 
2019/7/10, 27, 
2019/7/11, 28, 
2019/7/12, 18, 
2019/7/13, 20, 
2019/7/14, 18, 
2019/7/15, 18, 
2019/7/16, 20, 
2019/7/17, 18, 
2019/7/18, 14, 
2019/7/19, 17, 
2019/7/20, 19, 
2019/7/21, 19, 
2019/7/22, 27, 
2019/7/23, 27, 
2019/7/24, 18, 
2019/7/25, 24, 
2019/7/26, 30, 
2019/7/27, 21, 
2019/7/28, 17, 
2019/7/29, 28, 
2019/7/30, 28, 
2019/7/31, 27, 
2019/8/1, 28, 
2019/8/2, 24, 
2019/8/3, 16, 
2019/8/4, 21, 
2019/8/5, 43, 
2019/8/6, 48, 
2019/8/7, 45, 
2019/8/8, 30, 
2019/8/9, 25, 
2019/8/10, 18, 
2019/8/11, 16, 
2019/8/12, 22, 
2019/8/13, 29, 
2019/8/14, 24, 
2019/8/15, 22, 
2019/8/16, 23, 
2019/8/17, 24, 
2019/8/18, 30, 
2019/8/19, 27, 
2019/8/20, 27, 
2019/8/21, 30, 
2019/8/22, 13, 
2019/8/23, 18, 
2019/8/24, 23, 
2019/8/25, 15, 
2019/8/26, 15, 
2019/8/27, 18, 
2019/8/28, 30, 
2019/8/29, 31, 
