date, pm25, pm10, o3, no2, so2, co
2020/1/2, 177, 89, 15, 30, 14, 17
2020/1/3, 162, 70, 20, 25, 16, 13
2020/1/4, 150, 83, 11, 28, 11, 13
2020/1/5, 163, 71, 9, 26, 8, 13
2020/1/6, 152, 34, 28, 11, 5, 6
2020/1/7, 83, 34, 27, 15, 6, 7
2020/1/8, 81, 59, 21, 24, 9, 13
2020/1/9, 116, 64, 22, 27, 10, 16
2020/1/10, 139, 47, 24, 20, 8, 9
2020/1/11, 99, 53, 21, 20, 10, 9
2020/1/12, 108, 50, 24, 17, 9, 
2020/1/13, 95, 57, 25, 19, 10, 
2020/1/14, 106, 91, 14, 27, 15, 7
2020/1/15, 163, 79, 19, 20, 12, 5
2020/1/16, 147, , , , , 
2019/10/1, 158, 66, 90, 23, 6, 7
2019/10/2, 138, 69, 47, 16, 4, 6
2019/10/3, 138, 23, 22, 6, 6, 1
2019/10/4, 49, 31, 31, 17, 4, 3
2019/10/5, 52, 54, 26, 22, 7, 6
2019/10/6, 70, 63, 30, 21, 7, 9
2019/10/7, 116, 33, 26, 13, 5, 5
2019/10/8, 48, 62, 48, 25, 15, 16
2019/10/9, 93, 64, 38, 20, 8, 13
2019/10/10, 122, 36, 26, 14, 5, 2
2019/10/11, 52, 34, 29, 15, 9, 2
2019/10/12, 49, 34, 18, 14, 5, 1
2019/10/13, 56, 40, 24, 18, 8, 3
2019/10/14, 58, 59, 27, 24, 13, 8
2019/10/15, 74, 67, 18, 29, 14, 11
2019/10/16, 97, 83, 20, 31, 15, 16
2019/10/17, 150, 92, 21, 30, 14, 18
2019/10/18, 165, 107, 47, 26, 11, 20
2019/10/19, 186, 139, 51, 37, 19, 23
2019/10/20, 217, 51, 24, 20, 5, 5
2019/10/21, 65, 87, 40, 28, 14, 13
2019/10/22, 115, 105, 43, 31, 10, 13
2019/10/23, 156, 91, 56, 19, 7, 8
2019/10/24, 159, 25, 28, 15, 4, 3
2019/10/25, 56, 57, 21, 24, 12, 7
2019/10/26, 82, 82, 23, 36, 18, 17
2019/10/27, 152, 71, 26, 22, 9, 9
2019/10/28, 112, 46, 22, 24, 9, 7
2019/10/29, 69, 119, 23, 44, 27, 26
2019/10/30, 159, 90, 27, 35, 14, 11
2019/10/31, 125, 43, 27, 18, 7, 4
2019/11/1, 65, 68, 11, 31, 14, 12
2019/11/2, 107, 38, 28, 12, 7, 3
2019/11/3, 68, 72, 11, 27, 15, 11
2019/11/4, 98, 60, 24, 18, 11, 8
2019/11/5, 87, 68, 20, 23, 13, 9
2019/11/6, 94, 30, 28, 11, 6, 5
2019/11/7, 56, 72, 21, 30, 17, 16
2019/11/8, 112, 121, 23, 32, 17, 18
2019/11/9, 183, 68, 34, 23, 9, 10
2019/11/10, 133, 53, 25, 25, 10, 9
2019/11/11, 86, 75, 22, 24, 10, 13
2019/11/12, 117, 49, 25, 14, 7, 2
2019/11/13, 76, 53, 22, 23, 11, 2
2019/11/14, 70, 49, 21, 15, 9, 2
2019/11/15, 78, 39, 20, 16, 8, 2
2019/11/16, 75, 71, 15, 20, 7, 3
2019/11/17, 130, 59, 24, 9, 6, 
2019/11/18, 62, 52, 23, 18, 9, 
2019/11/19, 73, 78, 15, 28, 18, 
2019/11/20, 114, 118, 9, 33, 20, 
2019/11/21, 174, 103, 24, 28, 13, 
2019/11/22, 170, 71, 7, 27, 8, 
2019/11/23, 148, 37, 20, 9, 5, 
2019/11/24, 74, 45, 18, 16, 10, 
2019/11/25, 76, 63, 14, 24, 14, 12
2019/11/26, 121, 34, 25, 11, 6, 
2019/11/27, 61, 48, 16, 22, 11, 1
2019/11/28, 87, 61, 20, 23, 12, 8
2019/11/29, 115, 78, 11, 25, 13, 
2019/11/30, 163, 38, 23, 22, 9, 
2019/12/1, 72, 36, 23, 14, 10, 
2019/12/2, 65, 60, 16, 24, 13, 
2019/12/3, 114, 47, 12, 17, 12, 
2019/12/4, 96, 48, 18, 16, 10, 4
2019/12/5, 97, 71, 10, 26, 14, 15
2019/12/6, 150, 66, 21, 24, 11, 11
2019/12/7, 130, 120, 7, 35, 18, 27
2019/12/8, 204, 150, 7, 43, 11, 39
2019/12/9, 232, 116, 10, 35, 16, 24
2019/12/10, 190, 28, 22, 14, 5, 5
2019/12/11, 60, 48, 18, 21, 11, 11
2019/12/12, 80, 55, 19, 25, 17, 17
2019/12/13, 115, 36, 21, 16, 7, 4
2019/12/14, 77, 63, 11, 27, 21, 19
2019/12/15, 125, 65, 4, 27, 12, 19
2019/12/16, 147, 34, 24, 12, 7, 8
2019/12/17, 84, 41, 18, 20, 9, 9
2019/12/18, 76, 42, 23, 17, 8, 8
2019/12/19, 93, 43, 17, 23, 11, 12
2019/12/20, 80, 59, 12, 28, 14, 16
2019/12/21, 129, 53, 10, 23, 9, 10
2019/12/22, 118, 56, 24, 20, 11, 10
2019/12/23, 129, 57, 12, 23, 10, 10
2019/12/24, 122, 79, 13, 24, 15, 17
2019/12/25, 166, 59, 19, 21, 14, 8
2019/12/26, 130, 88, 9, 28, 18, 23
2019/12/27, 161, 116, 5, 33, 18, 25
2019/12/28, 187, 102, 2, 32, 9, 22
2019/12/29, 197, , , , , 
2019/7/1, 63, 44, 44, 21, 11, 11
2019/7/2, 75, 44, 87, 14, 8, 6
2019/7/3, 78, 56, 140, 14, 12, 15
2019/7/4, 121, 66, 101, 14, 5, 8
2019/7/5, 146, 33, 66, 16, 5, 4
2019/7/6, 69, 46, 57, 15, 6, 5
2019/7/7, 97, 47, 71, 19, 6, 5
2019/7/8, 88, 47, 60, 13, 5, 4
2019/7/9, 93, 49, 50, 14, 5, 4
2019/7/10, 80, 41, 46, 14, 4, 4
2019/7/11, 65, 63, 113, 15, 9, 13
2019/7/12, 122, 50, 62, 20, 8, 8
2019/7/13, 102, 57, 62, 24, 7, 5
2019/7/14, 92, 65, 68, 16, 8, 8
2019/7/15, 117, 48, 43, 9, 4, 4
2019/7/16, 88, 61, 46, 10, 4, 4
2019/7/17, 102, 44, 42, 5, 4, 4
2019/7/18, 83, 40, 43, 10, 4, 4
2019/7/19, 75, 51, 49, 14, 7, 9
2019/7/20, 95, 63, 105, 13, 6, 16
2019/7/21, 137, 78, 114, 19, 10, 20
2019/7/22, 160, 51, 67, 10, 5, 5
2019/7/23, 94, 48, 103, 15, 6, 10
2019/7/24, 105, 52, 64, 13, 7, 9
2019/7/25, 108, 51, 89, 14, 7, 12
2019/7/26, 106, 60, 71, 9, 3, 6
2019/7/27, 133, 33, 48, 5, 4, 4
2019/7/28, 65, 41, 58, 9, 4, 6
2019/7/29, 84, 33, 88, 9, 6, 11
