date, pm25, pm10, o3, no2, co
2020/1/1, 164, 62, 3, 27, 
2020/1/2, 159, 58, 4, 24, 
2020/1/3, 153, 53, 5, 28, 
2020/1/4, 144, 45, 13, 23, 
2020/1/5, 117, 30, 17, 22, 
2020/1/6, 74, 40, 3, 19, 
2020/1/7, 99, 33, 5, 20, 
2020/1/8, 80, 47, 3, 24, 
2020/1/9, 117, 53, 3, 37, 
2020/1/10, 142, 58, 3, 29, 
2020/1/11, 154, 55, 5, 33, 
2020/1/12, 152, 51, 3, 25, 
2020/1/13, 122, 61, 3, 26, 
2020/1/14, 155, , , , 
2019/10/1, 50, , 17, 27, 
2019/10/3, 50, 14, 21, 23, 
2019/10/4, 25, 27, 22, 23, 
2019/10/5, 65, 20, 26, 10, 
2019/10/6, 59, 13, 21, 32, 
2019/10/7, 34, 16, 23, 15, 
2019/10/8, 42, 19, 26, 18, 
2019/10/9, 53, 37, 18, 29, 
2019/10/10, 89, 29, 18, 37, 
2019/10/11, 72, 55, 15, 34, 
2019/10/12, 137, 57, 25, 25, 
2019/10/13, 129, 62, 24, 18, 
2019/10/14, 154, 26, 23, 7, 
2019/10/15, 63, 16, 19, 34, 
2019/10/16, 53, 29, 17, 35, 
2019/10/17, 59, 29, 16, 31, 
2019/10/18, 65, 21, 24, 12, 
2019/10/19, 42, 17, 28, 6, 
2019/10/20, 42, 28, 25, 7, 
2019/10/21, 63, 33, 20, 33, 
2019/10/22, 72, 33, 24, 22, 
2019/10/23, 72, 33, 17, 11, 
2019/10/24, 72, , 18, 28, 
2019/10/29, 97, 16, 10, 12, 
2019/10/30, 46, 16, 9, 21, 
2019/10/31, 55, 13, 16, 9, 
2019/11/1, 42, 25, 12, 16, 
2019/11/2, 74, 15, 7, 10, 
2019/11/3, 42, 16, 10, 12, 
2019/11/4, 57, 19, 4, 24, 
2019/11/5, 57, 17, 12, 32, 
2019/11/6, 38, 29, 9, 16, 
2019/11/7, 70, 12, 10, 20, 
2019/11/8, 57, 19, 15, 20, 
2019/11/9, 50, 27, 13, 30, 
2019/11/10, 72, 17, 12, 19, 
2019/11/11, 57, 12, 9, 21, 
2019/11/12, 46, 21, 10, 27, 
2019/11/13, 63, 15, 13, 17, 
2019/11/15, 13, 21, 11, 21, 
2019/11/16, 70, 11, 21, 20, 
2019/11/17, 42, 14, 15, 13, 
2019/11/18, 46, 9, 22, 11, 
2019/11/19, 25, 22, 16, 21, 
2019/11/20, 63, 35, 5, 16, 
2019/11/21, 78, 29, 10, 15, 
2019/11/22, 65, 15, 22, 6, 
2019/11/23, 38, 18, 25, 3, 
2019/11/24, 38, 20, 24, 26, 
2019/11/25, 50, 20, 24, 26, 
2019/11/26, 50, 25, 3, 18, 
2019/11/27, 70, 28, 3, 20, 
2019/11/28, 80, 36, 3, 23, 
2019/11/29, 87, 38, 3, 19, 
2019/11/30, 87, 22, 10, 15, 
2019/12/1, 70, 20, 10, 21, 
2019/12/2, 63, 12, 16, 20, 
2019/12/4, 74, 47, 5, 33, 
2019/12/5, 117, 52, 3, 25, 
2019/12/6, 132, 54, 5, 29, 
2019/12/7, 151, 59, 3, 24, 
2019/12/8, 155, 64, , 24, 
2019/12/9, 159, 53, 3, 27, 
2019/12/10, 132, 35, 11, 47, 
2019/12/11, 74, 30, 7, 31, 
2019/12/12, 85, 24, 7, 26, 
2019/12/13, 78, 24, 7, 26, 
2019/12/14, 78, 37, 6, 22, 
2019/12/15, 104, 54, 3, 31, 
2019/12/16, 144, 51, 3, 21, 
2019/12/17, 129, 40, 3, 22, 
2019/12/18, 87, 30, 3, 21, 
2019/12/19, 72, 24, 16, 20, 
2019/12/20, 53, 12, 19, 17, 
2019/12/21, 34, 12, 19, 23, 
2019/12/22, 50, 12, 15, 22, 
2019/12/23, 34, 19, 13, 23, 
2019/12/24, 55, 33, 9, 28, 
2019/12/25, 89, 50, 7, 24, 
2019/12/26, 132, 51, 4, 25, 
2019/12/27, 137, , , , 
2019/7/1, 65, , 61, 19, 
2019/7/3, 50, 20, 60, 23, 
2019/7/4, 50, 24, 70, 15, 
2019/7/5, 59, 27, 63, 16, 
2019/7/6, 63, 27, 41, 12, 
2019/7/7, 57, 20, 57, 9, 
2019/7/8, 53, 13, 37, 17, 
2019/7/9, 46, 18, 40, 7, 
2019/7/10, 42, 19, 45, 9, 
2019/7/11, 50, 17, 50, 8, 
2019/7/12, 50, 12, 44, 6, 
2019/7/13, 38, 10, 43, 9, 
2019/7/14, 30, 11, 30, 14, 
2019/7/15, 30, 17, 44, 38, 
2019/7/16, 50, 20, 47, 25, 
2019/7/17, 59, 23, 43, 9, 
2019/7/18, 55, 20, 47, 10, 
2019/7/19, 57, 21, 53, 7, 
2019/7/20, 57, 19, 49, 11, 
2019/7/21, 61, 26, 63, 18, 
2019/7/22, 65, 28, 51, 8, 
2019/7/23, 55, 24, 48, 16, 
2019/7/24, 55, 20, 49, 15, 
2019/7/25, 38, 22, 57, 21, 
2019/7/26, 59, 15, 36, 9, 
2019/7/27, 46, 15, 28, 16, 
2019/7/28, 34, 17, 39, 15, 
2019/7/29, 53, 20, 45, 17, 
2019/7/30, 46, 22, 44, 17, 
2019/7/31, 55, 22, 52, 19, 
2019/8/1, 57, 22, 39, 17, 
2019/8/2, 50, 12, 41, 12, 
2019/8/3, 34, 11, 41, 6, 
2019/8/4, 38, 13, 45, 5, 
2019/8/5, 38, 18, 45, 5, 
2019/8/6, 46, 18, 40, 6, 
2019/8/7, 42, 21, 40, 11, 
2019/8/8, 53, 22, 45, 7, 
2019/8/9, 55, , 45, 6, 
2019/8/13, 50, 15, 32, 9, 
2019/8/14, 38, 10, 37, 8, 
2019/8/15, 34, 14, 38, 9, 
2019/8/16, 25, 14, 42, 8, 
2019/8/17, 34, 12, 42, 5, 
2019/8/18, 46, 17, 39, 5, 
2019/8/19, 38, 20, 41, 5, 
2019/8/20, 46, 24, 42, 14, 
2019/8/21, 53, 14, 29, 10, 
2019/8/22, 42, 21, 33, 15, 
2019/8/23, 53, 23, , , 
2019/8/24, 65, 19, , , 
2019/8/25, 57, 27, 44, 14, 
2019/8/26, 68, 32, 43, 19, 
2019/8/27, 74, 33, 38, 18, 
2019/8/28, 74, 26, 38, 42, 
2019/8/29, 59, 35, 45, 20, 
2019/8/30, 72, 28, 45, 20, 
2019/8/31, 70, 24, 43, 27, 
2019/9/1, 76, 30, 40, 18, 
2019/9/2, 57, 14, 31, 10, 
2019/9/3, 21, 21, 41, 24, 
2019/9/4, 50, 30, 51, 27, 
2019/9/5, 55, 15, 34, 13, 
2019/9/6, 42, 16, 28, 32, 
2019/9/7, 42, 14, 23, 12, 
2019/9/8, 38, 11, 23, 32, 
2019/9/9, 21, 10, 33, 17, 
2019/9/10, 34, 18, 30, 48, 
2019/9/11, 46, 24, 37, 45, 
2019/9/12, 57, 21, 38, 27, 
2019/9/13, 55, 22, 34, 29, 
2019/9/14, 55, 20, 39, 15, 
2019/9/15, 55, 24, 39, 24, 
2019/9/16, 57, 27, 50, 22, 
2019/9/17, 65, 21, 31, 18, 
2019/9/18, 55, 16, 16, 21, 
2019/9/19, 42, 20, 28, 32, 
2019/9/20, 42, 15, 31, 25, 
2019/9/21, 53, 16, 15, 18, 
2019/9/22, 55, , , 17, 
2019/9/27, 50, 20, 30, 19, 
2019/9/28, 53, 21, 28, 40, 
2019/9/29, 42, 22, 29, 27, 
2019/9/30, 38, 26, 24, 33, 
2019/6/12, 46, 23, 48, 20, 
2019/6/13, 46, 28, 43, 20, 
2019/6/14, 55, 33, 40, 18, 
2019/6/15, 59, 26, 41, 26, 
2019/6/16, 55, 24, 43, 14, 
2019/6/17, 57, 17, 48, 21, 
2019/6/18, 53, 25, 45, 17, 
2019/6/19, 63, 23, 39, 24, 
2019/6/20, 55, 27, 27, 20, 
2019/6/21, 59, 24, 20, 11, 
2019/6/22, 57, 20, 39, 8, 
2019/6/23, 50, 21, , 8, 
2019/6/24, 50, 21, 61, 17, 
2019/6/25, 55, 28, 59, 28, 
2019/6/26, 61, 39, , 47, 
2019/6/27, 76, 31, 55, 16, 
2019/6/28, 65, 26, 56, 7, 
2019/6/29, 55, 30, 69, 12, 
2019/6/30, 59, 33, 63, 14, 
2019/12/31, , 68, 7, 30, 
2019/10/2, , 10, 24, 35, 
2019/10/28, , 40, 5, 14, 
2019/11/14, , 11, 17, 22, 
2019/12/3, , 30, 13, 36, 
2019/7/2, , 22, 61, 11, 
2019/8/12, , 27, 35, 10, 
2019/9/26, , 15, 30, 15, 
2019/6/11, , 43, 33, 14, 
2019/10/25, , , 11, 32, 
