date, pm25, o3, no2, so2, co
2020/1/2, 30, , 8, , 3
2020/1/3, 7, , 5, , 3
2020/1/4, 5, , 10, 1, 3
2020/1/5, 14, , 5, 1, 3
2020/1/6, 13, , 10, , 2
2020/1/7, 15, , 6, 1, 1
2020/1/8, 14, , 13, 3, 
2020/1/9, 15, , 15, 1, 
2020/1/10, 16, , 8, 2, 
2020/1/11, 19, , 7, 2, 
2020/1/12, 13, , 13, 2, 
2020/1/13, 21, , 6, 1, 
2020/1/14, 16, , 12, 3, 
2020/1/15, 23, , , , 
2019/10/1, 15, , 9, , 2
2019/10/2, 19, , 9, 1, 2
2019/10/3, 21, , 6, 1, 2
2019/10/4, 19, , 1, , 1
2019/10/5, 15, , 5, , 1
2019/10/6, 14, , 8, 1, 1
2019/10/7, 20, , 1, , 1
2019/10/8, 10, , 5, , 1
2019/10/9, 10, , 7, , 1
2019/10/10, 16, , 7, 1, 2
2019/10/11, 22, , 8, 1, 2
2019/10/12, 27, , 8, , 2
2019/10/13, 31, , 4, 2, 1
2019/10/14, 15, , 5, 1, 2
2019/10/15, 13, , 4, , 2
2019/10/16, 19, , 4, , 2
2019/10/17, 18, , 8, 2, 2
2019/10/18, 21, , 8, 2, 2
2019/10/19, 22, , 3, , 2
2019/10/20, 6, , 6, , 2
2019/10/21, 12, , 6, , 2
2019/10/22, 22, , 5, , 2
2019/10/23, 24, , 4, , 2
2019/10/24, 7, , 7, 1, 2
2019/10/25, 13, , 3, 1, 2
2019/10/26, 11, , 5, 1, 2
2019/10/27, 15, , 5, 1, 2
2019/10/28, 12, , 11, , 3
2019/10/29, 15, , 6, , 2
2019/10/30, 11, , 9, 1, 3
2019/10/31, 20, , 7, , 3
2019/11/1, 13, , 7, , 3
2019/11/2, 32, , 3, 1, 2
2019/11/3, 8, , 9, , 3
2019/11/4, 19, , 4, 1, 2
2019/11/5, 10, , 3, 1, 2
2019/11/6, 14, , 7, 1, 3
2019/11/7, 19, , 7, 3, 2
2019/11/8, 20, , 5, 1, 2
2019/11/9, 13, , 5, , 3
2019/11/10, 16, , 13, , 4
2019/11/11, 25, , 16, 2, 3
2019/11/12, 25, , 13, 2, 2
2019/11/13, 23, , 5, 1, 1
2019/11/14, 10, , , , 
2019/12/8, 29, , , , 
2019/12/14, 26, , 14, , 2
2019/12/15, 20, , 13, 5, 2
2019/12/16, 27, , 10, , 2
2019/12/17, 18, , 11, 1, 2
2019/12/18, 13, , 7, , 2
2019/12/19, 3, , 9, 5, 2
2019/12/20, 25, , 11, 4, 2
2019/12/21, 29, , 8, 1, 2
2019/12/22, 30, , 10, , 3
2019/12/23, 28, , 9, , 3
2019/12/24, 23, , 8, , 3
2019/12/25, 21, , 14, , 3
2019/12/26, 25, , 14, , 4
2019/12/27, 14, , 9, , 3
2019/12/28, 12, , , , 
2019/7/1, 12, , 1, 2, 1
2019/7/2, 12, , 4, 3, 1
2019/7/3, 14, , 3, 4, 2
2019/7/4, 17, , 3, 2, 2
2019/7/5, 19, , 3, , 2
2019/7/6, 24, , 2, 1, 2
2019/7/7, 30, , 5, 5, 2
2019/7/8, 17, , 3, 1, 2
2019/7/9, 14, , 5, , 2
2019/7/10, 23, , 8, 1, 2
2019/7/11, 27, , 4, 2, 3
2019/7/12, 41, , 5, 9, 2
2019/7/13, 37, , 3, 1, 3
2019/7/14, 50, , 4, 3, 3
2019/7/15, 19, , 3, 1, 2
2019/7/16, 34, , 3, , 2
2019/7/17, 33, , 3, 2, 2
2019/7/18, 25, , 4, 1, 2
2019/7/19, 42, , 6, 4, 2
2019/7/20, 78, , 2, , 3
2019/7/21, 70, , 4, 1, 2
2019/7/22, 28, , 3, , 2
2019/7/23, 26, , 7, 1, 2
2019/7/24, 53, , 2, , 2
2019/7/25, 26, , 1, , 2
2019/7/26, 10, , 2, , 2
2019/7/27, 5, , 2, 2, 1
2019/7/28, 21, , 2, , 2
2019/7/29, 20, , 4, , 2
2019/7/30, 30, , 4, 3, 2
2019/7/31, 27, , 2, , 2
2019/8/1, 38, , 2, , 2
2019/8/2, 38, , 3, 4, 2
2019/8/3, 34, , 3, , 3
2019/8/4, 19, , 4, 2, 2
2019/8/5, 20, , 2, 2, 2
2019/8/6, 9, , 5, 6, 2
2019/8/7, 24, , 6, 3, 2
2019/8/8, 35, , 2, 2, 2
2019/8/9, 11, , 3, 1, 2
2019/8/10, 16, , 3, , 2
2019/8/11, 30, , 3, , 2
2019/8/12, 15, , 4, 1, 2
2019/8/13, 24, , 4, , 2
2019/8/14, 29, , 4, 1, 2
2019/8/15, 28, , 2, 2, 1
2019/8/16, 13, , 1, , 1
2019/8/17, 14, , 3, 4, 1
2019/8/18, 15, , 4, 6, 1
2019/8/19, 13, , 3, 1, 2
2019/8/20, 10, , 2, , 2
2019/8/21, 12, , 2, , 2
2019/8/22, 17, , 4, , 2
2019/8/23, 12, , 2, , 2
2019/8/24, 7, , 4, 5, 2
2019/8/25, 11, , 4, 4, 2
2019/8/26, 14, , 2, , 2
2019/8/27, 13, , 3, 3, 2
2019/8/28, 14, , 3, 6, 2
2019/8/29, 20, , 5, 8, 3
2019/8/30, 29, , 6, 7, 3
2019/8/31, 27, , 3, , 2
2019/9/1, 17, , 2, , 2
2019/9/2, 12, , 4, , 3
2019/9/3, 18, , 3, , 3
2019/9/4, 17, , 2, 4, 2
2019/9/5, 14, , 5, 2, 3
2019/9/6, 19, , 4, 1, 3
2019/9/7, 18, , 3, 1, 3
2019/9/8, 14, , 4, , 3
2019/9/9, 16, , 5, , 3
2019/9/10, 17, , 5, , 2
2019/9/11, 19, , 6, 1, 2
2019/9/12, 23, , 6, , 2
2019/9/13, 14, , 6, , 2
2019/9/14, 12, , 6, 2, 2
2019/9/15, 11, , 5, , 2
2019/9/16, 13, , 4, 4, 2
2019/9/17, 24, , 5, 1, 2
2019/9/18, 16, , 6, , 2
2019/9/19, 19, , 3, , 2
2019/9/20, 14, , 4, , 2
2019/9/21, 15, , 4, , 2
2019/9/22, 10, , 2, , 2
2019/9/23, 10, , 2, 1, 2
2019/9/24, 21, , 7, , 2
2019/9/25, 16, , 4, , 2
2019/9/26, 14, , 4, 1, 2
2019/9/27, 15, , 3, , 2
2019/9/28, 17, , 6, 1, 2
2019/9/29, 17, , 7, , 2
2019/9/30, 15, , 8, 1, 2
2019/4/1, 18, , 4, 3, 3
2019/4/2, 22, , 2, , 3
2019/4/3, 18, , 4, 1, 3
2019/4/4, 21, , 5, , 3
2019/4/5, 25, , 5, , 4
2019/4/6, 24, , 4, , 4
2019/4/7, 17, , 5, 4, 4
2019/4/8, 25, , 3, , 4
2019/4/9, 21, , 6, 1, 4
2019/4/10, 15, , 3, 1, 3
2019/4/11, 18, , 7, , 2
2019/4/12, 22, , 6, 1, 2
2019/4/13, 23, , 4, 5, 1
2019/4/14, 22, , 3, 4, 1
2019/4/15, 14, , 5, , 2
2019/4/16, 18, , 5, 4, 2
2019/4/17, 23, , 5, , 2
2019/4/18, 8, , 2, , 2
2019/4/19, 9, , 4, 2, 2
2019/4/20, 12, , 4, , 2
2019/4/21, 18, , 4, 1, 2
2019/4/22, 28, , 1, , 2
2019/4/23, 12, , 4, , 2
2019/4/24, 16, , 3, 1, 2
2019/4/25, 13, , 6, 6, 2
2019/4/26, 16, , 2, , 2
2019/4/27, 13, , 7, 2, 2
2019/4/28, 30, , 7, 1, 2
2019/4/29, 20, , 4, 3, 2
2019/4/30, 14, , 3, , 2
2019/5/1, 15, , 2, , 2
2019/5/2, 20, , 2, 3, 1
2019/5/3, 15, , 3, 5, 1
2019/5/4, 18, , 4, 1, 1
2019/5/5, 20, , 4, 3, 1
2019/5/6, 23, , 6, 1, 2
2019/5/7, 25, , 5, 3, 2
2019/5/8, 19, , 5, 1, 2
