date, pm25, o3
2020/1/2, 35, 
2020/1/3, 34, 
2020/1/4, 15, 
2020/1/5, 12, 
2020/1/6, 16, 
2020/1/7, 23, 
2020/1/8, 21, 
2020/1/9, 21, 
2020/1/10, 17, 
2020/1/11, 19, 
2020/1/12, 15, 
2020/1/13, 24, 
2020/1/14, 28, 
2020/1/15, 21, 
2020/1/16, 27, 
2019/10/1, 17, 25
2019/10/2, 22, 36
2019/10/3, 24, 18
2019/10/4, 16, 34
2019/10/5, 45, 28
2019/10/6, 31, 29
2019/10/7, 10, 31
2019/10/8, 17, 30
2019/10/9, 18, 21
2019/10/10, 28, 25
2019/10/11, 7, 27
2019/10/12, 10, 30
2019/10/13, 15, 28
2019/10/14, 27, 21
2019/10/15, 28, 29
2019/10/16, 13, 27
2019/10/17, 19, 28
2019/10/18, 23, 27
2019/10/19, 32, 30
2019/10/20, 34, 29
2019/10/21, 11, 27
2019/10/22, 15, 28
2019/10/23, 13, 24
2019/10/24, 14, 16
2019/10/25, 13, 19
2019/10/26, 14, 24
2019/10/27, 23, 17
2019/10/28, 30, 4
2019/10/29, 8, 15
2019/10/30, 6, 25
2019/10/31, 11, 23
2019/11/1, 13, 23
2019/11/2, 16, 24
2019/11/3, 18, 31
2019/11/4, 30, 31
2019/11/5, 30, 22
2019/11/6, 33, 18
2019/11/7, 27, 24
2019/11/8, 21, 22
2019/11/9, 29, 25
2019/11/10, 31, 23
2019/11/11, 26, 26
2019/11/12, 14, 24
2019/11/13, 27, 32
2019/11/14, 25, 27
2019/11/15, 29, 29
2019/11/16, 36, 30
2019/11/17, 41, 24
2019/11/18, 33, 27
2019/11/19, 30, 31
2019/11/20, 32, 21
2019/11/21, 42, 8
2019/11/22, 11, 19
2019/11/23, 23, 20
2019/11/24, 22, 30
2019/11/25, 38, 19
2019/11/26, 41, 27
2019/11/27, 11, 20
2019/11/28, 15, 17
2019/11/29, 11, 33
2019/11/30, 25, 25
2019/12/1, 10, 27
2019/12/2, 17, 21
2019/12/3, 19, 27
2019/12/4, 27, 29
2019/12/5, 32, 26
2019/12/6, 31, 19
2019/12/7, 42, 15
2019/12/8, 47, 15
2019/12/9, 39, 
2019/12/10, 16, 
2019/12/11, 22, 
2019/12/12, 21, 
2019/12/13, 28, 
2019/12/14, 56, 
2019/12/15, 50, 
2019/12/16, 18, 
2019/12/17, 26, 
2019/12/18, 31, 
2019/12/19, 21, 
2019/12/20, 37, 
2019/12/21, 38, 
2019/12/22, 28, 
2019/12/23, 26, 
2019/12/24, 20, 
2019/12/25, 24, 
2019/12/26, 31, 
2019/12/27, 43, 
2019/12/28, 23, 
2019/7/1, 34, 33
2019/7/2, 30, 27
