date, pm25, pm10, o3, no2, so2, co
2020/1/2, 302, 147, 15, 43, 24, 41
2020/1/3, 249, 185, 19, 47, 22, 33
2020/1/4, 291, 142, 31, 39, 22, 28
2020/1/5, 230, 81, 25, 33, 24, 30
2020/1/6, 166, 91, 32, 20, 28, 10
2020/1/7, 185, 67, 28, 13, 12, 6
2020/1/8, 156, 83, 25, 24, 16, 11
2020/1/9, 171, 107, 20, 30, 22, 21
2020/1/10, 190, 102, 22, 29, 17, 14
2020/1/11, 187, 115, 21, 27, 15, 15
2020/1/12, 196, 109, 19, 27, 20, 16
2020/1/13, 191, 100, 22, 28, 16, 14
2020/1/14, 185, 127, 28, 30, 25, 20
2020/1/15, 209, 138, 19, 29, 16, 20
2020/1/16, 211, , , , , 
2019/10/1, 151, 82, 83, 23, 15, 13
2019/10/2, 139, 73, 22, 12, 8, 6
2019/10/3, 128, 27, 16, 7, 5, 4
2019/10/4, 39, 46, 30, 13, 8, 5
2019/10/5, 79, 88, 34, 26, 29, 16
2019/10/6, 133, 89, 42, 19, 20, 10
2019/10/7, 131, 45, 24, 12, 9, 5
2019/10/8, 50, 76, 39, 18, 20, 13
2019/10/9, 104, 65, 49, 12, 27, 7
2019/10/10, 111, 57, 31, 15, 8, 5
2019/10/11, 92, 56, 33, 14, 10, 5
2019/10/12, 113, 51, 23, 12, 8, 4
2019/10/13, 97, 64, 26, 14, 8, 7
2019/10/14, 113, 90, 33, 23, 19, 11
2019/10/15, 145, 114, 27, 30, 22, 17
2019/10/16, 172, 145, 39, 31, 17, 28
2019/10/17, 208, 145, 36, 35, 18, 25
2019/10/18, 233, 113, 48, 32, 17, 16
2019/10/19, 195, 129, 55, 28, 18, 17
2019/10/20, 199, 87, 34, 24, 14, 10
2019/10/21, 112, 130, 57, 35, 20, 29
2019/10/22, 191, 145, 64, 34, 20, 23
2019/10/23, 224, 122, 56, 30, 16, 20
2019/10/24, 188, 33, 21, 12, 7, 3
2019/10/25, 70, 71, 45, 20, 22, 10
2019/10/26, 131, 102, 31, 28, 27, 27
2019/10/27, 171, 89, 49, 18, 19, 9
2019/10/28, 128, 50, 38, 16, 22, 10
2019/10/29, 74, 98, 41, 23, 23, 15
2019/10/30, 135, 105, 34, 24, 17, 12
2019/10/31, 149, 64, 30, 23, 16, 7
2019/11/1, 106, 81, 33, 22, 20, 15
2019/11/2, 144, 45, 27, 10, 8, 5
2019/11/3, 88, 100, 40, 31, 25, 15
2019/11/4, 176, 105, 28, 24, 21, 13
2019/11/5, 167, 99, 27, 24, 22, 12
2019/11/6, 153, 57, 25, 16, 12, 5
2019/11/7, 104, 112, 20, 29, 26, 16
2019/11/8, 175, 123, 32, 30, 27, 26
2019/11/9, 192, 104, 40, 27, 23, 10
2019/11/10, 179, 58, 45, 17, 8, 8
2019/11/11, 123, 67, 35, 20, 23, 19
2019/11/12, 117, 49, 28, 9, 8, 4
2019/11/13, 71, 41, 27, 11, 11, 4
2019/11/14, 65, 43, 27, 15, 14, 6
2019/11/15, 106, 59, 27, 20, 13, 11
2019/11/16, 123, 46, 23, 24, 24, 25
2019/11/17, 109, 112, 35, 10, 9, 7
2019/11/18, 72, 49, 27, 13, 10, 6
2019/11/19, 74, 88, 23, 24, 24, 25
2019/11/20, 149, 67, 30, 19, 22, 9
2019/11/21, 116, 53, 39, 13, 18, 8
2019/11/22, 91, 43, 33, 14, 10, 8
2019/11/23, 99, 35, 23, 8, 8, 4
2019/11/24, 68, 66, 33, 16, 19, 9
2019/11/25, 112, 89, 21, 20, 32, 17
2019/11/26, 126, 37, 23, 7, 11, 4
2019/11/27, 57, 58, 31, 17, 16, 10
2019/11/28, 116, 84, 24, 20, 23, 12
