date, pm25, pm10, o3, no2, so2, co
2020/1/2, 67, 52, 35, 24, 3, 5
2020/1/3, 85, 51, 36, 22, 2, 5
2020/1/4, 102, 50, 29, 20, 2, 7
2020/1/5, 122, 52, 42, 21, 5, 7
2020/1/6, 89, 66, 34, 26, 3, 7
2020/1/7, 145, 32, 49, 10, 3, 8
2020/1/8, 51, 43, 56, 13, 2, 8
2020/1/9, 106, 62, 42, 21, 3, 9
2020/1/10, 114, 66, 25, 27, 3, 9
2020/1/11, 131, 18, 26, 13, 2, 10
2020/1/12, 46, 39, 38, 13, 3, 7
2020/1/13, 102, 52, 44, 17, 3, 8
2020/1/14, 115, 58, 42, 13, 2, 10
2020/1/15, 156, 49, 35, 17, 2, 10
2020/1/16, 133, , , , , 
2019/10/1, 52, 53, 58, 11, 3, 7
2019/10/2, 107, 65, 74, 7, 2, 8
2019/10/3, 147, 61, 74, 8, 2, 8
2019/10/4, 149, 36, 61, 5, 2, 6
2019/10/5, 72, 42, 48, 3, 2, 7
2019/10/6, 86, 42, 58, 7, 3, 8
2019/10/7, 97, 46, 57, 7, 2, 10
2019/10/8, 102, 36, 50, 6, 5, 10
2019/10/9, 83, 47, 74, 9, 2, 8
2019/10/10, 84, 53, 93, 10, 2, 8
2019/10/11, 111, 54, 84, 9, 3, 8
2019/10/12, 116, 38, 79, 9, 1, 9
2019/10/13, 79, 34, 46, 6, 2, 7
2019/10/14, 59, 36, 50, 6, 2, 7
2019/10/15, 62, 39, 50, 7, 2, 7
2019/10/16, 68, 41, 50, 8, 3, 6
2019/10/17, 80, 45, 72, 9, 3, 6
2019/10/18, 94, 46, 74, 10, 3, 7
2019/10/19, 88, 48, 74, 11, 3, 7
2019/10/20, 95, 48, 79, 14, 3, 7
2019/10/21, 93, 48, 74, 15, 3, 7
2019/10/22, 90, 48, 66, 14, 3, 7
2019/10/23, 96, 50, 71, 14, 3, 8
2019/10/24, 103, 50, 78, 14, 3, 7
2019/10/25, 105, 53, 69, 9, 3, 7
2019/10/26, 117, 47, 58, 13, 2, 10
2019/10/27, 126, 20, 60, 14, 2, 10
2019/10/28, 49, 46, 62, 13, 3, 9
2019/10/29, 77, 108, 74, 13, 3, 8
2019/10/30, 137, 85, 68, 14, 3, 8
2019/10/31, 107, 58, 55, 11, 3, 6
2019/11/1, 83, 41, 51, 8, 3, 5
2019/11/2, 75, 75, 68, 11, 3, 7
2019/11/3, 123, 59, 68, 9, 3, 14
2019/11/4, 98, 53, 82, 9, 4, 7
2019/11/5, 100, 43, 60, 9, 3, 5
2019/11/6, 74, 46, 51, 12, 3, 8
2019/11/7, 107, 40, 59, 9, 12, 7
2019/11/8, 99, 50, 60, 11, 3, 6
2019/11/9, 91, 55, 57, 19, 4, 6
2019/11/10, 90, 66, 85, 25, 4, 8
2019/11/11, 121, 69, 86, 20, 4, 8
2019/11/12, 121, 68, 85, 20, 4, 8
2019/11/13, 111, 56, 68, 10, 3, 6
2019/11/14, 103, 51, 51, 12, 3, 5
2019/11/15, 62, 48, 46, 20, 2, 6
2019/11/16, 72, 51, 44, 16, 3, 6
2019/11/17, 90, 54, 43, 18, 3, 9
2019/11/18, 127, 48, 44, 8, 3, 7
2019/11/19, 74, 58, 41, 8, 3, 6
2019/11/20, 69, 44, 38, 9, 3, 6
2019/11/21, 64, 50, 34, 17, 3, 6
2019/11/22, 90, 48, 34, 18, 4, 7
2019/11/23, 109, 46, 44, 15, 3, 6
2019/11/24, 116, 32, 38, 8, 6, 6
2019/11/25, 78, 30, 34, 10, 2, 8
2019/11/26, 63, 39, 29, 14, 3, 8
2019/11/27, 75, 24, 31, 12, 3, 8
2019/11/28, 58, 33, 39, 9, 3, 7
2019/11/29, 56, 46, 36, 18, 3, 8
2019/11/30, 79, 43, 32, 13, 3, 8
2019/12/1, 86, 34, 41, 10, 2, 8
2019/12/2, 65, 48, 51, 12, 4, 9
2019/12/3, 119, 55, 57, 16, 4, 8
2019/12/4, 124, 48, 52, 16, 4, 5
2019/12/5, 106, 28, 40, 13, 2, 5
2019/12/6, 62, 30, 42, 13, 2, 4
2019/12/7, 61, 48, 45, 21, 3, 5
2019/12/8, 92, 57, 39, 24, 3, 6
2019/12/9, 103, 67, 40, 30, 4, 9
2019/12/10, 114, 63, 47, 27, 4, 7
2019/12/11, 108, 59, 61, 16, 4, 7
2019/12/12, 115, 53, 54, 22, 3, 6
2019/12/13, 85, 59, 38, 26, 4, 7
2019/12/14, 113, 61, 50, 22, 3, 8
2019/12/15, 106, 50, 44, 25, 3, 9
2019/12/16, 105, 65, 44, 29, 3, 10
2019/12/17, 128, 58, 35, 24, 2, 11
2019/12/18, 143, 27, 23, 19, 2, 7
2019/12/19, 63, 22, 18, 15, 2, 6
2019/12/20, 49, 30, 22, 18, 2, 6
2019/12/21, 65, 45, 21, 18, 2, 6
2019/12/22, 98, 37, 41, 19, 2, 8
2019/12/23, 72, 46, 26, 22, 3, 8
2019/12/24, 95, 42, 29, 21, 3, 6
2019/12/25, 92, 55, 30, 20, 3, 8
2019/12/26, 96, 31, 42, 13, 2, 8
2019/12/27, 71, 49, 41, 15, 3, 7
2019/12/28, 95, 53, 43, 27, 3, 6
2019/12/29, 86, , , , , 
2019/7/1, 75, 20, 60, 8, 1, 7
2019/7/2, 41, 25, 26, 11, 2, 6
2019/7/3, 53, 33, 27, 10, 7, 6
2019/7/4, 58, 36, 32, 11, 2, 7
