date, pm25, pm10
2020/1/1, 16, 
2020/1/4, 21, 7
2020/1/5, 26, 
2020/1/7, 46, 9
2020/1/8, 18, 11
2020/1/9, 25, 13
2020/1/10, 30, 16
2020/1/11, 37, 
2019/10/1, 54, 21
2019/10/2, 57, 19
2019/10/3, 52, 17
2019/10/4, 45, 20
2019/10/5, 36, 13
2019/10/6, 26, 16
2019/10/7, 28, 12
2019/10/8, 24, 9
2019/10/9, 16, 14
2019/10/10, 28, 16
2019/10/11, 35, 15
2019/10/12, 36, 9
2019/10/13, 23, 10
2019/10/14, 25, 14
2019/10/15, 32, 8
2019/10/16, 18, 9
2019/10/17, 19, 10
2019/10/18, 24, 8
2019/10/19, 23, 
2019/10/29, 40, 7
2019/10/30, 16, 7
2019/10/31, 17, 10
2019/11/1, 28, 10
2019/11/2, 29, 11
2019/11/3, 27, 11
2019/11/4, 31, 14
2019/11/5, 36, 16
2019/11/6, 43, 19
2019/11/7, 48, 8
2019/11/8, 21, 16
2019/11/9, 44, 17
2019/11/10, 53, 18
2019/11/11, 50, 7
2019/11/12, 19, 11
2019/11/13, 31, 15
2019/11/14, 47, 13
2019/11/15, 44, 13
2019/11/16, 35, 12
2019/11/17, 32, 13
2019/11/18, 40, 16
2019/11/19, 47, 17
2019/11/20, 46, 18
2019/11/21, 48, 23
2019/11/22, 64, 26
2019/11/23, 76, 5
2019/11/24, 16, 13
2019/11/25, 35, 22
2019/11/26, 52, 17
2019/11/27, 40, 7
2019/11/28, 16, 13
2019/11/29, 34, 17
2019/11/30, 47, 12
2019/12/1, 27, 5
2019/12/2, 11, 8
2019/12/3, 24, 9
2019/12/4, 21, 13
2019/12/5, 28, 25
2019/12/6, 51, 25
2019/12/7, 64, 15
2019/12/8, 46, 11
2019/12/9, 34, 17
2019/12/10, 44, 5
2019/12/11, 11, 10
2019/12/12, 30, 7
2019/12/13, 27, 6
2019/12/14, 21, 17
2019/12/15, 53, 20
2019/12/16, 52, 9
2019/12/17, 25, 5
2019/12/18, 16, 13
2019/12/19, 32, 17
2019/12/20, 48, 19
2019/12/21, 56, 16
2019/12/22, 47, 2
2019/12/23, 3, 3
2019/12/24, 4, 
2019/12/26, 47, 19
2019/12/27, 48, 20
2019/12/28, 53, 
2019/7/1, 57, 18
2019/7/2, 50, 18
2019/7/3, 46, 26
2019/7/4, 58, 19
2019/7/5, 45, 20
2019/7/6, 42, 22
2019/7/7, 49, 16
2019/7/8, 39, 15
2019/7/9, 43, 17
2019/7/10, 46, 17
2019/7/11, 43, 13
2019/7/12, 28, 13
2019/7/13, 29, 20
2019/7/14, 37, 32
2019/7/15, 49, 44
2019/7/16, 64, 32
2019/7/17, 54, 15
2019/7/18, 38, 16
2019/7/19, 40, 18
2019/7/20, 45, 10
2019/7/21, 27, 11
2019/7/22, 28, 8
2019/7/23, 20, 12
2019/7/24, 30, 15
2019/7/25, 36, 17
2019/7/26, 46, 18
2019/7/27, 53, 21
2019/7/28, 59, 23
2019/7/29, 62, 
2019/7/31, 68, 19
2019/8/1, 53, 15
2019/8/2, 44, 14
2019/8/3, 43, 11
2019/8/4, 30, 14
2019/8/5, 35, 15
2019/8/6, 40, 16
2019/8/7, 49, 14
2019/8/8, 41, 15
2019/8/9, 42, 16
2019/8/10, 45, 18
2019/8/11, 50, 21
2019/8/12, 58, 23
2019/8/13, 60, 13
2019/8/14, 34, 17
2019/8/15, 42, 16
2019/8/16, 41, 19
2019/8/17, 49, 21
2019/8/18, 56, 20
2019/8/19, 50, 13
2019/8/20, 30, 16
2019/8/21, 36, 32
2019/8/22, 54, 19
2019/8/23, 39, 16
2019/8/24, 37, 11
2019/8/25, 26, 14
2019/8/26, 31, 10
2019/8/27, 23, 13
2019/8/28, 31, 14
2019/8/29, 32, 16
2019/8/30, 36, 18
2019/8/31, 46, 18
2019/9/1, 47, 16
2019/9/2, 44, 17
2019/9/3, 48, 18
2019/9/4, 49, 18
2019/9/5, 51, 14
2019/9/6, 36, 18
2019/9/7, 45, 15
2019/9/8, 41, 16
2019/9/9, 39, 26
2019/9/10, 51, 24
2019/9/11, 58, 21
2019/9/12, 55, 19
2019/9/13, 50, 12
2019/9/14, 36, 11
2019/9/15, 35, 10
2019/9/16, 27, 
2019/9/18, 36, 18
2019/9/19, 31, 18
2019/9/20, 37, 17
2019/9/21, 39, 15
2019/9/22, 35, 16
2019/9/23, 32, 15
2019/9/24, 36, 15
2019/9/25, 31, 14
2019/9/26, 33, 18
2019/9/27, 43, 22
2019/9/28, 58, 20
2019/9/29, 55, 19
2019/9/30, 52, 20
2019/4/1, 20, 13
2019/4/2, 33, 21
2019/4/3, 42, 25
2019/4/4, 55, 11
2019/4/5, 27, 14
2019/4/6, 39, 14
2019/4/7, 36, 16
2019/4/8, 35, 14
2019/4/9, 25, 13
2019/4/10, 26, 17
2019/4/11, 38, 15
2019/4/12, 36, 17
2019/4/13, 48, 17
2019/4/14, 33, 7
2019/4/15, 15, 12
2019/4/16, 27, 23
2019/4/17, 55, 22
2019/4/18, 48, 9
2019/4/19, 21, 3
2019/4/20, 6, 8
2019/4/21, 15, 10
2019/4/22, 22, 14
2019/4/23, 32, 18
2019/4/24, 50, 19
2019/4/25, 46, 12
2019/4/26, 25, 12
2019/4/27, 25, 17
2019/4/28, 47, 24
