date, pm25, pm10, o3, no2, so2, co
2020/1/2, 90, 21, 16, 7, 1, 3
2020/1/3, 67, 8, 30, 4, 1, 2
2020/1/4, 33, 12, 25, 7, 1, 2
2020/1/5, 42, 17, 20, 4, 1, 3
2020/1/6, 63, 27, 14, 8, 1, 3
2020/1/7, 87, 20, 15, 7, 1, 3
2020/1/8, 68, 21, 19, 10, 1, 3
2020/1/9, 69, 11, 19, 8, 1, 4
2020/1/10, 45, 7, 25, 5, 1, 3
2020/1/11, 28, 13, 24, 3, 1, 3
2020/1/12, 52, 16, 19, 10, 1, 3
2020/1/13, 54, 32, 12, 10, 1, 5
2020/1/14, 99, 19, 14, 7, 2, 4
2020/1/15, 63, , , , , 
2019/10/1, 32, 11, 21, 12, , 2
2019/10/2, 33, 11, 21, 8, 1, 2
2019/10/3, 30, 13, 14, 10, 1, 2
2019/10/4, 29, 5, 24, 6, 1, 2
2019/10/5, 17, 8, 22, 7, 1, 2
2019/10/6, 32, 9, 22, 9, 1, 2
2019/10/7, 31, 20, 16, 11, 1, 3
2019/10/8, 63, 21, 18, 9, 1, 1
2019/10/9, 61, 14, 18, 8, 1, 1
2019/10/10, 45, 15, 18, 5, 1, 1
2019/10/11, 46, 10, 19, 6, 1, 2
2019/10/12, 33, 19, 21, 9, 2, 2
2019/10/13, 46, 18, 26, 6, , 2
2019/10/14, 45, 33, 22, 14, 1, 4
2019/10/15, 82, 40, 19, 10, 1, 5
2019/10/16, 99, 18, 18, 8, 1, 3
2019/10/17, 47, 32, 10, 12, 1, 4
2019/10/18, 79, 23, 22, 11, 1, 3
2019/10/19, 58, 47, 6, 10, 1, 5
2019/10/20, 123, 51, 12, 9, 1, 7
2019/10/21, 132, 34, 17, 11, 1, 4
2019/10/22, 84, 28, 20, 13, 1, 3
2019/10/23, 69, 40, 15, 9, 1, 3
2019/10/24, 105, 38, 16, 9, 1, 3
2019/10/25, 97, 17, 21, 6, 1, 2
2019/10/26, 49, 11, 27, 3, 1, 2
2019/10/27, 33, 11, 22, 8, 1, 2
2019/10/28, 36, 13, 26, 10, 1, 3
2019/10/29, 40, 15, 23, 11, 1, 3
2019/10/30, 40, 15, 21, 6, 1, 3
2019/10/31, 52, 27, 22, 4, 2, 3
2019/11/1, 85, 31, 16, 4, 1, 3
2019/11/2, 95, 33, 7, 7, 1, 4
2019/11/3, 100, 30, 6, 10, 1, 6
2019/11/4, 92, 11, 14, 8, 1, 4
2019/11/5, 42, 8, 14, 7, 1, 3
2019/11/6, 29, 25, 9, 11, 1, 4
2019/11/7, 73, 44, 6, 11, 1, 5
2019/11/8, 121, 31, 8, 8, 1, 4
2019/11/9, 92, 16, 19, 5, 1, 3
2019/11/10, 59, 22, 19, 4, 1, 3
2019/11/11, 75, 39, 8, 11, 2, 4
2019/11/12, 114, 20, 15, 15, 1, 5
2019/11/13, 68, 25, 23, 11, 1, 4
2019/11/14, 72, 24, 15, 10, 9, 4
2019/11/15, 71, 33, 8, 7, 1, 3
2019/11/16, 96, 33, 11, 11, 4, 5
2019/11/17, 93, 34, 10, 9, 1, 4
2019/11/18, 95, 30, 11, 11, 1, 4
2019/11/19, 90, 39, 8, 10, 1, 6
2019/11/20, 107, 14, 11, 5, 2, 3
2019/11/21, 52, 20, 10, 5, 1, 3
2019/11/22, 67, 23, 9, 5, 1, 3
2019/11/23, 75, 30, 8, 4, 1, 3
2019/11/24, 91, 30, 7, 6, 1, 3
2019/11/25, 90, 31, 5, 7, 1, 3
2019/11/26, 92, 47, 1, 9, 1, 4
2019/11/27, 131, 35, 6, 11, 1, 4
2019/11/28, 102, 8, 21, 5, 1, 2
2019/11/29, 30, 13, 24, 7, 1, 2
2019/11/30, 44, 14, 21, 4, 1, 2
2019/12/1, 56, 15, 20, 9, 1, 2
2019/12/2, 57, 12, 23, 11, 1, 2
2019/12/3, 46, 15, 17, 7, 1, 2
2019/12/4, 53, 30, 17, 8, 2, 2
2019/12/5, 87, 27, 11, 9, 1, 3
2019/12/6, 84, 10, 29, 5, 1, 2
2019/12/7, 40, 7, 29, 3, 1, 2
2019/12/8, 31, 14, 26, 9, 1, 2
2019/12/9, 45, 16, 22, 12, 1, 3
2019/12/10, 49, 31, 13, 12, 2, 3
2019/12/11, 95, 43, 11, 11, 2, 3
2019/12/12, 125, 36, 7, 10, 1, 3
2019/12/13, 110, 30, 9, 8, 1, 3
2019/12/14, 94, 10, 26, 4, 1, 2
2019/12/15, 42, 19, 25, 11, 1, 2
2019/12/16, 60, 48, 5, 14, 2, 5
2019/12/17, 133, 19, 23, 8, 1, 3
2019/12/18, 58, 37, 17, 15, 1, 4
2019/12/19, 104, 42, 8, 13, 2, 5
2019/12/20, 121, 36, 8, 13, 2, 4
2019/12/21, 106, 25, 18, 9, 1, 4
2019/12/22, 77, 16, 19, 8, 1, 8
2019/12/23, 60, 15, 18, 6, 1, 3
2019/12/24, 55, 25, 13, 8, 1, 4
2019/12/25, 79, 12, 18, 5, 1, 3
2019/12/26, 47, 5, 16, 4, 1, 3
2019/12/27, 19, 6, 24, 3, 1, 3
2019/12/28, 25, , , , , 
2019/7/1, 32, 17, 25, 1, , 2
2019/7/2, 18, 18, 28, 1, , 3
2019/7/3, 26, 17, 26, 1, , 2
2019/7/4, 24, 20, 22, 1, , 2
2019/7/5, 16, 16, 18, 2, , 3
2019/7/6, 27, 18, 20, 1, , 2
2019/7/7, 17, 15, 16, 4, , 3
2019/7/8, 27, 12, 16, 2, , 3
2019/7/9, 20, 12, 16, 2, , 3
2019/7/10, 20, , 21, 2, , 2
2019/7/11, 30, 13, 22, 4, , 2
2019/7/12, 33, 13, 24, 4, , 2
2019/7/13, 39, 10, 27, 2, , 2
2019/7/14, 29, 18, 25, 4, , 2
2019/7/15, 29, 12, 20, 3, , 2
2019/7/16, 31, 13, 21, 3, , 2
2019/7/17, 20, 9, 23, 5, , 2
2019/7/18, 23, 18, 25, 9, 1, 2
2019/7/19, 37, 14, 27, 7, , 2
2019/7/20, 37, 16, 29, 7, , 2
2019/7/21, 44, 12, 20, 3, , 2
2019/7/22, 26, 10, 17, 7, , 2
2019/7/23, 30, 19, 16, 5, , 2
2019/7/24, 53, 8, 23, 7, , 2
2019/7/25, 24, 15, 20, 5, 1, 2
2019/7/26, 41, 18, 24, 6, 1, 2
2019/7/27, 49, 21, 23, 7, , 2
2019/7/28, 58, 31, 29, 7, , 3
2019/7/29, 69, 20, 20, 4, 1, 2
2019/7/30, 47, 15, 20, 3, 1, 2
2019/7/31, 20, 9, 19, 7, 1, 2
2019/8/1, 24, 11, 20, 4, 1, 2
2019/8/2, 28, 14, 26, 4, 1, 2
2019/8/3, 30, 15, 23, 5, 1, 2
2019/8/4, 30, 17, 22, 13, 1, 3
2019/8/5, 49, 22, 37, 12, 1, 3
2019/8/6, 57, 16, 31, 10, 1, 3
2019/8/7, 40, 14, 26, 6, 1, 3
