date, pm25, pm10, o3, no2, so2
2020/1/2, 50, 15, 20, 8, 
2020/1/3, 36, 17, 20, 8, 
2020/1/4, 39, 17, 17, 9, 
2020/1/5, 48, 16, 20, 8, 
2020/1/6, 50, 26, 13, 12, 
2020/1/7, 64, , 11, 11, 
2020/1/10, 55, 17, 21, 7, 
2020/1/11, 45, 14, 22, 5, 
2020/1/12, 39, 15, 21, 5, 
2020/1/13, 40, 10, 23, 5, 
2020/1/14, 23, 12, 25, 9, 
2020/1/15, 27, 14, 15, 10, 
2020/1/16, 38, , , , 
2019/10/1, 23, 15, 21, 10, 
2019/10/2, 22, 15, 15, 13, 
2019/10/3, 26, 16, 19, 7, 
2019/10/4, 35, 18, 16, 6, 
2019/10/5, 53, 12, 20, 5, 
2019/10/6, 33, 27, 12, 8, 
2019/10/7, 68, 16, 17, 9, 
2019/10/8, 32, 14, 18, 10, 
2019/10/9, 27, 11, 19, 9, 
2019/10/10, 21, 3, 19, 5, 
2019/10/17, 27, 11, 19, 7, 
2019/10/18, 18, 11, , 4, 
2019/10/19, 22, 21, , 8, 
2019/10/20, 53, 14, , 5, 
2019/10/21, 38, 22, , 12, 
2019/10/22, 50, 29, , 14, 
2019/10/23, 68, 29, , 8, 
2019/10/24, 55, 15, 17, 6, 
2019/10/25, 31, 12, 21, 4, 
2019/10/26, 22, 14, 25, 8, 
2019/10/27, 25, 23, 16, 14, 
2019/10/28, 48, 21, 25, 13, 
2019/10/29, 46, 30, 11, 14, 
2019/10/30, 73, 32, 9, 14, 
2019/10/31, 79, 23, 13, 8, 
2019/11/1, 59, 13, 26, 3, 
2019/11/2, 26, 12, 18, 5, 
2019/11/3, 32, 14, 19, 6, 
2019/11/4, 35, 25, 17, 11, 
2019/11/5, 49, 29, 15, 16, 
2019/11/6, 53, 16, 18, 9, 
2019/11/7, 36, 24, 12, 14, 
2019/11/8, 52, 23, 17, 10, 
2019/11/9, 55, 27, 16, 10, 
2019/11/10, 73, 18, 18, 7, 
