date, o3, no2
2020/1/2, 27, 10
2020/1/3, 24, 8
2020/1/4, 27, 2
2020/1/5, 28, 2
2020/1/6, 30, 5
2020/1/7, 31, 12
2020/1/8, 32, 7
2020/1/9, 33, 14
2020/1/10, 20, 5
2020/1/11, 29, 2
2020/1/12, 30, 7
2020/1/13, 29, 22
2020/1/14, 24, 23
2020/1/15, 19, 31
2020/1/16, 6, 
2019/10/1, 24, 11
2019/10/2, 27, 13
2019/10/3, 30, 12
2019/10/4, 30, 13
2019/10/5, 25, 11
2019/10/6, 23, 19
2019/10/7, 24, 5
2019/10/8, 30, 5
2019/10/9, 32, 5
2019/11/18, 24, 21
2019/11/19, 17, 17
2019/12/10, 16, 
2019/12/11, 22, 
2019/12/12, 26, 12
2019/12/13, 24, 13
2019/12/14, 18, 11
2019/12/15, 25, 8
2019/12/16, 26, 5
2019/12/17, 29, 15
2019/12/18, 23, 13
2019/12/19, 22, 3
2019/12/20, 27, 3
2019/12/21, 25, 12
2019/12/22, 22, 11
2019/12/23, 26, 10
2019/12/24, 30, 21
2019/12/25, 16, 21
2019/12/26, 12, 10
2019/12/27, 27, 5
2019/12/28, 26, 
2019/7/1, 20, 11
2019/7/2, 20, 10
2019/7/3, 21, 12
2019/7/4, 18, 12
2019/7/5, 19, 17
2019/7/6, 12, 11
2019/7/7, 18, 9
2019/7/8, 21, 9
2019/7/9, 20, 9
2019/7/10, 23, 4
2019/7/11, 28, 15
2019/7/12, 19, 12
2019/7/13, 15, 8
2019/7/14, 18, 10
2019/7/15, 15, 7
2019/7/16, 13, 11
2019/7/17, 21, 12
2019/7/18, 22, 4
2019/7/19, 20, 9
2019/7/20, 21, 14
2019/7/21, 19, 3
2019/7/22, 20, 2
2019/7/23, 20, 6
2019/7/24, 20, 19
2019/7/25, 17, 6
2019/7/26, 15, 8
2019/7/27, 13, 7
2019/7/28, 12, 11
2019/7/29, 18, 13
2019/7/30, 21, 6
2019/7/31, 19, 7
2019/8/1, 21, 18
2019/8/2, 20, 22
2019/8/3, 17, 22
2019/8/4, 21, 
2019/8/5, 18, 
2019/8/6, 15, 
2019/8/7, 13, 
2019/8/8, 11, 
2019/8/9, 7, 
2019/8/10, 5, 
2019/8/11, 13, 
2019/8/12, 18, 3
2019/8/13, 22, 5
2019/8/14, 17, 12
2019/8/15, 12, 13
2019/8/16, 14, 11
2019/8/17, 18, 13
2019/8/18, 17, 10
2019/8/19, 15, 14
2019/8/20, 20, 1
