date, pm25, o3, so2
2020/1/2, 28, , 
2020/1/3, 25, , 
2020/1/4, 17, , 
2020/1/5, 32, , 
2020/1/6, 19, , 
2020/1/7, 20, , 
2020/1/8, 12, , 
2020/1/9, 31, , 
2020/1/10, 61, , 
2020/1/11, 14, , 
2020/1/12, 15, , 
2020/1/13, 30, , 
2020/1/14, 51, , 
2020/1/15, 38, , 
2020/1/16, 44, , 
2019/10/1, 22, 13, 
2019/10/2, 8, 15, 
2019/10/3, 8, 25, 
2019/10/4, 11, 22, 
2019/10/5, 18, 25, 1
2019/10/6, 15, 24, 1
2019/10/7, 19, 31, 
2019/10/8, 27, 39, 1
2019/10/9, 30, 32, 
2019/10/10, 30, 27, 1
2019/10/11, 18, 28, 1
2019/10/12, 17, 21, 1
2019/10/13, 12, 18, 
2019/10/14, 19, 17, 
2019/10/15, 27, 22, 1
2019/10/16, 12, 8, 1
2019/10/17, 18, , 
2019/10/18, 32, , 1
2019/10/19, 41, , 1
2019/10/20, 40, , 
2019/10/21, 27, , 1
2019/10/22, 8, , 
2019/10/23, 14, , 
2019/10/24, 14, , 
2019/10/25, 24, , 
2019/10/26, 41, , 1
2019/10/27, 42, , 
2019/10/28, 22, , 
2019/10/29, 29, , 1
2019/10/30, 30, , 
2019/10/31, 18, , 
2019/11/1, 35, , 
2019/11/2, 31, , 
2019/11/3, 25, , 
2019/11/4, 40, , 
2019/11/5, 18, , 
2019/11/6, 30, , 
2019/11/7, 13, , 
2019/11/8, 22, , 
2019/11/9, 41, , 
2019/11/10, 31, , 
2019/11/11, 11, , 
2019/11/12, 14, , 
2019/11/13, 28, , 
2019/11/14, 49, , 
2019/11/15, 50, , 
2019/11/16, 30, , 
2019/11/17, 62, , 
2019/11/18, 54, , 
2019/11/19, 48, , 
2019/11/20, 61, , 
2019/11/21, 32, , 
2019/11/22, 16, , 1
2019/11/23, 34, , 
2019/11/24, 45, , 1
2019/11/25, 44, , 
2019/11/26, 15, , 
2019/11/27, 13, , 
2019/11/28, 6, , 
2019/11/29, 12, , 
2019/11/30, 21, , 
2019/12/1, 9, , 
2019/12/2, 17, , 
2019/12/3, 45, , 
2019/12/4, 36, , 
2019/12/5, 40, , 
2019/12/6, 23, , 
2019/12/7, 45, , 
2019/12/8, 62, , 
2019/12/9, 30, , 
2019/12/10, 21, , 1
2019/12/11, 41, , 1
2019/12/12, 56, , 
2019/12/13, 62, , 
2019/12/14, 74, , 
2019/12/15, 32, , 
2019/12/16, 44, , 
2019/12/17, 55, , 
2019/12/18, 23, , 
2019/12/19, 47, , 
2019/12/20, 78, , 
2019/12/21, 71, , 1
2019/12/22, 62, , 
2019/12/23, 45, , 
2019/12/24, 71, , 
2019/12/25, 88, , 
2019/12/26, 61, , 
2019/12/27, 48, , 
2019/12/28, 62, , 
2019/7/1, 34, 29, 
2019/7/2, 25, 38, 
2019/7/3, 38, 42, 
2019/7/4, 43, 35, 
2019/7/5, 30, 27, 
2019/7/6, 76, 31, 
2019/7/8, 63, 62, 
2019/7/9, 58, 44, 
2019/7/10, 42, 30, 
2019/7/11, 19, 39, 1
2019/7/12, 29, 27, 
2019/7/13, 35, 32, 
2019/7/14, 30, 33, 1
2019/7/15, 32, 34, 1
2019/7/16, 27, 33, 
2019/7/17, 44, 31, 1
2019/7/18, 33, 38, 1
2019/7/19, 31, 25, 
2019/7/20, 20, 25, 1
2019/7/21, 27, 23, 
2019/7/22, 21, 27, 
2019/7/23, 35, 31, 
2019/7/24, 48, 41, 1
2019/7/25, 57, 40, 
2019/7/26, 52, 34, 1
2019/7/27, 50, 41, 1
2019/7/28, 43, 33, 
2019/7/29, 26, 20, 1
2019/7/30, 14, 34, 
2019/7/31, 16, 41, 
2019/8/1, 24, 42, 1
2019/8/2, 32, 32, 
2019/8/3, 33, 33, 
2019/8/4, 36, 37, 
2019/8/5, 36, 25, 1
2019/8/6, 29, 32, 1
2019/8/7, 33, 20, 
2019/8/8, 18, 21, 
2019/8/9, 23, 23, 1
2019/8/10, 21, 35, 
2019/8/11, 33, 36, 
2019/8/12, 42, 23, 
2019/8/13, 20, 19, 
2019/8/14, 14, 28, 
2019/8/15, 24, 28, 
2019/8/16, 22, 35, 
2019/8/17, 33, 30, 
2019/8/18, 26, 31, 1
2019/8/19, 23, 37, 1
2019/8/20, 29, 23, 
2019/8/21, 20, 18, 
2019/8/22, 17, 22, 
2019/8/23, 15, 26, 
2019/8/24, 21, 31, 
2019/8/25, 24, 22, 
2019/8/26, 19, 26, 1
2019/8/27, 19, 24, 1
2019/8/28, 15, 28, 
2019/8/29, 19, 28, 
2019/8/30, 18, 28, 
2019/8/31, 32, 33, 
2019/9/1, 38, 23, 
2019/9/2, 23, 26, 
2019/9/3, 21, 15, 1
2019/9/4, 13, 26, 
2019/9/5, 27, 20, 1
2019/9/6, 23, 17, 
2019/9/7, 21, 16, 
2019/9/8, 12, 19, 
2019/9/9, 19, 31, 1
2019/9/10, 32, 13, 
2019/9/11, 17, 12, 
2019/9/12, 22, 21, 
2019/9/13, 12, 22, 
2019/9/14, 19, 25, 
2019/9/15, 28, 27, 
2019/9/16, 37, 35, 
2019/9/17, 29, 43, 
2019/9/18, 43, 34, 
2019/9/19, 28, 34, 
2019/9/20, 27, 25, 
2019/9/21, 43, 23, 
2019/9/22, 23, 21, 
2019/9/23, 19, 33, 
2019/9/24, 21, 28, 
2019/9/25, 20, 23, 
2019/9/26, 15, 23, 
2019/9/27, 22, 22, 
2019/9/28, 13, 19, 
2019/9/29, 12, 29, 
2019/9/30, 37, 19, 
2019/4/1, 40, 35, 1
2019/4/2, 46, 39, 1
2019/4/3, 18, 35, 
2019/4/4, 16, 27, 1
2019/4/5, 45, 26, 
2019/4/6, 67, 35, 
2019/4/7, 54, 39, 1
2019/4/8, 30, 34, 1
2019/4/9, 10, 33, 
2019/4/10, 14, 37, 
2019/4/11, 15, 30, 
2019/4/12, 21, 33, 1
2019/4/13, 12, 37, 
2019/4/14, 10, 43, 3
2019/4/15, 20, 39, 
2019/4/16, 37, 27, 
2019/4/17, 35, 33, 1
2019/4/18, 15, 38, 1
2019/4/19, 19, 40, 1
2019/4/20, 32, 47, 4
2019/4/21, 40, 36, 1
2019/4/22, 27, 36, 
2019/4/23, 17, 43, 
2019/4/24, 18, 32, 2
2019/4/25, 38, 38, 1
2019/4/26, 23, 35, 
2019/4/27, 14, 37, 1
2019/4/28, 27, 31, 
2019/4/29, 19, 29, 
2019/4/30, 17, 30, 
2019/5/1, 14, 28, 1
2019/5/2, 23, 29, 1
2019/5/3, 17, 42, 1
2019/5/4, 30, 43, 
2019/5/5, 37, 34, 
2019/5/6, 16, 33, 
2019/5/7, 11, 31, 
2019/5/8, 16, 30, 
2019/5/9, 21, 33, 
2019/5/10, 13, 37, 
2019/5/11, 22, 35, 
2019/5/12, 26, 40, 
2019/5/13, 19, 46, 
2019/5/14, 30, 45, 1
2019/5/15, 27, 42, 
2019/5/16, 32, 31, 
