date, pm25, pm10, no2
2020/1/3, 110, 49, 20
2020/1/4, 62, 25, 14
2020/1/5, 44, 19, 16
2020/1/6, 65, 33, 23
2020/1/7, 71, 32, 22
2020/1/8, 94, 47, 25
2020/1/9, 76, 43, 29
2020/1/10, 50, 25, 26
2020/1/11, 36, 18, 15
2020/1/12, 61, 27, 21
2020/1/13, 76, 43, 26
2020/1/14, 78, 44, 28
2020/1/15, 20, 25, 15
2020/1/16, 53, 27, 21
2019/10/1, 26, 12, 14
2019/10/2, 21, 13, 12
2019/10/3, 18, 18, 17
2019/10/4, 30, 15, 11
2019/10/5, 34, 11, 11
2019/10/6, 23, 11, 8
2019/10/7, 13, 20, 16
2019/10/8, 26, 19, 19
2019/10/9, 38, 18, 14
2019/10/10, 28, 22, 19
2019/10/11, 31, 22, 17
2019/10/12, 44, 22, 12
2019/10/13, 40, 32, 17
2019/10/14, 49, 23, 19
2019/10/15, 39, 20, 17
2019/10/16, 31, 22, 15
2019/10/17, 30, 19, 18
2019/10/18, 35, 15, 13
2019/10/19, 30, 17, 7
2019/10/20, 21, 11, 22
2019/10/21, 23, 15, 14
2019/10/22, 32, 20, 11
2019/10/23, 33, 17, 20
2019/10/24, 28, 25, 17
2019/10/25, 40, 21, 15
2019/10/26, 39, 24, 15
2019/10/27, 47, 33, 19
2019/10/28, 58, 23, 14
2019/10/29, 53, 25, 14
2019/10/30, 48, 23, 16
2019/10/31, 50, 12, 15
2019/11/1, 23, 11, 17
2019/11/2, 19, 10, 16
2019/11/3, 19, 15, 22
2019/11/4, 30, 13, 22
2019/11/5, 25, 14, 21
2019/11/6, 24, 18, 21
2019/11/7, 43, 14, 19
2019/11/8, 32, 19, 16
2019/11/9, 47, 17, 16
2019/11/10, 42, 19, 15
2019/11/11, 50, 21, 19
2019/11/12, 36, 20, 20
2019/11/13, 37, 23, 23
2019/11/14, 50, 14, 24
2019/11/15, 34, 19, 21
2019/11/16, 51, 19, 15
2019/11/17, 58, 22, 18
2019/11/18, 49, 28, 21
2019/11/19, 46, 27, 17
2019/11/20, 48, 37, 18
2019/11/21, 71, 31, 17
2019/11/22, 67, 19, 22
2019/11/23, 38, 17, 14
2019/11/24, 44, 28, 17
2019/11/25, 50, 35, 17
2019/11/26, 56, 25, 25
2019/11/27, 48, 19, 25
2019/11/28, 31, 16, 24
2019/11/29, 35, 15, 19
2019/11/30, 37, 13, 16
2019/12/1, 37, 19, 16
2019/12/2, 54, 27, 17
2019/12/3, 60, 25, 18
2019/12/4, 45, 37, 17
