date, pm25, pm10, o3, no2, so2, co
2019/4/9, 86, 32, 54, 19, 2, 3
2019/4/10, 110, 42, 48, 25, 2, 4
2019/4/11, 102, 35, 49, 19, 1, 3
2019/4/12, 90, 30, 28, 36, 2, 5
2019/4/13, 122, 46, 48, 12, 2, 3
2019/4/14, 78, 31, 78, 19, 1, 3
2019/4/15, 118, 49, 59, 23, 2, 4
2019/4/16, 129, 57, 50, 27, 1, 3
2019/4/17, 99, 34, 32, 20, 2, 3
2019/4/18, 75, 22, 45, 12, 2, 2
2019/4/19, 113, 41, 48, 12, 1, 3
2019/4/20, 115, 46, 20, 45, 1, 5
2019/4/22, 87, 30, 37, 11, 2, 2
2019/4/23, 93, 30, 38, 19, 1, 3
2019/4/24, 71, 22, 28, 17, 1, 2
2019/4/25, 80, 26, 58, 18, 2, 3
2019/4/26, 116, 42, 79, 23, 1, 4
2019/4/27, 97, 33, 54, 18, 2, 3
2019/4/28, 95, 33, 47, 14, 1, 3
2019/4/29, 118, 42, 60, 23, 2, 4
2019/4/30, 120, 45, 59, 35, 2, 5
2019/5/1, 84, 30, 29, 20, 2, 3
2019/5/2, 89, 28, 44, 14, 2, 2
2019/5/3, 71, 22, 37, 15, 2, 2
2019/5/4, 71, 22, 34, 12, 2, 2
2019/5/5, 84, 26, 39, 11, 2, 3
2019/5/6, 80, 28, 46, 20, 2, 3
2019/5/7, 85, 27, 48, 16, 1, 2
2019/5/8, 104, 35, 40, 13, 1, 2
2019/5/9, 122, 46, 46, 25, 1, 4
2019/5/10, 113, 41, 42, 18, 2, 3
2019/5/11, 77, 26, 34, 10, 1, 2
2019/5/12, 92, 29, 32, 12, 1, 3
2019/5/13, 127, 46, 36, 21, 1, 4
2019/5/14, 102, 36, 33, 18, 1, 3
2019/5/15, 123, 47, 68, 30, 2, 5
2019/5/16, 121, 46, 65, 23, 2, 4
2019/5/17, 119, 44, 41, 19, 2, 3
2019/5/18, 108, 36, 39, 16, 2, 3
2019/5/19, 67, 20, 40, 11, 2, 2
2019/5/20, 100, 32, 43, 13, 2, 3
2019/5/21, 90, 30, 41, 17, 2, 2
2019/5/22, 95, 30, 45, 16, 1, 3
2019/5/28, 132, 47, 46, 10, 2, 3
2019/5/29, 102, 36, 49, 10, 1, 2
2019/5/30, 94, 34, 51, 13, 2, 3
2019/5/31, 112, 43, 22, 44, 2, 3
2019/6/1, 107, 40, 62, 15, 1, 2
2019/6/2, 88, 34, 63, 15, 2, 4
2019/6/3, 87, 42, 53, 20, 1, 4
2019/6/4, 84, 37, 51, 20, 1, 5
2019/6/5, 108, 56, 39, 18, 2, 11
2018/7/1, 86, 36, 56, 18, 4, 5
2018/7/2, 86, 35, 94, 23, 4, 6
2018/7/3, 86, 26, 77, 21, 4, 6
2018/7/4, 86, 28, 52, 23, 4, 6
2018/7/5, 86, 26, 42, 16, 4, 6
2018/7/6, 86, 20, 34, 21, 4, 9
2018/7/7, 86, 18, 54, 13, 4, 8
2018/7/8, 54, 22, 42, 24, 4, 6
2018/5/15, 126, 33, 71, 18, 4, 5
2018/5/16, 150, 42, 82, 19, 4, 6
2018/5/17, 107, 37, 71, 14, 4, 6
2018/5/18, 103, 34, 46, 12, 4, 5
2018/5/19, 123, 27, 46, 13, 4, 6
2018/5/20, 68, 15, 68, 8, 4, 4
2018/5/21, 113, 38, 112, 20, 4, 6
2018/5/22, 109, 34, 76, 20, 4, 7
2018/5/23, 141, 37, 69, 21, 4, 6
2018/5/24, 123, 43, 67, 16, 4, 6
