date, pm25, pm10
2020/1/1, 43, 
2020/1/2, 42, 
2020/1/3, 42, 
2020/1/4, 41, 
2020/1/5, 30, 
2020/1/6, 51, 
2020/1/7, 42, 
2020/1/8, 60, 
2020/1/9, 64, 
2020/1/10, 60, 
2020/1/11, 58, 
2020/1/12, 57, 
2020/1/13, 58, 
2020/1/14, 45, 
2020/1/15, 55, 
2019/10/1, 32, 
2019/10/2, 32, 
2019/10/3, 27, 
2019/10/8, 13, 
2019/10/9, 22, 
2019/10/10, 25, 
2019/10/11, 40, 
2019/10/12, 31, 
2019/10/13, 29, 
2019/10/14, 18, 
2019/10/15, 19, 
2019/10/16, 24, 
2019/10/17, 20, 
2019/10/18, 20, 
2019/10/23, 19, 
2019/10/24, 29, 
2019/10/25, 25, 
2019/10/26, 26, 
2019/10/27, 35, 
2019/10/28, 46, 
2019/10/29, 48, 
2019/10/30, 43, 
2019/10/31, 34, 
2019/11/1, 31, 
2019/11/2, 28, 
2019/11/3, 34, 
2019/11/4, 21, 
2019/11/5, 26, 
2019/11/6, 21, 
2019/11/7, 22, 
2019/11/8, 20, 
2019/11/9, 20, 
2019/11/10, 25, 
2019/11/11, 44, 
2019/11/12, 35, 
2019/11/13, 36, 
2019/11/14, 29, 
2019/11/15, 32, 
2019/11/18, 32, 
2019/11/19, 32, 
2019/11/20, 32, 
2019/11/21, 38, 
2019/11/22, 31, 
2019/11/23, 31, 
2019/11/24, 56, 
2019/11/25, 48, 
2019/11/26, 44, 
2019/11/27, 61, 
2019/11/28, 60, 
2019/11/29, 76, 
2019/11/30, 54, 
2019/12/2, 25, 
2019/12/3, 50, 
2019/12/4, 57, 
2019/12/5, 63, 
2019/12/6, 47, 
2019/12/8, 56, 
2019/12/9, 62, 
2019/12/10, 61, 
2019/12/11, 61, 
2019/12/12, 65, 
2019/12/13, 44, 
2019/12/14, 59, 
2019/12/15, 58, 
2019/12/16, 44, 
2019/12/17, 63, 
2019/12/18, 54, 
2019/12/19, 65, 
2019/12/20, 59, 
2019/7/1, 26, 
2019/7/2, 24, 
2019/7/3, 29, 
2019/7/4, 40, 
2019/7/5, 48, 
2019/7/6, 55, 
2019/7/7, 51, 
2019/7/8, 54, 
2019/7/9, 49, 
2019/7/10, 46, 
2019/7/11, 45, 
2019/7/12, 58, 
2019/7/13, 47, 
2019/7/14, 60, 
2019/7/15, 56, 
2019/7/16, 32, 
2019/7/17, 39, 
2019/7/18, 40, 
2019/7/19, 51, 
2019/7/20, 57, 
2019/7/21, 55, 
2019/7/22, 37, 
2019/7/23, 40, 
2019/7/24, 48, 
2019/7/25, 36, 
2019/7/26, 26, 
2019/7/27, 35, 
2019/7/28, 36, 
2019/7/29, 40, 
2019/7/30, 47, 
2019/7/31, 57, 
2019/8/1, 40, 
2019/8/2, 33, 
2019/8/3, 40, 
2019/8/4, 45, 
2019/8/5, 41, 
2019/8/6, 44, 
2019/8/7, 46, 
2019/8/8, 33, 
2019/8/9, 48, 
2019/8/10, 44, 
2019/8/11, 37, 
2019/8/12, 39, 
2019/8/13, 41, 
2019/8/14, 38, 
2019/8/23, 24, 
2019/8/24, 36, 
2019/8/25, 42, 
2019/8/26, 31, 
2019/9/2, 43, 
2019/9/3, 44, 
2019/9/4, 44, 
2019/9/5, 48, 
2019/9/6, 53, 
2019/9/7, 52, 
2019/9/8, 48, 
2019/9/9, 54, 
2019/9/10, 49, 
2019/9/11, 43, 
2019/9/12, 34, 
2019/9/13, 38, 
2019/9/14, 28, 
2019/9/15, 28, 
2019/9/16, 37, 
2019/9/17, 37, 
2019/9/18, 48, 
2019/9/19, 24, 
2019/9/20, 34, 
2019/9/21, 45, 
2019/9/22, 37, 
2019/9/23, 23, 
2019/9/24, 35, 
2019/9/25, 52, 
2019/9/26, 51, 
2019/9/27, 42, 
2019/9/28, 32, 
2019/9/29, 24, 
2019/9/30, 25, 
2019/4/1, 55, 
2019/4/2, 54, 
2019/4/3, 62, 
2019/4/4, 57, 
2019/4/5, 69, 
2019/4/6, 58, 
2019/4/7, 62, 
2019/4/8, 60, 
2019/4/9, 38, 
2019/4/10, 41, 
2019/4/11, 55, 
2019/4/12, 60, 
2019/4/13, 60, 
2019/4/14, 47, 
2019/4/15, 69, 
2019/4/16, 75, 
2019/4/17, 52, 
2019/4/18, 36, 
2019/4/19, 51, 
2019/4/20, 43, 
2019/4/21, 55, 
2019/4/22, 49, 
2019/4/23, 58, 
2019/4/24, 60, 
2019/4/25, 55, 
2019/4/26, 66, 
2019/4/27, 70, 
2019/4/28, 70, 
2019/4/29, 77, 
2019/4/30, 80, 
2019/5/1, 64, 15
2019/5/2, 46, 
2019/5/3, 52, 
2019/5/4, 38, 
2019/5/5, 50, 
2019/5/6, 63, 
2019/5/7, 60, 
2019/5/8, 61, 
2019/5/9, 72, 
2019/5/10, 81, 
2019/5/11, 39, 
2019/5/12, 48, 
2019/5/13, 57, 
2019/5/14, 83, 
2019/5/15, 77, 
2019/5/16, 76, 
2019/5/17, 85, 
2019/5/18, 77, 
2019/5/19, 56, 
2019/5/20, 62, 
2019/5/21, 63, 
2019/5/22, 66, 
2019/5/23, 83, 
2019/5/24, 110, 
2019/5/25, 75, 
2019/5/26, 56, 
2019/5/27, 63, 
2019/5/28, 76, 
2019/5/29, 88, 
2019/5/30, 97, 
2019/5/31, 63, 
2019/6/1, 46, 
2019/6/2, 31, 
2019/6/3, 22, 
2019/6/4, 22, 
2019/6/5, 33, 
2019/6/6, 58, 
2019/6/7, 53, 
2019/6/8, 58, 
2019/6/9, 37, 
2019/6/10, 43, 
2019/6/11, 35, 
2019/6/12, 34, 
2019/6/13, 41, 
2019/6/14, 36, 
2019/6/16, 53, 
2019/6/17, 51, 
2019/6/18, 58, 
2019/6/19, 54, 
2019/6/20, 48, 
2019/6/21, 40, 
2019/6/22, 51, 
2019/6/23, 38, 
2019/6/24, 52, 
2019/6/25, 37, 
2019/6/26, 30, 
2019/6/27, 39, 
2019/6/28, 36, 
2019/6/29, 24, 
2019/6/30, 29, 
2019/1/1, 67, 
2019/1/2, 54, 
2019/1/3, 48, 
2019/1/4, 57, 
2019/1/5, 60, 
2019/1/6, 66, 
2019/1/7, 44, 
2019/1/8, 27, 
2019/1/9, 33, 
2019/1/10, 44, 
2019/1/11, 65, 
2019/1/12, 41, 
2019/1/13, 33, 
2019/1/14, 26, 
2019/1/15, 38, 
2019/1/16, 48, 
2019/1/17, 46, 
2019/1/19, 42, 
2019/1/20, 34, 
2019/1/21, 34, 
2019/1/22, 51, 
2019/1/23, 62, 
2019/1/24, 41, 
2019/1/28, 64, 
2019/1/29, 47, 
2019/1/30, 43, 
2019/1/31, 40, 
2019/2/1, 41, 
2019/2/2, 39, 
2019/2/3, 52, 
2019/2/4, 42, 
2019/2/5, 52, 
2019/2/6, 64, 
2019/2/7, 53, 
2019/2/8, 51, 
2019/2/9, 23, 
2019/2/10, 38, 
2019/2/11, 63, 
2019/2/12, 51, 
