date, pm25, pm10, o3, no2, so2, co
2020/1/1, 129, 57, 15, 32, 3, 9
2020/1/2, 120, 70, 34, 42, 4, 10
2020/1/3, 127, 89, 80, 55, 5, 12
2020/1/4, 158, 51, 43, 29, 3, 6
2020/1/5, 110, 47, 32, 28, 4, 6
2020/1/6, 72, 60, 32, 37, 4, 9
2020/1/7, 98, 57, 30, 35, 4, 9
2020/1/8, 100, 63, 43, 35, 4, 8
2020/1/9, 103, 56, 32, 30, 4, 8
2020/1/10, 108, 59, 20, 25, 5, 8
2020/1/11, 127, 33, 27, 19, 3, 9
2020/1/12, 59, 53, 18, 28, 3, 10
2020/1/13, 96, 63, 23, 34, 4, 11
2020/1/14, 121, 54, 40, 22, 4, 8
2020/1/15, 103, 49, 14, 27, 4, 7
2020/1/16, 98, , , , , 
2019/10/1, 153, 67, 105, 16, 5, 11
2019/10/2, 151, 48, 71, 9, 3, 7
2019/10/3, 95, 39, 66, 11, 3, 6
2019/10/4, 83, 56, 103, 20, 5, 7
2019/10/5, 121, 38, 56, 16, 4, 6
2019/10/6, 79, 37, 36, 22, 3, 7
2019/10/7, 73, 61, 53, 24, 5, 9
2019/10/8, 139, 56, 60, 24, 4, 9
2019/10/9, 130, 62, 86, 27, 5, 9
2019/10/10, 125, 55, 89, 25, 5, 7
2019/10/11, 104, 65, 43, 28, 6, 8
2019/10/12, 139, 45, 37, 18, 3, 8
2019/10/13, 99, 49, 43, 18, 3, 9
2019/10/14, 109, 45, 43, 17, 3, 8
2019/10/15, 95, 46, 45, 21, 4, 7
2019/10/16, 93, 50, 61, 22, 4, 6
2019/10/17, 92, 52, 61, 24, 5, 6
2019/10/18, 91, 59, 78, 28, 5, 7
2019/10/19, 114, 60, 82, 34, 5, 7
2019/10/20, 118, 77, 93, 37, 6, 9
2019/10/21, 139, 58, 99, 21, 4, 7
2019/10/22, 110, 58, 95, 23, 4, 7
2019/10/23, 108, 64, 65, 24, 5, 7
2019/10/24, 137, 62, 92, 21, 4, 8
2019/10/25, 125, 67, 29, 25, 5, 9
2019/10/26, 127, 55, 59, 22, 4, 8
2019/10/27, 111, 42, 10, 23, 5, 9
2019/10/28, 75, 42, 43, 20, 4, 7
2019/10/29, 65, 68, 45, 29, 4, 7
2019/10/30, 102, 85, 39, 32, 4, 7
2019/10/31, 131, 93, 75, 44, 6, 9
2019/11/1, 150, 94, 101, 51, 5, 11
2019/11/2, 154, 83, 73, 31, 7, 9
2019/11/3, 141, 75, 85, 19, 5, 7
2019/11/4, 137, 74, 72, 23, 5, 7
2019/11/5, 144, 69, 72, 36, 5, 8
2019/11/6, 127, 69, 62, 32, 5, 8
2019/11/7, 128, 57, 56, 24, 4, 6
2019/11/8, 105, 59, 60, 28, 4, 6
2019/11/9, 114, 71, 72, 37, 5, 8
2019/11/10, 139, 82, 80, 44, 6, 10
2019/11/11, 144, 55, 56, 30, 4, 6
2019/11/12, 102, 70, 77, 31, 5, 8
2019/11/13, 128, 59, 57, 23, 4, 7
2019/11/14, 117, 94, 86, 54, 6, 9
2019/11/15, 161, 68, 74, 30, 3, 6
2019/11/16, 128, 64, 75, 32, 4, 6
2019/11/17, 114, 71, 42, 32, 4, 8
2019/11/18, 110, 44, 45, 19, 4, 6
2019/11/19, 71, 59, 50, 26, 5, 7
2019/11/20, 103, 68, 5, 40, 6, 8
2019/11/21, 116, 81, , 49, 6, 10
2019/11/22, 136, 91, , 69, 5, 12
2019/11/23, 158, 72, , 43, 4, 11
2019/11/24, 126, 83, , 38, 6, 11
2019/11/25, 146, 62, , 26, 5, 10
2019/11/26, 123, 68, , 30, 6, 10
2019/11/27, 124, 41, , 17, 4, 7
2019/11/28, 53, 44, , 21, 3, 6
2019/11/29, 77, 51, , 28, 4, 7
2019/11/30, 98, 63, , 29, 7, 9
2019/12/1, 110, 47, , 16, 4, 6
2019/12/2, 75, 55, , 20, 5, 5
2019/12/3, 100, 58, , 27, 5, 5
2019/12/4, 106, 57, , 25, 5, 5
2019/12/5, 91, 58, 46, 22, 5, 5
2019/12/6, 95, 55, 45, 24, 5, 5
2019/12/7, 104, 56, 42, 29, 4, 6
2019/12/8, 99, 78, 29, 46, 5, 10
2019/12/9, 134, 101, 35, 55, 7, 12
2019/12/10, 156, 107, 41, 59, 7, 15
2019/12/11, 148, 95, 52, 61, 6, 12
2019/12/12, 155, 113, 64, 63, 6, 13
2019/12/13, 160, 103, 57, 75, 6, 15
2019/12/14, 169, 72, 51, 45, 5, 8
2019/12/15, 154, 54, 29, 35, 4, 7
2019/12/16, 112, 60, 9, 45, 5, 10
2019/12/17, 97, 79, 41, 51, 5, 12
2019/12/18, 141, 65, 4, 24, 5, 12
2019/12/19, 132, 44, 21, 22, 4, 12
2019/12/20, 172, 54, 10, 32, 4, 11
2019/12/21, 96, 67, 11, 28, 6, 12
2019/12/22, 120, 66, 28, 29, 5, 11
2019/12/23, 157, 58, 8, 36, 4, 11
2019/12/24, 126, 67, 28, 38, 4, 11
2019/12/25, 134, 70, 16, 31, 4, 13
2019/12/26, 123, 46, 35, 21, 4, 9
2019/12/27, 162, 69, 43, 39, 5, 10
2019/12/28, 135, 123, , 74, 7, 18
2019/12/29, 169, , , , , 
2019/7/1, 73, 26, 28, 14, 3, 5
2019/7/2, 56, 20, 27, 14, 2, 5
2019/7/3, 45, 23, 28, 12, 2, 6
2019/7/4, 52, 28, 33, 10, 2, 5
2019/7/5, 51, 33, 43, 9, 2, 5
2019/7/6, 65, 30, 33, 7, 3, 6
2019/7/7, 57, 32, 31, 7, 2, 5
2019/7/8, 57, 32, 28, 10, 3, 5
2019/7/9, 96, 21, 7, 21, 3, 6
2019/7/10, 57, 32, 45, 23, 3, 8
2019/7/11, 75, 34, 26, 15, 3, 7
2019/7/12, 65, 37, 33, 9, 3, 5
2019/7/13, 67, 38, 35, 11, 2, 6
2019/7/14, 70, 40, 51, 13, 2, 7
2019/7/15, 77, 44, 70, 13, 3, 6
2019/7/16, 96, 55, 91, 20, 5, 6
2019/7/17, 116, 52, 42, 21, 5, 6
2019/7/18, 105, 47, 33, 25, 5, 7
2019/7/19, 96, 40, 55, 21, 3, 7
2019/7/20, 85, 32, 23, 17, 3, 6
2019/7/21, 69, 36, 30, 22, 3, 7
2019/7/22, 68, 32, 24, 20, 3, 7
2019/7/23, 69, 29, 12, 17, 3, 7
2019/7/24, 57, 27, 40, 13, 3, 6
2019/7/25, 54, 29, 36, 10, 2, 5
2019/7/26, 62, 30, 54, 11, 2, 5
2019/7/27, 64, 29, 33, 13, 3, 6
2019/7/28, 54, 33, 39, 17, 4, 6
2019/7/29, 65, 17, 16, 12, 3, 5
2019/7/30, 34, 14, 8, 11, 3, 5
2019/7/31, 35, 12, 11, 11, 2, 5
2019/8/1, 30, 18, 24, 15, 3, 5
2019/8/2, 44, 20, 16, 15, 3, 5
2019/8/3, 46, 30, 46, 13, 3, 5
2019/8/4, 59, 56, 96, 25, 4, 7
2019/8/5, 109, 37, 58, 18, 3, 6
2019/8/6, 83, 43, 80, 22, 3, 6
2019/8/7, 98, 40, 62, 21, 4, 6
2019/8/8, 80, 46, 63, 19, 5, 6
2019/8/9, 91, 49, 68, 17, 6, 8
2019/8/10, 101, 44, 46, 12, 4, 6
2019/8/11, 90, 35, , 15, 4, 7
2019/8/12, 69, 37, , 17, 4, 8
2019/8/13, 73, 40, , 16, 5, 8
2019/8/14, 79, 35, 38, 18, 2, 7
2019/8/15, 80, 34, 58, 18, 3, 6
2019/8/16, 72, 36, 12, 27, 2, 8
2019/8/17, 82, 22, 17, 14, 2, 6
2019/8/18, 44, 43, 49, 22, 2, 8
2019/8/19, 88, 36, 31, 21, 2, 7
2019/8/20, 84, 49, 50, 20, 3, 6
2019/8/21, 104, 51, , 24, 3, 7
2019/8/22, 107, 45, 38, 24, 5, 7
2019/8/23, 95, 59, 52, 24, 4, 8
2019/8/24, 130, 50, 29, 18, 5, 7
2019/8/25, 115, 21, 26, 14, 3, 6
2019/8/26, 58, 27, 22, 15, 3, 6
2019/8/27, 54, 42, 48, 18, 3, 6
2019/8/28, 70, 36, 35, 16, 3, 5
2019/8/29, 71, 24, 14, 15, 3, 5
2019/8/30, 48, 22, 17, 16, 3, 6
2019/8/31, 49, 20, 25, 12, 2, 5
2019/9/1, 45, 14, 13, 10, 2, 5
2019/9/2, 27, 22, 25, 11, 2, 5
2019/9/3, 53, 24, 24, 13, 3, 6
2019/9/4, 64, 19, 24, 15, 3, 5
2019/9/5, 45, 29, 38, 15, 3, 6
2019/9/6, 54, 55, 64, 26, 3, 7
2019/9/7, 107, 56, 78, 20, 3, 7
2019/9/8, 124, 47, 63, 19, 3, 8
2019/9/9, 98, 31, 65, 13, 3, 5
2019/9/10, 65, 41, 83, 18, 4, 6
2019/9/11, 83, 44, 81, 23, 3, 7
2019/9/12, 103, 37, 64, 10, 3, 6
2019/9/13, 80, 31, 24, 16, 3, 7
2019/9/14, 72, 40, 54, 21, 3, 7
2019/9/15, 79, 37, 42, 22, 3, 7
2019/9/16, 79, 37, 63, 22, 2, 8
2019/9/17, 118, 49, 57, 22, 3, 9
2019/9/18, 98, 54, 65, 17, 4, 7
2019/9/19, 103, 54, 67, 28, 5, 7
2019/9/20, 99, 62, 79, 24, 5, 8
2019/9/21, 116, 50, 78, 18, 5, 6
2019/9/22, 83, 43, 65, 20, 3, 6
2019/9/23, 81, 51, 27, 32, 4, 6
2019/9/24, 96, 61, , 35, 5, 8
2019/9/25, 121, 71, , 37, 5, 9
2019/9/26, 135, 74, , 34, 6, 9
2019/9/27, 136, 71, , 35, 5, 10
2019/9/28, 141, 76, 68, 41, 6, 11
2019/9/29, 141, 78, 105, 44, 7, 11
2019/9/30, 148, 75, 104, 35, 10, 12
2019/4/1, 68, 52, 25, 31, 3, 9
2019/4/2, 138, 58, 20, 35, 3, 8
2019/4/3, 145, 44, 7, 25, 2, 9
2019/4/4, 98, 45, 39, 17, 3, 8
2019/4/5, 92, 55, 59, 22, 4, 8
2019/4/6, 127, 42, 49, 18, 3, 6
2019/4/7, 92, 38, 24, 18, 2, 6
2019/4/8, 78, 33, 16, 16, 2, 5
2019/4/9, 70, 44, 45, 15, 3, 5
2019/4/10, 86, 36, 12, 16, 2, 6
2019/4/11, 77, 23, 6, 18, 2, 7
2019/4/12, 58, 40, 3, 26, 2, 8
2019/4/13, 88, 44, 6, 26, 3, 9
2019/4/14, 103, 23, 5, 19, 2, 9
2019/4/15, 60, 24, 27, 26, 2, 8
2019/4/16, 75, 54, 42, 27, 3, 10
2019/4/17, 123, 34, 21, 26, 2, 6
2019/4/18, 105, 20, 25, 28, 2, 5
2019/4/19, 74, 24, 13, 30, 3, 6
2019/4/20, 78, 43, 7, 32, 3, 9
2019/4/21, 99, 31, 28, 20, 2, 5
2019/4/22, 65, 39, 26, 21, 3, 5
2019/4/23, 85, 35, 39, 15, 3, 5
2019/4/24, 68, 40, 39, 16, 3, 5
2019/4/25, 87, 41, 27, 22, 2, 6
2019/4/26, 93, 21, 23, 23, 2, 6
2019/4/27, 58, 38, 39, 22, 3, 7
2019/4/28, 81, 43, 34, 21, 3, 6
2019/4/29, 78, 30, 32, 19, 2, 6
2019/4/30, 63, 24, 32, 13, 2, 7
2019/5/1, 56, 26, 18, 15, 2, 7
2019/5/2, 69, 36, 40, 18, 3, 7
2019/5/3, 77, 58, 20, 34, 3, 8
2019/5/4, 124, 13, 13, 23, 2, 6
2019/5/5, 43, 10, 14, 19, 2, 6
2019/5/6, 34, 19, 16, 18, 2, 6
2019/5/7, 77, 14, 5, 19, 2, 7
2019/5/8, 41, 21, 24, 18, 2, 7
2019/5/9, 51, 49, 34, 24, 3, 9
2019/5/10, 87, 64, 107, 29, 4, 10
2019/5/11, 146, 49, 79, 20, 3, 7
2019/5/12, 95, 43, 51, 21, 3, 7
2019/5/13, 80, 39, 60, 13, 2, 6
2019/5/14, 79, 35, 33, 13, 3, 6
2019/5/15, 73, 39, 39, 11, 3, 6
2019/5/16, 73, 42, 37, 15, 2, 7
2019/5/17, 85, 41, 48, 12, 2, 7
2019/5/18, 78, 42, 50, 9, 2, 6
2019/5/19, 72, 30, 41, 13, 2, 6
2019/5/20, 59, 53, 27, 20, 3, 7
2019/5/21, 120, 50, 62, 21, 3, 7
2019/5/22, 104, 35, 27, 25, 2, 9
2019/5/23, 97, 38, 42, 18, 2, 7
2019/5/24, 87, 33, 28, 16, 2, 6
2019/5/25, 68, 21, 37, 14, 2, 6
2019/5/26, 47, 22, 37, 17, 2, 6
2019/5/27, 51, 29, 27, 24, 2, 7
2019/5/28, 103, 25, 14, 21, 2, 8
2019/5/29, 63, 34, 33, 21, 2, 7
2019/5/30, 82, 35, 31, 23, 3, 8
2019/5/31, 79, 31, 39, 20, 2, 8
2019/6/1, 82, 20, 22, 15, 2, 7
2019/6/2, 50, 29, 52, 16, 2, 7
2019/6/3, 67, 33, 28, 22, 3, 8
2019/6/4, 76, 30, 16, 20, 3, 8
2019/6/5, 114, 24, 22, 16, 2, 6
2019/6/6, 147, 20, 27, 9, 3, 5
2019/6/7, 47, 18, 30, 7, 2, 4
2019/6/8, 34, 20, 29, 7, 2, 4
2019/6/9, 41, 24, 28, 12, 2, 4
2019/6/10, 46, 27, 18, 25, 2, 7
2019/6/11, 74, 28, 32, 25, 2, 7
2019/6/12, 65, 24, 44, 18, 2, 7
2019/6/13, 57, 25, 67, 16, 3, 7
2019/6/14, 56, 32, 93, 18, 3, 6
2019/6/15, 71, 38, 85, 14, 3, 7
2019/6/16, 72, 37, 66, 15, 3, 7
2019/6/17, 69, 16, 21, 15, 2, 6
