date, pm25, o3
2020/1/2, 35, 
2020/1/3, 17, 
2020/1/4, 25, 
2020/1/5, 16, 
2020/1/6, 18, 
2020/1/7, 22, 
2020/1/8, 24, 
2020/1/9, 53, 
2020/1/10, 53, 
2020/1/11, 48, 
2020/1/12, 33, 
2020/1/13, 39, 
2020/1/14, 12, 
2020/1/15, 16, 
2020/1/16, 13, 
2019/10/1, 46, 42
2019/10/2, 49, 34
2019/10/3, 40, 41
2019/10/4, 49, 39
2019/10/5, 41, 26
2019/10/6, 33, 27
2019/10/7, 42, 27
2019/10/8, 36, 41
2019/10/9, 38, 29
2019/10/10, 29, 31
2019/10/11, 25, 14
2019/10/12, 21, 23
2019/10/13, 31, 15
2019/10/14, 33, 29
2019/10/15, 28, 19
2019/10/16, 24, 22
2019/10/17, 33, 20
2019/10/18, 32, 21
2019/10/19, 31, 49
2019/10/20, 52, 37
2019/10/21, 25, 29
2019/10/22, 23, 33
2019/10/23, 23, 27
2019/10/24, 41, 18
2019/10/25, 49, 22
2019/10/26, 41, 27
2019/10/27, 32, 31
2019/10/28, 43, 18
2019/10/29, 47, 18
2019/10/30, 28, 18
2019/10/31, 13, 13
2019/11/1, 24, 
2019/11/2, 24, 
2019/11/3, 35, 
2019/11/4, 49, 
2019/11/5, 48, 
2019/11/6, 57, 
2019/11/7, 54, 
2019/11/8, 43, 
2019/11/9, 50, 
2019/11/10, 56, 
2019/11/11, 43, 
2019/11/12, 20, 
2019/11/13, 33, 
2019/11/14, 40, 
2019/11/15, 46, 
2019/11/16, 59, 
2019/11/17, 70, 
2019/11/18, 70, 
2019/11/19, 86, 
2019/11/20, 58, 
2019/11/21, 52, 
2019/11/22, 39, 
2019/11/23, 25, 
2019/11/24, 35, 
2019/11/25, 45, 
2019/11/26, 20, 
2019/11/27, 32, 
2019/11/28, 29, 
2019/11/29, 32, 
2019/11/30, 35, 
2019/12/1, 20, 
2019/12/2, 14, 
2019/12/3, 28, 
2019/12/4, 65, 
2019/12/5, 47, 
2019/12/6, 41, 
2019/12/7, 44, 
2019/12/8, 60, 
2019/12/9, 42, 
2019/12/10, 15, 
2019/12/11, 11, 
2019/12/12, 27, 
2019/12/13, 35, 
2019/12/14, 41, 
2019/12/15, 38, 
2019/12/16, 28, 
2019/12/17, 24, 
2019/12/18, 29, 
2019/12/19, 30, 
2019/12/20, 42, 
2019/12/21, 36, 
2019/12/22, 12, 
2019/12/23, 11, 
2019/12/24, 31, 
2019/12/25, 44, 
2019/12/26, 39, 
2019/12/27, 51, 
2019/12/28, 36, 
2019/7/1, 43, 34
2019/7/2, 34, 33
2019/7/3, 25, 34
2019/7/4, 56, 30
2019/7/5, 69, 27
2019/7/6, 73, 32
2019/7/7, 71, 29
2019/7/8, 56, 27
2019/7/9, 52, 44
2019/7/10, 47, 28
2019/7/11, 29, 33
2019/7/12, 37, 26
2019/7/13, 57, 17
2019/7/14, 52, 15
2019/7/15, 44, 19
2019/7/16, 66, 22
2019/7/17, 61, 24
2019/7/18, 43, 23
2019/7/19, 19, 26
2019/7/20, 16, 24
2019/7/21, 23, 29
2019/7/22, 21, 21
2019/7/23, 36, 30
2019/7/24, 39, 39
2019/7/25, 43, 38
2019/7/26, 42, 33
2019/7/27, 25, 43
2019/7/28, 37, 40
2019/7/29, 38, 33
2019/7/30, 35, 38
2019/7/31, 38, 40
2019/8/1, 45, 35
2019/8/2, 38, 39
2019/8/3, 36, 30
2019/8/4, 20, 33
2019/8/5, 25, 31
2019/8/6, 28, 31
2019/8/7, 34, 27
2019/8/8, 44, 25
2019/8/9, 50, 20
2019/8/10, 40, 19
2019/8/11, 36, 32
2019/8/12, 42, 21
2019/8/13, 45, 32
2019/8/14, 36, 33
2019/8/15, 41, 58
2019/8/16, 54, 50
2019/8/17, 54, 20
2019/8/18, 26, 21
2019/8/19, 24, 25
2019/8/20, 32, 23
2019/8/21, 58, 22
2019/8/22, 36, 24
2019/8/23, 15, 30
2019/8/24, 19, 22
2019/8/25, 19, 26
2019/8/26, 22, 22
2019/8/27, 25, 29
2019/8/28, 35, 44
2019/8/29, 42, 46
2019/8/30, 47, 34
2019/8/31, 44, 18
2019/9/1, 31, 14
2019/9/2, 33, 33
2019/9/3, 31, 38
2019/9/4, 57, 31
2019/9/5, 59, 36
2019/9/6, 51, 47
2019/9/7, 57, 49
2019/9/8, 77, 43
2019/9/9, 64, 35
2019/9/10, 31, 30
2019/9/11, 41, 41
2019/9/12, 57, 41
2019/9/13, 55, 35
2019/9/14, 39, 29
2019/9/15, 41, 26
2019/9/16, 32, 29
2019/9/17, 33, 36
2019/9/18, 32, 37
2019/9/19, 40, 31
2019/9/20, 31, 28
2019/9/21, 28, 30
2019/9/22, 27, 32
2019/9/23, 27, 34
2019/9/24, 35, 45
2019/9/25, 47, 46
2019/9/26, 51, 37
2019/9/27, 43, 36
2019/9/28, 36, 32
2019/9/29, 34, 28
2019/9/30, 33, 42
2019/4/1, 34, 41
2019/4/2, 28, 45
2019/4/3, 48, 41
2019/4/4, 42, 32
2019/4/5, 30, 23
2019/4/6, 31, 20
2019/4/7, 30, 43
2019/4/8, 31, 32
2019/4/9, 22, 43
2019/4/10, 36, 38
2019/4/11, 31, 31
2019/4/12, 29, 24
2019/4/13, 45, 30
2019/4/14, 28, 41
2019/4/15, 20, 41
2019/4/16, 26, 42
2019/4/17, 23, 38
2019/4/18, 40, 34
2019/4/19, 15, 35
2019/4/20, 25, 44
2019/4/21, 26, 43
2019/4/22, 19, 38
2019/4/23, 21, 39
2019/4/24, 26, 40
2019/4/25, 24, 38
2019/4/26, 31, 47
2019/4/27, 40, 47
2019/4/28, 34, 39
2019/4/29, 31, 33
2019/4/30, 42, 25
2019/5/1, 37, 24
2019/5/2, 34, 23
2019/5/3, 32, 40
2019/5/4, 23, 28
2019/5/5, 21, 35
2019/5/6, 30, 46
2019/5/7, 34, 34
2019/5/8, 25, 31
2019/5/9, 33, 26
2019/5/10, 31, 22
2019/5/11, 32, 38
2019/5/12, 32, 29
2019/5/13, 25, 36
2019/5/14, 32, 41
2019/5/15, 41, 45
2019/5/16, 48, 48
2019/5/17, 47, 39
2019/5/18, 35, 40
2019/5/19, 28, 20
2019/5/20, 35, 25
2019/5/21, 31, 24
2019/5/22, 32, 29
2019/5/23, 29, 31
2019/5/24, 29, 37
2019/5/25, 42, 43
2019/5/26, 51, 34
2019/5/27, 42, 34
2019/5/28, 44, 33
2019/5/29, 45, 31
2019/5/30, 43, 45
2019/5/31, 47, 41
2019/6/1, 51, 43
2019/6/2, 58, 51
2019/6/3, 61, 48
2019/6/4, 55, 15
2019/6/5, 24, 25
2019/6/6, 34, 36
2019/6/7, 37, 40
2019/6/8, 30, 29
2019/6/9, 39, 32
2019/6/10, 41, 42
2019/6/11, 50, 42
2019/6/12, 49, 45
2019/6/13, 49, 47
2019/6/14, 34, 40
2019/6/15, 26, 20
2019/6/16, 33, 22
2019/6/17, 20, 24
2019/6/18, 18, 40
2019/6/19, 16, 18
2019/6/20, 49, 19
2019/6/21, 67, 23
2019/6/22, 67, 21
2019/6/23, 65, 38
2019/6/24, 41, 19
2019/6/25, 68, 41
2019/6/26, 46, 27
2019/6/27, 54, 39
2019/6/28, 33, 40
2019/6/29, 39, 36
2019/6/30, 34, 45
2019/1/1, 38, 
2019/1/2, 34, 
2019/1/3, 25, 
2019/1/4, 13, 
2019/1/5, 30, 
2019/1/6, 39, 
2019/1/7, 33, 
2019/1/8, 24, 
2019/1/9, 17, 
2019/1/10, 19, 
2019/1/11, 33, 
2019/1/12, 34, 
2019/1/13, 22, 
2019/1/14, 36, 
2019/1/15, 42, 
2019/1/16, 52, 
2019/1/17, 47, 
2019/1/18, 36, 
2019/1/19, 23, 
2019/1/20, 25, 
2019/1/21, 23, 
2019/1/22, 40, 
2019/1/23, 38, 
2019/1/24, 28, 
2019/1/25, 29, 
2019/1/26, 41, 
2019/1/27, 43, 
2019/1/28, 35, 
2019/1/29, 19, 
2019/1/30, 21, 
2019/1/31, 28, 
2019/2/1, 45, 
2019/2/2, 44, 
2019/2/3, 44, 
2019/2/4, 24, 
2019/2/5, 17, 
2019/2/6, 16, 
2019/2/7, 25, 
2019/2/8, 15, 
2019/2/9, 24, 
2019/2/10, 52, 
2019/2/11, 31, 
2019/2/12, 18, 
2019/2/13, 18, 
2019/2/14, 23, 
2019/2/15, 31, 
2019/2/16, 36, 
2019/2/17, 32, 
2019/2/18, 22, 
2019/2/19, 32, 
2019/2/20, 34, 
2019/2/21, 32, 
2019/2/22, 25, 
2019/2/23, 35, 
2019/2/24, 22, 
2019/2/25, 24, 
2019/2/26, 64, 
2019/2/27, 21, 
2019/2/28, 26, 21
2019/3/1, 28, 22
2019/3/2, 35, 19
2019/3/3, 38, 27
2019/3/4, 37, 33
2019/3/5, 22, 37
2019/3/6, 22, 40
2019/3/7, 36, 39
2019/3/8, 29, 31
2019/3/9, 43, 27
2019/3/10, 26, 22
2019/3/11, 28, 36
2019/3/12, 27, 31
2019/3/13, 44, 27
2019/3/14, 57, 28
2019/3/15, 28, 30
2019/3/16, 18, 33
2019/3/17, 19, 34
2019/3/18, 37, 40
2019/3/19, 38, 47
2019/3/20, 64, 37
2019/3/21, 47, 40
2019/3/22, 48, 48
2019/3/23, 56, 44
2019/3/24, 57, 43
2019/3/25, 41, 31
2019/3/26, 41, 42
2019/3/27, 43, 43
2019/3/28, 43, 37
2019/3/29, 33, 37
2019/3/30, 30, 25
2019/3/31, 18, 39
2018/10/1, 21, 31
2018/10/2, 26, 29
2018/10/3, 28, 35
2018/10/4, 30, 36
2018/10/5, 34, 28
2018/10/6, 32, 29
2018/10/7, 32, 26
2018/10/10, 22, 28
2018/10/11, 21, 34
2018/10/12, 27, 41
2018/10/13, 33, 40
2018/10/14, 20, 36
2018/10/15, 27, 17
2018/10/16, 33, 12
2018/10/17, 44, 27
2018/10/18, 22, 34
2018/10/19, 40, 21
2018/10/20, 31, 29
2018/10/21, 20, 31
