date, pm25, o3, no2, so2, co
2020/1/2, 302, 4, 27, 1, 28
2020/1/3, 256, 13, 26, 2, 19
2020/1/4, 205, 22, 26, 2, 13
2020/1/5, 189, 3, 35, 3, 13
2020/1/6, 193, 3, 27, 3, 7
2020/1/7, 162, , 21, 4, 8
2020/1/8, 164, 13, 14, 3, 7
2020/1/9, 140, 23, 21, 3, 10
2020/1/10, 164, 34, 24, 3, 12
2020/1/11, 176, 25, 24, 3, 21
2020/1/12, 202, 11, 30, 2, 15
2020/1/13, 202, 9, 19, 3, 9
2020/1/14, 153, 12, 23, 4, 9
2020/1/15, 160, , 18, 3, 9
2020/1/16, 163, , , , 
2019/11/14, 320, 23, 40, 17, 15
2019/11/15, 331, 19, 27, 19, 12
2019/11/16, 197, 15, 20, 16, 7
2019/11/17, 132, 23, 25, 10, 7
2019/11/18, 212, 23, 33, 13, 11
2019/11/19, 154, 35, 40, 20, 16
2019/11/20, 177, 29, 43, 21, 21
2019/11/21, 187, 28, 50, 18, 19
2019/11/22, 193, 19, 31, 10, 8
2019/11/23, 170, 26, 24, 11, 6
2019/11/24, 165, 20, 48, 10, 15
2019/11/25, 165, 14, 38, 6, 10
2019/11/26, 162, 15, 38, 4, 7
2019/11/27, 124, 15, 28, 1, 4
2019/11/28, 90, 20, 33, 3, 6
2019/11/29, 93, 17, 21, 4, 7
2019/11/30, 136, 29, 27, 4, 7
2019/12/1, 154, 28, 31, 4, 10
2019/12/2, 163, 37, 37, 2, 9
2019/12/3, 179, 37, 42, 3, 15
2019/12/4, 186, 35, 50, 4, 25
2019/12/5, 245, 33, 38, 1, 17
2019/12/6, 259, 28, 40, , 19
2019/12/7, 244, 32, 34, , 16
2019/12/8, 240, 29, 38, 14, 20
2019/12/9, 222, 31, 44, 33, 26
2019/12/10, 238, 32, 45, 35, 23
2019/12/11, 260, 33, 43, 26, 12
2019/12/12, 235, 11, 27, 12, 6
2019/12/13, 153, 10, 29, 13, 8
2019/12/14, 138, 19, 19, 14, 5
2019/12/15, 151, 11, 15, 9, 5
2019/12/16, 136, 13, 15, 11, 6
2019/12/17, 129, 19, 20, 16, 10
2019/12/18, 158, 2, 25, 33, 17
2019/12/19, 192, 11, 36, 21, 16
2019/12/20, 196, 11, 28, 10, 11
2019/12/21, 185, 12, 21, 7, 9
2019/12/22, 160, 11, 19, 7, 11
2019/12/23, 165, 11, 33, 11, 14
2019/12/24, 199, 5, 19, 5, 8
2019/12/25, 165, 8, 21, 9, 13
2019/12/26, 186, 13, 24, 8, 13
2019/12/27, 185, 7, 21, 10, 17
2019/12/28, 197, , 15, 13, 19
2019/12/29, 217, , , , 
2019/4/1, 146, 20, 4, 6, 2
2019/4/2, 175, 15, 4, 5, 2
2019/4/3, 164, 20, 4, 3, 2
2019/4/4, 184, 21, 4, 2, 2
2019/4/5, 190, 1, 4, 1, 4
2019/4/6, 176, 16, 4, 4, 2
2019/4/7, 224, 12, 4, 3, 2
2019/4/8, 199, 21, 4, 3, 3
2019/4/9, 166, 15, 4, 3, 2
2019/4/10, 182, 13, 4, 2, 2
2019/4/11, 168, 15, 4, 1, 2
2019/4/12, 174, 12, 4, 1, 2
2019/4/13, 163, 12, 4, 1, 2
2019/4/14, 149, 10, 4, 1, 3
2019/4/15, 163, 8, 4, 1, 2
2019/4/16, 183, 8, 4, 1, 2
2019/4/17, 78, 14, 4, 1, 2
2019/4/18, 102, 15, 4, 1, 2
2019/4/19, 152, 19, 4, 1, 2
2019/4/20, 152, 13, 4, 1, 2
2019/4/21, 178, 17, 7, , 5
2019/4/22, 179, 16, 7, 1, 3
2019/4/23, 175, 13, 4, 1, 3
2019/4/24, 211, 14, 4, 2, 3
2019/4/25, 186, 21, 4, 1, 2
2019/4/26, 180, 17, 4, 1, 2
2019/4/27, 182, 18, 4, 2, 2
2019/4/28, 185, 17, 4, 2, 4
2019/4/29, 185, 20, 4, 3, 2
2019/4/30, 192, 29, 4, 2, 3
2019/5/1, 199, 22, 4, 1, 2
2019/5/2, 194, 25, 4, 1, 3
2019/5/3, 156, 9, 4, 2, 1
2019/5/4, 160, 26, 4, 7, 2
2019/5/5, 167, 26, 4, 4, 2
2019/5/6, 183, 14, 4, 4, 2
2019/5/7, 223, 15, 4, 1, 5
2019/5/8, 223, 17, 4, 28, 3
2019/5/9, 227, 17, 4, 8, 3
2019/5/10, 194, 27, 4, 14, 3
2019/5/11, 172, 24, 4, 11, 3
2019/5/12, 300, 30, 4, 13, 3
2019/5/13, 207, 25, 4, 5, 3
2019/5/14, 120, 20, 4, 8, 2
2019/5/15, 158, 20, 4, 4, 3
2019/5/16, 168, 17, 4, 5, 2
2019/5/17, 171, 20, 4, 2, 3
2019/5/18, 105, 26, 4, 3, 3
2019/5/19, 149, 21, 4, 3, 3
2019/5/20, 177, 23, 4, 3, 3
2019/5/21, 166, 11, 4, 3, 4
2019/5/22, 166, 21, 4, 3, 4
2019/5/23, 168, 19, 4, 2, 3
2019/5/24, 124, 22, 4, 1, 3
2019/5/25, 120, 24, 4, 7, 3
2019/5/26, 141, 20, 4, 4, 2
2019/5/27, 161, 43, 14, 7, 2
2019/5/28, 162, 62, 26, 7, 3
2019/5/29, 165, 46, 20, 6, 3
2019/5/30, 196, 52, 20, 5, 2
2019/5/31, 186, 58, 19, 6, 2
2019/6/1, 184, 71, 18, 4, 3
2019/6/2, 170, 72, 14, 4, 3
2019/6/3, 175, 73, 18, 2, 4
2019/6/4, 164, 58, 16, 4, 3
2019/6/5, 172, 67, 14, 5, 3
2019/6/6, 180, 75, 14, 1, 3
2019/6/7, 156, 69, 15, 3, 3
2019/6/8, 162, 73, 16, 4, 2
2019/6/9, 183, 57, 22, 5, 3
2019/6/10, 184, 31, 22, 5, 2
2019/6/11, 277, 64, 21, 5, 3
2019/6/12, 174, 52, 29, 2, 2
2019/6/13, 162, 36, , 2, 4
2019/6/14, 144, 58, 3, 4, 2
2019/6/15, 196, 40, 4, 6, 8
2019/6/16, 107, 15, 3, 2, 7
2019/6/17, 104, , , , 
2019/1/1, 420, 23, 29, 13, 7
2019/1/2, 420, 20, 28, 13, 16
2019/1/3, 388, 9, 19, 6, 15
2019/1/4, 225, 18, 21, 11, 11
2019/1/5, 261, 23, 12, 14, 10
2019/1/6, 185, 16, 12, 8, 10
2019/1/7, 184, 25, 11, 11, 10
2019/1/8, 181, 28, 10, 9, 10
2019/1/9, 173, 28, 20, 8, 10
2019/1/10, 170, 20, 59, 9, 10
2019/1/11, 261, 28, 47, 10, 10
2019/1/12, 273, 34, 20, 10, 10
2019/1/13, 225, 30, 8, 7, 10
2019/1/14, 161, 26, 11, 7, 9
2019/1/15, 165, 24, 33, 5, 10
2019/1/16, 220, 35, 33, 2, 10
2019/1/17, 264, 24, 17, 4, 9
2019/1/18, 225, 24, 43, 6, 9
2019/1/19, 239, 22, 42, 3, 10
2019/1/20, 221, 21, 17, 2, 10
2019/1/21, 166, 19, 13, 2, 10
2019/1/22, 109, 12, 14, 3, 8
2019/1/23, 169, 12, 16, 3, 4
2019/1/24, 191, 20, 11, 2, 3
2019/1/25, 140, 28, 10, 2, 6
2019/1/26, 156, 28, 10, 2, 6
2019/1/27, 169, 24, 31, 2, 8
2019/1/28, 191, 26, 22, 2, 6
2019/1/29, 156, 26, 49, 2, 8
2019/1/30, 185, 24, 47, 3, 5
2019/1/31, 191, 22, 23, 1, 7
2019/2/1, 177, 20, 12, 2, 6
2019/2/2, 187, 18, 12, 2, 6
2019/2/3, 167, 21, 30, 2, 8
2019/2/4, 175, 28, 28, 1, 6
2019/2/5, 180, 23, 109, 1, 6
2019/2/6, 168, , , , 
2019/2/8, 154, 8, 114, 2, 8
2019/2/9, 160, 10, 114, 3, 9
2019/2/10, 170, 25, 106, 2, 7
2019/2/11, 216, 35, 114, 3, 8
2019/2/12, 214, 29, 118, 5, 6
2019/2/13, 225, 23, 94, 3, 5
2019/2/14, 182, 18, 62, 5, 7
2019/2/15, 161, 21, 41, 3, 5
2019/2/16, 162, 32, 54, 2, 6
2019/2/17, 147, 26, 85, 2, 6
2019/2/18, 168, 22, 43, 8, 8
2019/2/19, 163, 9, 15, 3, 7
2019/2/20, 147, 20, 12, 4, 7
2019/2/21, 132, 25, 5, 6, 7
2019/2/22, 132, 34, 5, 7, 6
2019/2/23, 113, 38, 8, 5, 6
2019/2/24, 137, 26, 15, 7, 7
2019/2/25, 164, 21, 14, 13, 6
2019/2/26, 121, 29, 11, 14, 6
2019/2/27, 115, 28, 12, 18, 4
2019/2/28, 143, 29, 12, 18, 5
2019/3/1, 152, 9, 16, 19, 5
2019/3/2, 160, 18, 9, 8, 6
2019/3/3, 108, 25, 7, 11, 5
2019/3/4, 155, 24, 5, 7, 4
2019/3/5, 114, 26, 9, 6, 4
2019/3/6, 139, 31, 11, 5, 2
2019/3/7, 159, 27, 15, 4, 2
2019/3/8, 155, 26, 8, 2, 1
2019/3/9, 116, 35, 8, 1, 2
2019/3/10, 122, 13, 20, 2, 4
2019/3/11, 155, 26, 5, 2, 2
2019/3/12, 158, 14, 7, 1, 2
2019/3/13, 165, 17, 5, , 2
2019/3/14, 171, 28, 2, , 1
2019/3/15, 144, 34, 2, , 1
2019/3/16, 147, 36, 2, , 2
2019/3/17, 155, 36, 1, 5, 2
2019/3/18, 167, 33, 2, 14, 2
2019/3/19, 175, 8, 5, 12, 3
2019/3/20, 181, 21, 10, 14, 1
2019/3/21, 179, 13, 4, 7, 1
2019/3/22, 136, 16, 4, 11, 1
2019/3/23, 147, 13, 4, 7, 1
2019/3/24, 141, 11, 4, 8, 1
2019/3/25, 143, 15, 4, 6, 2
2019/3/26, 146, 16, 4, 8, 2
2019/3/27, 158, 14, 4, 9, 2
2019/3/28, 182, 16, 4, 9, 3
2019/3/29, 177, 18, 4, 10, 2
2019/3/30, 190, 14, 4, 6, 2
2019/3/31, 153, 15, 3, 7, 2
2018/12/1, 119, 30, 10, 6, 6
2018/12/2, 157, 25, 11, 6, 8
2018/12/3, 174, 19, 10, 10, 13
2018/12/4, 191, 5, 10, 6, 19
2018/12/5, 187, , , , 
2018/12/7, 127, 18, 8, 9, 10
2018/12/8, 172, 19, 11, 6, 6
2018/12/9, 184, 16, 9, 4, 5
2018/12/10, 179, 23, 4, 6, 2
2018/12/15, 148, 30, 21, 2, 5
2018/12/16, 149, 24, 35, 4, 4
2018/12/17, 169, 31, 25, 4, 4
2018/12/18, 135, 31, 35, 7, 4
