date, pm25, pm10, o3, no2, so2, co
2020/1/2, 118, 74, 7, 4, 6, 6
2020/1/3, 153, 86, 7, 3, 6, 8
2020/1/4, 163, 88, 7, 4, 6, 11
2020/1/5, 172, 127, 8, 4, 6, 7
2020/1/6, 176, 205, 9, 5, 6, 15
2020/1/7, 226, 146, 7, 5, 6, 15
2020/1/8, 218, 138, 7, 4, 6, 15
2020/1/9, 220, 151, 7, 5, 6, 16
2020/1/10, 226, 165, 7, 6, 6, 16
2020/1/11, 229, 145, 7, 7, 6, 15
2020/1/12, 209, 159, 7, 6, 6, 15
2020/1/13, 214, 228, 7, 6, 6, 17
2020/1/14, 263, 365, 7, 6, 6, 33
2020/1/15, 379, 146, 7, 5, 6, 22
2020/1/16, 230, , , , , 
2019/10/1, 44, 33, 7, 3, 6, 4
2019/10/2, 62, 48, 7, 3, 7, 7
2019/10/3, 88, 52, 7, 5, 7, 6
2019/10/4, 91, 58, 8, 6, 7, 5
2019/10/5, 111, 71, 8, 5, 9, 8
2019/10/6, 136, 45, 7, 5, 7, 6
2019/10/7, 89, 24, 7, 3, 7, 4
2019/10/8, 47, 29, 7, 3, 7, 4
2019/10/9, 63, 34, 8, 5, 7, 4
2019/10/10, 67, 50, 8, 6, 7, 6
2019/10/11, 89, 61, 8, 7, 7, 6
2019/10/12, 102, 74, 8, 9, 8, 6
2019/10/13, 135, 73, 7, 9, 8, 6
2019/10/14, 127, 59, 7, 7, 7, 6
2019/10/15, 121, 67, 7, 8, 7, 7
2019/10/16, 113, 68, 7, 9, 7, 7
2019/10/17, 118, 78, 7, 9, 7, 7
2019/10/18, 125, 71, 7, 9, 7, 7
2019/10/19, 123, 65, 7, 7, 6, 6
2019/10/20, 122, 71, 8, 5, 7, 6
2019/10/21, 144, 88, 11, 6, 7, 6
2019/10/22, 165, 99, 11, 10, 8, 9
2019/10/23, 169, 62, 7, 6, 6, 6
2019/10/24, 124, 15, 7, 4, 4, 3
2019/10/25, 42, 11, 7, 3, 5, 2
2019/10/26, 24, 106, 7, 3, 5, 4
2019/10/27, 112, 218, 7, 5, 5, 7
2019/10/28, 232, 105, 7, 6, 5, 6
2019/10/29, 142, 61, 7, 6, 5, 7
2019/10/30, 111, 116, 7, 6, 4, 8
2019/10/31, 121, 84, 7, 6, 4, 6
2019/11/1, 98, 74, 7, 7, 5, 7
2019/11/2, 118, 72, 7, 6, 5, 7
2019/11/3, 124, 88, 7, 7, 5, 7
2019/11/4, 125, 85, 7, 8, 5, 7
2019/11/5, 118, 55, 7, 6, 5, 6
2019/11/6, 100, 78, 7, 7, 5, 8
2019/11/7, 127, 73, 7, 5, 5, 7
2019/11/8, 119, 59, 7, 5, 5, 7
2019/11/9, 122, 26, 7, 4, 5, 4
2019/11/10, 57, 39, 7, 5, 5, 4
2019/11/11, 72, 80, 7, 6, 5, 8
2019/11/12, 139, 66, 7, 7, 5, 8
2019/11/13, 124, 72, 7, 6, 5, 8
2019/11/14, 123, 146, 7, 7, 5, 8
2019/11/15, 141, 92, 7, 9, 5, 8
2019/11/16, 131, 98, 8, 9, 5, 8
2019/11/17, 163, 109, 12, 9, 5, 10
2019/11/18, 177, 100, 9, 6, 5, 10
2019/11/19, 172, 69, 7, 6, 5, 5
2019/11/20, 126, 86, 7, 8, 5, 7
2019/11/21, 141, 85, 7, 7, 5, 8
2019/11/22, 143, 94, 7, 6, 5, 9
2019/11/23, 162, 91, 7, 6, 5, 8
2019/11/24, 155, 98, 7, 6, 5, 8
2019/11/25, 159, 106, 7, 6, 5, 9
2019/11/26, 166, 86, 7, 6, 5, 9
2019/11/27, 146, 90, 7, 6, 5, 9
2019/11/28, 147, 107, 7, 6, 5, 9
2019/11/29, 171, 106, 7, 6, 5, 10
2019/11/30, 169, 87, 7, 5, 5, 6
2019/12/1, 160, 76, 7, 3, 5, 5
2019/12/2, 135, 93, 7, 4, 5, 9
