date, pm10, o3, no2
2020/1/2, 17, 28, 5
2020/1/3, 16, 25, 5
2020/1/4, 23, 25, 8
2020/1/5, 14, 21, 11
2020/1/6, 13, 17, 13
2020/1/7, 22, 19, 11
2020/1/8, 15, 15, 10
2020/1/9, 11, 28, 10
2020/1/10, 19, 22, 8
2020/1/11, 10, 26, 5
2020/1/12, 13, 19, 11
2020/1/13, 16, 24, 6
2020/1/14, 8, 26, 6
2020/1/15, 11, 16, 9
2020/1/16, 17, , 
2019/10/1, 13, 27, 4
2019/10/2, 11, 23, 9
2019/10/3, 14, 14, 11
2019/10/4, 9, 16, 10
2019/10/5, 10, 15, 7
2019/10/6, 9, 11, 11
2019/10/7, 18, 22, 8
2019/10/8, 22, 26, 7
2019/10/9, 15, 22, 5
2019/10/10, 16, 21, 6
2019/10/11, 15, 30, 7
2019/10/12, 7, 25, 7
2019/10/13, 16, 23, 13
2019/10/14, 15, 18, 13
2019/10/15, 13, 14, 11
2019/10/16, 11, 22, 12
2019/10/17, 14, 26, 7
2019/10/18, 11, 21, 7
2019/10/19, 11, 11, 13
2019/10/20, 14, 17, 10
2019/10/21, 13, 17, 13
2019/10/22, 18, 8, 16
2019/10/23, 19, 21, 12
2019/10/24, 22, 18, 8
2019/10/25, 13, 26, 4
2019/10/26, 13, 28, 4
2019/10/27, 11, 25, 12
2019/10/28, 15, 25, 17
2019/10/29, 11, 13, 14
2019/10/30, 16, 12, 15
2019/10/31, 20, 3, 15
2019/11/1, 19, 26, 5
2019/11/2, 13, 16, 10
2019/11/3, 11, 11, 15
2019/11/4, 14, 8, 16
2019/11/5, 15, 22, 14
2019/11/6, 12, 14, 14
2019/11/7, 14, 12, 17
2019/11/8, 13, 24, 9
2019/11/9, 15, 11, 16
2019/11/10, 20, 21, 11
2019/11/11, 14, 23, 9
2019/11/12, 10, 20, 13
2019/11/13, 13, 6, 16
2019/11/14, 10, 9, 12
2019/11/15, 24, 4, 18
2019/11/16, 20, 11, 13
2019/11/17, 17, 25, 11
2019/11/18, 9, 29, 15
2019/11/19, 14, 6, 26
2019/11/20, 22, 11, 13
2019/11/21, 22, 10, 16
2019/11/22, 14, 6, 11
2019/11/23, 15, 3, 14
2019/11/24, 27, 4, 16
2019/11/25, 19, 11, 12
2019/11/26, 11, 18, 9
2019/11/27, 9, 23, 7
2019/11/28, 11, 29, 9
2019/11/29, 17, 20, 19
2019/11/30, 16, 6, 23
2019/12/1, 23, 24, 11
2019/12/2, 13, 21, 16
2019/12/3, 17, 3, 25
2019/12/4, 27, 3, 20
2019/12/5, 28, 18, 7
2019/12/6, 11, 24, 5
2019/12/7, 17, 30, 3
2019/12/8, 16, 31, 6
2019/12/9, 17, 28, 11
2019/12/10, 17, 18, 18
2019/12/11, 19, 23, 11
2019/12/12, 10, 24, 10
2019/12/13, 9, 32, 4
2019/12/14, 17, 32, 5
2019/12/15, 22, 18, 17
2019/12/16, 16, 18, 15
2019/12/17, 13, 23, 14
2019/12/18, 12, 13, 10
2019/12/19, 17, 24, 7
2019/12/20, 10, 22, 7
2019/12/21, 10, 21, 5
2019/12/22, 10, 23, 5
2019/12/23, 17, 25, 7
2019/12/24, 22, 27, 6
2019/12/25, 14, 12, 12
2019/12/26, 13, 12, 14
2019/12/27, 13, 5, 16
2019/12/28, 23, , 
2019/7/1, 14, 24, 4
2019/7/2, 12, 23, 6
2019/7/3, 11, 26, 7
2019/7/4, 12, 29, 7
2019/7/5, 11, 20, 6
2019/7/6, 12, 26, 3
2019/7/7, 10, 25, 4
2019/7/8, 9, 26, 7
2019/7/9, 12, 18, 13
2019/7/10, 17, 25, 13
2019/7/11, 23, 23, 9
2019/7/12, 16, 26, 4
2019/7/13, 10, 24, 4
2019/7/14, 10, 22, 5
2019/7/15, 8, 27, 6
2019/7/16, 7, 26, 13
2019/7/17, 12, 24, 11
2019/7/18, 16, 22, 9
2019/7/19, 15, 24, 8
2019/7/20, 16, 23, 4
2019/7/21, 13, 21, 8
2019/7/22, 11, 55, 11
2019/7/23, 13, 67, 14
2019/7/24, 20, 79, 19
2019/7/25, 37, 77, 11
2019/7/26, 23, 44, 7
2019/7/27, 20, 34, 5
2019/7/28, 19, 27, 8
2019/7/29, 13, 37, 13
2019/7/30, 15, 22, 5
2019/7/31, 13, 29, 6
2019/8/1, 15, 28, 4
2019/8/2, 14, 27, 5
2019/8/3, 9, 34, 10
2019/8/4, 12, 25, 7
2019/8/5, 12, 25, 5
2019/8/6, 17, 25, 4
2019/8/7, 14, 25, 7
2019/8/8, 14, 19, 11
2019/8/9, 14, 27, 2
2019/8/10, 20, 25, 3
2019/8/11, 22, 24, 7
2019/8/12, 16, 26, 6
2019/8/13, 12, 25, 7
2019/8/14, 13, 24, 4
2019/8/15, 11, 25, 8
2019/8/16, 15, 20, 5
2019/8/17, 14, 27, 5
2019/8/18, 13, 27, 4
2019/8/19, 21, 29, 8
2019/8/20, 13, 32, 14
2019/8/21, 17, 30, 16
2019/8/22, 17, 30, 16
2019/8/23, 15, 50, 22
2019/8/24, 22, 63, 18
2019/8/25, 26, 55, 15
2019/8/26, 26, 52, 20
2019/8/27, 30, 33, 15
2019/8/28, 30, 26, 7
