date, pm25, pm10, o3, no2, so2, co
2020/1/2, 362, 21, 45, 17, 5, 54
2020/1/3, 119, 77, 42, 16, 3, 14
2020/1/4, 67, 18, 75, 36, 105, 85
2020/1/5, 61, 74, 54, 27, 12, 53
2020/1/6, 68, 69, 39, 36, 19, 46
2020/1/7, 100, 67, 85, 28, 7, 56
2020/1/8, 91, 17, 66, 25, 21, 61
2020/1/9, 58, 74, 65, 33, 25, 62
2020/1/10, 174, 40, 48, 13, 27, 108
2020/1/11, 97, 35, 72, 22, 58, 55
2020/1/12, 95, 38, 105, 32, 25, 20
2020/1/13, 65, 24, 53, 36, 55, 88
2020/1/14, 141, 21, 38, 31, 17, 54
2020/1/15, 81, 14, 29, 54, 21, 57
2020/1/16, 64, , , , , 
2019/10/1, 69, 36, 40, 13, 3, 3
2019/10/2, 65, 25, 41, 12, 3, 3
2019/10/3, 59, 32, 42, 17, 4, 4
2019/10/4, 63, 26, 48, 13, 4, 4
2019/10/5, 70, 34, 37, 16, 3, 4
2019/10/6, 56, 27, 26, 21, 3, 3
2019/10/7, 49, , , , , 
2019/10/13, 90, 73, 58, 22, 5, 5
2019/10/14, 85, 68, 45, 27, 5, 3
2019/10/15, 86, 52, 37, 19, 3, 5
2019/10/16, 77, 49, 35, 12, 3, 4
2019/10/17, 69, 37, 37, 14, 5, 4
2019/10/18, 68, 32, 40, 8, 3, 4
2019/10/19, 71, 36, 33, 9, 3, 4
2019/10/20, 61, 29, 40, 10, 3, 4
2019/10/21, 77, 55, 49, 29, 10, 5
2019/10/22, 95, 43, 37, 22, 4, 4
2019/10/23, 83, 38, 45, 25, 3, 4
2019/10/24, 72, 47, 66, 27, 4, 4
2019/10/25, 83, 37, 44, 16, 2, 4
2019/10/26, 77, 46, 52, 25, 3, 5
2019/10/27, 81, 41, 45, 25, 3, 4
2019/10/28, 83, 37, 40, 23, 3, 4
2019/10/29, 78, 41, 52, 26, 5, 5
2019/10/30, 75, 44, 47, 28, 6, 4
2019/10/31, 98, 33, 41, 18, 4, 4
2019/11/1, 81, 21, 36, 11, 3, 5
2019/11/2, 54, 33, 40, 24, 6, 4
2019/11/3, 60, 50, 44, 43, 9, 6
2019/11/4, 95, 66, 52, 38, 7, 6
2019/11/5, 96, 67, 48, 28, 7, 5
2019/11/6, 89, 54, 43, 34, 11, 4
2019/11/7, 83, 57, 50, 16, 5, 4
2019/11/8, 87, 48, 40, 20, 5, 6
2019/11/9, 86, 57, 48, 28, 8, 4
2019/11/10, 71, 50, 43, 34, 8, 4
2019/11/11, 75, 53, 35, 40, 9, 4
2019/11/12, 79, 71, 28, 25, 8, 4
2019/11/13, 93, 61, 31, 28, 8, 4
2019/11/14, 84, 49, 34, 10, 4, 4
2019/11/15, 79, 32, 29, 18, 5, 4
2019/11/16, 63, 41, 27, 25, 8, 3
2019/11/17, 89, , , , , 
2019/11/23, 81, 35, 55, 40, 4, 6
2019/11/24, 89, 45, 49, 39, 4, 6
2019/11/25, 91, 52, 45, 21, 3, 4
2019/11/26, 87, 47, 45, 18, , 4
2019/11/27, 67, 47, 42, 27, 2, 4
2019/11/28, 71, 21, 45, 24, 1, 6
2019/11/29, 63, 13, 46, 15, , 5
2019/11/30, 50, 13, 35, 20, 1, 4
2019/12/1, 44, 11, 33, 15, 1, 4
2019/12/2, 33, 14, 29, 31, 2, 6
2019/12/3, 51, 15, 33, 31, 2, 6
2019/12/4, 60, 15, 33, 22, 1, 4
2019/12/5, 58, 14, 32, 20, 4, 5
2019/12/6, 52, 13, 36, 13, 4, 4
2019/12/7, 50, 14, 34, 15, , 4
2019/12/8, 48, 11, 34, 17, , 4
2019/12/9, 44, 16, 31, 28, 1, 6
2019/12/10, 63, 22, 32, 27, 1, 5
2019/12/11, 66, 20, 34, 18, 2, 4
2019/12/12, 58, 102, 33, 9, , 3
2019/12/13, 98, 46, , 7, , 3
2019/12/14, 75, 36, 30, 38, 1, 8
2019/12/15, 70, 40, 31, 37, 4, 7
2019/12/16, 82, 37, 32, 32, 4, 9
2019/12/17, 81, 29, 29, 29, 3, 11
2019/12/18, 82, 37, 33, 40, 7, 9
2019/12/19, 94, 26, 46, 33, 3, 7
2019/12/20, 75, 25, 38, 15, 2, 6
2019/12/21, 71, 31, 29, 22, 3, 6
2019/12/22, 84, , , , , 
2019/7/1, 73, 18, 44, 12, , 3
2019/7/2, 48, 20, 41, 5, , 3
2019/7/3, 54, 36, 42, 9, , 4
2019/7/4, 58, 33, 42, 4, , 4
2019/7/5, 63, 42, 44, 5, , 4
2019/7/6, 78, 50, 44, 11, , 4
2019/7/7, 80, 46, 44, 10, , 3
2019/7/8, 75, 38, 41, 8, , 4
2019/7/9, 74, 42, 40, 10, , 4
2019/7/10, 72, 47, 43, 17, , 5
2019/7/11, 86, 41, 41, 6, , 4
2019/7/12, 71, 24, 45, 2, , 2
2019/7/13, 44, 38, 43, 14, , 4
2019/7/14, 62, 26, 36, 6, , 4
2019/7/15, 51, 29, 32, 7, , 4
2019/7/16, 59, 75, 71, 18, , 4
2019/7/17, 80, 48, 38, 7, , 4
2019/7/18, 67, 36, 45, 5, , 4
2019/7/19, 68, 24, 44, 3, , 3
2019/7/20, 60, 35, 43, 5, , 4
2019/7/21, 76, 44, 45, 7, , 4
2019/7/22, 79, 41, 48, 12, , 4
2019/7/23, 77, 44, 51, 16, , 4
2019/7/24, 69, 40, 46, 11, , 4
2019/7/25, 71, 41, 43, 5, , 4
2019/7/26, 78, 34, 49, 2, , 5
2019/7/27, 76, 33, 42, 6, , 4
2019/7/28, 62, 34, 46, 9, , 4
2019/7/29, 70, 44, 39, 16, 1, 5
2019/7/30, 66, 45, 33, 10, 1, 4
2019/7/31, 63, 30, 33, 6, 1, 4
2019/8/1, 64, 40, 44, 3, , 4
2019/8/2, 81, 29, 46, 2, , 4
2019/8/3, 77, 46, 45, 10, 1, 4
2019/8/4, 85, 33, 38, 8, 1, 4
2019/8/5, 71, 34, 45, 10, 1, 4
2019/8/6, 70, 49, 45, 14, 1, 4
2019/8/7, 74, 42, 39, 7, 1, 4
2019/8/8, 71, 34, 53, 4, 1, 4
2019/8/9, 66, 27, 57, 2, 1, 3
2019/8/10, 72, 34, 45, 5, 1, 4
2019/8/11, 64, 36, 47, 5, 1, 4
2019/8/12, 70, 43, 42, 8, 1, 4
2019/8/13, 79, 33, 42, 6, 1, 4
2019/8/14, 78, 40, 43, 17, 1, 5
2019/8/15, 73, 41, 44, 17, 2, 5
2019/8/16, 68, 28, 40, 2, 1, 4
2019/8/17, 71, 36, 40, 5, 1, 4
2019/8/18, 71, 30, 47, 12, 1, 4
2019/8/19, 54, 40, 43, 12, 1, 4
2019/8/20, 62, 32, 46, 7, , 5
2019/8/21, 62, 36, 48, 14, , 5
2019/8/22, 58, 45, 50, 8, , 4
2019/8/23, 70, 31, 47, 3, , 4
2019/8/24, 66, 35, 43, 9, , 4
2019/8/25, 60, 43, 41, 10, 1, 5
2019/8/26, 66, 45, 41, 12, 3, 4
2019/8/27, 70, 41, 40, 6, 2, 4
2019/8/28, 73, 48, 43, 8, 2, 4
2019/8/29, 86, 38, 47, 4, 2, 4
2019/8/30, 73, 29, 48, 4, 2, 4
2019/8/31, 68, 26, 46, 10, 2, 4
2019/9/1, 63, 40, 42, 10, 2, 4
2019/9/2, 59, 33, 43, 8, 2, 4
2019/9/3, 63, 39, 44, 12, 3, 4
2019/9/4, 68, 44, 45, 10, 1, 5
2019/9/5, 73, 29, 44, 6, 1, 4
2019/9/6, 61, 31, 46, 3, 3, 4
2019/9/7, 68, 45, 47, 9, 3, 4
2019/9/8, 74, 30, 45, 9, 1, 4
2019/9/9, 61, 35, 42, 8, 1, 4
2019/9/10, 68, 37, 43, 9, 3, 4
2019/9/11, 71, 37, 43, 9, 3, 5
2019/9/12, 67, 36, 46, 7, 3, 4
2019/9/13, 72, 32, 46, 3, 3, 4
2019/9/14, 68, 35, 46, 13, 3, 4
2019/9/15, 61, 35, 44, 15, 3, 4
2019/9/16, 63, 27, 46, 16, 3, 4
2019/9/17, 58, 48, 47, 21, 4, 5
2019/9/18, 64, 37, 47, 17, 4, 5
2019/9/19, 70, 21, 45, 6, 3, 4
2019/9/20, 55, 26, 49, 3, 3, 4
2019/9/21, 65, 47, 47, 18, 2, 5
2019/9/22, 81, 36, 43, 16, 5, 4
2019/9/23, 52, 46, 42, 20, 4, 4
2019/9/24, 54, 35, 42, 20, 4, 5
2019/9/25, 57, 40, 32, 21, 5, 5
2019/9/26, 53, 42, 36, 14, 6, 4
2019/9/27, 66, 16, 33, 4, 3, 3
2019/9/28, 44, 23, 35, 8, 3, 4
2019/9/29, 54, 27, 43, 11, 1, 4
2019/9/30, 68, 37, 31, 13, 5, 3
2019/4/1, 48, 21, 39, 26, , 4
2019/4/2, 59, 24, 41, 30, 5, 4
2019/4/3, 72, 35, 30, 30, 9, 5
2019/4/4, 88, , , , , 
2019/4/7, 99, 101, 60, 31, 4, 4
2019/4/8, 138, 64, 48, 12, 1, 3
2019/4/9, 95, 16, 42, 8, , 3
2019/4/10, 38, 16, 39, 18, 1, 3
2019/4/11, 49, 23, 37, 17, 4, 3
2019/4/12, 56, 35, 48, 25, 1, 4
2019/4/13, 68, 146, 41, 11, 2, 2
2019/4/14, 114, 32, 33, 20, 3, 4
2019/4/15, 57, 22, 40, 22, 2, 3
2019/4/16, 60, 17, 45, 9, , 2
2019/4/17, 49, 21, 46, 9, , 2
2019/4/18, 56, 21, 50, 4, , 2
2019/4/19, 59, 20, 45, 3, , 2
2019/4/20, 52, 14, 45, 6, , 2
2019/4/21, 39, 14, 40, 7, , 2
2019/4/22, 40, 17, 42, 23, 1, 3
2019/4/23, 61, 29, 38, 32, 5, 3
2019/4/24, 72, 27, 45, 26, 3, 3
2019/4/25, 72, 34, 46, 12, 2, 3
2019/4/26, 71, 35, 40, 21, 4, 4
2019/4/27, 84, 50, 45, 36, 5, 4
2019/4/28, 112, 52, 49, 33, 5, 4
2019/4/29, 100, 53, 46, 22, 14, 4
2019/4/30, 107, 53, 42, 19, 3, 4
2019/5/1, 127, 65, 34, 17, 2, 4
2019/5/2, 176, 17, 39, 6, , 2
2019/5/3, 195, 18, 42, 10, , 2
2019/5/4, 57, 34, 51, 37, 3, 4
2019/5/5, 83, 55, 55, 29, 1, 3
2019/5/6, 90, 49, 42, 7, , 2
2019/5/7, 62, 21, 41, 9, , 2
2019/5/8, 48, 15, 43, 5, , 2
2019/5/9, 55, 14, 41, 7, 1, 2
2019/5/10, 46, 22, 45, 14, 3, 3
2019/5/11, 64, 32, 43, 29, 6, 4
2019/5/12, 82, 31, 40, 31, 8, 4
2019/5/13, 82, 28, 53, 28, 8, 3
2019/5/14, 70, 45, 60, 38, 6, 4
2019/5/15, 106, 44, 54, 39, 6, 4
2019/5/16, 85, 40, 57, 20, 3, 3
2019/5/17, 83, 21, 40, 12, , 3
2019/5/18, 61, 20, 35, 12, , 3
2019/5/19, 53, 23, 34, 11, , 3
2019/5/20, 67, 33, 42, 23, 3, 4
2019/5/21, 85, 36, 47, 48, 8, 4
2019/5/22, 92, 51, 75, 62, 6, 3
2019/5/23, 97, 67, 84, 32, 3, 3
2019/5/24, 113, 24, 42, 4, , 3
2019/5/25, 55, 20, 45, 16, 2, 3
2019/5/26, 55, 22, 44, 9, 2, 3
2019/5/27, 61, 27, 48, 11, , 3
2019/5/28, 72, 32, 60, 17, 3, 4
2019/5/29, 78, 46, 57, 36, 11, 4
2019/5/30, 93, 45, 53, 20, 5, 2
2019/5/31, 84, 24, 54, 2, , 3
2019/6/1, 63, 28, 47, 5, , 3
2019/6/2, 65, 31, 36, 7, , 3
2019/6/3, 67, 44, 37, 11, 4, 2
2019/6/4, 76, 46, 35, 13, 4, 2
2019/6/5, 84, 36, 34, 14, 2, 2
2019/6/6, 66, 18, 40, 6, 1, 2
2019/6/7, 55, 18, 36, 3, , 2
2019/6/8, 61, 22, 37, 3, , 2
2019/6/9, 68, 29, 51, 25, 2, 3
2019/6/10, 76, 41, 82, 33, 3, 3
2019/6/11, 100, 29, 40, 9, , 3
2019/6/12, 80, 23, 40, 8, , 2
2019/6/13, 69, 25, 40, 7, , 3
2019/6/14, 69, 28, 40, 7, 1, 3
2019/6/15, 79, 31, 46, 19, 2, 3
2019/6/16, 84, 30, 44, 10, 1, 3
2019/6/17, 73, 30, 41, 12, , 3
2019/6/18, 72, 29, 44, 15, , 3
2019/6/19, 72, 28, 41, 10, , 3
2019/6/20, 67, 31, 43, 5, , 3
2019/6/21, 81, 29, 43, 4, , 3
2019/6/22, 82, 27, 38, 11, , 4
2019/6/23, 76, 28, 38, 13, , 4
2019/6/24, 82, 25, 42, 10, , 4
2019/6/25, 74, 25, 41, 9, , 4
2019/6/26, 64, 28, 30, 8, , 3
2019/6/27, 67, 32, 40, 3, , 4
2019/6/28, 80, 36, 45, 3, , 4
2019/6/29, 81, 34, 43, 9, , 4
2019/6/30, 81, 29, 45, 13, 1, 3
2019/1/1, 70, 38, 31, 22, 3, 3
2019/1/2, 72, 103, 32, 16, , 4
2019/1/3, 103, 48, 32, 23, 1, 4
2019/1/4, 65, 36, 39, 10, , 4
2019/1/5, 60, 25, 34, 7, , 3
2019/1/6, 42, 32, 33, 10, 1, 4
2019/1/7, 55, 22, 32, 10, 1, 2
2019/1/8, 46, 16, 31, 11, 1, 3
2019/1/9, 39, 23, 30, 24, 1, 5
