date, pm25, pm10, o3, no2, so2, co
2020/1/2, 107, 23, 21, 17, 2, 
2020/1/3, 71, 12, 30, 11, 1, 
2020/1/4, 35, 18, 17, 21, 2, 
2020/1/5, 43, 24, 17, 25, 2, 
2020/1/6, 67, 23, 15, 23, 1, 
2020/1/7, 67, 21, 15, 22, 1, 
2020/1/8, 56, 19, 9, 25, 3, 
2020/1/9, 50, 13, 24, 18, 2, 
2020/1/10, 42, 11, 21, 20, 3, 
2020/1/11, 32, 13, 20, 12, 3, 
2020/1/12, 49, 13, 23, 28, 2, 
2020/1/13, 46, 13, 18, 20, 2, 
2020/1/14, 43, 9, 25, 22, 2, 
2020/1/15, 36, 13, 19, 14, , 
2020/1/16, 46, , , , , 
2019/10/1, 19, 11, 22, 28, 1, 
2019/10/2, 15, 8, 13, 13, 1, 
2019/10/3, 14, 17, 12, 17, 1, 
2019/10/4, 40, 10, 22, 8, , 
2019/10/5, 27, 7, 22, 14, , 
2019/10/6, 17, 14, 21, 30, 1, 
2019/10/7, 39, 25, 16, 21, 1, 
2019/10/8, 54, 21, 19, 24, 2, 
2019/10/9, 42, 17, 19, 21, 1, 
2019/10/11, 28, 12, 23, 18, 1, 
2019/10/12, 21, 14, 14, 16, 1, 
2019/10/13, 27, 16, 23, 19, 3, 
2019/10/14, 25, 23, 18, 21, 2, 
2019/10/15, 31, 32, 17, 21, 3, 
2019/10/16, 57, 14, 11, 22, 2, 
2019/10/17, 34, 14, 21, 20, 1, 
2019/10/18, 25, 10, 18, 18, 2, 
2019/10/19, 14, 18, 14, 16, 3, 
2019/10/20, 36, 17, 21, 15, , 
2019/10/21, 36, 21, 12, 24, 1, 
2019/10/22, 46, 27, 14, 19, 1, 
2019/10/23, 58, 31, 11, 17, 1, 
2019/10/24, 87, , 18, 22, 2, 
2019/10/25, 58, 10, 22, 13, 3, 
2019/10/26, 17, 10, 27, 9, 2, 
2019/10/27, 15, 12, 22, 23, 1, 
2019/10/28, 12, 13, 18, 21, 1, 
2019/10/29, 27, 18, 15, 30, 3, 
2019/10/30, 47, 30, 18, 22, 6, 
2019/10/31, 68, 27, 9, 19, 2, 
2019/11/1, 71, 22, 15, 19, , 
2019/11/2, 60, 8, 14, 17, , 
2019/11/3, 18, 14, 14, 22, , 
2019/11/4, 35, 21, 12, 17, , 
2019/11/5, 52, 10, 10, 18, , 
2019/11/6, 22, 15, 12, 17, 2, 
2019/11/7, 35, 16, 10, 23, 3, 
2019/11/8, 41, 23, 7, 21, 2, 
2019/11/9, 56, 26, 8, 19, 7, 
2019/11/10, 62, 20, 8, 18, 9, 
2019/11/11, 57, 17, 14, 20, 2, 
2019/11/12, 44, 11, 11, 22, 2, 
2019/11/13, 17, 22, 9, 18, 5, 
2019/11/14, 56, 23, 16, 8, , 
2019/11/15, 62, 25, 10, 15, 3, 
2019/11/16, 67, 17, 11, 12, 3, 
2019/11/17, 53, 23, 11, 16, 2, 
2019/11/18, 63, 14, 19, 20, 3, 
2019/11/19, 34, 24, 10, 25, 4, 
2019/11/20, 53, 20, 5, 15, 1, 
2019/11/21, 50, 25, 5, 15, 3, 
2019/11/22, 57, 23, 10, 6, 1, 
2019/11/23, 66, 27, 8, 7, 2, 
2019/11/24, 77, 34, 5, 14, 2, 
2019/11/25, 80, 32, 2, 16, 1, 
2019/11/26, 70, 18, 4, 18, 3, 
2019/11/27, 52, 11, 16, 19, 2, 
2019/11/28, 27, 9, 27, 20, 3, 
2019/11/29, 11, 13, 19, 24, 3, 
2019/11/30, 15, 22, 6, 24, 4, 
2019/12/1, 51, 24, 20, 26, 4, 
2019/12/2, 73, 13, 17, 22, 3, 
2019/12/4, 84, , 5, 26, 2, 
2019/12/5, 77, 28, 14, 20, 3, 
2019/12/6, 72, 10, 24, 12, 2, 
2019/12/7, 27, 9, 27, 10, 4, 
2019/12/8, 13, 11, 28, 21, 2, 
2019/12/9, 13, 17, 21, 27, 2, 
2019/12/10, 17, 16, 19, 24, 2, 
2019/12/11, 25, 21, 9, 24, 2, 
2019/12/12, 49, 16, 12, 17, 6, 
2019/12/13, 53, 20, 27, 17, 3, 
2019/12/14, 63, 9, 30, 10, 1, 
2019/12/15, 24, 14, 18, 29, 2, 
2019/12/16, 37, 22, 7, 24, 6, 
2019/12/17, 64, 18, 22, 24, 2, 
2019/12/18, 48, 24, 7, 22, 4, 
2019/12/19, 61, 24, 5, 20, 3, 
2019/12/20, 61, 14, 15, 24, 4, 
2019/12/21, 51, 13, 11, 15, 3, 
2019/12/22, 47, 14, 19, 17, 3, 
2019/12/23, 55, 11, 17, 17, 1, 
2019/12/24, 38, 12, 16, 18, , 
2019/12/25, 51, 7, 18, 18, , 
2019/12/26, 35, 12, 17, 13, , 
2019/12/27, 45, 12, 7, 23, 4, 
2019/12/28, 45, , , , , 
2019/7/1, 54, 15, 26, 22, 1, 
2019/7/2, 26, 12, 28, 23, 2, 
2019/7/3, 15, 14, 26, 27, 3, 
2019/7/4, 27, 16, 23, 25, , 
2019/7/5, 30, 14, 23, 18, 3, 
2019/7/6, 32, 10, 27, 15, 1, 
2019/7/7, 17, 9, 26, 24, 2, 
2019/7/8, 15, 10, 24, 24, 2, 
2019/7/9, 21, 12, 28, 24, 1, 
2019/7/11, 35, 25, 30, 28, 1, 
2019/7/12, 58, 20, 29, 15, 1, 
2019/7/13, 52, 12, 25, 16, , 
2019/7/14, 33, 13, 28, 25, 1, 
2019/7/15, 19, 12, 24, 20, , 
2019/7/16, 23, 13, 26, 19, , 
2019/7/17, 24, 19, 34, 34, 2, 
2019/7/18, 42, 26, 30, 27, 1, 
2019/7/19, 57, 14, 35, 23, 4, 
2019/7/20, 38, 15, 26, 13, 1, 
2019/7/21, 40, 17, 26, 33, 3, 
2019/7/22, 35, 17, 36, 26, 7, 
2019/7/23, 43, 17, 44, 34, 2, 
2019/7/24, 45, 19, 50, 25, 2, 
2019/7/25, 51, 14, 35, 15, 1, 
2019/7/26, 43, 15, 36, 7, , 
2019/7/27, 44, 17, 43, 8, 1, 
2019/7/28, 40, 24, 30, 27, 1, 
2019/7/29, 54, 16, 40, 20, , 
2019/7/30, 48, 17, 33, 30, 2, 
2019/7/31, 38, 17, 34, 33, 2, 
2019/8/1, 38, 19, 28, 25, 2, 
2019/8/2, 46, 19, 34, 18, 1, 
2019/8/3, 45, 12, 28, 21, 4, 
2019/8/4, 29, 14, 24, 35, 5, 
2019/8/5, 36, 24, 34, 31, , 
2019/8/6, 51, 20, 29, 35, 1, 
2019/8/7, 41, 15, 29, 32, 2, 
2019/8/8, 33, 18, 28, 32, 2, 
2019/8/9, 38, 15, 28, 23, 2, 
2019/8/10, 34, 13, 33, 23, 2, 
2019/8/11, 22, 16, 30, 28, 1, 
2019/8/12, 23, 22, 29, 25, 2, 
2019/8/13, 48, 13, 34, 31, 4, 
2019/8/14, 29, 13, 21, 30, 1, 
2019/8/15, 39, 15, 27, 31, 7, 
2019/8/16, 40, 16, 24, 24, 4, 
2019/8/17, 36, 15, 22, 21, 1, 
2019/8/18, 41, 16, 30, 28, 2, 
2019/8/19, 33, 15, 29, 34, 3, 
2019/8/20, 21, 21, 34, 29, 1, 
2019/8/21, 41, 19, 48, 42, 4, 
2019/8/22, 43, 28, 50, 36, 3, 
2019/8/23, 70, 22, 51, 19, 1, 
2019/8/24, 54, 21, 49, 19, 1, 
2019/8/25, 54, 22, 50, 31, 2, 
2019/8/26, 60, 25, 54, 31, 1, 
2019/8/27, 63, 27, 65, 45, 2, 
2019/8/28, 70, 25, 36, 36, , 
2019/8/29, 64, 22, 37, 36, 3, 
2019/8/30, 61, 24, 47, 38, 2, 
2019/8/31, 63, 20, 37, 21, 2, 
2019/9/1, 53, 9, 25, 28, 1, 
2019/9/2, 23, 13, 21, 30, 3, 
2019/9/3, 27, 20, 26, 30, 1, 
2019/9/4, 42, 18, 25, 25, 1, 
2019/9/5, 40, 13, 24, 31, 1, 
2019/9/6, 16, 17, 22, 26, 3, 
2019/9/7, 32, 22, 26, 17, 3, 
2019/9/8, 51, 14, 23, 19, 1, 
2019/9/9, 33, 13, 31, 29, 1, 
2019/9/10, 33, 14, 30, 32, 2, 
2019/9/11, 28, 23, 24, 27, 3, 
2019/9/12, 53, 16, 27, 19, 5, 
2019/9/13, 32, 15, 28, 27, 2, 
2019/9/14, 22, 21, 25, 22, 5, 
2019/9/15, 41, 24, 26, 26, 1, 
2019/9/16, 31, 16, 25, 23, 1, 
2019/9/17, 23, 13, 27, 22, 1, 
2019/9/18, 13, 14, 24, 23, , 
2019/9/19, 17, 16, 18, 31, 1, 
2019/9/20, 27, 14, 23, 25, 2, 
2019/9/21, 36, 17, 31, 23, 7, 
2019/9/22, 40, 19, 28, 29, 2, 
2019/9/23, 44, 28, 19, 31, 2, 
2019/9/24, 61, 21, 16, 28, 2, 
2019/9/25, 51, 15, 10, 26, 2, 
2019/9/26, 38, 15, 19, 31, 3, 
2019/9/27, 33, 16, 21, 22, 2, 
2019/9/28, 32, 11, 18, 20, 3, 
2019/9/29, 30, 9, 26, 23, 2, 
2019/9/30, 19, 11, 19, 21, 1, 
2019/4/1, 19, 17, 30, 28, 2, 
2019/4/2, 41, 32, 25, 32, 3, 
2019/4/3, 77, 26, 24, 23, 1, 
2019/4/4, 69, 37, 19, 25, 1, 
2019/4/5, 91, 50, 37, 16, 1, 
2019/4/6, 121, 41, 46, 12, 1, 
2019/4/7, 107, 34, 38, 13, 1, 
2019/4/8, 91, 20, 35, 9, 1, 
