date, pm25, pm10, o3, no2, so2, co
2020/1/2, 169, 72, 3, 32, 4, 11
2020/1/3, 134, 38, 3, 26, 2, 9
2020/1/4, 89, 67, 15, 33, 3, 10
2020/1/5, 141, 62, 21, 29, 5, 11
2020/1/6, 103, 65, 8, 28, 4, 14
2020/1/7, 117, 53, 30, 17, 3, 9
2020/1/8, 118, 72, 7, 31, 5, 9
2020/1/9, 153, 28, 4, 28, 3, 8
2020/1/10, 82, 23, 13, 21, 2, 6
2020/1/11, 63, 64, 30, 17, 4, 10
2020/1/12, 142, 104, 22, 29, 6, 11
2020/1/13, 186, 119, , 29, 7, 13
2020/1/14, 198, 84, 3, 34, 5, 10
2020/1/15, 167, 19, 17, 20, 3, 7
2020/1/16, 57, , , , , 
2019/10/1, 76, 28, 31, 12, 3, 6
2019/10/2, 72, 55, 83, 20, 3, 8
2019/10/3, 112, 61, 82, 25, 3, 7
2019/10/4, 135, 44, 43, 15, 4, 6
2019/10/5, 94, 38, 31, 20, 4, 6
2019/10/6, 67, 64, 19, 22, 3, 7
2019/10/7, 123, 47, 30, 19, 4, 8
2019/10/8, 98, 74, 24, 36, 6, 10
2019/10/9, 151, 73, 70, 31, 4, 11
2019/10/10, 148, 85, 74, 36, 6, 10
2019/10/11, 158, 58, 36, 27, 5, 10
2019/10/12, 123, 59, 49, 30, 5, 8
2019/10/13, 111, 52, 43, 20, 4, 7
2019/10/14, 90, 44, 43, 18, 3, 5
2019/10/15, 63, 53, 39, 30, 4, 5
2019/10/16, 83, 58, 50, 33, 4, 6
2019/10/17, 107, 62, 51, 38, 5, 7
2019/10/18, 109, 70, 76, 36, 4, 8
2019/10/19, 134, 75, 88, 39, 4, 8
2019/10/20, 153, 82, 77, 41, 4, 7
2019/10/21, 159, 66, 64, 36, 4, 6
2019/10/22, 123, 67, 73, 33, 5, 7
2019/10/23, 139, 69, 68, 40, 5, 8
2019/10/24, 134, 84, 78, 38, 5, 9
2019/10/25, 156, 60, 30, 25, 4, 8
2019/10/26, 107, 67, 15, 34, 5, 8
2019/10/27, 126, 48, 21, 31, 3, 9
2019/10/28, 100, 94, 40, 31, 4, 9
2019/10/29, 118, 148, 54, 48, 6, 8
2019/10/30, 161, 151, 62, 54, 6, 9
2019/10/31, 165, 119, 66, 46, 4, 8
2019/11/1, 147, 104, 86, 34, 4, 8
2019/11/2, 148, 105, 62, 43, 4, 8
2019/11/3, 158, 73, 59, 32, 5, 8
2019/11/4, 130, 67, 46, 34, 6, 8
2019/11/5, 115, 80, 46, 38, 5, 8
2019/11/6, 137, 83, 15, 45, 5, 9
2019/11/7, 151, 67, 43, 30, 5, 8
2019/11/8, 118, 81, 33, 45, 5, 9
2019/11/9, 146, 75, 59, 40, 3, 9
2019/11/10, 133, 98, 49, 50, 5, 10
2019/11/11, 156, 119, 22, 60, 5, 12
2019/11/12, 169, 79, 45, 32, 3, 10
2019/11/13, 145, 70, 35, 29, 5, 6
2019/11/14, 102, 85, 40, 39, 4, 8
2019/11/15, 129, 103, 41, 47, 5, 10
2019/11/16, 156, 104, 29, 45, 5, 10
2019/11/17, 161, 53, 22, 16, 2, 8
2019/11/18, 95, 90, 26, 26, 4, 7
2019/11/19, 124, 90, 29, 33, 4, 8
2019/11/20, 128, 81, 22, 36, 3, 8
2019/11/21, 126, 86, 11, 34, 4, 9
2019/11/22, 125, 100, 29, 43, 5, 10
2019/11/23, 159, 75, 39, 30, 4, 9
2019/11/24, 143, 31, 21, 17, 3, 6
2019/11/25, 66, 50, 11, 25, 4, 8
2019/11/26, 90, 41, 16, 25, 3, 9
2019/11/27, 84, 40, 26, 19, 2, 7
2019/11/28, 82, 60, 13, 29, 4, 8
2019/11/29, 99, 70, 6, 33, 3, 10
2019/11/30, 124, 40, 16, 21, 2, 9
2019/12/1, 89, 72, 39, 22, 4, 9
2019/12/2, 158, 94, 35, 40, 6, 11
2019/12/3, 173, 93, 22, 40, 5, 11
2019/12/4, 163, 97, 22, 42, 6, 10
2019/12/5, 163, 58, 27, 29, 4, 6
2019/12/6, 100, 81, 30, 38, 5, 8
2019/12/7, 146, 110, 34, 46, 5, 11
2019/12/8, 169, 104, 26, 49, 5, 12
2019/12/9, 159, 114, 26, 51, 5, 14
2019/12/10, 164, 127, 35, 45, 5, 12
2019/12/11, 182, 112, 28, 41, 5, 10
2019/12/12, 162, 101, 33, 45, 5, 11
2019/12/13, 149, 135, 15, 50, 6, 11
2019/12/14, 187, 94, 39, 35, 5, 7
2019/12/15, 158, 97, 22, 43, 4, 13
2019/12/16, 150, 99, 7, 31, 5, 13
2019/12/17, 146, 55, 12, 22, 3, 10
2019/12/18, 104, 43, 17, 22, 2, 8
2019/12/19, 86, 66, 5, 29, 3, 9
2019/12/20, 140, 40, 10, 30, 4, 9
2019/12/21, 91, 29, 8, 23, 3, 8
2019/12/22, 59, 62, 12, 28, 7, 10
2019/12/23, 128, 31, 18, 27, 3, 7
2019/12/24, 68, 52, 7, 29, 3, 9
2019/12/25, 117, 31, 13, 21, 2, 11
2019/12/26, 70, 73, 30, 27, 3, 10
2019/12/27, 154, 97, 20, 40, 4, 11
2019/12/28, 165, 101, 2, 45, 4, 14
2019/12/29, 165, , , , , 
2019/7/1, 61, 35, 56, 13, 2, 5
2019/7/2, 66, 41, 39, 16, 2, 6
2019/7/3, 94, 48, 38, 23, 2, 6
2019/7/4, 90, 59, 51, 31, 2, 7
2019/7/5, 117, 39, 64, 18, 4, 8
2019/7/6, 82, 36, 73, 18, 2, 6
2019/7/7, 74, 56, 76, 22, 2, 7
2019/7/8, 101, 31, 59, 16, 2, 6
2019/7/9, 76, 35, 32, 23, 2, 6
2019/7/10, 73, 64, 87, 25, 2, 8
2019/7/11, 127, 58, 39, 31, 2, 8
2019/7/12, 121, 17, 36, 21, 2, 6
2019/7/13, 49, 33, 90, 15, 2, 5
2019/7/14, 80, 45, 76, 17, 2, 6
2019/7/15, 100, 55, 64, 21, 3, 7
2019/7/16, 122, 37, 47, 19, 3, 6
2019/7/17, 70, 34, 38, 10, 3, 5
2019/7/18, 60, 29, 33, 12, 2, 6
2019/7/19, 57, 40, 62, 14, 2, 10
2019/7/20, 81, 71, 105, 20, 3, 7
2019/7/21, 129, 52, 90, 18, 2, 7
2019/7/22, 99, 40, 61, 16, 2, 7
2019/7/23, 75, 45, 71, 19, 3, 6
2019/7/24, 77, 50, 49, 19, 2, 7
2019/7/25, 76, 52, 70, 17, 2, 7
2019/7/26, 85, 51, 19, 17, 2, 7
2019/7/27, 83, 37, , 14, 2, 6
2019/7/28, 74, 37, 35, 12, 2, 6
2019/7/29, 76, 38, 76, 14, 2, 6
