date, pm25, o3, no2, so2, co
2020/1/2, 134, 2, 10, 2, 
2020/1/3, 93, 2, 9, 1, 
2020/1/4, 114, 2, 8, 1, 
2020/1/5, 100, 2, 8, 1, 
2020/1/6, 104, 2, 10, 1, 
2020/1/7, 135, 2, 8, 1, 
2020/1/8, 111, 2, 9, 2, 
2020/1/9, 113, 2, 7, 1, 
2020/1/10, 101, 2, 5, 2, 
2020/1/11, 102, 3, 6, 2, 
2020/1/12, 103, 1, 9, 4, 
2020/1/13, 171, 2, 13, 4, 
2020/1/14, 235, 2, 6, 1, 
2020/1/15, 111, 2, 4, 5, 
2020/1/16, 99, , , , 
2019/10/1, 185, 20, 8, , 
2019/10/2, 166, 9, 7, , 
2019/10/3, 118, 7, 5, , 
2019/10/7, 162, 7, 2, , 
2019/10/8, 107, 6, 2, , 
2019/10/9, 91, 7, 4, , 
2019/10/10, 129, 6, 4, , 
2019/10/11, 123, 7, 4, , 
2019/10/12, 114, 6, 4, , 
2019/10/13, 126, 7, 2, , 
2019/10/14, 115, 9, 3, , 
2019/10/15, 109, 16, 3, , 
2019/10/16, 141, 14, , , 
2019/10/17, 154, 10, 10, , 
2019/10/18, 89, 14, , , 
2019/10/19, 99, 17, , , 
2019/10/20, 153, 11, , , 
2019/10/21, 153, 9, , , 
2019/10/22, 108, 9, , , 
2019/10/23, 108, 7, , , 
2019/10/24, 73, 7, , , 
2019/10/25, 115, 9, , , 
2019/10/26, 164, 6, , , 
2019/10/28, 68, 11, , , 
2019/10/29, 75, 14, , , 
2019/10/30, 120, 8, , , 
2019/10/31, 147, 7, , , 
2019/11/1, 112, 6, , , 
2019/11/2, 111, 8, , , 
2019/11/3, 126, 13, , , 
2019/11/4, 120, 18, , , 
2019/11/5, 151, 14, , , 
2019/11/6, 188, 16, , , 
2019/11/7, 174, 16, , , 
2019/11/8, 164, 19, , , 
2019/11/9, 164, 22, , , 
2019/11/10, 173, 18, , , 
2019/11/13, 105, 6, , , 
2019/11/14, 104, 9, , , 
2019/11/15, 145, 11, , , 
2019/11/16, 139, 7, , , 
2019/11/17, 107, 6, , , 
2019/11/18, 89, 7, , , 
2019/11/19, 86, 7, , , 
2019/11/20, 139, 6, , , 
2019/11/21, 164, 6, , , 
2019/11/22, 166, 6, , , 
2019/11/23, 164, 4, , , 
2019/11/24, 132, 5, , , 
2019/11/25, 145, 5, , , 
2019/11/26, 154, 5, , , 
2019/11/27, 170, 5, , , 
2019/11/28, 121, 4, , , 
2019/11/29, 146, 3, , , 
2019/11/30, 164, 4, , , 
2019/12/1, 143, 6, , , 
2019/12/2, 85, 6, 16, 3, 
2019/12/3, 129, 7, 9, 3, 
2019/12/4, 145, 8, 7, 3, 
2019/12/5, 132, 8, 7, 2, 
2019/12/6, 117, 8, 10, 3, 
2019/12/7, 153, 9, 12, 4, 
2019/12/8, 176, 10, 14, 5, 
2019/12/9, 189, 10, 15, 4, 
2019/12/10, 211, 11, 16, 5, 
2019/12/11, 221, 1, 13, 4, 
2019/12/12, 210, 9, 15, 4, 
2019/12/13, 221, 3, 11, 3, 
2019/12/14, 207, 2, 9, 2, 
2019/12/15, 145, 1, 5, 1, 
2019/12/16, 138, 3, 8, 2, 
2019/12/17, 133, 2, 5, 1, 
2019/12/18, 117, 2, 6, 2, 
2019/12/19, 136, 2, 6, 2, 
2019/12/20, 158, 2, 5, 1, 
2019/12/21, 151, 2, 5, 1, 
2019/12/22, 130, 2, 5, 2, 
2019/12/23, 180, 1, 9, 2, 
2019/12/24, 212, 2, 7, 1, 
2019/12/25, 107, 2, 7, 2, 
2019/12/26, 116, 2, 5, 1, 
2019/12/27, 106, 2, 8, 3, 
2019/12/28, 155, , , , 
2019/12/29, 179, , , , 
2019/8/28, 83, , , , 
2019/8/29, 60, , , , 
2019/8/30, 55, , , , 
2019/8/31, 43, , , , 
2019/9/1, 46, , , , 
2019/9/2, 66, , , , 
2019/9/6, 112, , , , 
2019/9/7, 116, , , , 
2019/9/8, 88, , , , 
2019/9/9, 86, , , , 
2019/9/10, 86, , , , 
2019/9/11, 113, , , , 
2019/9/12, 111, , , , 
2019/9/13, 132, , , , 
2019/9/14, 129, 14, 5, , 
2019/9/15, 164, 17, 4, , 
2019/9/16, 158, 14, 5, , 
