date, pm25, o3, no2, so2
2020/1/1, 13, 18, 4, 
2020/1/2, 10, 16, 2, 
2020/1/3, 10, 17, , 
2020/1/4, 7, 14, 1, 
2020/1/5, 16, 16, 4, 
2020/1/6, 15, 17, 9, 
2020/1/7, 10, 15, 6, 
2020/1/8, 19, 16, 6, 
2020/1/9, 15, 17, 3, 
2020/1/10, 19, 16, 1, 
2020/1/11, 8, 16, 3, 
2020/1/12, 12, 16, 6, 
2020/1/13, 15, 15, 5, 
2020/1/14, 11, 18, 4, 
2020/1/15, 9, 12, 2, 
2020/1/16, 1, , , 
2019/10/7, 13, 11, 3, 
2019/10/8, 7, 14, 5, 
2019/10/9, 11, 13, 4, 
2019/10/10, 18, 15, 4, 
2019/10/11, 25, 10, 4, 
2019/10/12, 17, 11, 3, 
2019/10/13, 12, 15, 4, 
2019/10/14, 10, 18, 5, 
2019/10/15, 15, 14, 3, 
2019/10/16, 11, 14, , 
2019/10/17, 9, 14, 4, 
2019/10/18, 15, 15, 2, 
2019/10/19, 14, 11, 3, 
2019/10/20, 8, 12, 2, 
2019/10/21, 10, 9, 2, 
2019/10/22, 6, 10, 3, 
2019/10/23, 6, 5, 4, 
2019/10/24, 7, 13, 6, 
2019/10/25, 11, 8, 5, 
2019/10/26, 16, 15, 3, 
2019/10/27, 7, 14, 4, 
2019/10/28, 10, 12, 4, 
2019/10/29, 14, 7, 4, 
2019/10/30, 9, 8, 2, 
2019/10/31, 5, 11, 3, 
2019/11/1, 12, 11, 3, 
2019/11/2, 14, 13, 4, 
2019/11/3, 10, , 4, 
2019/11/4, 12, 18, 6, 
2019/11/5, 20, 16, 3, 
2019/11/6, 14, 17, 3, 
2019/11/7, 17, 14, 3, 
2019/11/8, 11, 14, 4, 
2019/11/9, 10, 17, 4, 
2019/11/10, 21, 18, 5, 
2019/11/11, 16, 15, 1, 
2019/11/12, 8, 14, 4, 
2019/11/13, 4, 18, 5, 
2019/11/14, 6, 18, 9, 
2019/11/15, 16, 15, 7, 
2019/11/16, 12, 15, 5, 
2019/11/17, 3, 15, 5, 
2019/11/18, 8, 15, 5, 
2019/11/19, 25, 12, 5, 
2019/11/20, 25, 16, 5, 
2019/11/21, 13, 14, 5, 
2019/11/22, 11, 18, 4, 
2019/11/23, 6, 17, 3, 
2019/11/24, 12, 17, 6, 
2019/11/25, 11, 19, 8, 
2019/11/26, 9, 18, 3, 
2019/11/27, 7, 11, 1, 
2019/11/28, 7, 16, 4, 
2019/11/29, 6, 12, 3, 
2019/11/30, 17, 12, 2, 
2019/12/1, 3, 8, 2, 
2019/12/2, 6, 13, 3, 
2019/12/3, 8, 15, 3, 
2019/12/4, 12, 15, 4, 
2019/12/5, 16, 16, 7, 
2019/12/6, 12, 15, 5, 
2019/12/7, 14, 16, 4, 
2019/12/8, 14, 18, 3, 
2019/12/9, 11, 16, 2, 
2019/12/10, 17, 15, 3, 
2019/12/11, 15, 13, 6, 
2019/12/12, 22, 17, 7, 
2019/12/13, 6, 16, 4, 
2019/12/14, 11, 15, 4, 
2019/12/15, 23, 14, 6, 
2019/12/16, 25, 13, 4, 
2019/12/17, 7, 16, 2, 
2019/12/18, 6, 16, 7, 
2019/12/19, 15, 16, 9, 
2019/12/20, 16, 16, 7, 
2019/12/21, 19, 19, 7, 
2019/12/22, 7, 18, 8, 
2019/12/23, 8, 18, 5, 
2019/12/24, 14, 18, 5, 
2019/12/25, 17, 16, 5, 
2019/12/26, 15, 16, 5, 
2019/12/27, 22, 15, 4, 
2019/12/28, 20, , , 
2019/7/1, 21, 20, 3, 
2019/7/2, 29, 21, 3, 3
2019/7/3, 26, 16, 3, 
2019/7/4, 23, 17, 2, 
2019/7/5, 26, 16, 2, 
2019/7/6, 31, 16, 2, 
2019/7/7, 22, 12, 2, 
2019/7/8, 13, 16, 2, 
2019/7/9, 22, 17, 2, 
2019/7/10, 29, 16, 2, 
2019/7/11, 26, 18, 2, 
2019/7/12, 22, 20, 3, 
2019/7/13, 35, 21, 3, 
2019/7/14, 33, 18, 3, 
2019/7/15, 36, 18, 3, 
2019/7/16, 45, 13, 2, 
2019/7/17, 35, 14, 2, 
2019/7/18, 22, 18, 2, 
2019/7/19, 30, 16, 2, 
2019/7/20, 45, 15, 2, 
2019/7/21, 54, 12, 2, 
2019/7/22, 21, 12, 2, 
2019/7/23, 23, 17, 3, 
2019/7/24, 22, 19, 3, 
2019/7/25, 26, 20, 3, 
2019/7/26, 26, 21, 2, 
2019/7/27, 32, 21, 2, 
2019/7/28, 36, 21, 3, 
2019/7/29, 36, 14, 4, 
2019/7/30, 34, 15, 4, 
2019/7/31, 27, 19, 3, 
2019/8/1, 29, 20, 3, 
2019/8/2, 19, 19, 3, 
2019/8/3, 25, 21, 3, 
2019/8/4, 36, 18, 3, 
2019/8/5, 38, 20, 3, 
2019/8/6, 45, 21, 3, 
2019/8/7, 39, 18, 4, 
2019/8/8, 30, 16, 2, 
2019/8/9, 32, 18, 3, 
2019/8/10, 35, 18, 3, 
2019/8/11, 24, 18, 3, 
2019/8/12, 34, 16, 3, 
2019/8/13, 26, 12, 3, 
2019/8/14, 21, 12, 4, 
2019/8/15, 30, 16, 3, 
2019/8/16, 26, 20, 2, 
2019/8/17, 25, 17, 2, 
2019/8/18, 24, 16, 3, 
2019/8/19, 30, 16, 3, 
2019/8/20, 27, 16, 2, 
2019/8/21, 20, 18, 3, 
2019/8/22, 30, 9, 3, 
2019/8/23, 19, 12, 2, 
2019/8/24, 15, 14, 2, 
2019/8/25, 16, 10, 3, 
2019/8/26, 12, 9, 2, 
2019/8/27, 10, 15, 2, 
2019/8/28, 15, 15, 4, 
2019/8/29, 18, 17, 3, 
2019/8/30, 28, 17, 2, 
2019/8/31, 40, 13, 1, 
2019/9/1, 36, 15, 2, 
2019/9/2, 29, 18, 3, 
2019/9/3, 33, 16, 3, 
2019/9/4, 34, 14, 4, 
2019/9/5, 27, 15, 2, 
2019/9/6, 27, 17, 3, 
2019/9/7, 31, 17, 3, 
2019/9/8, 32, 16, 4, 
2019/9/9, 31, 17, 3, 
2019/9/10, 24, 19, 2, 
2019/9/11, 35, 20, 3, 
2019/9/12, 42, 10, 2, 
2019/9/13, 10, 12, , 
2019/9/14, 13, 19, 3, 
2019/9/15, 12, 20, 4, 
2019/9/16, 18, 16, 5, 
2019/9/17, 29, 17, 3, 
2019/9/18, 11, 10, 4, 
2019/4/6, 18, 16, 2, 
2019/4/7, 23, 14, 2, 
2019/4/8, 14, 20, 3, 
2019/4/9, 15, 21, 6, 
2019/4/10, 20, 19, 5, 
2019/4/11, 21, 17, 1, 
2019/4/12, 12, 17, 2, 
2019/4/13, 14, 11, 1, 
2019/4/14, 11, 17, 1, 
2019/4/15, 11, 18, 5, 
2019/4/16, 13, 21, 3, 
2019/4/17, 19, 22, 4, 
2019/4/18, 28, 15, 1, 
2019/4/19, 13, 17, , 
2019/4/20, 9, 14, 1, 
2019/4/21, 13, 16, 4, 
2019/4/22, 17, 19, 4, 
2019/4/23, 16, 18, 3, 
2019/4/24, 19, 18, 6, 
2019/4/25, 23, 18, 1, 
2019/4/26, 19, 21, 1, 
2019/4/27, 17, 19, 1, 
2019/4/28, 24, 17, 2, 
2019/4/29, 16, 18, 3, 
2019/4/30, 33, 19, 5, 
2019/5/1, 36, 16, , 
2019/5/2, 22, 18, , 
2019/5/3, 19, 14, , 
2019/5/4, 15, 13, , 
2019/5/5, 9, 17, , 
2019/5/6, 16, 19, , 
2019/5/7, 23, 15, 5, 
2019/5/8, 26, 17, 4, 
2019/5/9, 19, 16, 4, 
2019/5/10, 16, 10, 4, 
2019/5/11, 13, 9, 3, 
2019/5/12, 5, 12, 2, 
2019/5/13, 8, 14, 3, 
2019/5/14, 12, 18, 4, 
2019/5/15, 20, 22, 4, 
2019/5/16, 34, 18, 5, 
2019/5/17, 24, 20, 3, 
2019/5/18, 32, 21, 2, 
2019/5/19, 43, 19, 3, 
2019/5/20, 23, 17, 5, 
2019/5/21, 16, 18, 3, 
2019/5/22, 14, 17, 3, 
2019/5/23, 34, 19, 3, 
2019/5/24, 31, 18, 4, 
2019/5/25, 31, 18, 2, 
2019/5/26, 33, 17, 3, 
2019/5/27, 25, 16, 3, 
2019/5/28, 30, 14, 4, 
2019/5/29, 26, 15, 3, 
2019/5/30, 22, 19, 4, 
2019/5/31, 18, 21, 3, 
2019/6/1, 42, 16, 3, 
2019/6/2, 46, 16, 3, 
2019/6/3, 20, 19, 3, 
2019/6/4, 24, 18, 3, 
2019/6/5, 48, 21, 3, 
2019/6/6, 31, 18, 5, 
2019/6/7, 28, 21, 3, 
2019/6/8, 27, 14, 2, 
2019/6/9, 6, 11, 2, 
2019/6/10, 10, 16, 2, 
2019/6/11, 11, 17, 3, 
2019/6/12, 14, 18, 2, 
2019/6/13, 11, 16, 1, 
2019/6/14, 15, 21, 2, 
2019/6/15, 21, 18, 2, 
2019/6/16, 32, 15, 3, 
2019/6/17, 23, 13, 2, 
2019/6/18, 20, 14, 2, 
2019/6/19, 13, 19, 2, 
2019/6/20, 13, 18, 1, 
2019/6/21, 14, 14, 2, 
2019/6/22, 23, 18, 2, 
2019/6/23, 15, 13, 2, 
2019/6/24, 36, 18, 2, 
2019/6/25, 17, 22, 3, 
2019/6/26, 27, 23, 4, 
2019/6/28, 32, 20, 2, 
2019/6/29, 50, 20, 2, 
2019/1/1, 14, 9, 3, 
2019/1/2, 14, 9, 5, 
2019/1/3, 19, 5, 6, 
2019/1/4, 8, 10, 5, 
2019/1/5, 15, 13, 4, 
2019/1/6, 20, 10, 5, 
2019/1/7, 14, 12, 3, 
2019/1/8, 21, 13, 1, 
2019/1/9, 12, 11, 1, 
2019/1/10, 16, 13, 8, 
2019/1/11, 22, 11, 5, 
2019/1/12, 21, 8, 10, 
2019/1/13, 17, 12, 7, 
2019/1/14, 15, 10, 7, 
2019/1/15, 26, 12, 5, 
2019/1/16, 14, 8, 6, 
2019/1/17, 15, 9, 6, 
2019/1/18, 13, 6, 5, 
2019/1/19, 12, 15, 2, 
2019/1/20, 15, 14, 2, 
2019/1/21, 18, 13, 6, 
2019/1/22, 11, 12, 2, 
2019/1/23, 12, 11, 1, 
2019/1/24, 19, 15, 3, 
2019/1/25, 20, 14, 4, 
