date, pm25, pm10, o3, no2, co
2020/1/2, 8, 16, 14, 6, 
2020/1/3, 20, 18, 11, 9, 
2020/1/4, 33, 10, 15, 4, 
2020/1/5, 17, 12, 15, 4, 
2020/1/6, 11, 18, 12, 7, 
2020/1/7, 18, 14, 16, 4, 
2020/1/8, 13, 13, 14, 4, 
2020/1/9, 12, 16, 16, 4, 
2020/1/10, 14, 18, 13, 8, 
2020/1/11, 25, 19, 13, 7, 
2020/1/12, 28, 20, 11, 5, 
2020/1/13, 30, 21, 15, 5, 
2020/1/14, 33, 23, 15, 7, 
2020/1/15, 35, , , , 
2019/10/1, 16, 21, 20, 3, 
2019/10/2, 18, 24, 21, 5, 
2019/10/3, 22, 30, 26, 3, 
2019/10/4, 26, 20, 19, 1, 
2019/10/5, 17, , , , 
2019/10/7, 18, 31, 19, 5, 
2019/10/8, 24, 52, 24, 3, 
2019/10/9, 41, 26, 16, 1, 
2019/10/10, 16, 18, 18, 3, 
2019/10/11, 16, 22, 17, 4, 
2019/10/12, 18, 26, 19, 4, 
2019/10/13, 24, 30, 17, 4, 
2019/10/14, 23, 32, 19, 3, 
2019/10/15, 22, 33, 18, 7, 
2019/10/16, 27, 53, 24, 6, 
2019/10/17, 41, 22, 18, 3, 
2019/10/18, 15, 9, 15, 1, 
2019/10/19, 7, , , , 
2019/10/21, 18, 24, 18, 4, 
2019/10/22, 17, 17, 17, 2, 
2019/10/23, 11, 17, 18, 2, 
2019/10/24, 14, 27, 16, 6, 
2019/10/25, 24, 19, 17, 3, 
2019/10/26, 17, 42, 17, 1, 
2019/10/27, 24, 19, 16, 4, 
2019/10/28, 17, 36, 17, 4, 
2019/10/29, 27, 19, 15, 3, 
2019/10/30, 20, 28, 13, 6, 
2019/10/31, 30, 28, 13, 6, 
2019/11/1, 27, 23, 6, 7, 
2019/11/2, 28, , , , 
2019/11/4, 26, 31, , 6, 
2019/11/5, 27, 28, 13, 5, 
2019/11/6, 20, 24, 15, 4, 
2019/11/7, 17, 24, 16, 3, 
2019/11/8, 19, 14, 15, , 
2019/11/9, 14, , , , 
2019/11/11, 18, 25, 16, 5, 
2019/11/12, 23, 37, 14, 6, 
2019/11/13, 30, 39, 12, 9, 
2019/11/14, 37, 43, 17, 7, 
2019/11/15, 38, 38, 17, 1, 
2019/11/16, 24, 21, 17, 2, 
2019/11/17, 23, 33, 15, 7, 
2019/11/18, 28, 37, 14, 5, 
2019/11/19, 30, 6, 14, 2, 
2019/11/20, 11, 11, 16, 5, 
2019/11/21, 23, 16, 14, 5, 
2019/11/22, 39, 9, 14, 2, 
2019/11/23, 26, 7, 11, 1, 
2019/11/24, 21, 15, 17, 3, 
2019/11/25, 21, 9, 15, 3, 
2019/11/26, 9, 18, 15, 3, 
2019/11/27, 17, 7, 15, 3, 
2019/11/28, 14, 3, 10, 2, 
2019/11/29, 6, , , , 
2019/12/2, 26, 14, 11, 5, 
2019/12/3, 21, 14, 5, 8, 
2019/12/4, 32, 11, 13, 5, 
2019/12/5, 30, 20, 10, 8, 
2019/12/6, 40, 13, 11, 6, 
2019/12/7, 31, 7, 14, 2, 
2019/12/8, 17, 4, 16, 1, 
2019/12/9, 5, 16, 12, 6, 
2019/12/10, 24, 21, 11, 8, 
2019/12/11, 35, 27, 8, 11, 
2019/12/12, 46, 25, 10, 8, 
2019/12/13, 45, 19, 12, 5, 
2019/12/14, 43, 4, 16, 1, 
2019/12/15, 6, 5, 16, 2, 
2019/12/16, 8, 13, 13, 7, 
2019/12/17, 19, 14, 10, 8, 
2019/12/18, 18, 14, 12, 6, 
2019/12/19, 17, 20, 10, 8, 
2019/12/20, 28, 24, 9, 9, 
2019/12/21, 39, 23, 6, 11, 
2019/12/22, 47, 20, 7, 10, 
2019/12/23, 37, 8, 14, 3, 
2019/12/24, 19, 9, 15, 4, 
2019/12/25, 23, 6, 15, 4, 
2019/12/26, 14, 4, 15, 2, 
2019/12/27, 8, 4, 16, 1, 
2019/12/28, 8, , , , 
2019/7/1, 17, 24, 27, 1, 
2019/7/2, 17, 27, 25, 2, 
2019/7/3, 22, 29, 24, 2, 
2019/7/4, 37, 25, 25, 1, 
2019/7/5, 29, 24, 22, 2, 
2019/7/6, 24, 25, 22, 2, 
2019/7/7, 26, 25, 20, 1, 
2019/7/8, 30, 31, 23, 3, 
2019/7/9, 32, 23, 20, , 
2019/7/10, 21, 22, 21, 3, 
2019/7/11, 19, 27, 20, 4, 
2019/7/12, 21, 22, 21, 4, 
2019/7/13, 21, 18, 20, 3, 
2019/7/14, 17, 19, 23, 3, 
2019/7/15, 14, , , , 
2019/7/17, 42, 35, 20, 5, 
2019/7/18, 65, 27, 25, 5, 
2019/7/19, 36, 37, 5, 8, 
2019/7/20, 25, , , , 
2019/7/23, 25, 28, 22, 4, 
2019/7/24, 27, 19, 26, 4, 
2019/7/25, 21, 19, 24, 3, 
2019/7/26, 20, 17, 21, 3, 
2019/7/27, 19, 20, 26, 3, 
2019/7/28, 22, 25, 20, 5, 
2019/7/29, 18, 33, 21, 4, 
2019/7/30, 26, 24, 18, 4, 
2019/7/31, 24, 19, 26, 4, 
2019/8/1, 22, 15, 24, 3, 
2019/8/2, 16, 21, 25, 3, 
2019/8/3, 20, 21, 25, 3, 
2019/8/4, 19, 26, 24, 5, 
2019/8/5, 22, 31, 23, 5, 
2019/8/6, 25, 27, 24, 4, 
2019/8/7, 24, 22, 28, 5, 
2019/8/8, 23, 23, 21, 4, 
2019/8/9, 21, 19, 21, 4, 
2019/8/10, 19, 21, 22, 4, 
2019/8/11, 20, 19, 23, 4, 
2019/8/12, 19, 26, 21, 4, 
2019/8/13, 20, 24, 24, 4, 
2019/8/14, 19, 20, 25, 4, 
2019/8/15, 15, 28, 28, 5, 
2019/8/16, 20, 34, 24, 4, 
2019/8/17, 26, 22, 23, 4, 
2019/8/18, 20, 24, 18, 5, 
2019/8/19, 15, 25, 24, 4, 
2019/8/20, 15, 24, 26, 4, 
2019/8/21, 16, 33, 24, 5, 
