date, pm25, pm10, o3, no2
2020/1/2, 76, 20, 18, 9
2020/1/3, 68, 9, 26, 3
2020/1/4, 33, 8, 19, 7
2020/1/5, 31, 12, 7, 8
2020/1/6, 50, 10, 7, 11
2020/1/7, 46, 13, 11, 12
2020/1/8, 54, 11, 12, 13
2020/1/9, 45, 8, 24, 8
2020/1/10, 28, 5, 28, 6
2020/1/11, 17, 12, 19, 8
2020/1/12, 47, 12, 16, 11
2020/1/13, 50, 12, 15, 15
2020/1/14, 47, 13, 19, 14
2020/1/15, 39, 14, 9, 10
2020/1/16, 44, , , 
2019/10/1, 14, 5, 23, 3
2019/10/2, 12, 6, 23, 4
2019/10/3, 14, 7, 20, 6
2019/10/4, 21, 5, 23, 2
2019/10/5, 12, 6, 16, 4
2019/10/6, 20, 8, 18, 4
2019/10/7, 29, 9, 17, 6
2019/10/8, 27, 5, 21, 4
2019/10/9, 13, 4, 25, 3
2019/10/10, 10, 7, 18, 8
2019/10/11, 16, 9, 23, 7
2019/10/12, 22, 13, 25, 5
2019/10/13, 31, 13, 21, 6
2019/10/14, 31, 13, 19, 6
2019/10/15, 32, 9, 23, 6
2019/10/16, 20, 9, 18, 9
2019/10/17, 19, 8, 20, 7
2019/10/18, 18, 8, 21, 5
2019/10/19, 18, 7, 14, 4
2019/10/20, 18, 15, 13, 6
2019/10/21, 39, 13, 19, 5
2019/10/22, 27, 11, 10, 6
2019/10/23, 30, 19, 6, 8
2019/10/24, 60, 18, 20, 8
2019/10/25, 47, 11, 16, 7
2019/10/26, 28, 13, 23, 4
2019/10/27, 35, 7, 20, 4
2019/10/28, 20, 9, 19, 5
2019/10/29, 29, 11, 20, 5
2019/10/30, 39, 14, 18, 7
2019/10/31, 49, 18, 7, 7
2019/11/1, 62, 10, 18, 7
2019/11/2, 38, 7, 21, 6
2019/11/3, 18, 4, 22, 7
2019/11/4, 10, 6, 22, 10
2019/11/5, 15, 10, 17, 7
2019/11/6, 28, 7, 15, 9
2019/11/7, 22, 7, 16, 5
2019/11/8, 24, 5, 21, 6
2019/11/9, 19, 11, 13, 6
2019/11/10, 43, 14, 14, 7
2019/11/11, 55, 12, 21, 11
2019/11/12, 44, 10, 21, 8
2019/11/13, 32, 10, 15, 8
2019/11/14, 35, 14, 11, 9
2019/11/15, 52, 15, 9, 8
2019/11/16, 56, 13, 10, 6
2019/11/17, 53, 8, 13, 8
2019/11/18, 34, 5, 14, 7
2019/11/19, 20, 7, 11, 8
2019/11/20, 28, 15, 4, 8
2019/11/21, 54, 22, 6, 10
2019/11/22, 70, 14, 15, 6
2019/11/23, 54, 14, 6, 5
2019/11/24, 52, 12, 1, 9
2019/11/25, 46, 6, 4, 11
2019/11/26, 25, 5, 13, 10
2019/11/27, 19, 2, 23, 5
2019/11/28, 8, 1, 23, 6
2019/11/29, 4, 4, 13, 10
2019/11/30, 12, 4, 13, 7
2019/12/1, 16, 4, 15, 7
2019/12/2, 16, 12, 11, 11
2019/12/3, 44, 17, 8, 10
2019/12/4, 58, 21, 2, 12
2019/12/5, 67, 31, 12, 15
2019/12/6, 91, 15, 22, 6
2019/12/7, 53, 7, 26, 3
2019/12/8, 25, 4, 27, 4
2019/12/9, 13, 10, 24, 12
2019/12/10, 27, 25, 3, 17
2019/12/11, 66, 13, 12, 15
2019/12/12, 43, 8, 23, 10
2019/12/13, 31, 4, 33, 2
2019/12/14, 12, 5, 27, 4
2019/12/15, 15, 6, 15, 10
2019/12/16, 20, 13, 2, 9
2019/12/17, 43, 17, 10, 8
2019/12/18, 51, 9, 2, 9
2019/12/19, 34, 9, 4, 10
2019/12/20, 36, 9, 10, 9
2019/12/21, 37, 9, 24, 7
2019/12/22, 41, 5, 25, 4
2019/12/23, 19, 5, 24, 5
2019/12/24, 16, 5, 25, 4
