date, pm25, pm10, no2, so2, co
2020/1/2, 241, 161, 45, 16, 37
2020/1/3, 257, 130, 47, 19, 36
2020/1/4, 232, 63, 42, 13, 19
2020/1/5, 142, 21, 15, 7, 8
2020/1/6, 77, 67, 27, 8, 13
2020/1/7, 119, 92, 36, 10, 25
2020/1/8, 197, 122, 36, 11, 25
2020/1/9, 234, 125, 32, 10, 17
2020/1/10, 237, 165, 40, 11, 31
2020/1/11, 281, 153, 39, 10, 27
2020/1/12, 272, 88, 27, 9, 18
2020/1/13, 161, 86, 35, 13, 19
2020/1/14, 178, 131, 41, 16, 28
2020/1/15, 231, 213, 45, 11, 36
2020/1/16, 347, , , , 
2019/10/1, 98, 56, 19, 5, 7
2019/10/2, 96, 53, 22, 3, 6
2019/10/3, 77, 6, 4, 2, 3
2019/10/4, 11, 19, 11, 2, 4
2019/10/5, 34, 37, 20, 3, 5
2019/10/6, 61, 36, 16, 4, 5
2019/10/7, 58, 33, 19, 4, 5
2019/10/8, 44, 55, 26, 6, 7
2019/10/9, 83, 65, 30, 4, 8
2019/10/10, 120, 59, 26, 5, 7
2019/10/11, 84, 55, 24, 5, 6
2019/10/12, 74, 31, 7, 3, 3
2019/10/13, 27, 24, 13, 3, 5
2019/10/14, 35, 39, 20, 5, 7
2019/10/15, 60, 61, 27, 7, 9
2019/10/16, 123, 73, 22, 5, 11
2019/10/17, 160, 68, 23, 6, 10
2019/10/18, 148, 85, 27, 6, 9
2019/10/19, 137, 113, 19, 6, 7
2019/10/20, 133, 105, 35, 9, 11
2019/10/21, 161, 85, 34, 9, 12
2019/10/22, 143, 75, 30, 6, 12
2019/10/23, 159, 15, 7, 2, 4
2019/10/24, 34, 41, 14, 5, 7
2019/10/25, 75, 68, 25, 8, 10
2019/10/26, 141, 126, 23, 8, 9
2019/10/27, 147, 241, 16, 6, 9
2019/10/28, 189, 150, 29, 11, 14
2019/10/29, 213, 119, 36, 11, 13
2019/10/30, 173, 89, 32, 11, 12
2019/10/31, 148, 61, 30, 8, 11
2019/11/1, 111, 48, 21, 5, 10
2019/11/2, 105, 49, 24, 7, 10
2019/11/3, 100, 65, 27, 8, 12
2019/11/4, 151, 56, 30, 7, 11
2019/11/5, 105, 54, 25, 8, 10
2019/11/6, 110, 37, 20, 6, 7
2019/11/7, 61, 67, 29, 9, 12
2019/11/8, 127, 69, 25, 5, 12
2019/11/9, 145, 128, 19, 7, 8
2019/11/10, 146, 70, 27, 9, 11
2019/11/11, 104, 84, 27, 11, 15
2019/11/12, 136, 50, 9, 4, 5
2019/11/13, 50, 77, 25, 9, 12
2019/11/14, 111, 79, 27, 11, 11
2019/11/15, 125, 79, 31, 12, 13
2019/11/16, 123, 184, 9, 5, 9
2019/11/17, 121, 83, 9, 6, 5
2019/11/18, 90, 55, 22, 9, 9
2019/11/19, 83, 83, 30, 16, 16
2019/11/20, 146, 78, 30, 13, 15
2019/11/21, 150, 78, 29, 9, 16
2019/11/22, 154, 69, 18, 7, 11
2019/11/23, 101, 27, 6, 4, 5
2019/11/24, 30, 38, 21, 9, 9
2019/11/25, 66, 47, 20, 10, 11
2019/11/26, 81, 27, 16, 6, 7
2019/11/27, 51, 64, 28, 15, 14
2019/11/28, 110, 67, 27, 13, 15
2019/11/29, 154, 46, 13, 5, 8
2019/11/30, 82, 40, 16, 6, 8
2019/12/1, 86, 52, 21, 10, 11
2019/12/2, 116, 67, 29, 13, 15
2019/12/3, 150, 78, 31, 13, 18
2019/12/4, 169, 62, 31, 11, 14
2019/12/5, 143, 56, 31, 13, 14
2019/12/6, 139, 80, 35, 18, 20
2019/12/7, 170, 113, 38, 19, 26
2019/12/8, 209, 97, 30, 15, 16
2019/12/9, 166, 65, 23, 11, 18
2019/12/10, 122, 34, 20, 7, 10
2019/12/11, 69, 63, 30, 16, 19
2019/12/12, 134, 69, 28, 12, 19
2019/12/13, 136, 45, 32, 11, 12
2019/12/14, 98, 74, 28, 13, 13
2019/12/15, 164, 26, 13, 5, 9
2019/12/16, 113, 35, 15, 5, 7
2019/12/17, 84, 77, 29, 10, 17
2019/12/18, 172, 38, 18, 6, 8
2019/12/19, 95, 68, 29, 12, 15
2019/12/20, 156, 81, 30, 14, 17
2019/12/21, 181, 150, 35, 8, 26
2019/12/22, 278, 184, 41, 10, 32
2019/12/23, 249, 79, 34, 16, 19
2019/12/24, 162, 99, 31, 12, 18
2019/12/25, 187, 88, 26, 13, 14
2019/12/26, 161, 75, 29, 11, 13
2019/12/27, 143, 89, 34, 15, 18
2019/12/28, 153, 90, 38, 17, 34
2019/12/29, 160, , , , 
2019/7/1, 47, 31, 21, 2, 4
2019/7/2, 49, 28, 19, 2, 3
2019/7/3, 42, 55, 25, 4, 5
2019/7/4, 71, 18, 8, 3, 4
2019/7/5, 32, 14, 5, , 2
2019/7/6, 24, 25, 12, 2, 3
2019/7/7, 42, 30, 8, 3, 4
2019/7/8, 58, 36, 11, 4, 5
2019/7/9, 65, 31, 14, 2, 4
2019/7/10, 55, 29, 13, 3, 6
2019/7/11, 61, 38, 18, 3, 7
2019/7/12, 63, 36, 21, 5, 7
2019/7/13, 56, 20, 14, 2, 5
2019/7/14, 44, 40, 15, 3, 7
2019/7/15, 68, 20, 10, 2, 9
