date, pm25, pm10, so2, co
2020/1/2, 12, 9, , 2
2020/1/3, 18, 5, , 3
2020/1/4, 16, 12, , 3
2020/1/5, 20, 15, , 3
2020/1/6, 23, 14, , 3
2020/1/7, 20, 17, , 3
2020/1/8, 28, 16, , 3
2020/1/9, 28, 11, , 3
2020/1/10, 18, 11, , 
2020/1/11, 18, 11, , 3
2020/1/12, 20, 21, , 4
2020/1/13, 32, 15, , 4
2020/1/14, 20, 15, , 1
2020/1/15, 21, , , 
2019/10/1, 17, 7, , 8
2019/10/2, 14, 10, , 6
2019/10/3, 18, 14, , 4
2019/10/4, 15, 7, , 5
2019/10/5, 10, 8, , 5
2019/10/6, 14, 6, , 6
2019/10/7, 11, 6, , 6
2019/10/8, 13, 8, , 7
2019/10/9, 14, 7, , 8
2019/10/10, 15, 10, , 8
2019/10/11, 18, 13, , 7
2019/10/12, 17, 9, , 8
2019/10/13, 15, 13, , 9
2019/10/14, 14, 8, , 
2019/10/15, 12, 6, , 
2019/10/16, 16, 6, , 
2019/10/17, 11, 9, , 
2019/10/18, 13, 10, , 
2019/10/19, 16, 11, , 
2019/10/20, 18, 13, , 
2019/10/21, 17, 15, , 
2019/10/22, 21, 12, , 
2019/10/23, 18, 12, , 
2019/10/24, 18, 8, , 
2019/10/25, 14, 9, , 
2019/10/26, 13, 6, , 
2019/10/27, 10, 9, , 
2019/10/28, 14, 7, , 
2019/10/29, 17, 7, , 
2019/10/30, 14, 8, , 
2019/10/31, 16, 7, , 
2019/11/1, 16, 4, , 
2019/11/2, 10, 5, , 
2019/11/3, 13, 5, , 2
2019/11/4, 11, 10, , 2
2019/11/5, 15, 7, , 
2019/11/6, 11, 6, , 
2019/11/7, 10, 8, , 
2019/11/8, 20, 8, , 
2019/11/9, 18, 8, , 1
2019/11/10, 10, 5, , 2
2019/11/12, 11, 6, , 2
2019/11/13, 15, 7, , 2
2019/11/14, 11, 7, , 1
2019/11/15, 16, 8, , 1
2019/11/16, 15, 7, , 1
2019/11/17, 21, 10, , 1
2019/11/18, 14, 11, , 1
2019/11/19, 18, 11, , 1
2019/11/20, 16, 9, , 1
2019/11/21, 16, 17, , 1
2019/11/22, 25, 15, , 1
2019/11/23, 19, 18, , 1
2019/11/24, 23, 15, , 2
2019/11/25, 20, 19, , 2
2019/11/26, 27, 19, , 2
2019/11/27, 26, 14, , 2
2019/11/28, 22, 13, , 2
2019/11/29, 19, 13, , 2
2019/11/30, 16, 10, , 2
2019/12/1, 16, 7, , 2
2019/12/2, 11, 7, , 2
