date, pm25, pm10, o3, no2, so2, co
2020/1/2, 167, 118, 15, 39, 12, 14
2020/1/3, 191, 132, 37, 33, 9, 15
2020/1/4, 219, 81, 32, 16, 4, 8
2020/1/5, 169, 53, 15, 22, 2, 14
2020/1/6, 142, 33, 9, 23, 3, 14
2020/1/7, 96, 60, 24, 15, 4, 6
2020/1/8, 148, 74, 25, 21, 7, 7
2020/1/9, 160, 60, 21, 20, 5, 6
2020/1/10, 141, 138, 23, 25, 8, 13
2020/1/11, 238, 158, 27, 28, 6, 19
2020/1/12, 272, 123, 24, 20, 6, 13
2020/1/13, 219, 128, 30, 26, 6, 13
2020/1/14, 232, 92, 28, 23, 7, 10
2020/1/15, 181, 87, 9, 22, 4, 11
2020/1/16, 183, , , , , 
2019/10/1, 98, 58, 67, 9, 5, 7
2019/10/2, 114, 80, 113, 22, 6, 10
2019/10/3, 142, 74, 69, 12, 9, 8
2019/10/4, 144, 33, 27, 6, 4, 5
2019/10/5, 73, 33, 24, 12, 4, 6
2019/10/6, 72, 31, 25, 10, 3, 7
2019/10/7, 83, 61, 52, 23, 4, 10
2019/10/8, 133, 65, 35, 25, 6, 8
2019/10/9, 145, 53, 31, 13, 3, 8
2019/10/10, 108, 61, 24, 14, 5, 11
2019/10/11, 148, 47, 31, 16, 4, 9
2019/10/12, 107, 67, 50, 21, 6, 10
2019/10/13, 127, 59, 22, 20, 6, 7
2019/10/14, 102, 41, 34, 13, 5, 3
2019/10/15, 65, 62, 29, 25, 7, 6
2019/10/16, 118, 82, 42, 23, 12, 9
2019/10/17, 162, 99, 65, 26, 8, 9
2019/10/18, 177, 82, 71, 23, 9, 8
2019/10/19, 155, 76, 84, 25, 9, 9
2019/10/20, 147, 75, 99, 18, 15, 8
2019/10/21, 156, 74, 46, 24, 8, 9
2019/10/22, 145, 82, 67, 26, 9, 11
2019/10/23, 166, 108, 85, 30, 7, 14
2019/10/24, 179, 74, 24, 16, 6, 7
2019/10/25, 120, 58, 24, 21, 8, 6
2019/10/26, 93, 92, 38, 24, 8, 7
2019/10/27, 156, 229, 34, 21, 7, 6
2019/10/28, 170, 469, 44, 30, 16, 10
2019/10/29, 221, 247, 48, 24, 15, 7
2019/10/30, 183, 116, 45, 34, 11, 12
2019/10/31, 171, 137, 77, 36, 14, 13
2019/11/1, 193, 113, 72, 15, 7, 9
2019/11/2, 170, 76, 45, 18, 6, 8
2019/11/3, 145, 81, 39, 18, 6, 8
2019/11/4, 146, 101, 66, 24, 8, 11
