date, pm25, pm10, o3, no2, so2, co
2020/1/2, 191, 97, 15, 22, 6, 7
2020/1/3, 197, 132, 7, 33, 10, 11
2020/1/4, 253, 71, 22, 8, 3, 7
2020/1/5, 167, 29, 10, 19, 4, 11
2020/1/6, 102, 25, 9, 25, 5, 12
2020/1/7, 87, 54, 23, 11, 5, 5
2020/1/8, 150, 52, 22, 12, 5, 5
2020/1/9, 140, 47, 17, 13, 5, 3
2020/1/10, 128, 80, 19, 15, 7, 6
2020/1/11, 164, 155, 25, 18, 7, 14
2020/1/12, 270, 119, 15, 25, 11, 17
2020/1/13, 217, 122, 27, 22, 9, 12
2020/1/14, 231, 89, 19, 20, 9, 9
2020/1/15, 185, 43, 20, 11, 3, 6
2020/1/16, 118, , , , , 
2019/10/1, 90, 52, 28, 11, 3, 4
2019/10/2, 96, 60, 73, 13, 5, 4
2019/10/3, 99, 76, 59, 13, 9, 4
2019/10/4, 95, 34, 20, 8, 4, 4
2019/10/5, 65, 37, 17, 11, 5, 5
2019/10/6, 62, 26, 25, 3, 6, 4
2019/10/7, 59, 52, 43, 8, 7, 5
2019/10/8, 117, 57, 45, 13, 9, 6
2019/10/9, 108, 63, 33, 14, 9, 7
2019/10/10, 132, 60, 29, 15, 8, 7
2019/10/11, 126, 58, 27, 14, 8, 7
2019/10/12, 123, 65, 42, 12, 9, 5
2019/10/13, 130, 66, 27, 13, 9, 4
2019/10/14, 122, 48, 35, 11, 7, 3
2019/10/15, 77, 52, 31, 13, 11, 3
2019/10/16, 86, 71, 50, 19, 10, 5
2019/10/17, 136, 82, 62, 19, 13, 9
2019/10/18, 157, 80, 77, 18, 12, 6
2019/10/19, 149, 83, 86, 14, 6, 7
2019/10/20, 147, 83, 100, 13, 7, 7
2019/10/21, 155, 68, 35, 12, 5, 5
2019/10/22, 137, 82, 58, 13, 5, 5
2019/10/23, 146, 115, 69, 20, 9, 8
2019/10/24, 179, 97, 26, 17, 5, 7
2019/10/25, 158, 72, 18, 21, 7, 5
