date, pm25, pm10, o3, no2, so2
2020/1/2, 36, 10, 27, 9, 6
2020/1/3, 27, 8, 26, 8, 6
2020/1/4, 21, 6, 19, 15, 6
2020/1/5, 21, 11, 21, 12, 6
2020/1/6, 30, 13, 17, 12, 6
2020/1/7, 34, 20, 22, 14, 7
2020/1/8, 42, 8, 24, 10, 7
2020/1/9, 20, 12, 24, 12, 6
2020/1/10, 30, 6, 24, 9, 6
2020/1/11, 14, 6, 22, 14, 7
2020/1/12, 18, 8, 24, 11, 6
2020/1/13, 22, 10, 22, 11, 5
2020/1/14, 24, 10, 21, 14, 2
2020/1/15, 22, 10, 17, 8, 1
2020/1/16, 25, , , , 
2019/10/1, 11, 7, 19, 5, 
2019/10/2, 16, 12, 15, 14, 
2019/10/3, 30, 9, 25, 9, 
2019/10/4, 26, 13, 8, 10, 
2019/10/5, 36, 13, 18, 8, 
2019/10/6, 29, 10, 17, 10, 
2019/10/7, 26, 15, 17, 13, 2
2019/10/8, 35, 11, 20, 11, 2
2019/10/9, 25, 11, 15, 11, 2
2019/10/10, 24, 8, 18, 15, 2
2019/10/11, 18, 11, 12, 12, 4
2019/10/12, 28, 7, 22, 8, 3
2019/10/13, 24, 8, 24, 12, 4
2019/10/14, 18, 8, 25, 10, 6
2019/10/15, 21, 10, 16, 14, 7
2019/10/16, 23, 13, 17, 13, 8
2019/10/17, 29, 8, 20, 10, 8
2019/10/18, 17, 9, 21, 9, 8
2019/10/19, 26, 9, 25, 2, 7
2019/10/20, 21, 11, 23, 5, 6
2019/10/21, 24, 13, 11, 18, 7
2019/10/22, 34, 18, 12, 14, 5
2019/10/23, 52, 27, 9, 13, 4
2019/10/24, 65, 15, 16, 11, 4
2019/10/25, 26, 4, 24, 7, 
2019/10/26, 13, 8, 25, 6, 
2019/10/27, 19, 10, 23, 12, 
2019/10/28, 26, 10, 24, 13, 
2019/10/29, 22, 12, 22, 15, 
2019/10/30, 26, 19, 23, 12, 
2019/10/31, 50, 16, 13, 13, 
2019/11/1, 48, 11, 20, 11, 
2019/11/2, 29, 34, 9, 16, 
2019/11/3, 92, 21, 11, 15, 
2019/11/4, 63, 24, 19, 7, 1
2019/11/5, 57, 20, 18, 14, 
2019/11/6, 53, 10, 24, 7, 
2019/11/7, 27, 12, 26, 6, 
2019/11/8, 27, 15, 18, 16, 
2019/11/9, 33, 9, 26, 8, 
2019/11/10, 17, 8, 19, 10, 
2019/11/11, 24, 6, 22, 8, 
2019/11/12, 17, 10, 17, 14, 
2019/11/13, 27, 7, 24, 7, 
2019/11/14, 18, 12, 24, 7, 3
2019/11/15, 31, 10, 18, 13, 
2019/11/16, 31, 7, 21, 6, 
2019/11/17, 21, 8, 22, 8, 
2019/11/18, 21, 15, 9, 18, 5
2019/11/19, 46, 17, 13, 17, 3
2019/11/20, 54, 20, 16, 14, 1
2019/11/21, 56, 17, 19, 12, 1
2019/11/22, 49, 25, 14, 10, 2
2019/11/23, 64, 35, 6, 11, 2
2019/11/24, 86, 15, 13, 11, 2
2019/11/25, 50, 10, 15, 11, 2
2019/11/26, 33, 10, 20, 10, 3
2019/11/27, 31, 9, 23, 6, 3
2019/11/28, 22, 11, 23, 12, 3
2019/11/29, 30, 18, 9, 23, 3
2019/11/30, 54, 10, 22, 11, 2
2019/12/1, 32, 9, 20, 17, 3
2019/12/2, 28, 18, 11, 20, 3
2019/12/3, 54, 24, 4, 22, 4
2019/12/4, 70, 17, 16, 17, 4
2019/12/5, 47, 5, 21, 11, 4
2019/12/6, 13, 7, 20, 12, 3
2019/12/7, 20, 9, 28, 6, 4
2019/12/8, 23, 10, 24, 9, 3
2019/12/9, 26, 11, 23, 10, 3
2019/12/10, 29, 12, 20, 17, 3
2019/12/11, 32, 9, 16, 16, 4
2019/12/12, 26, 9, 16, 16, 4
2019/12/13, 27, 7, 28, 7, 4
2019/12/14, 18, 7, 27, 9, 4
2019/12/15, 18, 13, 21, 17, 3
2019/12/16, 26, 28, 2, 25, 5
2019/12/17, 74, 15, 10, 19, 4
2019/12/18, 50, 14, 18, 9, 4
2019/12/19, 37, 10, 20, 17, 4
