date, pm25
2020/1/2, 84
2020/1/3, 101
2020/1/4, 142
2020/1/5, 152
2020/1/6, 141
2020/1/7, 138
2020/1/8, 107
2020/1/9, 119
2020/1/10, 158
2020/1/11, 163
2020/1/12, 154
2020/1/13, 167
2020/1/14, 169
2020/1/15, 129
2020/1/16, 125
2019/10/1, 107
2019/10/2, 80
2019/10/3, 97
2019/10/4, 103
2019/10/5, 111
2019/10/6, 105
2019/10/7, 139
2019/10/8, 131
2019/10/10, 99
2019/10/11, 95
2019/10/12, 98
2019/10/13, 85
2019/10/14, 107
2019/10/15, 119
2019/10/16, 133
2019/10/17, 107
2019/10/18, 61
2019/10/19, 50
2019/10/20, 73
2019/10/21, 45
2019/10/22, 83
2019/10/23, 101
2019/10/24, 66
2019/10/25, 62
2019/10/26, 52
2019/10/27, 123
2019/10/28, 134
2019/10/29, 91
2019/10/30, 88
2019/10/31, 49
2019/11/1, 53
2019/11/2, 64
2019/11/3, 81
2019/11/4, 160
2019/11/5, 170
2019/11/6, 174
2019/11/7, 157
2019/11/8, 159
2019/11/9, 166
2019/11/10, 148
2019/11/11, 135
2019/11/12, 129
2019/11/13, 146
2019/11/21, 165
2019/11/22, 164
2019/11/23, 163
2019/11/24, 165
2019/11/25, 171
2019/11/26, 167
2019/11/27, 156
2019/11/28, 158
2019/11/29, 145
2019/11/30, 144
2019/12/1, 145
2019/12/2, 116
2019/12/3, 114
2019/12/4, 165
2019/12/5, 168
2019/12/6, 172
2019/12/7, 171
2019/12/8, 147
2019/12/9, 131
2019/12/10, 132
2019/12/11, 143
2019/12/12, 134
2019/12/13, 91
2019/12/14, 105
2019/12/15, 108
2019/12/16, 125
2019/12/17, 151
2019/12/18, 161
2019/12/19, 168
2019/12/20, 168
2019/12/21, 171
2019/12/22, 164
2019/12/23, 159
2019/12/24, 148
2019/12/25, 160
2019/12/26, 145
2019/12/27, 137
2019/12/28, 160
2019/12/29, 180
2019/7/1, 51
2019/7/2, 34
2019/7/3, 51
2019/7/4, 48
2019/7/5, 54
2019/7/6, 46
2019/7/7, 42
2019/7/8, 46
2019/7/9, 40
2019/7/10, 52
2019/7/11, 46
2019/7/12, 52
2019/7/13, 44
2019/7/14, 54
2019/7/15, 59
2019/7/16, 72
2019/7/17, 73
2019/7/18, 86
2019/7/19, 102
2019/7/20, 80
2019/7/21, 73
2019/7/22, 60
2019/7/23, 51
2019/7/24, 54
2019/7/25, 56
2019/7/26, 52
2019/7/27, 60
2019/7/28, 59
2019/7/29, 45
2019/7/30, 31
2019/7/31, 43
2019/8/1, 49
2019/8/2, 23
2019/8/3, 30
2019/8/4, 18
2019/8/5, 28
2019/8/6, 26
2019/8/7, 32
2019/8/8, 47
2019/8/9, 37
2019/8/10, 44
2019/8/11, 59
2019/8/12, 65
2019/8/13, 87
2019/8/14, 67
2019/8/15, 66
2019/8/16, 65
2019/8/17, 66
2019/8/18, 72
2019/8/19, 74
2019/8/20, 89
2019/8/21, 76
2019/8/22, 60
2019/8/23, 89
2019/8/24, 56
2019/8/25, 50
2019/8/26, 65
2019/8/27, 66
2019/8/28, 66
2019/8/29, 63
2019/8/30, 55
2019/8/31, 46
2019/9/1, 38
2019/9/2, 49
2019/9/3, 33
2019/9/4, 35
2019/9/5, 36
2019/9/6, 41
2019/9/7, 43
2019/9/8, 38
2019/9/9, 56
2019/9/10, 56
2019/9/11, 63
2019/9/12, 67
2019/9/13, 59
2019/9/14, 63
2019/9/15, 69
2019/9/16, 84
2019/9/17, 87
2019/9/18, 52
2019/9/19, 77
2019/9/20, 67
2019/9/24, 85
2019/9/25, 85
2019/9/26, 45
2019/9/27, 59
2019/9/28, 74
2019/9/29, 91
2019/9/30, 107
2019/4/1, 100
2019/4/2, 120
2019/4/3, 116
2019/4/4, 102
2019/4/5, 85
2019/4/6, 116
2019/4/7, 96
2019/4/8, 92
2019/4/9, 108
2019/4/10, 114
2019/4/11, 85
2019/4/12, 92
2019/4/13, 89
2019/4/14, 108
2019/4/15, 101
2019/4/16, 104
2019/4/17, 93
2019/4/18, 122
2019/4/19, 90
2019/4/20, 77
2019/4/21, 87
2019/4/22, 84
2019/4/23, 113
2019/4/24, 96
2019/4/25, 108
2019/4/26, 128
2019/4/27, 136
2019/4/28, 133
2019/4/29, 134
2019/4/30, 132
2019/5/1, 119
2019/5/2, 113
2019/5/3, 120
2019/5/4, 105
2019/5/5, 114
2019/5/6, 119
2019/5/7, 141
