date, pm25, pm10, o3, co
2020/1/2, 24, , , 11
2020/1/3, 23, , , 
2020/1/4, 22, , 3, 
2020/1/5, 23, , , 55
2020/1/6, 14, , , 
2020/1/7, 26, , , 
2020/1/8, 18, , , 
2020/1/9, 13, , , 
2020/1/10, 23, , , 44
2020/1/11, 13, , , 
2020/1/12, 13, , , 
2020/1/13, 15, , , 
2020/1/14, 16, , , 
2020/1/15, 20, , , 
2019/10/1, 33, , , 
2019/10/2, 27, , , 
2019/10/3, 29, , 11, 
2019/10/4, 30, , , 
2019/10/5, 17, , , 
2019/10/6, 26, , , 
2019/10/7, 27, , , 
2019/10/8, 27, , , 
2019/10/9, 16, , , 
2019/10/10, 11, , , 
2019/10/11, 30, , , 
2019/10/12, 28, , , 
2019/10/13, 27, , , 
2019/10/14, 31, , , 
2019/10/15, 35, , , 
2019/10/16, 31, , , 
2019/10/17, 29, , , 
2019/10/18, 19, , , 
2019/10/19, 11, , , 
2019/10/20, 12, , , 
2019/10/21, 15, , , 
2019/10/22, 17, , , 
2019/10/23, 16, , , 
2019/10/24, 18, , , 
2019/10/25, 29, , , 
2019/10/26, 18, , , 
2019/10/27, 15, , , 
2019/10/28, 17, , 6, 
2019/10/29, 29, , , 
2019/10/30, 20, , , 
2019/10/31, 28, , , 
2019/11/1, 30, , , 
2019/11/2, 30, , , 
2019/11/3, 37, , , 
2019/11/4, 36, , , 
2019/11/5, 26, , , 
2019/11/6, 25, , , 
2019/11/7, 30, , , 
2019/11/8, 42, , , 
2019/11/9, 38, , , 
2019/11/10, 42, , , 
2019/11/11, 20, , , 
2019/11/12, 40, , , 
2019/11/13, 37, , , 
2019/11/14, 34, , , 
2019/11/15, 28, , , 
2019/11/16, 28, , , 
2019/11/17, 17, , , 
2019/11/18, 31, , , 
2019/11/19, 27, , , 
2019/11/20, 21, , , 
2019/11/21, 16, , , 
2019/11/22, 26, , , 
2019/11/23, 37, , , 
2019/11/24, 35, , , 
2019/11/25, 18, , , 
2019/11/26, 34, , , 
2019/11/27, 15, , , 
2019/11/28, 17, , , 
2019/11/29, 17, , , 
2019/11/30, 29, , , 
2019/12/1, 34, , , 
2019/12/2, 39, , , 
2019/12/3, 22, , , 
2019/12/4, 22, , , 
2019/12/5, 36, , , 
2019/12/6, 62, , , 
2019/12/7, 48, , , 
2019/12/8, 21, , , 
2019/12/9, 20, , , 
2019/12/10, 37, , , 
2019/12/11, 35, , , 
2019/12/12, 19, , , 
2019/12/13, 18, , , 
2019/12/14, 18, , , 
2019/12/15, 21, , , 
2019/12/16, 20, , , 
2019/12/17, 25, , , 
2019/12/18, 32, , , 
2019/12/19, 43, , , 
2019/12/20, 51, , 5, 75
2019/12/21, 33, , , 
2019/12/22, 22, , , 
2019/12/23, 27, , , 
2019/12/24, 16, , , 
2019/12/25, 18, , , 
2019/12/26, 26, , , 
2019/12/27, 19, , , 
2019/12/28, 29, , , 
2019/7/1, 35, , , 
2019/7/2, 43, , , 
2019/7/3, 40, , , 
2019/7/4, 38, , , 
2019/7/5, 36, , , 
2019/7/6, 39, , , 
2019/7/7, 41, , , 
2019/7/8, 37, , , 
2019/7/9, 34, , , 
2019/7/10, 36, , , 
2019/7/11, 43, , , 
2019/7/12, 39, , , 
2019/7/13, 38, , , 
2019/7/14, 34, , , 
2019/7/15, 37, , , 
2019/7/16, 25, , , 
2019/7/17, 14, , , 
2019/7/18, 12, , , 
2019/7/19, 18, , 4, 
2019/7/20, 20, , , 
2019/7/21, 27, , , 
2019/7/22, 30, , , 
2019/7/23, 34, , , 
2019/7/24, 35, , , 
2019/7/25, 23, , , 
2019/7/26, 28, , , 
2019/7/27, 27, , , 
2019/7/28, 29, , 4, 
2019/7/29, 22, , , 
2019/7/30, 21, , , 
2019/7/31, 29, , , 
2019/8/1, 23, , , 
2019/8/2, 19, , , 
2019/8/3, 24, , 2, 
2019/8/4, 19, , , 
