date, pm25, pm10, o3, no2, so2, co
2020/1/2, 27, 21, 11, , , 3
2020/1/3, 62, 15, 23, , , 2
2020/1/4, 48, 9, 27, , 1, 2
2020/1/5, 26, 27, 23, , 1, 4
2020/1/6, 43, 27, 24, , 1, 7
2020/1/7, 49, 12, 24, , , 2
2020/1/8, 27, 15, 27, , 1, 2
2020/1/9, 30, 13, 26, , , 2
2020/1/10, 37, 6, 24, , , 2
2020/1/11, 17, 7, 24, , , 2
2020/1/12, 24, 14, 19, , , 2
2020/1/13, 42, 26, 16, , 1, 5
2020/1/14, 69, 16, 15, , , 4
2020/1/15, 53, 10, 13, , , 2
2020/1/16, 34, , , , , 
2019/10/1, 50, 29, 36, , 1, 2
2019/10/2, 45, 18, 22, , 1, 2
2019/10/3, 29, 10, 23, , , 1
2019/10/4, 21, 21, 32, , 1, 3
2019/10/5, 41, 17, 23, , 1, 3
2019/10/6, 40, 18, 26, , , 3
2019/10/7, 40, 24, 33, , 1, 8
2019/10/8, 55, 20, 33, , 1, 3
2019/10/9, 42, 18, 32, , , 2
2019/10/10, 44, 12, 27, , , 2
2019/10/11, 37, 9, 27, , 1, 2
2019/10/12, 34, 15, 31, , 1, 2
2019/10/13, 37, 20, 27, , 1, 4
2019/10/14, 37, 22, 31, , 1, 3
2019/10/15, 43, 13, 20, , , 1
2019/10/16, 27, 15, 20, , 1, 2
2019/10/17, 33, 20, 23, , 1, 4
2019/10/18, 47, 18, 33, , 1, 3
2019/10/19, 40, 34, 38, , 1, 7
2019/10/20, 73, 11, 24, , 1, 3
2019/10/21, 33, 11, 23, , 1, 2
2019/10/22, 18, , 27, , 2, 2
2019/10/25, 17, 11, 20, , , 2
2019/10/26, 24, 10, 27, , , 3
2019/10/27, 23, 13, 25, , 1, 4
2019/10/28, 29, 1, 14, , 1, 2
2019/10/29, 61, 6, 7, , , 2
2019/10/30, 22, 9, 18, , , 2
2019/10/31, 32, 18, 21, , 1, 2
2019/11/1, 38, 13, 12, , 1, 2
2019/11/2, 38, 15, 25, , 2, 2
2019/11/3, 32, 17, 23, , 2, 2
2019/11/4, 34, 12, 24, , 1, 2
2019/11/5, 27, 23, 19, , 1, 4
2019/11/6, 49, 10, 22, , , 2
2019/11/7, 32, 21, 19, , 1, 3
2019/11/8, 47, 21, 21, , 2, 3
2019/11/9, 51, 22, 25, , 2, 3
2019/11/10, 53, 15, 18, , , 2
2019/11/11, 49, 8, 22, , 1, 2
2019/11/12, 30, 16, 19, , , 3
2019/11/13, 50, 19, 20, , 2, 2
2019/11/14, 52, 19, 23, , , 2
2019/11/15, 53, 20, 24, , , 2
2019/11/16, 59, 20, 7, , , 4
2019/11/17, 56, 26, 4, , , 6
2019/11/18, 75, , , , , 
2019/12/1, 13, 5, 20, , , 2
2019/12/2, 26, 12, 19, , , 2
2019/12/3, 32, 9, 21, , 1, 2
2019/12/4, 29, , 5, , 1, 4
2019/12/11, 74, 20, 15, , 1, 2
2019/12/12, 53, 23, 14, , 1, 5
2019/12/13, 53, 27, 18, , 1, 5
2019/12/14, 69, 19, 20, , 1, 2
2019/12/15, 60, 22, 19, , , 2
2019/12/16, 69, 18, 26, , 1, 2
2019/12/17, 61, 18, 26, , , 2
2019/12/18, 54, 28, 19, , 1, 4
2019/12/19, 60, 33, 12, , 1, 6
2019/12/20, 73, 31, 16, , 2, 7
2019/12/21, 74, 37, 20, , 2, 10
2019/12/22, 88, 33, 12, , 2, 10
2019/12/23, 75, 31, 20, , , 11
2019/12/24, 79, 18, 25, , 2, 4
2019/12/25, 51, 11, 21, , , 2
2019/12/26, 29, 23, 13, , , 2
2019/12/27, 61, 22, 9, , 2, 2
2019/12/28, 64, , , , , 
2019/7/1, 30, 19, 39, , , 2
2019/7/2, 48, 24, 33, , , 2
2019/7/3, 48, 30, 16, , 1, 2
2019/7/4, 52, 24, , , 1, 2
2019/7/5, 56, 21, , , , 3
2019/7/6, 52, 19, , , , 3
2019/7/7, 53, 24, , , 1, 2
2019/7/8, 59, 25, , , , 3
2019/7/9, 54, 35, , , 1, 4
2019/7/10, 55, 19, , , 1, 2
2019/7/11, 27, 13, , , , 2
2019/7/12, 30, 31, , , 1, 5
2019/7/13, 51, 27, , , 1, 3
2019/7/14, 47, 24, , , 1, 2
2019/7/15, 50, , , , , 2
2019/7/16, 31, , 25, , , 2
2019/7/17, 16, 21, 5, , 1, 3
2019/7/18, 31, 23, 31, , , 2
2019/7/19, 50, 22, 30, , , 2
2019/7/20, 47, 17, 29, , 1, 2
2019/7/21, 45, 9, 25, , , 1
2019/7/22, 23, 13, 34, , 1, 1
2019/7/23, 30, 16, 34, , , 2
2019/7/24, 25, 22, 42, , , 3
2019/7/25, 55, 23, 42, , 1, 3
2019/7/26, 56, 32, 45, , 2, 4
2019/7/27, 68, 31, 38, , 1, 3
2019/7/28, 59, 25, 35, , 1, 2
2019/7/29, 43, 17, 39, , , 2
2019/7/30, 30, 14, 38, , , 2
2019/7/31, 31, 22, 65, , 1, 2
2019/8/1, 45, 20, 49, , 1, 2
2019/8/2, 44, 24, 53, , 1, 3
2019/8/3, 49, 24, 57, , 1, 3
2019/8/4, 51, 30, 50, , , 4
2019/8/5, 53, 26, 48, , 1, 3
2019/8/6, 40, 18, 40, , , 2
2019/8/7, 32, 21, 15, , , 3
2019/8/8, 41, 18, 43, , , 2
2019/8/9, 27, 19, 44, , 1, 2
2019/8/10, 34, 22, 45, , 1, 3
2019/8/11, 41, 30, 35, , , 4
2019/8/12, 55, 12, 34, , , 2
2019/8/13, 31, 25, 38, , , 3
2019/8/14, 38, 20, 35, , , 2
2019/8/15, 38, 27, 36, , 1, 2
2019/8/16, 46, 20, 31, , 1, 3
2019/8/17, 39, 20, 35, , 1, 2
2019/8/18, 42, 24, 46, , 1, 3
2019/8/19, 40, 19, 33, , 1, 3
2019/8/20, 39, 18, 36, , , 2
2019/8/21, 31, 13, 31, , , 2
2019/8/22, 29, 12, 30, , , 1
2019/8/23, 32, 13, 28, , , 2
2019/8/24, 34, 12, 32, , 1, 2
2019/8/25, 35, 10, 20, , 1, 2
2019/8/26, 19, 10, 30, , , 2
2019/8/27, 19, 19, 27, , , 2
2019/8/28, 23, 27, 34, , 1, 3
2019/8/29, 36, 22, 34, , 1, 2
2019/8/30, 32, 13, 28, , , 2
2019/8/31, 41, 17, 33, , , 2
2019/9/1, 43, 20, 37, , 1, 4
2019/9/2, 54, 27, 39, , 1, 4
2019/9/3, 51, 17, 32, , 1, 2
2019/9/4, 39, 13, 34, , , 2
2019/9/5, 35, 26, 28, , 1, 3
2019/9/6, 52, 12, 29, , , 2
2019/9/7, 32, 25, 28, , 1, 5
2019/9/8, 64, 20, 41, , 1, 2
2019/9/9, 50, 28, 46, , 1, 6
2019/9/10, 52, 35, 41, , 1, 5
2019/9/11, 62, 35, 37, , 1, 4
2019/9/12, 63, 32, 37, , , 2
2019/9/13, 48, 19, 35, , 1, 2
2019/9/14, 36, 22, 32, , 1, 3
2019/9/15, 45, 24, 38, , 1, 3
2019/9/16, 50, 18, 37, , , 2
2019/9/17, 52, 21, 45, , 1, 2
2019/9/18, 46, 31, 51, , 1, 3
2019/9/19, 52, 45, 56, , 1, 5
2019/9/20, 68, 35, 43, , 1, 3
2019/9/21, 63, 31, 35, , 1, 2
2019/9/22, 48, 11, 30, , , 2
2019/9/23, 21, 25, 32, , 1, 4
2019/9/24, 44, 21, 39, , 1, 2
2019/9/25, 37, 19, 31, , 1, 2
2019/9/26, 33, 29, 39, , 1, 3
2019/9/27, 45, 16, 38, , 1, 2
2019/9/28, 31, 17, 29, , 1, 2
2019/9/29, 44, 29, 36, , 1, 3
2019/9/30, 56, 29, 34, , 1, 3
2019/4/1, 33, 14, 39, , 2, 2
2019/4/2, 22, 17, 37, , 1, 2
2019/4/3, 37, 15, 40, , 1, 2
2019/4/4, 23, 15, 33, , , 3
2019/4/5, 39, 31, 42, , 1, 8
2019/4/6, 61, 12, 31, , 1, 2
2019/4/7, 43, 12, 42, , 1, 3
2019/4/8, 23, 11, , , 1, 3
2019/4/9, 28, 11, , , 1, 3
2019/4/10, 22, 16, , , 1, 2
2019/4/11, 25, 11, 36, , 1, 2
2019/4/12, 14, 13, 38, , 1, 2
2019/4/13, 15, 3, 32, , , 2
2019/4/14, 12, 9, 37, , 1, 2
2019/4/15, 11, 18, 45, , 1, 2
2019/4/16, 21, 19, 41, , 1, 2
2019/4/17, 32, 10, 36, , 1, 2
2019/4/18, 26, 2, 29, , , 1
2019/4/19, 9, 3, 31, , , 2
2019/4/20, 10, 11, 42, , 1, 3
2019/4/21, 19, 16, 45, , 1, 2
2019/4/22, 19, 14, 30, , 1, 2
2019/4/23, 27, 12, 31, , , 2
2019/4/24, 17, 10, 15, , , 3
2019/4/25, 31, 13, 43, , 1, 2
2019/4/26, 24, 11, 31, , 1, 2
2019/4/27, 14, 7, 37, , , 2
2019/4/28, 18, 12, 31, , 1, 2
2019/4/29, 25, 15, 30, , 1, 2
2019/4/30, 31, 17, 34, , 1, 2
2019/5/1, 25, 7, 8, , , 3
2019/5/2, 16, 13, , , , 3
2019/5/3, 23, 9, , , , 2
2019/5/4, 18, 16, , , , 3
2019/5/5, 28, 30, , , 1, 6
2019/5/6, 40, 30, , , , 4
2019/5/7, 45, 18, , , , 2
2019/5/8, 22, 17, , , , 2
2019/5/9, 29, 9, , , , 2
2019/5/10, 15, 11, , , , 2
2019/5/11, 19, 5, , , , 2
2019/5/12, 11, 15, , , , 3
2019/5/13, 29, 27, , , 1, 5
2019/5/14, 43, 36, 39, , 1, 
2019/5/15, 52, 24, 36, , 1, 
2019/5/16, 40, 20, 43, , , 
2019/5/17, 29, 30, 44, , 1, 
2019/5/18, 49, 14, 35, , , 
2019/5/19, 31, 8, 21, , , 
2019/5/20, 12, 10, 23, , , 
2019/5/21, 9, 16, 31, , 1, 3
2019/5/22, 28, 17, 28, , , 2
2019/5/23, 31, 22, 33, , , 3
2019/5/24, 33, 21, 34, , , 3
2019/5/25, 36, 12, 37, , , 2
2019/5/26, 21, 18, 34, , , 3
2019/5/27, 38, 26, 34, , , 2
2019/5/28, 49, 19, 27, , 1, 2
2019/5/29, 34, 9, 36, , , 2
2019/5/30, 18, 19, 45, , , 3
2019/5/31, 19, 26, 41, , 1, 4
2019/6/1, 39, 17, 37, , 1, 2
2019/6/2, 39, 32, 42, , 1, 4
2019/6/3, 41, 37, 46, , 1, 3
2019/6/4, 51, , 35, , , 2
2019/6/7, 33, 21, 38, , 1, 2
2019/6/8, 41, 8, 24, , , 2
2019/6/9, 24, 12, 33, , , 2
2019/6/10, 26, 24, 44, , 1, 4
2019/6/11, 40, 25, 41, , 1, 3
2019/6/12, 45, 11, 29, , , 2
2019/6/13, 23, 21, 42, , 2, 3
2019/6/14, 36, 15, 29, , 1, 2
2019/6/15, 42, 10, 32, , , 2
2019/6/16, 34, 10, 21, , , 2
2019/6/17, 27, 11, 30, , , 3
2019/6/18, 33, 17, 32, , , 4
2019/6/19, 36, 9, 32, , , 2
2019/6/20, 27, 19, 31, , , 3
2019/6/21, 39, 23, 29, , , 3
2019/6/22, 40, 15, 27, , , 2
2019/6/23, 33, 9, 30, , , 2
2019/6/24, 16, 14, 39, , 1, 2
2019/6/25, 23, 24, 42, , 1, 2
2019/6/26, 37, 26, 49, , , 3
2019/6/27, 44, 28, 43, , 1, 3
2019/6/28, 45, 33, 42, , , 3
2019/6/29, 51, 23, 45, , , 2
2019/6/30, 37, 20, 41, , , 2
2019/1/1, 20, 9, 13, , 1, 2
2019/1/2, 34, 17, 16, , 1, 2
2019/1/3, 32, 17, 22, , 1, 4
2019/1/4, 44, 13, 16, , 1, 2
2019/1/5, 36, 15, 18, , 1, 3
2019/1/6, 44, 14, 20, , 1, 2
2019/1/7, 39, 8, 24, , 1, 2
2019/1/8, 24, 8, 21, , , 1
2019/1/9, 22, 11, 23, , , 1
2019/1/10, 30, 15, 21, , , 2
2019/1/11, 45, 15, 16, , 1, 2
2019/1/12, 53, 12, 27, , 1, 2
2019/1/13, 52, 18, 25, , 1, 5
2019/1/14, 58, 15, 28, , 1, 2
2019/1/15, 54, 6, 20, , , 2
2019/1/16, 39, 10, 14, , , 3
2019/1/17, 43, 10, 18, , 1, 2
2019/1/18, 47, 7, 25, , , 2
2019/1/19, 41, 3, 30, , , 2
2019/1/20, 22, 10, 28, , 1, 2
2019/1/21, 31, 12, 23, , 2, 2
2019/1/22, 32, 6, 21, , , 2
2019/1/23, 26, 11, 26, , 1, 2
2019/1/24, 45, 12, 27, , 1, 1
2019/1/25, 31, 12, 22, , 1, 1
2019/1/26, 36, 12, 26, , 1, 2
2019/1/27, 43, 10, 23, , 1, 2
2019/1/28, 41, 10, 29, , 1, 2
2019/1/29, 34, 10, 28, , 1, 1
2019/1/30, 19, 11, 21, , 1, 2
2019/1/31, 31, 21, 16, , 1, 3
2019/2/1, 59, 24, 17, , 1, 4
2019/2/2, 74, 14, 30, , 1, 3
2019/2/3, 48, 8, 22, , 1, 3
2019/2/4, 37, 8, 13, , , 2
2019/2/5, 41, 4, 2, , 1, 4
2019/2/6, 19, 3, 14, , , 3
2019/2/7, 17, 9, 27, , , 1
2019/2/8, 27, 9, 27, , , 1
2019/2/9, 27, 12, 14, , 1, 2
2019/2/10, 51, 9, 7, , , 3
2019/2/11, 48, 6, 21, , , 3
2019/2/12, 16, 9, 31, , 1, 2
2019/2/13, 24, , 27, , 1, 2
2019/2/15, 24, 8, 27, , , 1
2019/2/16, 44, , 20, , , 2
2019/2/19, 31, 7, 23, , , 2
