date, pm25, pm10, o3, no2, so2, co
2020/1/2, 48, 10, 6, 31, 1, 2
2020/1/3, 33, 31, 3, 41, 7, 6
2020/1/4, 77, 55, 3, 34, 2, 7
2020/1/5, 138, 29, 8, 20, , 2
2020/1/6, 71, 11, 10, 22, , 2
2020/1/7, 32, 12, 9, 30, 1, 2
2020/1/8, 29, 19, 10, 30, , 3
2020/1/9, 45, 22, 9, 33, 2, 4
2020/1/10, 61, 45, 10, 38, 3, 7
2020/1/11, 110, 49, 12, 28, 2, 4
2020/1/12, 124, 21, 12, 24, 1, 2
2020/1/13, 62, 18, 90, 27, 2, 2
2020/1/14, 53, 27, 95, 28, 1, 3
2020/1/15, 75, , , , , 
2019/11/13, 128, 67, 1, 38, 4, 9
2019/11/14, 150, 54, 2, 33, 7, 6
2019/11/15, 130, 42, 11, 26, 3, 34
2019/11/16, 98, 33, 12, 21, 2, 31
2019/11/17, 87, 44, 5, 32, 5, 39
2019/11/18, 104, 65, 5, 36, 6, 48
2019/11/19, 150, 50, 11, 23, 4, 33
2019/11/20, 134, 35, 7, 26, 4, 35
2019/11/21, 93, 30, 10, 19, 2, 32
2019/11/22, 74, 24, 8, 22, 2, 32
2019/11/23, 57, 30, 5, 27, 2, 35
2019/11/24, 70, 31, 7, 22, 4, 36
2019/11/25, 87, 35, 4, 33, 3, 18
2019/11/26, 95, 34, 4, 25, 2, 2
2019/11/27, 85, 34, 3, 29, 5, 3
2019/11/28, 82, 31, 5, 33, 3, 2
2019/11/29, 80, 37, 3, 35, 5, 4
2019/11/30, 76, 34, 5, 23, 2, 2
2019/12/1, 65, 16, 7, 27, 2, 2
2019/12/2, 37, 24, 4, 31, 5, 4
2019/12/3, 60, 18, 10, 24, 2, 3
2019/12/4, 48, 13, 8, 25, 2, 2
2019/12/5, 30, 17, 5, 25, 2, 2
2019/12/6, 40, 23, 3, 30, 6, 3
2019/12/7, 66, 39, 3, 31, 5, 4
2019/12/8, 92, 43, 2, 33, 5, 5
2019/12/9, 100, 35, 4, 29, 4, 3
2019/12/10, 98, 27, 6, 29, 4, 4
2019/12/11, 79, 26, 6, 25, 3, 3
