date, pm25, pm10, o3, no2, so2, co
2020/1/2, 142, 68, 16, 17, 2, 9
2020/1/3, 125, 101, 15, 23, 2, 12
2020/1/4, 161, 117, 18, 22, 3, 12
2020/1/5, 173, 104, 21, 25, 2, 11
2020/1/6, 154, 102, 24, 26, 7, 10
2020/1/7, 139, 75, 23, 16, 6, 8
2020/1/8, 146, 91, 19, 18, 1, 7
2020/1/9, 158, 112, 21, 22, 2, 11
2020/1/10, 178, 109, 28, 31, 3, 12
2020/1/11, 202, 157, 22, 34, 3, 19
2020/1/12, 229, 132, 22, 29, 5, 15
2020/1/13, 157, 123, 26, 24, 4, 11
2020/1/14, 152, 93, 27, 23, 5, 11
2020/1/15, 139, 87, 27, 15, 4, 6
2020/1/16, 142, , , , , 
2019/12/3, 184, 119, 28, 27, 4, 18
2019/12/4, 153, 104, 30, 17, 6, 10
2019/12/5, 149, 140, 36, 21, 14, 11
2019/12/6, 181, 129, 44, 23, 12, 12
2019/12/7, 201, 170, 40, 23, 8, 16
2019/12/8, 210, 170, 34, 25, 7, 19
2019/12/9, 202, 163, 40, 22, 7, 18
2019/12/10, 202, 154, 38, 22, 5, 15
2019/12/11, 189, 107, 25, 18, 7, 13
2019/12/12, 170, 69, 21, 12, 4, 10
2019/12/13, 119, 78, 18, 12, 2, 7
2019/12/14, 152, 75, 12, 11, 2, 7
2019/12/15, 155, 92, 15, 16, 2, 10
2019/12/16, 160, 138, 16, 15, 1, 13
2019/12/17, 194, 105, 24, 15, 3, 10
2019/12/18, 171, 134, 18, 23, 4, 13
2019/12/19, 197, 148, 24, 37, 3, 14
2019/12/20, 192, 112, 26, 34, 4, 12
2019/12/21, 165, 150, 25, 41, 4, 16
2019/12/22, 208, 112, 24, 33, 4, 13
2019/12/23, 175, 122, 35, 27, 10, 10
2019/12/24, 184, 134, 16, 22, 7, 11
2019/12/25, 205, 99, 22, 21, 4, 9
2019/12/26, 163, 86, 25, 21, 4, 9
2019/12/27, 134, 102, 26, 25, 4, 10
2019/12/28, 159, 117, 16, 21, 4, 9
2019/12/29, 189, , , , , 
2020/1/1, , 63, 16, 21, 4, 10
2019/12/2, , 132, 24, , 4, 15
