date, pm25, o3, so2, co
2020/1/2, 15, 24, 1, 1
2020/1/3, 19, 28, 1, 1
2020/1/4, 26, 29, 1, 3
2020/1/5, 32, 32, 1, 1
2020/1/6, 27, 32, 1, 2
2020/1/7, 32, 27, 3, 6
2020/1/8, 44, 29, 1, 1
2020/1/9, 46, 29, , 1
2020/1/10, 34, 24, , 
2020/1/11, 19, 18, 1, 1
2020/1/12, 29, 12, 1, 2
2020/1/13, 47, 18, , 
2020/1/14, 18, 19, , 1
2020/1/15, 31, 5, , 1
2020/1/16, 45, , , 
2019/10/1, 51, 39, 1, 2
2019/10/2, 59, 40, 1, 1
2019/10/3, 61, 28, 1, 1
2019/10/4, 52, 49, 1, 1
2019/10/5, 43, 26, 1, 
2019/10/6, 36, 23, 1, 
2019/10/7, 23, 30, 1, 
2019/10/8, 25, 32, 1, 
2019/10/9, 36, 27, 1, 
2019/10/10, 32, 23, 1, 
2019/10/11, 27, 26, 1, 2
2019/10/12, 27, 27, 1, 1
2019/10/13, 23, 15, 1, 1
2019/10/14, 29, 19, 1, 
2019/10/15, 15, 25, 1, 
2019/10/16, 23, 26, 1, 2
2019/10/17, 29, 29, 1, 1
2019/10/18, 30, 23, 1, 2
2019/10/19, 42, 29, 1, 2
2019/10/20, 49, 35, 1, 
2019/10/21, 29, 27, 1, 2
2019/10/22, 26, 30, 2, 3
2019/10/23, 33, 31, 1, 2
2019/10/24, 42, 21, , 1
2019/10/25, 32, 15, , 
2019/10/26, 18, 20, , 
2019/10/27, 23, 14, , 1
2019/10/28, 35, 18, 1, 1
2019/10/29, 46, 15, , 
2019/10/30, 18, 23, , 
2019/10/31, 13, 26, 1, 2
2019/11/1, 25, 31, 1, 1
2019/11/2, 21, 27, 1, 2
2019/11/3, 34, 21, 1, 1
2019/11/4, 41, 28, 1, 2
2019/11/5, 58, 33, , 2
2019/11/6, 60, 18, 1, 1
2019/11/7, 69, 18, , 1
2019/11/8, 34, 28, 1, 2
2019/11/9, 41, 30, 2, 4
2019/11/10, 55, 23, 1, 1
2019/11/11, 39, 26, , 
2019/11/12, 27, 23, , 1
2019/11/13, 35, 21, , 1
2019/11/14, 52, 32, 1, 1
2019/11/15, 47, 29, 1, 1
2019/11/16, 55, 30, 1, 5
2019/11/17, 58, 30, 1, 6
2019/11/18, 69, 32, 1, 4
2019/11/19, 51, 29, 1, 4
2019/11/20, 44, 32, 1, 1
2019/11/21, 52, 25, , 1
2019/11/22, 47, 18, , 
2019/11/23, 23, 25, 1, 3
2019/11/24, 42, 29, 1, 2
2019/11/25, 44, 28, 1, 
2019/11/26, 33, 31, , 
2019/11/27, 30, 26, , 1
2019/11/28, 21, 23, , 1
2019/11/29, 37, 26, 1, 
2019/11/30, 38, 29, , 
2019/12/1, 16, 25, , 1
2019/12/2, 20, 25, 1, 4
2019/12/3, 46, 31, 1, 4
2019/12/4, 48, 28, 2, 4
2019/12/5, 51, 31, 1, 1
2019/12/6, 48, 26, , 1
2019/12/7, 61, 15, 1, 2
2019/12/8, 72, 27, , 1
2019/12/9, 61, 24, , 1
2019/12/10, 27, 28, , 2
2019/12/11, 18, 19, 1, 1
2019/12/12, 31, 8, 1, 3
2019/12/13, 48, 22, 2, 5
2019/12/14, 68, 31, 1, 2
2019/12/15, 51, 20, 17, 1
2019/12/16, 32, 1, , 1
2019/12/17, 28, 14, 1, 1
2019/12/18, 34, 25, 2, 5
2019/12/19, 60, 27, 1, 3
2019/12/20, 47, 18, 1, 1
2019/12/21, 48, 23, , 1
2019/12/22, 9, 23, , 
2019/12/23, 18, 23, 1, 3
2019/12/24, 29, 21, 1, 3
2019/12/25, 34, 18, , 1
2019/12/26, 36, 17, , 1
2019/12/27, 41, 16, , 1
2019/12/28, 44, , , 
2019/7/1, 52, 47, 1, 1
2019/7/2, 54, 23, 1, 
2019/7/3, 29, 17, 1, 
2019/7/4, 58, 24, 1, 1
2019/7/5, 79, 23, 1, 1
2019/7/6, 69, 28, 1, 
2019/7/7, 54, 49, 1, 
2019/7/8, 46, 47, 1, 1
2019/7/9, 59, 34, 2, 
2019/7/10, 47, 28, 2, 
2019/7/11, 37, 27, 1, 
2019/7/12, 26, 23, 1, 
2019/7/13, 28, 20, 1, 
2019/7/14, 32, 20, 1, 
2019/7/15, 30, 19, 1, 
2019/7/16, 37, 12, 1, 
2019/7/17, 51, 15, 1, 
2019/7/18, 47, 16, 1, 
2019/7/19, 32, 16, 1, 
2019/7/20, 25, 19, 1, 
2019/7/21, 23, 24, 1, 
2019/7/22, 27, 30, 1, 
2019/7/23, 27, 37, 1, 
2019/7/24, 37, 40, 1, 1
2019/7/25, 48, 40, 1, 1
2019/7/26, 53, 39, 1, 1
2019/7/27, 55, 37, 1, 
2019/7/28, 47, 29, 2, 
2019/7/29, 36, 22, 1, 
2019/7/30, 37, 37, 1, 
2019/7/31, 32, 32, 1, 1
2019/8/1, 36, 32, 1, 
2019/8/2, 42, 39, 1, 
