date, pm10, o3, no2, so2, co
2020/1/1, 9, 12, 4, 3, 
2020/1/2, 9, , , , 
2020/1/4, 14, 11, 2, 2, 
2020/1/5, 13, 12, 5, 4, 
2020/1/6, 8, 14, 5, 5, 
2020/1/7, 11, 17, 7, 4, 
2020/1/8, 11, 15, 7, 7, 
2020/1/9, 7, 15, 4, 2, 
2020/1/10, 11, 14, 4, 2, 
2020/1/11, 13, 17, 4, 1, 
2020/1/12, 9, 10, 3, 1, 
2020/1/13, 116, 14, 5, 5, 
2020/1/14, 16, 20, 6, 7, 
2020/1/15, 21, 12, 6, 5, 
2020/1/16, 27, , , , 
2019/10/9, 447, 15, 3, 4, 26
2019/10/10, 58, 13, 2, 5, 15
2019/10/11, 59, 17, 2, 1, 24
2019/10/12, 31, 17, 2, 1, 19
2019/10/13, 25, 18, 2, 4, 19
2019/10/14, 72, 20, 2, 5, 20
2019/10/16, 37, 42, 7, 3, 7
2019/10/17, 25, , , , 
2019/10/20, 12, 17, 3, 8, 19
2019/10/21, 21, 19, 3, 5, 24
2019/10/22, 16, 14, 3, 6, 21
2019/10/23, 20, 12, 4, 5, 12
2019/10/24, 28, 15, 4, 8, 20
2019/10/25, 30, 21, 3, 5, 18
2019/10/26, 26, 23, 3, 9, 13
2019/10/27, 19, 22, 3, 7, 18
2019/10/28, 13, 24, 3, 8, 9
2019/10/29, 12, 25, 4, 7, 
2019/10/30, 12, 21, 3, 7, 
2019/10/31, 12, 20, 3, 3, 
2019/11/1, 11, 23, 2, 2, 
2019/11/2, 11, 22, 3, 4, 
2019/11/3, 13, , , , 
2019/11/13, 32, 10, 5, 6, 
2019/11/14, 34, , , , 
2019/11/16, 30, 14, 3, 8, 21
2019/11/17, 21, 15, 3, 18, 6
2019/11/18, 19, 19, 4, 7, 15
2019/11/19, 17, 19, 5, 7, 20
2019/11/20, 18, 17, 3, 6, 21
2019/11/21, 19, 13, 4, 6, 49
2019/11/22, 35, 18, 3, 5, 12
2019/11/23, 25, 19, 4, 6, 21
2019/11/24, 14, 16, 3, 2, 25
2019/11/25, 10, 18, 4, 1, 13
2019/11/26, 13, 17, 5, 5, 
2019/11/27, 15, 14, , 10, 
2019/11/28, 23, 12, , 8, 27
2019/11/29, 15, 14, , 5, 13
2019/11/30, 16, 12, , 5, 26
2019/12/1, 14, 11, , 7, 5
2019/12/2, 18, 11, , 1, 
2019/12/3, 11, 14, , 6, 
2019/12/4, 13, 15, , 3, 
2019/12/5, 14, 14, , 8, 9
2019/12/6, 14, , , , 
2019/12/8, 13, 14, , 2, 
2019/12/9, 11, 13, 3, 1, 
2019/12/10, 11, 16, 4, 3, 35
2019/12/11, 10, 20, 4, 13, 11
2019/12/12, 19, 13, 6, 6, 36
2019/12/13, 24, , , , 
2019/12/15, 26, 13, 3, 5, 
2019/12/16, 19, 12, 3, 4, 49
2019/12/17, 17, 10, 4, 3, 20
2019/12/18, 19, 10, 3, 5, 36
2019/12/20, 47, 12, 3, 3, 7
2019/12/21, 34, 13, 3, 5, 8
2019/12/22, 31, 15, 4, 4, 
2019/12/23, 27, , , , 
2019/12/25, 19, 12, 4, 8, 8
2019/12/26, 14, 13, 3, 6, 45
2019/12/27, 29, 15, 4, 4, 39
2019/12/28, 42, , , , 
2019/7/2, 25, 18, 10, 3, 8
2019/7/3, 14, 18, 10, 4, 9
2019/7/4, 17, 17, 10, 3, 25
2019/7/5, 16, 17, 10, 2, 13
2019/7/6, 16, 17, 12, 2, 9
2019/7/7, 11, 16, 14, 12, 4
2019/7/8, 14, 23, 12, 8, 12
2019/7/9, 13, 24, 13, 13, 27
2019/7/10, 16, , , , 
2019/7/12, 72, 24, 13, 13, 27
2019/7/13, 16, 22, 12, 3, 9
2019/7/14, 17, 19, 13, 2, 8
2019/7/15, 17, 18, 14, 6, 38
2019/7/16, 63, 25, 11, 2, 42
2019/7/17, 15, , , , 
2019/7/20, 27, 28, 9, 2, 9
2019/7/21, 27, 26, 8, 2, 11
2019/7/22, 15, 25, 10, 2, 13
2019/7/23, 14, , , , 
2019/8/9, 41, , , , 
2019/8/21, 12, 20, 6, 2, 
2019/8/22, 14, 21, 6, 1, 87
2019/8/23, 15, 20, 5, 2, 
2019/8/24, 16, 18, 8, 2, 
2019/8/25, 28, 19, 9, 7, 
2019/8/26, 15, 19, 11, 4, 
