date, pm25, pm10, o3, no2, so2, co
2020/1/2, 230, 103, 31, 29, 21, 16
2020/1/3, 219, 91, 61, 29, 15, 15
2020/1/4, 206, 173, 57, 40, 22, 20
2020/1/5, 326, 75, 35, 35, 23, 14
2020/1/6, 175, 125, 32, 27, 16, 15
2020/1/7, 256, 105, 33, 21, 21, 13
2020/1/8, 216, 68, 35, 20, 16, 12
2020/1/9, 185, 141, 34, 34, 19, 18
2020/1/10, 265, 102, 36, 27, 15, 16
2020/1/11, 214, 114, 34, 28, 16, 13
2020/1/12, 219, 93, 35, 21, 12, 11
2020/1/13, 189, 185, 36, 39, 23, 20
2020/1/14, 303, 294, 33, 46, 31, 24
2020/1/15, 395, 125, 37, 30, 23, 17
2020/1/16, 232, , , , , 
2019/10/1, 131, 72, 96, 20, 5, 10
2019/10/2, 136, 65, 64, 13, 13, 9
2019/10/3, 111, 29, 22, 8, 8, 5
2019/10/4, 56, 57, 31, 13, 9, 8
2019/10/5, 98, 39, 34, 14, 6, 7
2019/10/6, 73, 42, 41, 13, 6, 6
2019/10/7, 73, 32, 33, 8, 5, 5
2019/10/8, 41, 40, 39, 11, 6, 6
2019/10/9, 56, 63, 42, 12, 9, 8
2019/10/10, 105, 51, 45, 13, 17, 9
2019/10/11, 75, 49, 33, 13, 13, 7
2019/10/12, 77, 62, 28, 16, 20, 10
2019/10/13, 118, 58, 38, 15, 5, 7
2019/10/14, 101, 43, 34, 13, 4, 6
2019/10/15, 64, 81, 34, 20, 11, 10
2019/10/16, 134, 94, 60, 27, 12, 12
2019/10/17, 152, 94, 52, 31, 8, 12
2019/10/18, 146, 106, 47, 33, 7, 13
2019/10/19, 170, 88, 56, 19, 5, 10
2019/10/20, 152, 73, 55, 17, 7, 8
2019/10/21, 98, 110, 47, 27, 11, 14
2019/10/22, 167, 118, 58, 30, 13, 15
2019/10/23, 178, 111, 52, 27, 10, 14
2019/10/24, 175, 51, 49, 11, 4, 6
2019/10/25, 91, 47, 27, 12, 6, 7
2019/10/26, 91, 67, 32, 20, 9, 11
2019/10/27, 124, 63, 46, 12, 7, 8
2019/10/28, 107, 33, 57, 10, 4, 5
2019/10/29, 61, 51, 33, 16, 6, 7
2019/10/30, 88, 63, 34, 10, 7, 6
2019/10/31, 87, 68, 33, 14, 8, 7
2019/11/1, 102, 56, 32, 16, 18, 8
2019/11/2, 113, 60, 29, 16, 23, 10
