date, pm25, pm10, o3, no2, so2, co
2020/1/2, 34, 22, 15, , 2, 4
2020/1/3, 42, 20, 12, , 2, 3
2020/1/4, 38, 21, 6, , 2, 2
2020/1/5, 40, 20, 14, , 2, 3
2020/1/6, 41, 12, 15, , 2, 3
2020/1/7, 21, 14, 15, , 2, 3
2020/1/8, 32, 18, 17, , 2, 4
2020/1/9, 38, 19, 12, , 2, 4
2020/1/10, 42, 19, 15, , 2, 4
2020/1/11, 44, 19, 23, , 3, 4
2020/1/12, 50, 20, 22, , 2, 4
2020/1/13, 43, 19, 18, , 2, 4
2020/1/14, 40, 19, 19, , 2, 4
2020/1/15, 41, 21, 16, , 2, 
2020/1/16, 56, , , , , 
2019/10/1, 67, 33, 10, , 6, 9
2019/10/2, 66, 31, 13, , 6, 7
2019/10/3, 62, 27, 13, , 6, 7
2019/10/4, 49, 21, 14, , 5, 5
2019/10/5, 44, 21, 20, , 4, 6
2019/10/6, 52, 28, 7, , 5, 7
2019/10/7, 55, 24, 14, , 6, 7
2019/10/8, 58, 29, 11, , 7, 7
2019/10/9, 56, 30, 30, , 5, 7
2019/10/10, 71, 34, 15, , 5, 6
2019/10/11, 66, 28, 16, , 6, 5
2019/10/12, 61, 32, 14, , 7, 7
2019/10/13, 65, 29, 24, , 8, 6
2019/10/14, 61, 32, 20, , 8, 7
2019/10/15, 66, 26, 15, , 3, 5
2019/10/16, 44, 19, 10, , 3, 6
2019/10/17, 48, 27, 9, , 5, 8
2019/10/18, 61, 33, 18, , 8, 8
2019/10/19, 76, 34, 16, , 6, 7
2019/10/20, 55, 27, 10, , 6, 7
2019/10/21, 60, 26, 1, , 7, 8
2019/10/22, 46, 23, 14, , 8, 7
2019/10/23, 60, 34, 12, , 7, 8
2019/10/24, 78, 33, 13, , 7, 5
2019/10/25, 53, 25, 9, , 6, 8
2019/10/26, 52, 26, 19, , 4, 6
2019/10/27, 51, 20, 13, , 4, 4
2019/10/28, 34, 23, 21, , 5, 7
2019/10/29, 72, 35, 18, , 8, 6
2019/10/30, 71, 38, 6, , 6, 9
2019/10/31, 89, 38, 17, , 7, 8
2019/11/1, 61, 38, 14, , 9, 8
2019/11/2, 92, 37, 15, , 9, 5
2019/11/3, 60, 31, 6, , 14, 9
2019/11/4, 93, 48, 15, , 13, 8
2019/11/5, 107, 41, 18, , 9, 7
2019/11/6, 83, 47, 35, , 8, 8
2019/11/7, 100, 36, 18, , 6, 5
2019/11/8, 49, 25, 30, , 5, 7
2019/11/9, 72, 32, 29, , 7, 6
2019/11/10, 56, 35, 20, , 10, 7
2019/11/11, 89, 39, 15, , 9, 8
2019/11/12, 96, 56, 39, , 6, 10
2019/11/13, 126, 43, 18, , 5, 6
2019/11/14, 60, 23, 13, , 2, 6
2019/11/15, 42, 20, 16, , 1, 10
2019/11/16, 46, 26, 25, , 2, 6
2019/11/17, 53, 25, 20, , 2, 5
2019/11/18, 53, 26, 10, , 1, 6
2019/11/19, 47, 22, 7, , 1, 5
2019/11/20, 43, 19, 8, , 1, 5
2019/11/21, 37, 16, 11, , 1, 5
2019/11/22, 29, 16, 12, , 1, 5
2019/11/23, 27, 16, 18, , 1, 5
2019/11/24, 31, 21, 23, , 1, 7
2019/11/25, 47, 19, 11, , 1, 5
2019/11/26, 29, 17, 9, , 1, 5
2019/11/27, 38, 20, 9, , 1, 5
2019/11/28, 32, 18, 8, , 1, 5
2019/11/29, 36, 18, 10, , 2, 5
2019/11/30, 42, 23, 20, , 2, 6
2019/12/1, 36, 16, 10, , 1, 5
2019/12/2, 22, 16, 16, , 1, 4
2019/12/3, 38, 28, 21, , 1, 5
2019/12/4, 53, 30, 20, , 1, 6
2019/12/5, 51, 29, 25, , 1, 6
2019/12/6, 46, 26, 30, , 1, 
2019/12/7, 47, 23, 24, , 1, 
2019/12/8, 37, 15, 16, , 2, 4
2019/12/9, 19, 18, 11, , 2, 5
2019/12/10, 48, 19, 9, , 2, 4
2019/12/11, 26, 19, 16, , 1, 3
2019/12/12, 45, 28, 11, , 1, 4
2019/12/13, 44, 14, 5, , 2, 4
2019/12/14, 23, 12, 3, , 2, 5
2019/12/15, 24, 15, 10, , 2, 4
2019/12/16, 23, 14, 3, , 2, 5
2019/12/17, 33, 18, 12, , 2, 5
2019/12/18, 36, 16, 11, , 2, 4
2019/12/19, 29, 18, 12, , 2, 4
2019/12/20, 36, 19, 12, , 2, 3
2019/12/21, 32, 16, 11, , 2, 3
2019/12/22, 30, 16, 11, , 3, 4
2019/12/23, 35, 18, 11, , 2, 3
2019/12/24, 32, 18, 14, , 3, 4
2019/12/25, 39, 21, 15, , 3, 
2019/12/26, 39, 18, 13, , 2, 3
2019/12/27, 32, 20, 18, , 2, 4
2019/12/28, 40, 23, 14, , , 
2019/12/29, 32, , , , , 
2019/7/1, 49, 25, 14, , 4, 4
2019/7/2, 56, 32, 11, , 4, 5
2019/7/3, 65, 34, 14, , 5, 6
2019/7/4, 64, 28, 10, , 4, 5
2019/7/5, 47, 18, 11, , 3, 4
2019/7/6, 38, 23, 8, , 4, 6
2019/7/7, 51, 24, 6, , 4, 7
2019/7/8, 52, 24, 5, , 5, 8
2019/7/9, 53, 21, 14, , 5, 5
2019/7/10, 46, 22, 14, , 4, 4
2019/7/11, 43, 21, 10, , 4, 5
2019/7/12, 42, 20, 12, , 4, 
2019/7/13, 41, 20, 14, , 4, 35
2019/7/14, 46, 24, 13, , 4, 6
2019/7/15, 53, 23, 12, , 5, 6
2019/7/16, 56, 27, 17, , 4, 5
2019/7/17, 62, 28, 17, , 3, 3
2019/7/18, 55, 24, 14, , 4, 3
