date, pm25, pm10, o3, no2, co
2020/1/2, 19, 11, 19, , 
2020/1/3, 31, 12, 18, , 
2020/1/4, 58, 24, 21, , 
2020/1/5, 51, 24, 28, , 
2020/1/6, 27, 18, 26, , 
2020/1/7, 20, 16, 17, , 
2020/1/8, 38, 21, 24, , 
2020/1/9, 33, 20, 27, , 
2020/1/10, 19, 14, 23, , 
2020/1/11, 32, 25, , , 
2020/1/12, 43, 24, 7, , 
2020/1/13, 43, 26, 13, , 
2020/1/14, 56, 48, 3, , 
2020/1/15, 65, , , , 
2020/1/16, 45, , , , 
2019/10/1, 12, 19, 38, , 
2019/10/2, 26, 19, 25, , 
2019/10/3, 17, 18, 22, , 
2019/10/4, 28, 17, 27, , 
2019/10/5, 25, 13, , , 
2019/10/6, 29, 23, 31, , 
2019/10/7, 26, 24, 22, , 
2019/10/8, 25, 19, 11, , 
2019/10/9, 18, 18, 24, , 
2019/10/10, 17, 22, 27, , 
2019/10/11, 18, 30, 33, , 
2019/10/12, 27, 37, , , 
2019/10/13, 37, 19, 13, , 
2019/10/14, 21, 13, 27, , 
2019/10/15, 14, 24, 34, , 
2019/10/16, 25, 36, 35, , 
2019/10/17, 36, 25, 27, , 
2019/10/18, 24, 20, 34, , 
2019/10/19, 29, 29, 36, , 
2019/10/20, 32, 24, 32, , 
2019/10/21, 30, 30, 34, , 
2019/10/22, 28, 23, 27, , 
2019/10/23, 43, 37, 28, , 
2019/10/24, 27, 25, 26, , 
2019/10/25, 24, 19, 29, , 
2019/10/26, 42, 26, , , 
2019/10/27, 35, 35, 17, , 
2019/10/28, 46, 28, 31, , 
2019/10/29, 44, 43, 35, , 
2019/10/30, 50, 21, 30, , 
2019/10/31, 21, 29, 23, , 
2019/11/1, 40, 26, 33, , 
2019/11/2, 29, 27, , , 
2019/11/3, 41, 29, 17, , 
2019/11/4, 53, 35, 23, , 
2019/11/5, 41, 21, 32, , 
2019/11/6, 26, 15, 16, , 
2019/11/7, 8, 26, 12, , 
2019/11/8, 18, 26, 27, , 
2019/11/9, 25, 24, , , 
2019/11/10, 38, 31, , , 
2019/11/11, 22, 17, 11, , 
2019/11/12, 16, 17, 17, , 
2019/11/13, 26, 25, 21, , 
2019/11/14, 27, 25, 29, , 
2019/11/15, 30, 31, 30, , 
2019/11/16, 48, 32, 26, , 
2019/11/17, 44, 30, 24, , 
2019/11/18, 49, 31, 8, , 
